sample_index,hierarchical_probability_error,maxent_stationarity_range
354,5.551115123125783e-17,3.3306690738754696e-16
355,2.7755575615628914e-17,3.3306690738754696e-16
356,1.1102230246251565e-16,2.220446049250313e-16
357,1.1102230246251565e-16,3.3306690738754696e-16
358,1.3877787807814457e-17,4.440892098500626e-16
359,2.7755575615628914e-17,4.440892098500626e-16
360,2.7755575615628914e-17,4.440892098500626e-16
361,5.551115123125783e-17,4.440892098500626e-16
362,1.3877787807814457e-17,3.3306690738754696e-16
363,5.551115123125783e-17,5.551115123125783e-16
364,5.551115123125783e-17,3.3306690738754696e-16
365,1.1102230246251565e-16,4.440892098500626e-16
366,2.7755575615628914e-17,3.885780586188048e-16
367,1.3877787807814457e-17,4.440892098500626e-16
368,1.1102230246251565e-16,4.440892098500626e-16
369,5.551115123125783e-17,4.440892098500626e-16
370,2.7755575615628914e-17,4.440892098500626e-16
371,2.7755575615628914e-17,4.440892098500626e-16
372,1.1102230246251565e-16,2.220446049250313e-16
373,8.326672684688674e-17,4.440892098500626e-16
374,2.7755575615628914e-17,3.3306690738754696e-16
375,5.551115123125783e-17,3.3306690738754696e-16
376,2.7755575615628914e-17,5.551115123125783e-16
377,1.1102230246251565e-16,6.661338147750939e-16
378,1.1102230246251565e-16,4.440892098500626e-16
379,5.551115123125783e-17,2.220446049250313e-16
380,3.469446951953614e-18,2.220446049250313e-16
381,6.938893903907228e-18,5.551115123125783e-16
382,5.551115123125783e-17,4.440892098500626e-16
383,1.3877787807814457e-17,6.661338147750939e-16
384,5.551115123125783e-17,4.440892098500626e-16
385,1.1102230246251565e-16,4.440892098500626e-16
386,1.1102230246251565e-16,2.220446049250313e-16
387,2.7755575615628914e-17,3.3306690738754696e-16
388,5.551115123125783e-17,6.661338147750939e-16
389,2.7755575615628914e-17,4.440892098500626e-16
390,5.551115123125783e-17,1.1102230246251565e-16
391,5.551115123125783e-17,6.661338147750939e-16
392,1.1102230246251565e-16,2.220446049250313e-16
393,5.551115123125783e-17,3.3306690738754696e-16
394,2.7755575615628914e-17,4.85722573273506e-16
395,1.1102230246251565e-16,4.440892098500626e-16
396,5.551115123125783e-17,4.440892098500626e-16
397,6.938893903907228e-18,2.220446049250313e-16
398,2.7755575615628914e-17,2.220446049250313e-16
399,5.551115123125783e-17,2.220446049250313e-16
400,5.551115123125783e-17,4.440892098500626e-16
