sample_index,maximum_recursive_partition_sum_error
93,4.440892098500626e-16
94,2.220446049250313e-16
95,4.440892098500626e-16
96,8.881784197001252e-16
97,8.881784197001252e-16
98,4.440892098500626e-16
99,5.551115123125783e-17
100,2.220446049250313e-16
101,2.7755575615628914e-17
102,2.7755575615628914e-17
103,2.220446049250313e-16
104,1.1102230246251565e-16
105,2.220446049250313e-16
106,8.881784197001252e-16
107,4.440892098500626e-16
108,4.440892098500626e-16
109,4.440892098500626e-16
110,0.0
111,2.220446049250313e-16
112,8.881784197001252e-16
113,4.440892098500626e-16
114,1.1102230246251565e-16
115,0.0
116,1.1102230246251565e-16
117,4.440892098500626e-16
118,1.1102230246251565e-16
119,1.1102230246251565e-16
120,4.440892098500626e-16
121,4.440892098500626e-16
122,0.0
123,8.881784197001252e-16
124,4.440892098500626e-16
125,5.551115123125783e-17
126,2.220446049250313e-16
127,4.440892098500626e-16
128,2.220446049250313e-16
129,1.1102230246251565e-16
130,0.0
131,4.440892098500626e-16
132,2.220446049250313e-16
133,1.1102230246251565e-16
134,2.220446049250313e-16
135,2.220446049250313e-16
136,6.661338147750939e-16
137,2.220446049250313e-16
138,2.220446049250313e-16
139,4.440892098500626e-16
140,2.220446049250313e-16
141,4.440892098500626e-16
142,2.220446049250313e-16
143,8.881784197001252e-16
144,2.220446049250313e-16
145,1.1102230246251565e-16
146,2.220446049250313e-16
147,2.220446049250313e-16
148,2.220446049250313e-16
149,1.1102230246251565e-16
150,2.220446049250313e-16
151,2.220446049250313e-16
152,4.440892098500626e-16
153,1.3877787807814457e-17
154,1.1102230246251565e-16
155,8.881784197001252e-16
156,4.440892098500626e-16
157,4.440892098500626e-16
158,4.440892098500626e-16
159,2.220446049250313e-16
160,2.220446049250313e-16
161,2.220446049250313e-16
162,8.881784197001252e-16
163,2.220446049250313e-16
164,2.220446049250313e-16
165,4.440892098500626e-16
166,2.220446049250313e-16
167,1.1102230246251565e-16
168,4.440892098500626e-16
169,8.881784197001252e-16
170,5.551115123125783e-17
171,4.440892098500626e-16
172,2.220446049250313e-16
173,2.220446049250313e-16
174,4.440892098500626e-16
175,4.440892098500626e-16
176,4.440892098500626e-16
177,4.440892098500626e-16
178,2.220446049250313e-16
179,2.220446049250313e-16
180,0.0
181,5.551115123125783e-17
182,8.881784197001252e-16
183,2.220446049250313e-16
184,5.551115123125783e-17
185,4.440892098500626e-16
186,2.220446049250313e-16
187,2.220446049250313e-16
188,4.440892098500626e-16
189,4.440892098500626e-16
190,4.440892098500626e-16
191,4.440892098500626e-16
192,4.440892098500626e-16
193,1.1102230246251565e-16
194,0.0
195,8.881784197001252e-16
196,4.440892098500626e-16
197,1.1102230246251565e-16
198,2.220446049250313e-16
199,1.1102230246251565e-16
200,4.440892098500626e-16
201,4.440892098500626e-16
202,4.440892098500626e-16
203,2.220446049250313e-16
204,2.220446049250313e-16
205,4.440892098500626e-16
206,8.881784197001252e-16
207,1.1102230246251565e-16
208,2.220446049250313e-16
209,2.220446049250313e-16
210,2.220446049250313e-16
211,1.1102230246251565e-16
212,6.661338147750939e-16
213,5.551115123125783e-17
214,2.220446049250313e-16
215,2.220446049250313e-16
216,4.440892098500626e-16
217,0.0
218,2.220446049250313e-16
219,4.440892098500626e-16
220,4.440892098500626e-16
221,0.0
222,4.440892098500626e-16
223,0.0
224,4.440892098500626e-16
225,2.220446049250313e-16
226,2.220446049250313e-16
227,2.220446049250313e-16
228,4.440892098500626e-16
229,1.1102230246251565e-16
230,2.220446049250313e-16
231,2.220446049250313e-16
232,2.220446049250313e-16
233,4.440892098500626e-16
234,2.220446049250313e-16
235,4.440892098500626e-16
236,8.881784197001252e-16
237,2.220446049250313e-16
238,0.0
239,8.881784197001252e-16
240,2.220446049250313e-16
241,2.220446049250313e-16
242,2.220446049250313e-16
243,2.7755575615628914e-17
244,4.440892098500626e-16
245,1.1102230246251565e-16
246,8.881784197001252e-16
247,2.220446049250313e-16
248,4.440892098500626e-16
249,2.220446049250313e-16
250,5.551115123125783e-17
251,4.440892098500626e-16
252,4.440892098500626e-16
253,4.440892098500626e-16
254,1.1102230246251565e-16
255,1.1102230246251565e-16
256,1.3877787807814457e-17
257,1.1102230246251565e-16
258,2.220446049250313e-16
259,4.440892098500626e-16
260,2.220446049250313e-16
261,2.220446049250313e-16
262,8.881784197001252e-16
263,2.220446049250313e-16
264,4.440892098500626e-16
