sample_index,leaf_distribution_tv
474,0.5174080392221113
475,0.3124755647945091
476,0.5231003643273093
477,0.44802090787856774
478,0.34818219745315965
479,0.4360368376027335
480,0.4325750746322766
481,0.31413707938038204
482,0.3466500247043292
483,0.45829334216663153
484,0.297512710056824
485,0.381471159509051
486,0.40807080321784106
487,0.4623696132145928
488,0.5143578607222555
489,0.3093624735646082
490,0.4115859623956826
491,0.5304680893504676
492,0.37283554003164315
493,0.4100236459022291
494,0.30599596827965386
495,0.3092432529361241
496,0.43433075850779396
497,0.3021394373925812
498,0.5777057114816229
499,0.490458241488978
500,0.3730557629662421
501,0.15533454936620117
502,0.5987333715327303
503,0.4259440558874452
504,0.29708294193511525
505,0.4023228127857785
506,0.4431340465029176
507,0.3986222443776327
508,0.33063555139439993
509,0.31955639832988775
510,0.2663459479057978
511,0.521222625670827
512,0.2448983948406406
513,0.3861674444049801
514,0.4317451439726293
515,0.3891966593740899
516,0.3120944891746493
517,0.4476101525484276
518,0.2665203781228273
519,0.27834123954112133
520,0.3319875853169827
521,0.41680302105668027
522,0.52400641806788
523,0.3368242256838442
524,0.44283816521169034
525,0.5431372905812635
526,0.25975748221595685
527,0.6119148936801989
528,0.497931185373917
529,0.3148595829526699
530,0.4179824311923439
531,0.4116900435245467
532,0.4092758650115037
533,0.2448651899764183
534,0.2782792551412352
535,0.38156695526183404
536,0.3999760767076203
537,0.36811654142104266
538,0.39314326117904796
539,0.42898461818564515
540,0.4692468472385543
541,0.2468520990483551
542,0.36749883669663
543,0.38257989139100673
544,0.3229550805169749
545,0.39487331074017784
546,0.37627970491425183
547,0.6269239464648276
548,0.3941034452035283
549,0.36828501328203145
550,0.3444711066926751
551,0.39742769462622296
552,0.35650515582149106
553,0.22859815488140367
554,0.4162339382642026
555,0.2883369447348828
556,0.3932831633744165
557,0.3290082584859109
558,0.3543355913765614
559,0.41972720319175205
560,0.4095750929206369
561,0.3158058667251189
562,0.3742697469670776
563,0.2956531875477027
564,0.36895655919032017
565,0.37142076817537595
566,0.5020609744989959
567,0.4701860839366534
568,0.4313715225274129
569,0.39715007432855043
570,0.4130775815792225
571,0.2320167238481057
572,0.4897812220810689
573,0.4930692243692806
574,0.3298311251605051
575,0.26204238799839563
576,0.2850327565148875
577,0.46755195883428163
578,0.4369364639026257
579,0.4392590790585577
580,0.3540148438653261
581,0.512556832085286
582,0.37475190551706034
583,0.38918714085191636
584,0.41341031512123544
585,0.4566219187748038
586,0.24796263757057047
587,0.448659340804638
588,0.36241965654422525
589,0.2817455233761591
590,0.42150026933227097
591,0.39536713042036636
592,0.28540765803806106
593,0.6157907272490096
594,0.36003926685671866
595,0.6383801243582227
596,0.36383199681620676
597,0.28578877344466974
598,0.47913755042985984
599,0.22165172443629325
600,0.3136648320272173
601,0.30498932759349995
602,0.47088457558505864
603,0.45299043622294854
604,0.4526399857382396
605,0.4548841363670037
606,0.3878409189451844
607,0.5500477563905417
608,0.24662109670608043
609,0.3380567690239022
610,0.48733527937682386
611,0.2083082895070901
612,0.4525971048682261
613,0.3960245511890077
614,0.4559585886232071
615,0.34724553153237114
616,0.5874616484948294
617,0.38934043961583137
618,0.27320977139637814
619,0.23616724341393058
620,0.3405481522725896
621,0.3037957241956319
622,0.4379922485071446
623,0.2620173165210188
624,0.5294923307876519
625,0.318423721399302
626,0.26731035505652
627,0.5358511280902423
628,0.4301611378720247
629,0.4340445129783802
630,0.49258441707021217
631,0.4795872449496416
632,0.47279593505648987
633,0.5186563636277339
634,0.48614561309322524
635,0.49714135131981396
636,0.26609298184932845
637,0.38243639427437365
638,0.3862652369471111
639,0.15619469448794782
640,0.21427396652337413
641,0.296788727388662
642,0.369355158966378
643,0.4727378492093518
644,0.28524646480381877
645,0.45231098973135286
646,0.3834293842546464
647,0.36000621652103604
648,0.3354470889483171
649,0.45720112685021547
650,0.4952724795707095
651,0.41774133776448674
652,0.43280535641807305
653,0.30710525363761076
654,0.39491952252505624
655,0.3257833368167505
656,0.5129961302793571
657,0.2476226658805137
658,0.34650032206311077
659,0.3962213452899835
660,0.3949786751953582
661,0.556481380886038
662,0.5924872572525343
663,0.3830137146308155
664,0.5026440954250446
665,0.3171195245099907
666,0.28703388670913166
667,0.4925798433296513
668,0.5148286908781269
669,0.4290628662068968
670,0.40594902070307826
671,0.32863838711446003
672,0.40502890395792696
673,0.29984512773947986
674,0.3370992756092705
675,0.43987385349152774
676,0.48815372648017263
677,0.5695874831104246
678,0.3503210543621767
679,0.29953130805066064
680,0.4106809357936483
681,0.4286284538379238
682,0.4344645185869467
683,0.486669253710427
684,0.31861672939501473
685,0.4877952072308297
686,0.5706663211545846
687,0.3824887112558206
688,0.45846647626280324
689,0.3425823509458624
690,0.39911004382925824
691,0.3733906679386906
692,0.4845178655776119
693,0.31902315462116826
694,0.4415970714920736
695,0.25795411474363533
696,0.15049779725263018
697,0.23158057625193454
698,0.6611088612772937
699,0.4281086134238166
700,0.4911679941500432
701,0.22036121405171594
702,0.24303831323202324
703,0.44913186502598335
704,0.3854753987541443
705,0.3924518951379391
706,0.3991443560566844
707,0.4625680605483689
708,0.36219642408259406
709,0.3961902820919743
710,0.5004283613297773
711,0.3154764128350258
712,0.2419836598978223
713,0.3109298466244471
714,0.5560072713323634
715,0.3302048829727119
716,0.3756322616247411
717,0.3820990121618224
718,0.46004269080683113
719,0.4134216045065316
720,0.32606703451906893
721,0.5632728649724663
722,0.35152337361350344
723,0.6068830361974247
724,0.24533542922210008
725,0.4624979150282092
726,0.30420031259611696
727,0.33445671566073826
728,0.33280836078287174
729,0.2963522785073448
730,0.4645452704239902
731,0.3799800246706494
732,0.3840469571848438
733,0.4762331920311522
