sample_index,n,candidate,maximum_pairwise_tree_tv,mean_target_tv,maximum_target_tv
34,20,partition_sum,1.6702134467139196e-16,8.491110014182308e-17,1.2685165418080402e-16
35,14,uniform_child,0.5972222222222222,0.28207671957671954,0.4821428571428571
35,14,descendant_count,3.469446951953614e-17,9.25185853854297e-18,3.469446951953614e-17
35,14,base_mass,1.1102230246251565e-16,8.876001785414663e-17,1.231653667943533e-16
35,14,mean_q_softmax,0.6255903798136235,0.39259980965575053,0.5463991502691098
35,14,mass_times_exp_mean_q,0.2544437077822754,0.12450959289252207,0.16228537162658324
35,14,partition_sum,1.0603497246908233e-16,4.50666703029808e-17,8.814563662307151e-17
36,23,uniform_child,0.6394675925925926,0.3820954106280192,0.47192028985507245
36,23,descendant_count,6.245004513516506e-17,1.214306433183765e-17,3.8163916471489756e-17
36,23,base_mass,1.1709383462843448e-16,7.994184018459786e-17,1.0148132334464322e-16
36,23,mean_q_softmax,0.7082105970458897,0.49078496411112044,0.5876821000869156
36,23,mass_times_exp_mean_q,0.21353132747893463,0.10963007862645542,0.15079293010736808
36,23,partition_sum,1.702197410802242e-16,7.296680620827445e-17,9.84455572616838e-17
37,18,uniform_child,0.734375,0.40740740740740744,0.5277777777777779
37,18,descendant_count,8.326672684688674e-17,2.544261098099317e-17,6.591949208711867e-17
37,18,base_mass,1.5439038936193583e-16,4.09105619751197e-17,1.1796119636642288e-16
37,18,mean_q_softmax,0.861042083479386,0.5607353480376126,0.7152818192151187
37,18,mass_times_exp_mean_q,0.34482815670598016,0.17938139867303735,0.30238259809894935
37,18,partition_sum,2.2898349882893854e-16,1.0845635732096663e-16,2.0231212538579513e-16
38,17,uniform_child,0.5104166666666666,0.2873774509803922,0.34558823529411764
38,17,descendant_count,7.979727989493313e-17,3.642919299551295e-17,5.204170427930421e-17
38,17,base_mass,5.551115123125783e-17,1.9081958235744878e-17,3.8163916471489756e-17
38,17,mean_q_softmax,0.5644660452126191,0.41924143227580163,0.5256117031248907
38,17,mass_times_exp_mean_q,0.32697021521199365,0.1828265559695437,0.24241561162068764
38,17,partition_sum,1.5222198501696482e-16,7.032858092189305e-17,8.413408858487514e-17
39,28,uniform_child,0.6358024691358025,0.3630952380952381,0.45634920634920634
39,28,descendant_count,8.326672684688674e-17,3.5850951836854015e-17,5.204170427930421e-17
39,28,base_mass,1.3183898417423734e-16,4.2789845740761244e-17,1.0234868508263162e-16
39,28,mean_q_softmax,0.7015567299151583,0.45694809177629053,0.6081499675387014
39,28,mass_times_exp_mean_q,0.21219199815126666,0.17951374273823376,0.2607358082095885
39,28,partition_sum,1.5482407023093003e-16,7.429495386956919e-17,1.3113425276212176e-16
40,14,uniform_child,0.7369791666666667,0.3951719576719577,0.4761904761904763
40,14,descendant_count,6.938893903907228e-17,3.122502256758253e-17,4.85722573273506e-17
40,14,base_mass,1.3183898417423734e-16,3.700743415417188e-17,1.0581813203458523e-16
40,14,mean_q_softmax,0.7673044373535758,0.4607138320771089,0.5638081083386116
40,14,mass_times_exp_mean_q,0.18622331843286857,0.09739941141096596,0.13467363459546597
40,14,partition_sum,1.1123914289701275e-16,4.380176776841438e-17,8.174884380540703e-17
41,26,uniform_child,0.5833333333333333,0.3591524216524217,0.483974358974359
41,26,descendant_count,8.326672684688674e-17,3.353798720221827e-17,8.326672684688674e-17
41,26,base_mass,1.7954387976359953e-16,8.673617379884035e-17,1.7954387976359953e-16
41,26,mean_q_softmax,0.7869667016699445,0.5096431133568996,0.6187571793929161
41,26,mass_times_exp_mean_q,0.3234147526666891,0.1941451748575442,0.27747171505177887
41,26,partition_sum,2.029355416349743e-16,1.1600963245594897e-16,1.942890293094024e-16
42,12,uniform_child,0.5625,0.2986111111111111,0.45833333333333337
42,12,descendant_count,9.020562075079397e-17,2.6599093298311043e-17,4.85722573273506e-17
42,12,base_mass,1.7433970933566911e-16,3.874215763014869e-17,9.367506770274758e-17
42,12,mean_q_softmax,0.6353438672481353,0.5231070694788738,0.6324796621831315
42,12,mass_times_exp_mean_q,0.14127281772609201,0.061395300791106916,0.0952705239593231
42,12,partition_sum,1.3205582460873444e-16,3.8163916471489756e-17,1.1698541441118593e-16
43,21,uniform_child,0.6614583333333334,0.38872354497354494,0.44047619047619047
43,21,descendant_count,3.469446951953614e-17,1.0408340855860843e-17,3.469446951953614e-17
43,21,base_mass,1.0495077029659683e-16,4.438000892707331e-17,8.933825901280557e-17
43,21,mean_q_softmax,0.7339989382618376,0.46102977094639946,0.5534811983086046
43,21,mass_times_exp_mean_q,0.2553455779951711,0.13790487924739311,0.18129145615447928
43,21,partition_sum,1.1015494072452725e-16,5.4354668913939954e-17,7.32920668600201e-17
44,6,uniform_child,0.41666666666666674,0.19444444444444442,0.3333333333333333
44,6,descendant_count,0.0,0.0,0.0
44,6,base_mass,1.1102230246251565e-16,3.0068540250264654e-17,9.020562075079397e-17
44,6,mean_q_softmax,0.6698901982804919,0.2988958302855152,0.47431600603184176
44,6,mass_times_exp_mean_q,0.4310865280847663,0.15277665316145603,0.3286543966449288
44,6,partition_sum,1.5612511283791264e-16,2.6309972718981573e-17,9.71445146547012e-17
45,19,uniform_child,0.6458333333333334,0.37810672514619886,0.4868421052631579
45,19,descendant_count,5.204170427930421e-17,1.0986582014519778e-17,3.469446951953614e-17
45,19,base_mass,1.5525775109992423e-16,3.570639154718928e-17,1.2750217548429532e-16
45,19,mean_q_softmax,0.7219956234181872,0.5231232139063581,0.6327101828833898
45,19,mass_times_exp_mean_q,0.47865856660614137,0.22680041318491986,0.31671091140430774
45,19,partition_sum,1.7791757650487128e-16,5.1120132432691534e-17,1.3845261742639892e-16
46,22,uniform_child,0.7500000000000001,0.401199494949495,0.5227272727272727
46,22,descendant_count,5.898059818321144e-17,4.5102810375396984e-17,5.204170427930421e-17
46,22,base_mass,1.1102230246251565e-16,6.042620107985878e-17,9.974659986866641e-17
46,22,mean_q_softmax,0.7594491393657908,0.535513575343262,0.7872493966159697
46,22,mass_times_exp_mean_q,0.27748702830634,0.1599366166519037,0.22389855743950512
46,22,partition_sum,2.038842185358991e-16,8.062850156050534e-17,1.0885389811754465e-16
47,11,uniform_child,0.6111111111111112,0.25441919191919193,0.4848484848484848
47,11,descendant_count,6.245004513516506e-17,4.625929269271486e-17,6.245004513516506e-17
47,11,base_mass,1.8388068845354155e-16,5.854691731421724e-17,1.0755285551056204e-16
47,11,mean_q_softmax,0.5553657494876507,0.22426988517825275,0.4190863930725768
47,11,mass_times_exp_mean_q,0.4952124132297964,0.1993039380269199,0.3979090848770007
47,11,partition_sum,1.4094628242311558e-16,3.830847676115449e-17,7.762887554996212e-17
48,19,uniform_child,0.6631944444444444,0.3435672514619883,0.4978070175438596
48,19,descendant_count,6.245004513516506e-17,1.3877787807814457e-17,6.245004513516506e-17
48,19,base_mass,9.454242944073599e-17,5.739043499689937e-17,1.0755285551056204e-16
48,19,mean_q_softmax,0.8713928957733963,0.5966114151297385,0.7703336312810966
48,19,mass_times_exp_mean_q,0.34709097315827736,0.2504969520761006,0.35891915918992434
48,19,partition_sum,1.710871028182126e-16,7.687896904732631e-17,1.0641444322945226e-16
49,8,uniform_child,0.5277777777777777,0.2708333333333333,0.41666666666666663
49,8,descendant_count,0.0,0.0,0.0
49,8,base_mass,1.8388068845354155e-16,4.4813689796067515e-17,1.0928757898653885e-16
49,8,mean_q_softmax,0.5670305314154134,0.4055783632732508,0.5537698866161195
49,8,mass_times_exp_mean_q,0.1749149105149724,0.06384761474903217,0.127352831788477
49,8,partition_sum,1.4094628242311558e-16,1.058904121794176e-16,1.682681771697503e-16
50,12,uniform_child,0.5625,0.27314814814814814,0.41666666666666674
