lambda,time_step,contraction,q_rademacher,q_three_point,q_gaussian_same_mean_variance,matched_null_difference,rademacher_gaussian_error,three_point_gaussian_error,nonincreasing_from_previous
0.5,19,0.025859791707247462,-0.24999999534189268,-0.24999999767089437,-0.25,2.329001685952292e-09,4.658107316535265e-09,2.3291056305829727e-09,True
0.5,20,0.021334328158479153,-0.2499999978420992,-0.24999999892103336,-0.25,1.078934164233658e-09,2.1579008024907864e-09,1.0789666382571284e-09,True
0.5,21,0.0176008207307453,-0.249999999000342,-0.2499999995001655,-0.25,4.998234881536945e-10,9.996579952709084e-10,4.998345071172139e-10,True
0.5,22,0.014520677102864874,-0.24999999953690516,-0.24999999976845072,-0.25,2.31545560502866e-10,4.630948402528645e-10,2.315492797499985e-10,True
0.5,23,0.01197955860986352,-0.2499999997854699,-0.2499999998927346,-0.25,1.0726469712452058e-10,2.1453008813843155e-10,1.0726539101391097e-10,True
0.5,24,0.009883135853137402,-0.24999999990061858,-0.2499999999503089,-0.25,4.969030742429936e-11,9.938141976029158e-11,4.9691112335992216e-11,True
0.5,25,0.008153587078838356,-0.2499999999539613,-0.24999999997698047,-0.25,2.3019169903548686e-11,4.6038700629580376e-11,2.301953072603169e-11,True
0.5,26,0.006726709340041644,-0.24999999997867253,-0.2499999999893364,-0.25,1.0663858684978322e-11,2.1327467569776104e-11,1.0663608884797782e-11,True
0.5,27,0.005549535205534356,-0.24999999999012013,-0.24999999999506015,-0.25,4.940020614796481e-12,9.879874696139268e-12,4.939854081342787e-12,True
0.5,28,0.004578366544565843,-0.2499999999954233,-0.2499999999977117,-0.25,2.2883916983573727e-12,4.5767001299878984e-12,2.2883084316305258e-12,True
0.5,29,0.0037771523992668208,-0.2499999999978798,-0.24999999999893985,-0.25,1.0600409439120995e-12,2.1201929101266614e-12,1.060151966214562e-12,True
0.5,30,0.003116150729395127,-0.2499999999990177,-0.24999999999950887,-0.25,4.911626660941693e-13,9.822975766127229e-13,4.911349105185536e-13,True
1.0,0,1.0,-0.4337808304830271,-0.4631626444166919,-0.5,0.02938181393366479,0.06621916951697288,0.036837355583308085,True
1.0,1,0.825,-0.46721475685498715,-0.48228651482882906,-0.5,0.015071757973841915,0.032785243145012855,0.01771348517117094,True
1.0,2,0.6806249999999999,-0.484055476698468,-0.4915744646758977,-0.5,0.007518987977429725,0.01594452330153201,0.008425535324102285,True
1.0,3,0.561515625,-0.4923515519317505,-0.4960239620258954,-0.5,0.0036724100941448734,0.0076484480682494915,0.003976037974104618,True
1.0,4,0.4632503906249999,-0.4963684492346777,-0.4981342796680727,-0.5,0.0017658304333950103,0.003631550765322289,0.0018657203319272786,True
1.0,5,0.3821815722656249,-0.4982884551981501,-0.4991280066668366,-0.5,0.0008395514686864725,0.0017115448018498736,0.0008719933331634011,True
1.0,6,0.3152997971191405,-0.4991976007799591,-0.49959358006599963,-0.5,0.00039597928604051535,0.0008023992200408836,0.00040641993400036824,True
1.0,7,0.26012233262329093,-0.4996252152781955,-0.49981093829255685,-0.5,0.00018572301436137195,0.00037478472180452194,0.00018906170744314998,True
1.0,8,0.214600924414215,-0.499825396512061,-0.49991216679428335,-0.5,8.677028222237038e-05,0.00017460348793901792,8.783320571664754e-05,True
1.0,9,0.17704576264172736,-0.4999188011308324,-0.4999592318825535,-0.5,4.043075172105448e-05,8.11988691675758e-05,4.076811744652131e-05,True
1.0,10,0.14606275417942507,-0.49996228493545575,-0.4999810890409683,-0.5,1.8804105512526537e-05,3.771506454425255e-05,1.8910959031726016e-05,True
