sample_index,absolute_closure_error
353,2.220446049250313e-16
354,2.220446049250313e-16
355,0.0
356,4.440892098500626e-16
357,0.0
358,4.163336342344337e-17
359,0.0
360,0.0
361,0.0
362,0.0
363,8.326672684688674e-17
364,1.1102230246251565e-16
365,0.0
366,0.0
367,0.0
368,1.1102230246251565e-16
369,0.0
370,4.440892098500626e-16
371,0.0
372,0.0
373,1.1102230246251565e-16
374,0.0
375,0.0
376,0.0
377,4.440892098500626e-16
378,0.0
379,4.440892098500626e-16
380,4.440892098500626e-16
381,2.220446049250313e-16
382,0.0
383,5.551115123125783e-17
384,0.0
385,0.0
386,1.3877787807814457e-17
387,0.0
388,0.0
389,2.220446049250313e-16
390,0.0
391,0.0
392,5.551115123125783e-17
393,0.0
394,0.0
395,1.1102230246251565e-16
396,5.551115123125783e-17
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,2.7755575615628914e-17
403,5.551115123125783e-17
404,1.1102230246251565e-16
405,1.1102230246251565e-16
406,3.3306690738754696e-16
407,0.0
408,2.220446049250313e-16
409,0.0
410,0.0
411,4.163336342344337e-17
412,1.3877787807814457e-17
413,1.1102230246251565e-16
414,0.0
415,0.0
416,1.3877787807814457e-17
417,0.0
418,0.0
419,0.0
420,5.551115123125783e-17
421,0.0
422,0.0
423,0.0
424,5.551115123125783e-17
425,5.551115123125783e-17
426,2.220446049250313e-16
427,0.0
428,0.0
429,0.0
430,1.3877787807814457e-17
431,2.220446049250313e-16
432,6.938893903907228e-18
433,5.551115123125783e-17
434,5.551115123125783e-17
435,0.0
436,1.1102230246251565e-16
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,4.440892098500626e-16
443,0.0
444,0.0
445,5.551115123125783e-17
446,1.1102230246251565e-16
447,0.0
448,1.1102230246251565e-16
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,1.1102230246251565e-16
455,5.551115123125783e-17
456,0.0
457,5.551115123125783e-17
458,0.0
459,8.673617379884035e-18
460,0.0
461,5.551115123125783e-17
462,0.0
463,0.0
464,0.0
465,2.220446049250313e-16
466,0.0
467,0.0
468,4.440892098500626e-16
469,1.1102230246251565e-16
470,0.0
471,2.7755575615628914e-17
472,1.1102230246251565e-16
473,0.0
474,2.220446049250313e-16
475,5.551115123125783e-17
476,0.0
477,2.220446049250313e-16
478,5.551115123125783e-17
479,4.440892098500626e-16
480,0.0
481,2.220446049250313e-16
482,0.0
483,4.440892098500626e-16
484,5.551115123125783e-17
485,0.0
486,0.0
487,0.0
488,0.0
489,2.220446049250313e-16
490,5.204170427930421e-18
491,1.1102230246251565e-16
492,0.0
493,0.0
494,5.551115123125783e-17
495,0.0
496,0.0
497,2.220446049250313e-16
498,2.7755575615628914e-17
499,0.0
500,0.0
501,0.0
502,1.3877787807814457e-17
503,0.0
504,0.0
505,0.0
506,2.220446049250313e-16
507,1.3877787807814457e-17
508,0.0
509,0.0
510,2.2551405187698492e-17
511,0.0
512,0.0
513,0.0
514,0.0
515,9.71445146547012e-17
516,1.1102230246251565e-16
517,0.0
518,1.5612511283791264e-17
519,0.0
520,4.440892098500626e-16
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,2.7755575615628914e-17
530,0.0
531,0.0
532,0.0
533,0.0
534,2.220446049250313e-16
535,0.0
536,0.0
