n,sample_index,model,relation_identical,order_measurable_q_identical,shared_random_q_identical,rank_gap_q_identical,coordinate_q_identical,coordinate_q_centered_rms_difference
32,75,power_anisotropic,True,True,True,True,False,0.18069469375249866
32,75,beta_skew,True,True,True,True,False,0.1877425277661926
32,76,power_anisotropic,True,True,True,True,False,0.19129617804470614
32,76,beta_skew,True,True,True,True,False,0.1874615504027724
32,77,power_anisotropic,True,True,True,True,False,0.2104940352777783
32,77,beta_skew,True,True,True,True,False,0.18923086495945401
32,78,power_anisotropic,True,True,True,True,False,0.20753118161107495
32,78,beta_skew,True,True,True,True,False,0.21029009118224914
32,79,power_anisotropic,True,True,True,True,False,0.2173493057328659
32,79,beta_skew,True,True,True,True,False,0.22659473719991463
32,80,power_anisotropic,True,True,True,True,False,0.1782037289918426
32,80,beta_skew,True,True,True,True,False,0.17808390518060047
32,81,power_anisotropic,True,True,True,True,False,0.21390428744407933
32,81,beta_skew,True,True,True,True,False,0.19310139235274584
32,82,power_anisotropic,True,True,True,True,False,0.1880535122715161
32,82,beta_skew,True,True,True,True,False,0.17640401070376086
32,83,power_anisotropic,True,True,True,True,False,0.18268984170089916
32,83,beta_skew,True,True,True,True,False,0.21150879290561483
32,84,power_anisotropic,True,True,True,True,False,0.2056345335728701
32,84,beta_skew,True,True,True,True,False,0.18893137471163832
32,85,power_anisotropic,True,True,True,True,False,0.2080038260748063
32,85,beta_skew,True,True,True,True,False,0.21162844325580144
32,86,power_anisotropic,True,True,True,True,False,0.182086880151411
32,86,beta_skew,True,True,True,True,False,0.21991909689745287
32,87,power_anisotropic,True,True,True,True,False,0.15475733962796978
32,87,beta_skew,True,True,True,True,False,0.1504482460753215
32,88,power_anisotropic,True,True,True,True,False,0.19043703862444594
32,88,beta_skew,True,True,True,True,False,0.17253656009147897
32,89,power_anisotropic,True,True,True,True,False,0.22310379805337227
32,89,beta_skew,True,True,True,True,False,0.2217556474703275
32,90,power_anisotropic,True,True,True,True,False,0.2332774299706177
32,90,beta_skew,True,True,True,True,False,0.2120478470804575
32,91,power_anisotropic,True,True,True,True,False,0.23689051211434392
32,91,beta_skew,True,True,True,True,False,0.20788315643550587
32,92,power_anisotropic,True,True,True,True,False,0.21459050903150959
32,92,beta_skew,True,True,True,True,False,0.20851216826668087
32,93,power_anisotropic,True,True,True,True,False,0.16694971964894303
32,93,beta_skew,True,True,True,True,False,0.1676147307821053
32,94,power_anisotropic,True,True,True,True,False,0.20567686773000668
32,94,beta_skew,True,True,True,True,False,0.2014594928306694
32,95,power_anisotropic,True,True,True,True,False,0.2270039365435427
32,95,beta_skew,True,True,True,True,False,0.19742962370839956
32,96,power_anisotropic,True,True,True,True,False,0.21277886080900602
32,96,beta_skew,True,True,True,True,False,0.18227330926518515
32,97,power_anisotropic,True,True,True,True,False,0.21419551793112243
32,97,beta_skew,True,True,True,True,False,0.19982921078659976
32,98,power_anisotropic,True,True,True,True,False,0.20531879238681042
32,98,beta_skew,True,True,True,True,False,0.18757096887268318
32,99,power_anisotropic,True,True,True,True,False,0.22380910075455604
32,99,beta_skew,True,True,True,True,False,0.20025402289015873
32,100,power_anisotropic,True,True,True,True,False,0.16664172008968156
32,100,beta_skew,True,True,True,True,False,0.1743631791618774
32,101,power_anisotropic,True,True,True,True,False,0.19519811144107693
32,101,beta_skew,True,True,True,True,False,0.20220599830990849
32,102,power_anisotropic,True,True,True,True,False,0.2153256558540279
32,102,beta_skew,True,True,True,True,False,0.1857814963903531
32,103,power_anisotropic,True,True,True,True,False,0.21252226935171492
32,103,beta_skew,True,True,True,True,False,0.2274448909107718
32,104,power_anisotropic,True,True,True,True,False,0.21210879531550014
32,104,beta_skew,True,True,True,True,False,0.1950768973620075
32,105,power_anisotropic,True,True,True,True,False,0.21029350721616422
32,105,beta_skew,True,True,True,True,False,0.20366745818303394
32,106,power_anisotropic,True,True,True,True,False,0.19051713641281887
32,106,beta_skew,True,True,True,True,False,0.1999558984118659
32,107,power_anisotropic,True,True,True,True,False,0.20622736778777506
32,107,beta_skew,True,True,True,True,False,0.20148673269642262
32,108,power_anisotropic,True,True,True,True,False,0.2221530713501784
32,108,beta_skew,True,True,True,True,False,0.1994240200374754
