sample_index,offset,effective_distance_scaling_relative_error,normalized_distance_invariance_error,centered_q_invariance_error
9,-2.0,4.586084110380134e-16,4.440892098500626e-16,4.440892098500626e-16
9,-0.5,3.606139366208698e-16,4.440892098500626e-16,2.220446049250313e-16
9,0.75,3.9385693651825527e-16,4.440892098500626e-16,1.1102230246251565e-16
9,1.6,4.874602908490141e-16,4.440892098500626e-16,2.220446049250313e-16
10,-2.0,3.7514506760572964e-16,6.661338147750939e-16,4.440892098500626e-16
10,-0.5,2.5567506142490934e-16,4.440892098500626e-16,1.1102230246251565e-16
10,0.75,3.9954785772456636e-16,4.440892098500626e-16,1.1102230246251565e-16
10,1.6,4.191726837410803e-16,6.661338147750939e-16,2.220446049250313e-16
11,-2.0,4.3370443419372284e-16,4.440892098500626e-16,2.3592239273284576e-16
11,-0.5,4.3015720165835886e-16,6.661338147750939e-16,1.1102230246251565e-16
11,0.75,3.7801996988613363e-16,4.440892098500626e-16,1.1102230246251565e-16
11,1.6,4.1219945531361034e-16,2.220446049250313e-16,2.220446049250313e-16
12,-2.0,5.269449889278664e-16,4.440892098500626e-16,4.440892098500626e-16
12,-0.5,3.042085643875568e-16,4.440892098500626e-16,2.220446049250313e-16
12,0.75,4.1555369734149807e-16,4.440892098500626e-16,2.220446049250313e-16
12,1.6,4.0279263479293664e-16,4.440892098500626e-16,2.220446049250313e-16
13,-2.0,4.355115206795231e-16,4.440892098500626e-16,3.3306690738754696e-16
13,-0.5,3.50015084342246e-16,2.220446049250313e-16,2.220446049250313e-16
13,0.75,3.513156230932088e-16,2.220446049250313e-16,2.220446049250313e-16
13,1.6,3.882966727427861e-16,4.440892098500626e-16,4.440892098500626e-16
14,-2.0,4.1129492885952493e-16,8.881784197001252e-16,3.3306690738754696e-16
14,-0.5,3.131262180168985e-16,4.440892098500626e-16,2.220446049250313e-16
14,0.75,4.034194182896672e-16,4.440892098500626e-16,2.220446049250313e-16
14,1.6,3.822827648822932e-16,4.440892098500626e-16,3.3306690738754696e-16
15,-2.0,4.355731644184215e-16,1.1102230246251565e-15,2.7755575615628914e-16
15,-0.5,3.1765917438025304e-16,4.440892098500626e-16,2.220446049250313e-16
15,0.75,3.419964446494968e-16,4.440892098500626e-16,2.220446049250313e-16
15,1.6,3.5699277620117996e-16,6.661338147750939e-16,2.7755575615628914e-16
16,-2.0,4.234671638339422e-16,4.440892098500626e-16,4.996003610813204e-16
16,-0.5,2.184416145152024e-16,4.440892098500626e-16,1.1102230246251565e-16
16,0.75,4.028956547864819e-16,4.440892098500626e-16,1.6653345369377348e-16
16,1.6,3.648045264100947e-16,4.440892098500626e-16,4.440892098500626e-16
17,-2.0,3.8396677512015865e-16,8.881784197001252e-16,3.885780586188048e-16
17,-0.5,3.456751789011066e-16,6.661338147750939e-16,2.220446049250313e-16
17,0.75,3.836617857614429e-16,4.440892098500626e-16,2.220446049250313e-16
17,1.6,3.386411819515204e-16,4.440892098500626e-16,3.3306690738754696e-16
18,-2.0,4.3891006213902194e-16,6.661338147750939e-16,4.440892098500626e-16
