sample_index,initial_offset,initial_mean_gap,final_mean_gap,maximum_centered_trajectory_error,maximum_constant_mode_change_error
41,1.3281912113435332,1.3281912113435332,1.3281912113435332,8.881784197001252e-16,2.220446049250313e-16
42,-1.1559166517387105,-1.1559166517387103,-1.1559166517387105,6.661338147750939e-16,4.440892098500626e-16
43,-1.0943242604309176,-1.0943242604309176,-1.0943242604309176,7.771561172376096e-16,2.220446049250313e-16
44,-2.2716239040805375,-2.2716239040805375,-2.2716239040805375,1.0269562977782698e-15,4.440892098500626e-16
45,-1.6767037731005978,-1.6767037731005978,-1.6767037731005978,7.771561172376096e-16,4.440892098500626e-16
46,1.864389653959452,1.8643896539594522,1.864389653959452,7.771561172376096e-16,4.440892098500626e-16
47,-1.3169950750170953,-1.3169950750170953,-1.3169950750170953,6.661338147750939e-16,2.220446049250313e-16
48,-0.6473091693179986,-0.6473091693179986,-0.6473091693179988,4.440892098500626e-16,1.1102230246251565e-16
49,1.175750917270805,1.1757509172708052,1.1757509172708052,5.273559366969494e-16,2.220446049250313e-16
50,2.713176565649783,2.7131765656497833,2.7131765656497833,1.1934897514720433e-15,8.881784197001252e-16
51,-2.083872156515727,-2.083872156515727,-2.0838721565157265,1.1162945567910754e-15,4.440892098500626e-16
52,2.8882186832452437,2.8882186832452437,2.8882186832452437,1.1379786002407855e-15,4.440892098500626e-16
53,1.6717371662876586,1.6717371662876583,1.6717371662876588,7.771561172376096e-16,4.440892098500626e-16
54,2.5878367719305917,2.587836771930591,2.5878367719305917,1.5404344466674047e-15,1.3322676295501878e-15
55,-2.1405817095404513,-2.1405817095404513,-2.140581709540452,1.0130785099704553e-15,4.440892098500626e-16
56,-2.090904145581413,-2.0909041455814124,-2.0909041455814137,1.4432899320127035e-15,1.3322676295501878e-15
57,-1.9986981729573299,-1.99869817295733,-1.9986981729573297,9.992007221626409e-16,4.440892098500626e-16
58,-2.3361612753511816,-2.3361612753511816,-2.3361612753511816,9.298117831235686e-16,4.440892098500626e-16
59,-0.6538320049188115,-0.6538320049188117,-0.6538320049188115,6.661338147750939e-16,2.220446049250313e-16
60,2.3253987089479047,2.3253987089479047,2.3253987089479047,1.259409243559162e-15,4.440892098500626e-16
61,1.890085302781415,1.8900853027814153,1.8900853027814153,9.43689570931383e-16,4.440892098500626e-16
62,0.9434350763616948,0.9434350763616947,0.9434350763616948,5.551115123125783e-16,3.3306690738754696e-16
63,-0.8846640900313631,-0.884664090031363,-0.884664090031363,6.661338147750939e-16,1.1102230246251565e-16
64,-1.3355241668720557,-1.3355241668720557,-1.3355241668720557,6.661338147750939e-16,2.220446049250313e-16
65,-0.8067097573939392,-0.8067097573939394,-0.8067097573939394,4.440892098500626e-16,2.220446049250313e-16
66,1.7909817318612893,1.7909817318612895,1.7909817318612893,6.661338147750939e-16,2.220446049250313e-16
67,0.5019739072237916,0.5019739072237916,0.5019739072237916,4.440892098500626e-16,1.1102230246251565e-16
68,1.4117266184577169,1.4117266184577166,1.4117266184577166,7.771561172376096e-16,2.220446049250313e-16
69,1.9814844695222424,1.9814844695222424,1.9814844695222424,9.992007221626409e-16,2.220446049250313e-16
70,-2.0250092508975746,-2.0250092508975746,-2.0250092508975746,8.951173136040325e-16,4.440892098500626e-16
71,-0.6365416468176917,-0.6365416468176918,-0.6365416468176918,4.440892098500626e-16,2.220446049250313e-16
72,0.7488209942311901,0.7488209942311902,0.7488209942311901,5.551115123125783e-16,2.220446049250313e-16
73,2.5899490206442994,2.5899490206442994,2.5899490206442994,1.1102230246251565e-15,4.440892098500626e-16
