n,family,sample_index,q_score,p_value,compatible_at_alpha,hellinger_squared,ordering_fraction,target_ordering_fraction,ordering_fraction_mismatch,perturbation_fraction,profile_m0,profile_m1,profile_m2,profile_m3,profile_m4,profile_m5
96,cover_deletion,37,41.132800747546966,0.3745019920318725,True,0.006437607587680083,0.4807017543859649,,0.0,0.0,0.13777372262773724,0.0926094890510949,0.07983576642335767,0.0625,0.05337591240875912,0.0552007299270073
96,cover_deletion,38,58.73007973086169,0.0398406374501992,False,0.006998857248877832,0.5,,0.0,0.0,0.12631578947368421,0.09473684210526316,0.07850877192982456,0.060087719298245613,0.06140350877192982,0.04780701754385965
96,cover_deletion,39,36.424573627850506,0.549800796812749,True,0.005165643938118358,0.5006578947368421,,0.0,0.0,0.1287779237844941,0.09636443276390715,0.08585194918966273,0.05562855891371003,0.05519053876478318,0.045116075339465614
96,cover_deletion,40,45.740780715936076,0.22709163346613545,True,0.009624187339892565,0.4587719298245614,,0.0,0.0,0.14244741873804972,0.11854684512428298,0.09082217973231357,0.058317399617590825,0.061663479923518165,0.039674952198852774
96,cover_deletion,41,39.70792315740279,0.450199203187251,True,0.0063775082755229695,0.5307017543859649,,0.0,0.0,0.1305785123966942,0.0896694214876033,0.07024793388429752,0.06652892561983471,0.052479338842975204,0.04628099173553719
96,cover_deletion,42,27.313177881343634,0.8645418326693227,True,0.0037162491192674896,0.49100877192982456,,0.0,0.0,0.13934792317999106,0.08977221974095578,0.07503349709691827,0.06520768200089326,0.059401518535060295,0.04108977221974096
96,cover_deletion,43,28.29259291735931,0.848605577689243,True,0.0039905931905853675,0.5287280701754385,,0.0,0.0,0.11945250933222729,0.0916632102861883,0.06802156781418499,0.05391953546246371,0.05640812940688511,0.044379925342181666
96,cover_deletion,44,22.605487000163315,0.9641434262948207,True,0.004214091228665895,0.5125,,0.0,0.0,0.1305091998288404,0.0928540864356012,0.08301240907145914,0.055198973042362,0.05220367993153616,0.05263157894736842
96,cover_deletion,45,27.810699151226885,0.8565737051792829,True,0.00796609078015198,0.5638157894736842,,0.0,0.0,0.11940879035394789,0.08829249319330999,0.06962271489692727,0.059509918319719954,0.051341890315052506,0.054064566316608324
96,cover_deletion,46,22.996598932861158,0.9601593625498008,True,0.00576354823970382,0.49714912280701756,,0.0,0.0,0.12483458314953683,0.0952801058667843,0.08601676224084694,0.06263784737538597,0.06484340538156154,0.049845610939567714
