n,family,sample_index,q_score,p_value,compatible_at_alpha,hellinger_squared,ordering_fraction,target_ordering_fraction,ordering_fraction_mismatch,perturbation_fraction,profile_m0,profile_m1,profile_m2,profile_m3,profile_m4,profile_m5
96,minkowski_holdout,52,28.31052934275961,0.848605577689243,True,0.005901780844671745,0.5410087719298246,,0.0,0.0,0.1114714227807053,0.09282529387920552,0.07215241183623834,0.061207944872314554,0.05472233481961897,0.04945277665180381
96,minkowski_holdout,53,38.09736340601309,0.4820717131474104,True,0.007238183074880111,0.4804824561403509,,0.0,0.0,0.14376996805111822,0.09812870835235052,0.0848927430397079,0.06983112733911456,0.058877225011410315,0.05476951163852122
96,minkowski_holdout,54,40.03842716363046,0.43824701195219123,True,0.006074659093920021,0.4725877192982456,,0.0,0.0,0.14385150812064965,0.08538283062645012,0.07470997679814385,0.06728538283062645,0.05754060324825986,0.041299303944315545
96,minkowski_holdout,55,31.670995941530645,0.7051792828685259,True,0.005687444507231687,0.5096491228070176,,0.0,0.0,0.12779690189328743,0.09380378657487091,0.07013769363166954,0.06454388984509467,0.04948364888123924,0.04345955249569707
96,minkowski_holdout,56,43.17544536822291,0.3187250996015936,True,0.009418677042524637,0.4870614035087719,,0.0,0.0,0.13912651958577218,0.1044574515983791,0.07023863124718595,0.06978838361098605,0.053579468707789284,0.05042773525438991
96,minkowski_holdout,57,23.824559081502095,0.9482071713147411,True,0.005560145276172546,0.5153508771929824,,0.0,0.0,0.12680851063829787,0.09489361702127659,0.06808510638297872,0.06042553191489362,0.05829787234042553,0.04893617021276596
96,minkowski_holdout,58,34.92651777599346,0.601593625498008,True,0.005854424950340054,0.5129385964912281,,0.0,0.0,0.12825994014536127,0.0880718255664814,0.08165882855921335,0.06156477126977341,0.05771697306541257,0.052159042325780246
96,minkowski_holdout,59,36.27459682899013,0.549800796812749,True,0.0055305242328096416,0.556359649122807,,0.0,0.0,0.12495072920772567,0.08829325975561687,0.06661411115490737,0.06385494678754434,0.04572329523058731,0.046511627906976744
96,minkowski_holdout,60,49.93180731958508,0.1394422310756972,True,0.007040325911900958,0.46403508771929824,,0.0,0.0,0.138468809073724,0.10916824196597354,0.08979206049149338,0.06001890359168242,0.057655954631379965,0.048676748582230624
96,minkowski_holdout,61,35.155302563419774,0.5936254980079682,True,0.005190935650835393,0.5208333333333334,,0.0,0.0,0.13010526315789472,0.08673684210526315,0.08126315789473684,0.06568421052631579,0.053894736842105266,0.04042105263157895
96,minkowski_holdout,62,52.67335838946584,0.099601593625498,True,0.010548728345918912,0.4532894736842105,,0.0,0.0,0.16739235607160136,0.10208030962747944,0.09482341557813256,0.07208514755684567,0.05128205128205128,0.05805515239477504
96,minkowski_holdout,63,17.273784148747232,1.0,True,0.003973689729422469,0.5072368421052632,,0.0,0.0,0.13575443147427582,0.09684392563769996,0.08041504539559015,0.06744487678339818,0.05533938607868569,0.04928664072632944
96,minkowski_holdout,64,53.280690088691465,0.09163346613545817,True,0.006264162988967148,0.5462719298245614,,0.0,0.0,0.13006824568446407,0.07868325973504617,0.07065435568044962,0.06382978723404255,0.05098354074668808,0.05058209554395825
96,minkowski_holdout,65,34.781305166065025,0.6095617529880478,True,0.005368636699495277,0.4817982456140351,,0.0,0.0,0.135184342284934,0.09103322712790168,0.08329540282203005,0.06326809285389166,0.055530268548020026,0.04642694583522986
96,minkowski_holdout,66,45.001571448336634,0.250996015936255,True,0.004688526318034292,0.5179824561403509,,0.0,0.0,0.12489415749364945,0.08890770533446232,0.07662997459779848,0.06223539373412362,0.04657070279424217,0.04784081287044877
96,minkowski_holdout,67,33.698362489292464,0.6294820717131474,True,0.005464396590101006,0.5666666666666667,,0.0,0.0,0.1153250773993808,0.08475232198142414,0.05804953560371517,0.0684984520123839,0.05108359133126935,0.0456656346749226
96,minkowski_holdout,68,42.348780160156764,0.32669322709163345,True,0.006119171773811605,0.5276315789473685,,0.0,0.0,0.13632585203657524,0.09226932668329177,0.06982543640897755,0.057356608478802994,0.051537822111388194,0.04488778054862843
96,minkowski_holdout,69,33.99012882851577,0.6294820717131474,True,0.006769350689871612,0.5184210526315789,,0.0,0.0,0.13028764805414553,0.08333333333333333,0.08164128595600677,0.06725888324873096,0.05203045685279188,0.051184433164128594
96,minkowski_holdout,70,45.093477703763654,0.250996015936255,True,0.006921535968878123,0.49451754385964913,,0.0,0.0,0.1303769401330377,0.10909090909090909,0.07095343680709534,0.056762749445676275,0.05277161862527716,0.05277161862527716
96,minkowski_holdout,71,25.245497772442498,0.9083665338645418,True,0.00670874904322849,0.4903508771929825,,0.0,0.0,0.13014311270125223,0.10599284436493739,0.08139534883720931,0.05858676207513417,0.049194991055456175,0.046511627906976744
