sample_index,lambda,closure_probability_error
112,2.0,1.6653345369377348e-16
113,0.5,5.551115123125783e-17
113,1.0,8.326672684688674e-17
113,2.0,5.551115123125783e-17
114,0.5,5.551115123125783e-17
114,1.0,1.1102230246251565e-16
114,2.0,1.1102230246251565e-16
115,0.5,5.551115123125783e-17
115,1.0,2.7755575615628914e-17
115,2.0,5.551115123125783e-17
116,0.5,5.551115123125783e-17
116,1.0,5.551115123125783e-17
116,2.0,1.1102230246251565e-16
117,0.5,2.7755575615628914e-17
117,1.0,2.7755575615628914e-17
117,2.0,1.3877787807814457e-17
118,0.5,5.551115123125783e-17
118,1.0,5.551115123125783e-17
118,2.0,5.551115123125783e-17
119,0.5,5.551115123125783e-17
119,1.0,2.7755575615628914e-17
119,2.0,1.1102230246251565e-16
120,0.5,8.326672684688674e-17
120,1.0,5.551115123125783e-17
120,2.0,1.1102230246251565e-16
121,0.5,2.7755575615628914e-17
121,1.0,1.6653345369377348e-16
121,2.0,1.1102230246251565e-16
122,0.5,5.551115123125783e-17
122,1.0,5.551115123125783e-17
122,2.0,1.1102230246251565e-16
123,0.5,2.7755575615628914e-17
123,1.0,2.7755575615628914e-17
123,2.0,5.551115123125783e-17
124,0.5,5.551115123125783e-17
124,1.0,5.551115123125783e-17
124,2.0,5.551115123125783e-17
125,0.5,2.7755575615628914e-17
125,1.0,5.551115123125783e-17
125,2.0,2.7755575615628914e-17
126,0.5,5.551115123125783e-17
126,1.0,1.1102230246251565e-16
126,2.0,1.1102230246251565e-16
127,0.5,5.551115123125783e-17
127,1.0,1.1102230246251565e-16
127,2.0,1.6653345369377348e-16
128,0.5,2.7755575615628914e-17
128,1.0,5.551115123125783e-17
128,2.0,5.551115123125783e-17
129,0.5,2.7755575615628914e-17
129,1.0,5.551115123125783e-17
129,2.0,5.551115123125783e-17
130,0.5,5.551115123125783e-17
130,1.0,5.551115123125783e-17
130,2.0,1.1102230246251565e-16
131,0.5,5.551115123125783e-17
131,1.0,5.551115123125783e-17
131,2.0,1.1102230246251565e-16
132,0.5,1.1102230246251565e-16
132,1.0,5.551115123125783e-17
132,2.0,1.3877787807814457e-17
133,0.5,5.551115123125783e-17
133,1.0,5.551115123125783e-17
133,2.0,1.1102230246251565e-16
134,0.5,5.551115123125783e-17
134,1.0,5.551115123125783e-17
134,2.0,3.469446951953614e-17
135,0.5,8.326672684688674e-17
135,1.0,5.551115123125783e-17
135,2.0,8.326672684688674e-17
136,0.5,5.551115123125783e-17
136,1.0,5.551115123125783e-17
136,2.0,1.1102230246251565e-16
137,0.5,2.7755575615628914e-17
137,1.0,5.551115123125783e-17
