lambda_true,dataset_index,lambda_estimate,estimation_error,optimizer_success
1.0,100,1.0041617248756682,0.004161724875668238,True
1.0,101,0.996328151346859,-0.0036718486531409633,True
1.0,102,0.9976993241642155,-0.002300675835784527,True
1.0,103,1.000501161710268,0.0005011617102679278,True
1.0,104,0.9944986504385502,-0.005501349561449764,True
1.0,105,1.0038009724240458,0.0038009724240457565,True
1.0,106,0.9999048390140877,-9.51609859123348e-05,True
1.0,107,0.9972303982930736,-0.0027696017069264167,True
1.0,108,1.0076113992946536,0.007611399294653598,True
1.0,109,0.9982796133859071,-0.0017203866140929058,True
1.0,110,1.00200327151952,0.0020032715195199557,True
1.0,111,1.000711896367961,0.0007118963679610957,True
1.0,112,1.0095507103986394,0.009550710398639417,True
1.0,113,1.0023166865692634,0.0023166865692634264,True
1.0,114,1.0009435352666554,0.0009435352666553598,True
1.0,115,1.0015393847284553,0.001539384728455273,True
1.0,116,0.9981948208634127,-0.0018051791365872871,True
1.0,117,1.0009754787998124,0.0009754787998124126,True
1.0,118,0.9916600723638213,-0.008339927636178746,True
1.0,119,0.9979035583632493,-0.002096441636750712,True
2.0,0,2.000059734724285,5.9734724285220864e-05,True
2.0,1,1.9943868573233101,-0.005613142676689886,True
2.0,2,2.0050268028575307,0.0050268028575306545,True
2.0,3,2.003527591107495,0.0035275911074950095,True
2.0,4,2.015498475518508,0.015498475518508137,True
2.0,5,1.9970428139353031,-0.0029571860646968595,True
2.0,6,2.0067077117139105,0.006707711713910491,True
2.0,7,1.9971769800272061,-0.002823019972793883,True
2.0,8,1.995831310283083,-0.0041686897169170845,True
2.0,9,1.9874912036055494,-0.012508796394450572,True
2.0,10,1.9910284986432485,-0.00897150135675151,True
2.0,11,2.0157580378274025,0.015758037827402482,True
2.0,12,2.009118582904966,0.009118582904966033,True
2.0,13,1.9909142616521842,-0.009085738347815786,True
2.0,14,2.0077041193941096,0.007704119394109643,True
2.0,15,2.003527624987873,0.003527624987873068,True
2.0,16,2.0002050940118905,0.00020509401189050536,True
2.0,17,1.994013797131472,-0.005986202868528023,True
2.0,18,1.9965254193918822,-0.0034745806081177832,True
2.0,19,2.0078567084036965,0.007856708403696455,True
2.0,20,1.9955673261425444,-0.004432673857455605,True
2.0,21,2.011434157796678,0.01143415779667789,True
2.0,22,2.0050906487309863,0.0050906487309863024,True
2.0,23,2.0012406395128184,0.0012406395128183867,True
2.0,24,2.0013775488771275,0.001377548877127488,True
2.0,25,2.0073340622912643,0.0073340622912643205,True
2.0,26,2.010060754084897,0.010060754084896928,True
2.0,27,2.0129284293267484,0.012928429326748425,True
2.0,28,2.004219799800565,0.004219799800564861,True
2.0,29,2.0215952685780465,0.0215952685780465,True
2.0,30,2.00120189793095,0.0012018979309500466,True
2.0,31,2.005626854915189,0.005626854915189217,True
2.0,32,1.9817852974070136,-0.01821470259298641,True
2.0,33,1.9992771743377855,-0.000722825662214488,True
2.0,34,1.991674934854086,-0.008325065145913912,True
2.0,35,2.005004398247101,0.005004398247101083,True
2.0,36,2.015872028666372,0.01587202866637183,True
2.0,37,1.9919849078484764,-0.008015092151523628,True
2.0,38,1.996945923627516,-0.0030540763724840048,True
2.0,39,2.0123439832775136,0.012343983277513626,True
2.0,40,2.0191902747205615,0.01919027472056145,True
2.0,41,2.005558235537527,0.00555823553752699,True
2.0,42,1.9963529368903254,-0.003647063109674553,True
2.0,43,2.009266165836713,0.009266165836713025,True
2.0,44,2.005062224462271,0.005062224462271114,True
2.0,45,1.9924641480604186,-0.007535851939581395,True
2.0,46,2.0013122860706454,0.0013122860706453743,True
2.0,47,2.006958335714155,0.006958335714155162,True
2.0,48,1.9987974093912597,-0.0012025906087402838,True
2.0,49,1.9987587105982887,-0.0012412894017113096,True
2.0,50,1.9943334185567776,-0.005666581443222407,True
2.0,51,1.984147382180221,-0.01585261781977909,True
2.0,52,2.0040150618438926,0.004015061843892553,True
2.0,53,2.017769706853479,0.017769706853478784,True
2.0,54,2.0022425211813673,0.002242521181367252,True
2.0,55,1.9908147518734052,-0.009185248126594825,True
2.0,56,2.0149227195475397,0.014922719547539653,True
2.0,57,1.9981559525235701,-0.0018440474764298553,True
2.0,58,2.004490144346289,0.004490144346288805,True
2.0,59,1.9850128761598738,-0.014987123840126237,True
2.0,60,2.0058870191945486,0.005887019194548593,True
2.0,61,1.9915401322532773,-0.008459867746722693,True
2.0,62,1.9922484274462464,-0.007751572553753583,True
2.0,63,1.9861427498215158,-0.01385725017848416,True
2.0,64,1.9985687920137494,-0.0014312079862506266,True
2.0,65,2.001202389104368,0.0012023891043679846,True
2.0,66,2.010302434736559,0.010302434736559007,True
2.0,67,2.009210538739905,0.009210538739905072,True
2.0,68,2.0124322381613235,0.01243223816132355,True
2.0,69,2.0074954034181687,0.007495403418168678,True
2.0,70,2.0004773312145976,0.0004773312145975872,True
2.0,71,1.9976794064880459,-0.0023205935119541277,True
2.0,72,1.9892820974591516,-0.010717902540848367,True
2.0,73,2.0091573231113093,0.009157323111309346,True
2.0,74,1.9944526947506942,-0.005547305249305801,True
2.0,75,1.9882064468262826,-0.011793553173717441,True
2.0,76,1.9999795376933633,-2.0462306636659378e-05,True
2.0,77,1.989088864092995,-0.010911135907005098,True
2.0,78,1.988289457148284,-0.01171054285171591,True
2.0,79,1.9911911429344211,-0.008808857065578879,True
2.0,80,2.016877675716627,0.016877675716627127,True
2.0,81,2.009806314290163,0.009806314290162987,True
2.0,82,2.0151866701784757,0.015186670178475747,True
2.0,83,1.9860587721972152,-0.013941227802784839,True
2.0,84,1.997027741990671,-0.0029722580093289874,True
2.0,85,1.9992668942594334,-0.0007331057405666197,True
2.0,86,1.999267154325691,-0.0007328456743089795,True
2.0,87,2.003280990206598,0.003280990206597778,True
2.0,88,2.0019151976150527,0.001915197615052655,True
2.0,89,2.019044900654593,0.01904490065459319,True
2.0,90,1.992207910623236,-0.007792089376764011,True
2.0,91,2.004391725491468,0.004391725491467824,True
2.0,92,2.0047932700416564,0.004793270041656417,True
2.0,93,2.001195859044654,0.001195859044654135,True
2.0,94,2.0035396907686307,0.003539690768630699,True
2.0,95,1.9945723558402353,-0.005427644159764711,True
2.0,96,1.996132443298466,-0.0038675567015340473,True
2.0,97,1.993057875320965,-0.0069421246790351,True
2.0,98,2.0002803916606697,0.0002803916606697321,True
2.0,99,2.005212980789749,0.005212980789749189,True
2.0,100,1.9874735269698556,-0.012526473030144425,True
2.0,101,2.0006627731992785,0.0006627731992785435,True
2.0,102,1.9963321563875942,-0.0036678436124057967,True
2.0,103,2.0033016524288594,0.0033016524288593807,True
2.0,104,2.0030296606929334,0.0030296606929334224,True
2.0,105,1.9989399497584386,-0.0010600502415614166,True
2.0,106,1.9931855121214264,-0.0068144878785736385,True
2.0,107,2.019196983195406,0.01919698319540597,True
2.0,108,1.9999136351732354,-8.636482676460666e-05,True
2.0,109,2.0017072628052177,0.001707262805217713,True
2.0,110,1.9982723617398073,-0.001727638260192732,True
2.0,111,1.9990154636987834,-0.000984536301216643,True
2.0,112,2.005443115298019,0.005443115298019219,True
2.0,113,2.0101364588866404,0.010136458886640387,True
2.0,114,1.9857287436852311,-0.014271256314768888,True
2.0,115,2.0019863485585594,0.001986348558559392,True
2.0,116,1.9952286761549285,-0.004771323845071507,True
2.0,117,2.0021064659170014,0.0021064659170013655,True
2.0,118,1.9932630750290288,-0.006736924970971225,True
2.0,119,1.9957447014746073,-0.004255298525392748,True
