sample_index,lambda_first,lambda_second,macro_probability_total_variation
132,0.5,1.0,0.10414821041370297
132,0.5,2.0,0.31013599105957346
132,1.0,2.0,0.23943529832146793
133,0.5,1.0,0.08364435539348455
133,0.5,2.0,0.23240673322088318
133,1.0,2.0,0.16313340144447325
134,0.5,1.0,0.12239292716057604
134,0.5,2.0,0.4247805348282052
134,1.0,2.0,0.3128886751154471
135,0.5,1.0,0.1222371362655325
135,0.5,2.0,0.390563440957041
135,1.0,2.0,0.2760122782331108
136,0.5,1.0,0.12507116139042304
136,0.5,2.0,0.31826466406129555
136,1.0,2.0,0.19936452947507805
137,0.5,1.0,0.10946263034148061
137,0.5,2.0,0.39950638866141863
137,1.0,2.0,0.3014682423515589
138,0.5,1.0,0.08827787071353455
138,0.5,2.0,0.26814135162471253
138,1.0,2.0,0.17986348091117801
139,0.5,1.0,0.14865299917206776
139,0.5,2.0,0.4169978125866689
139,1.0,2.0,0.2683448134146011
140,0.5,1.0,0.10585593436678206
140,0.5,2.0,0.3385321349364132
140,1.0,2.0,0.25078068167033385
141,0.5,1.0,0.03901657696002342
141,0.5,2.0,0.15943238740180843
141,1.0,2.0,0.12041581044178498
142,0.5,1.0,0.03972042693216854
142,0.5,2.0,0.21729365616254057
142,1.0,2.0,0.18285769649456654
143,0.5,1.0,0.08111126354452398
143,0.5,2.0,0.28883936228806467
143,1.0,2.0,0.2077280987435407
144,0.5,1.0,0.12085975784457882
144,0.5,2.0,0.46702286338294047
144,1.0,2.0,0.37407373087657253
145,0.5,1.0,0.22193965677579597
145,0.5,2.0,0.6203888694373583
145,1.0,2.0,0.3984492126615623
146,0.5,1.0,0.13776507027700508
146,0.5,2.0,0.4812184703941762
146,1.0,2.0,0.35094416237840936
147,0.5,1.0,0.05252806178496208
147,0.5,2.0,0.2295834647303969
147,1.0,2.0,0.1848435019686595
148,0.5,1.0,0.07740910212326826
148,0.5,2.0,0.25194408827330594
148,1.0,2.0,0.19099237029158905
149,0.5,1.0,0.185829145562099
149,0.5,2.0,0.6205364073005335
149,1.0,2.0,0.43470726173843444
150,0.5,1.0,0.06439483968026494
150,0.5,2.0,0.1897049979101274
150,1.0,2.0,0.12766180346233336
151,0.5,1.0,0.12486694825239092
151,0.5,2.0,0.32565654355421664
151,1.0,2.0,0.22017144881484868
152,0.5,1.0,0.09247189854561724
152,0.5,2.0,0.37952444629144594
152,1.0,2.0,0.29551835936951004
153,0.5,1.0,0.15692456445934663
153,0.5,2.0,0.5019644360190667
153,1.0,2.0,0.34809692185726393
154,0.5,1.0,0.06667483825021506
154,0.5,2.0,0.1716411494850219
154,1.0,2.0,0.12887859617431188
155,0.5,1.0,0.13061347144652424
155,0.5,2.0,0.4398843572223697
155,1.0,2.0,0.31341215625799335
156,0.5,1.0,0.12235464392268582
156,0.5,2.0,0.364873516487175
156,1.0,2.0,0.24251887256448917
157,0.5,1.0,0.049503578830384906
157,0.5,2.0,0.14256587436265594
157,1.0,2.0,0.09306229553227104
158,0.5,1.0,0.08839486285947133
158,0.5,2.0,0.21668369582207944
158,1.0,2.0,0.12828883296260812
159,0.5,1.0,0.1315275813984112
159,0.5,2.0,0.379727786300579
159,1.0,2.0,0.24820020490216782
160,0.5,1.0,0.13346227797403046
