sample_index,maximum_z_invariance_error
251,2.220446049250313e-16
252,4.440892098500626e-16
253,6.661338147750939e-16
254,4.440892098500626e-16
255,4.440892098500626e-16
256,2.220446049250313e-16
257,5.551115123125783e-17
258,2.220446049250313e-16
259,8.881784197001252e-16
260,1.1102230246251565e-16
261,2.220446049250313e-16
262,2.7755575615628914e-16
263,2.220446049250313e-16
264,4.440892098500626e-16
265,2.220446049250313e-16
266,2.220446049250313e-16
267,2.220446049250313e-16
268,4.440892098500626e-16
269,7.771561172376096e-16
270,4.440892098500626e-16
271,4.440892098500626e-16
272,4.440892098500626e-16
273,5.551115123125783e-17
274,4.440892098500626e-16
275,7.771561172376096e-16
276,6.661338147750939e-16
277,2.220446049250313e-16
278,4.440892098500626e-16
279,5.551115123125783e-16
280,6.661338147750939e-16
281,2.220446049250313e-16
282,3.3306690738754696e-16
283,2.220446049250313e-16
284,4.440892098500626e-16
285,4.440892098500626e-16
286,2.220446049250313e-16
287,2.220446049250313e-16
288,7.771561172376096e-16
289,4.440892098500626e-16
290,2.220446049250313e-16
291,4.440892098500626e-16
292,2.220446049250313e-16
293,5.551115123125783e-17
294,2.220446049250313e-16
295,8.326672684688674e-16
296,4.440892098500626e-16
297,2.220446049250313e-16
298,2.220446049250313e-16
299,2.220446049250313e-16
300,4.440892098500626e-16
301,6.036837696399289e-16
302,4.440892098500626e-16
303,2.220446049250313e-16
304,2.220446049250313e-16
305,2.220446049250313e-16
306,2.220446049250313e-16
307,2.220446049250313e-16
308,5.551115123125783e-16
309,4.440892098500626e-16
310,4.440892098500626e-16
311,4.440892098500626e-16
312,4.440892098500626e-16
313,2.220446049250313e-16
314,2.220446049250313e-16
315,2.3592239273284576e-16
316,2.220446049250313e-16
317,2.498001805406602e-16
318,2.220446049250313e-16
319,2.220446049250313e-16
320,7.216449660063518e-16
321,4.440892098500626e-16
322,4.440892098500626e-16
323,2.220446049250313e-16
324,2.220446049250313e-16
325,4.440892098500626e-16
326,4.440892098500626e-16
327,4.440892098500626e-16
328,2.220446049250313e-16
329,3.3306690738754696e-16
330,4.996003610813204e-16
331,2.220446049250313e-16
332,2.220446049250313e-16
333,2.220446049250313e-16
334,4.440892098500626e-16
335,8.881784197001252e-16
336,3.3306690738754696e-16
337,1.1102230246251565e-16
338,2.220446049250313e-16
339,2.220446049250313e-16
340,4.440892098500626e-16
341,2.220446049250313e-16
342,2.220446049250313e-16
343,1.1102230246251565e-16
344,1.1102230246251565e-16
345,2.220446049250313e-16
346,2.220446049250313e-16
347,1.1102230246251565e-16
348,1.1102230246251565e-16
349,4.440892098500626e-16
350,5.551115123125783e-17
351,2.220446049250313e-16
352,2.220446049250313e-16
353,2.220446049250313e-16
354,4.440892098500626e-16
355,1.1102230246251565e-16
356,4.440892098500626e-16
357,2.220446049250313e-16
358,8.881784197001252e-16
359,4.440892098500626e-16
360,2.220446049250313e-16
361,6.661338147750939e-16
362,5.551115123125783e-17
363,2.220446049250313e-16
364,4.440892098500626e-16
365,3.3306690738754696e-16
366,2.220446049250313e-16
367,2.220446049250313e-16
368,1.1102230246251565e-16
369,8.881784197001252e-16
370,2.220446049250313e-16
371,3.3306690738754696e-16
372,2.220446049250313e-16
373,2.220446049250313e-16
374,2.220446049250313e-16
375,4.440892098500626e-16
376,2.220446049250313e-16
377,2.220446049250313e-16
378,6.661338147750939e-16
379,1.6653345369377348e-15
380,4.440892098500626e-16
381,2.220446049250313e-16
382,1.1102230246251565e-16
383,2.220446049250313e-16
384,2.220446049250313e-16
385,9.43689570931383e-16
386,2.220446049250313e-16
387,4.440892098500626e-16
388,2.220446049250313e-16
389,4.440892098500626e-16
390,4.440892098500626e-16
391,2.220446049250313e-16
392,1.1102230246251565e-16
393,2.220446049250313e-16
394,2.220446049250313e-16
395,4.440892098500626e-16
396,5.551115123125783e-16
397,6.661338147750939e-16
398,2.220446049250313e-16
399,3.3306690738754696e-16
400,2.220446049250313e-16
401,4.440892098500626e-16
402,2.220446049250313e-16
403,4.440892098500626e-16
404,4.440892098500626e-16
405,2.220446049250313e-16
406,2.220446049250313e-16
407,2.220446049250313e-16
408,2.220446049250313e-16
409,1.9984014443252818e-15
410,4.440892098500626e-16
411,4.440892098500626e-16
412,4.440892098500626e-16
413,2.220446049250313e-16
414,2.220446049250313e-16
415,2.220446049250313e-16
416,2.220446049250313e-16
417,3.469446951953614e-17
418,9.992007221626409e-16
419,4.440892098500626e-16
420,2.220446049250313e-16
421,3.3306690738754696e-16
422,6.661338147750939e-16
423,4.440892098500626e-16
424,2.220446049250313e-16
425,2.220446049250313e-16
426,4.440892098500626e-16
427,2.220446049250313e-16
428,1.1102230246251565e-16
429,4.440892098500626e-16
430,1.1102230246251565e-16
431,4.440892098500626e-16
432,2.220446049250313e-16
433,2.220446049250313e-16
434,4.440892098500626e-16
435,1.3877787807814457e-16
436,1.1102230246251565e-16
437,2.220446049250313e-16
438,2.220446049250313e-16
439,2.220446049250313e-16
440,2.220446049250313e-16
441,1.9984014443252818e-15
442,2.220446049250313e-16
443,4.440892098500626e-16
444,2.220446049250313e-16
445,4.440892098500626e-16
446,2.220446049250313e-16
447,2.220446049250313e-16
448,2.220446049250313e-16
449,1.4432899320127035e-15
450,2.220446049250313e-16
451,4.440892098500626e-16
452,6.661338147750939e-16
453,1.1102230246251565e-15
454,4.440892098500626e-16
455,2.220446049250313e-16
456,2.498001805406602e-16
457,4.440892098500626e-16
458,2.220446049250313e-16
459,2.220446049250313e-16
460,6.661338147750939e-16
461,4.440892098500626e-16
462,1.1102230246251565e-15
463,1.6653345369377348e-16
464,6.661338147750939e-16
465,4.440892098500626e-16
466,2.220446049250313e-16
467,2.220446049250313e-16
468,2.220446049250313e-16
469,2.220446049250313e-16
470,2.220446049250313e-16
471,2.220446049250313e-16
472,2.220446049250313e-16
473,2.636779683484747e-16
474,4.440892098500626e-16
475,6.661338147750939e-16
476,2.220446049250313e-16
477,2.220446049250313e-16
478,4.440892098500626e-16
479,2.220446049250313e-16
480,2.220446049250313e-16
481,2.220446049250313e-16
482,4.440892098500626e-16
483,4.440892098500626e-16
484,4.440892098500626e-16
485,2.220446049250313e-16
486,2.220446049250313e-16
487,2.220446049250313e-16
488,0.0
489,5.551115123125783e-17
490,2.220446049250313e-16
491,2.220446049250313e-16
492,2.220446049250313e-16
493,4.440892098500626e-16
494,2.220446049250313e-16
495,2.220446049250313e-16
496,1.1657341758564144e-15
497,1.1102230246251565e-16
498,3.3306690738754696e-16
499,4.440892098500626e-16
500,2.220446049250313e-16
501,2.220446049250313e-16
502,4.440892098500626e-16
503,6.661338147750939e-16
504,8.881784197001252e-16
505,4.440892098500626e-16
506,6.661338147750939e-16
507,4.440892098500626e-16
508,2.220446049250313e-16
509,1.1102230246251565e-15
510,4.440892098500626e-16
511,2.220446049250313e-16
512,3.3306690738754696e-16
513,2.220446049250313e-16
514,2.220446049250313e-16
515,8.881784197001252e-16
516,4.440892098500626e-16
517,2.220446049250313e-16
518,4.440892098500626e-16
519,4.440892098500626e-16
520,1.6653345369377348e-16
521,2.220446049250313e-16
522,2.220446049250313e-16
523,2.220446049250313e-16
524,3.3306690738754696e-16
525,2.220446049250313e-16
526,2.220446049250313e-16
527,2.220446049250313e-16
528,2.220446049250313e-16
529,2.220446049250313e-16
530,6.661338147750939e-16
531,2.7755575615628914e-16
532,4.440892098500626e-16
533,2.220446049250313e-16
534,0.0
535,2.220446049250313e-16
536,4.440892098500626e-16
537,2.220446049250313e-16
538,2.220446049250313e-16
539,4.440892098500626e-16
540,6.661338147750939e-16
541,2.220446049250313e-16
542,2.220446049250313e-16
543,2.220446049250313e-16
544,6.661338147750939e-16
545,2.220446049250313e-16
546,2.220446049250313e-16
547,4.440892098500626e-16
548,1.6653345369377348e-16
549,2.220446049250313e-16
550,2.220446049250313e-16
551,2.220446049250313e-16
552,2.7755575615628914e-17
553,3.3306690738754696e-16
554,2.220446049250313e-16
555,4.440892098500626e-16
556,2.220446049250313e-16
557,2.220446049250313e-16
558,1.1102230246251565e-16
559,4.440892098500626e-16
560,4.440892098500626e-16
561,6.661338147750939e-16
562,2.220446049250313e-16
563,2.220446049250313e-16
564,4.440892098500626e-16
565,2.220446049250313e-16
566,2.220446049250313e-16
567,8.881784197001252e-16
568,2.220446049250313e-16
569,2.220446049250313e-16
570,7.771561172376096e-16
571,3.3306690738754696e-16
572,6.661338147750939e-16
573,4.440892098500626e-16
574,2.220446049250313e-16
575,2.220446049250313e-16
576,2.220446049250313e-16
577,2.220446049250313e-16
578,2.220446049250313e-16
579,4.440892098500626e-16
580,1.1102230246251565e-16
581,2.7755575615628914e-16
582,2.220446049250313e-16
583,4.440892098500626e-16
584,8.881784197001252e-16
585,2.220446049250313e-16
586,2.220446049250313e-16
587,4.440892098500626e-16
588,1.6653345369377348e-16
589,6.661338147750939e-16
590,2.220446049250313e-16
591,6.106226635438361e-16
592,6.938893903907228e-18
593,2.220446049250313e-16
594,2.220446049250313e-16
595,9.992007221626409e-16
596,4.440892098500626e-16
597,2.220446049250313e-16
598,2.220446049250313e-16
599,2.220446049250313e-16
600,4.440892098500626e-16
601,2.220446049250313e-16
602,2.220446049250313e-16
603,2.220446049250313e-16
604,2.220446049250313e-16
605,4.440892098500626e-16
606,5.551115123125783e-16
607,2.220446049250313e-16
608,3.0531133177191805e-16
609,4.440892098500626e-16
610,2.220446049250313e-16
611,4.440892098500626e-16
612,4.440892098500626e-16
613,6.661338147750939e-16
614,4.440892098500626e-16
615,2.220446049250313e-16
616,3.3306690738754696e-16
617,5.551115123125783e-17
618,2.220446049250313e-16
619,3.3306690738754696e-16
620,4.440892098500626e-16
621,4.440892098500626e-16
622,4.440892098500626e-16
623,6.106226635438361e-16
624,2.220446049250313e-16
625,1.1102230246251565e-16
626,3.3306690738754696e-16
627,6.661338147750939e-16
628,4.440892098500626e-16
629,3.3306690738754696e-16
630,2.220446049250313e-16
631,1.6653345369377348e-16
632,2.7755575615628914e-17
633,0.0
634,2.220446049250313e-16
635,4.440892098500626e-16
636,2.220446049250313e-16
637,2.220446049250313e-16
638,4.440892098500626e-16
639,1.609823385706477e-15
640,4.440892098500626e-16
