sample_index,lambda,analytical_derivative,numerical_derivative,derivative_error,strictly_negative
1558,3.7142411538502818,-0.033572487769768275,-0.03357248776758581,2.182462544020325e-12,True
1559,1.9870888904851307,-0.2834848298625501,-0.28348482986606527,3.5151881405681706e-12,True
1560,3.2717959394591194,-0.05193214621805046,-0.05193214622778441,9.733949757340099e-12,True
1561,1.0405410014914447,-0.8092468354643628,-0.8092468354536918,1.0671019623487155e-11,True
1562,0.7339338259651058,-0.9723173091025952,-0.9723173090725455,3.0049629451411874e-11,True
1563,2.2753548446189624,-0.0814053754953504,-0.08140537550715976,1.1809359046210943e-11,True
1564,2.150577975779616,-0.17619018397108857,-0.1761901839647528,6.335765245779612e-12,True
1565,2.019243777988344,-0.0967304930241146,-0.09673049302660884,2.4942409249106845e-12,True
1566,0.5145175102807986,-0.8618200570383856,-0.8618200570242872,1.4098389122807475e-11,True
1567,0.856888076283378,-0.6589412214204953,-0.6589412214208501,3.5482727867020003e-13,True
1568,0.6245459432112941,-0.4262927266025814,-0.4262927266129867,1.0405343253694355e-11,True
1569,0.7021174327841603,-0.5181184562842239,-0.5181184562996766,1.545263916824524e-11,True
1570,3.4010718519444842,-0.03874074038487521,-0.038740740393450324,8.575112842024168e-12,True
1571,1.2204825008735156,-0.17036446193161767,-0.17036446194884644,1.7228773963040567e-11,True
1572,1.8370031418267703,-0.1733281538260841,-0.1733281538296438,3.5597080838556394e-12,True
1573,2.846340546614555,-0.10819906734933236,-0.10819906735015648,8.241185511792537e-13,True
1574,1.9413794643194786,-0.2579302478622511,-0.25793024787112984,8.878731083683533e-12,True
1575,1.4918496980997467,-0.3390398569109337,-0.3390398569280695,1.713579278472821e-11,True
1576,0.40601916503869084,-0.805288659341511,-0.8052886593445939,3.082978317081597e-12,True
1577,3.6679174784809785,-0.08504422830793716,-0.0850442283040209,3.9162562082140084e-12,True
1578,3.0403831971630666,-0.07663201979299668,-0.07663201979091205,2.084624139975233e-12,True
1579,0.23538746421422924,-1.024151605746966,-1.024151605730217,1.6749046594100037e-11,True
1580,3.359603586704567,-0.05442566110490335,-0.05442566108904145,1.5861902069591594e-11,True
1581,1.800428392073614,-0.2412353173284416,-0.24123531731090606,1.7535556340320113e-11,True
1582,1.2941984032613718,-0.6819276979303897,-0.681927697931961,1.571298646751984e-12,True
1583,1.9596235102656125,-0.18119821162135324,-0.18119821162954072,8.187478472976295e-12,True
1584,3.24656706902974,-0.0352177900906889,-0.035217790084196565,6.492334447827375e-12,True
1585,1.0894435139439453,-0.6059593296464171,-0.6059593296636745,1.7257417717075896e-11,True
1586,2.4466007684376865,-0.1835916629329742,-0.1835916629389089,5.93472493370939e-12,True
1587,1.3435251272813324,-0.30837675901581274,-0.3083767590283948,1.2582046515774437e-11,True
1588,0.35904492292191814,-1.0609915094103926,-1.0609915093884315,2.1961099605505296e-11,True
1589,0.6799222970346643,-0.9804139385268428,-0.9804139384950171,3.182565322390474e-11,True
1590,2.0596878018784666,-0.11515374482791862,-0.11515374483406225,6.143627273580421e-12,True
1591,1.2282022483870585,-0.37627675081801476,-0.37627675081863815,6.233902283270254e-13,True
1592,0.11072791222463094,-1.0529175247616627,-1.052917524746455,1.520761294671047e-11,True
1593,3.4911792444779746,-0.05123091243570746,-0.051230912456734494,2.1027034280418633e-11,True
1594,2.4557154198920923,-0.13141489579448676,-0.13141489579870935,4.222594496283705e-12,True
1595,2.613779261372888,-0.08207645470389198,-0.08207645471047798,6.5859956377423146e-12,True
