sample_index,lambda_first,lambda_second,total_variation
66,1.0,2.0,0.19993528542500233
67,0.5,1.0,0.18870607643573575
67,0.5,2.0,0.37614550216759435
67,1.0,2.0,0.18743942573185857
68,0.5,1.0,0.152067837261546
68,0.5,2.0,0.31520372984520567
68,1.0,2.0,0.20104131815011395
69,0.5,1.0,0.14151266819486313
69,0.5,2.0,0.30437012734265734
69,1.0,2.0,0.16285745914779426
70,0.5,1.0,0.2577674541161922
70,0.5,2.0,0.5070780737090577
70,1.0,2.0,0.24931061959286552
71,0.5,1.0,0.18748973811658384
71,0.5,2.0,0.4129891093013608
71,1.0,2.0,0.22602070101416966
72,0.5,1.0,0.2622625181522036
72,0.5,2.0,0.6342766407431195
72,1.0,2.0,0.3720141225909157
73,0.5,1.0,0.19399158892771
73,0.5,2.0,0.39701906717024416
73,1.0,2.0,0.22292379220295727
74,0.5,1.0,0.2441678783825946
74,0.5,2.0,0.597397945068417
74,1.0,2.0,0.3532300666858225
75,0.5,1.0,0.2019449831751739
75,0.5,2.0,0.38173134736008146
75,1.0,2.0,0.17978636418490757
76,0.5,1.0,0.17207265023566512
76,0.5,2.0,0.35682933793343896
76,1.0,2.0,0.1881631082850626
77,0.5,1.0,0.18355844755882056
77,0.5,2.0,0.38463972679652925
77,1.0,2.0,0.21229883200590874
78,0.5,1.0,0.17581353158324275
78,0.5,2.0,0.4004056608927713
78,1.0,2.0,0.2449306899582422
79,0.5,1.0,0.22777566888244555
79,0.5,2.0,0.5751055530731958
79,1.0,2.0,0.34732988419075017
80,0.5,1.0,0.21508474534096406
80,0.5,2.0,0.45191574164317994
80,1.0,2.0,0.23683099630221593
81,0.5,1.0,0.21429872417306414
81,0.5,2.0,0.48295406642335514
81,1.0,2.0,0.268655342250291
82,0.5,1.0,0.20138243328977146
82,0.5,2.0,0.42943469078227803
82,1.0,2.0,0.22805225749250657
83,0.5,1.0,0.25551241207468367
83,0.5,2.0,0.5406738899361887
83,1.0,2.0,0.32622808157881156
84,0.5,1.0,0.21288264219523734
84,0.5,2.0,0.38193337517042425
84,1.0,2.0,0.1690507329751869
85,0.5,1.0,0.21935580232795782
85,0.5,2.0,0.4702565888564031
85,1.0,2.0,0.28359909810054895
86,0.5,1.0,0.14864039093842357
86,0.5,2.0,0.33490882535510286
86,1.0,2.0,0.19300768311009572
87,0.5,1.0,0.22638225392259032
87,0.5,2.0,0.5475447558309002
87,1.0,2.0,0.3359920728792891
88,0.5,1.0,0.22163968809596926
88,0.5,2.0,0.5038188790849892
88,1.0,2.0,0.30046251517483913
89,0.5,1.0,0.07379961176959908
89,0.5,2.0,0.21240794560139314
89,1.0,2.0,0.1423620668889387
90,0.5,1.0,0.20085263797360703
90,0.5,2.0,0.46729431170145175
90,1.0,2.0,0.2837069388555926
91,0.5,1.0,0.2593249960892746
91,0.5,2.0,0.5680992201546811
91,1.0,2.0,0.3088038096054025
92,0.5,1.0,0.2626640645335484
92,0.5,2.0,0.511240096087443
92,1.0,2.0,0.24857603155389463
93,0.5,1.0,0.14183018197643066
93,0.5,2.0,0.3173576838592507
93,1.0,2.0,0.1773944172944003
94,0.5,1.0,0.19031463417212174
94,0.5,2.0,0.4292464278055079
94,1.0,2.0,0.24319430558582414
95,0.5,1.0,0.16308888452542444
95,0.5,2.0,0.37697427232107206
95,1.0,2.0,0.21388538779564764
96,0.5,1.0,0.18683382926525366
96,0.5,2.0,0.5290753265037811
96,1.0,2.0,0.3456766748211847
97,0.5,1.0,0.14624197067533506
97,0.5,2.0,0.3406116815006975
97,1.0,2.0,0.1943697108253624
98,0.5,1.0,0.23109641689002042
98,0.5,2.0,0.4261841911630022
98,1.0,2.0,0.19508777427298185
99,0.5,1.0,0.19990830549219962
99,0.5,2.0,0.43241014189410276
99,1.0,2.0,0.23250183640190317
100,0.5,1.0,0.21632357180252884
100,0.5,2.0,0.49633551152458383
100,1.0,2.0,0.3115332952286869
101,0.5,1.0,0.19007791823448147
101,0.5,2.0,0.46144395137579497
101,1.0,2.0,0.27136603314131347
102,0.5,1.0,0.15705335231949807
102,0.5,2.0,0.4217435151493948
102,1.0,2.0,0.2693510737864174
103,0.5,1.0,0.1767808341377078
103,0.5,2.0,0.3934814529954421
103,1.0,2.0,0.23624506677285148
104,0.5,1.0,0.23421589929217135
104,0.5,2.0,0.52683035132805
104,1.0,2.0,0.2926144520358786
105,0.5,1.0,0.18842698493096569
105,0.5,2.0,0.4510476108234608
105,1.0,2.0,0.26262062589249513
106,0.5,1.0,0.2569509118066895
106,0.5,2.0,0.6112920630276827
106,1.0,2.0,0.35434115122099324
107,0.5,1.0,0.13804419302383403
107,0.5,2.0,0.3115784982619022
107,1.0,2.0,0.17353430523806815
108,0.5,1.0,0.18674424360488526
108,0.5,2.0,0.38691209222878203
108,1.0,2.0,0.20825645553244485
109,0.5,1.0,0.146360839091206
109,0.5,2.0,0.3447231918683965
109,1.0,2.0,0.1983623527771905
110,0.5,1.0,0.1871199688753363
110,0.5,2.0,0.3473143907377543
110,1.0,2.0,0.19306954768690132
111,0.5,1.0,0.20178364031536283
111,0.5,2.0,0.44546274323472823
111,1.0,2.0,0.24367910291936537
112,0.5,1.0,0.15670805920092862
112,0.5,2.0,0.3522508858224698
112,1.0,2.0,0.19554282662154115
113,0.5,1.0,0.221666973978061
113,0.5,2.0,0.5447137593446072
113,1.0,2.0,0.3230467853665461
114,0.5,1.0,0.23305179910843116
114,0.5,2.0,0.49522021075886435
114,1.0,2.0,0.26216841165043314
115,0.5,1.0,0.21763467473719783
115,0.5,2.0,0.5139452997337254
115,1.0,2.0,0.30997259349741113
116,0.5,1.0,0.18144958557318921
116,0.5,2.0,0.3696016060683802
116,1.0,2.0,0.18815202049519103
117,0.5,1.0,0.16019717959093557
117,0.5,2.0,0.37887779887143214
117,1.0,2.0,0.21868061928049654
118,0.5,1.0,0.22647437626012681
118,0.5,2.0,0.558837454833014
118,1.0,2.0,0.33236307857288716
119,0.5,1.0,0.15333016255312143
119,0.5,2.0,0.3596937751648669
119,1.0,2.0,0.2104485182682022
120,0.5,1.0,0.14950936698628917
120,0.5,2.0,0.2520760507173102
120,1.0,2.0,0.1189714875446861
121,0.5,1.0,0.13016641949918262
121,0.5,2.0,0.2648668294501311
121,1.0,2.0,0.13470040995094856
122,0.5,1.0,0.16822577985264864
122,0.5,2.0,0.4423755201277602
122,1.0,2.0,0.27414974027511163
123,0.5,1.0,0.19823662615373844
123,0.5,2.0,0.41460953776239884
123,1.0,2.0,0.21637291160866037
124,0.5,1.0,0.20304179661380028
124,0.5,2.0,0.3849556385205206
124,1.0,2.0,0.19571198535436043
125,0.5,1.0,0.18296679533322335
125,0.5,2.0,0.3664098954862242
125,1.0,2.0,0.18719796656480592
126,0.5,1.0,0.18265347641462323
126,0.5,2.0,0.5425406658506681
126,1.0,2.0,0.3598871894360449
127,0.5,1.0,0.18689466598052343
127,0.5,2.0,0.42952396328589826
127,1.0,2.0,0.250452173207182
128,0.5,1.0,0.22019141463290598
128,0.5,2.0,0.46768212592948644
128,1.0,2.0,0.2474907112965805
129,0.5,1.0,0.21804972514069143
129,0.5,2.0,0.5918294113384746
129,1.0,2.0,0.373779686197783
130,0.5,1.0,0.2503720060742485
130,0.5,2.0,0.45908972148090954
130,1.0,2.0,0.20871771540666106
131,0.5,1.0,0.19713100604350964
131,0.5,2.0,0.4067566024737671
131,1.0,2.0,0.20962559643025744
132,0.5,1.0,0.23888716008106067
132,0.5,2.0,0.5606620618605338
132,1.0,2.0,0.32177490177947304
133,0.5,1.0,0.16601762053563007
133,0.5,2.0,0.3846217223562916
133,1.0,2.0,0.22212308272496756
134,0.5,1.0,0.20589419434057113
134,0.5,2.0,0.4475087885810386
134,1.0,2.0,0.2416145942404675
135,0.5,1.0,0.18493846563850952
135,0.5,2.0,0.41447284204846585
135,1.0,2.0,0.2295343764099563
136,0.5,1.0,0.20137211593145113
136,0.5,2.0,0.449765999221156
136,1.0,2.0,0.25442040099675417
137,0.5,1.0,0.13790904366854792
137,0.5,2.0,0.2525150780517852
137,1.0,2.0,0.11460603438323727
138,0.5,1.0,0.14617040310227902
138,0.5,2.0,0.440903905939072
138,1.0,2.0,0.3078276055778718
139,0.5,1.0,0.14481240527208394
139,0.5,2.0,0.3237475452046739
139,1.0,2.0,0.17893513993258997
140,0.5,1.0,0.18014626902799366
140,0.5,2.0,0.39791358201002447
140,1.0,2.0,0.2177673129820308
141,0.5,1.0,0.272094199651759
141,0.5,2.0,0.573208841026708
141,1.0,2.0,0.30111464137494903
142,0.5,1.0,0.1361637743720183
142,0.5,2.0,0.31952290691280555
142,1.0,2.0,0.18502883901290074
143,0.5,1.0,0.10971976215933481
143,0.5,2.0,0.25049329446256635
143,1.0,2.0,0.14077353230323153
144,0.5,1.0,0.14230092092807475
144,0.5,2.0,0.33037500702547273
144,1.0,2.0,0.20034380577216393
145,0.5,1.0,0.2051165580744593
145,0.5,2.0,0.3822371242542688
145,1.0,2.0,0.17712056617980945
146,0.5,1.0,0.10586603590516096
146,0.5,2.0,0.24235896943761898
146,1.0,2.0,0.14086116046686606
147,0.5,1.0,0.21275137989600806
147,0.5,2.0,0.4800943195060737
147,1.0,2.0,0.26734293961006567
148,0.5,1.0,0.15702058480054878
148,0.5,2.0,0.35574545911967254
148,1.0,2.0,0.2003033819422985
149,0.5,1.0,0.11299302809113386
149,0.5,2.0,0.23793502875159614
149,1.0,2.0,0.13515701284406464
150,0.5,1.0,0.2507892991496443
