sample_index,function,relative_odds_error
58,asinh,1.1261001370056664e-16
58,logistic,1.7765367552489741e-16
59,exp_0_5,0.0
59,exp_1,1.1849777553254716e-16
59,exp_2,1.2647659519494132e-16
59,asinh,0.0
59,logistic,0.0
60,exp_0_5,0.0
60,exp_1,0.0
60,exp_2,0.0
60,asinh,1.2313139727153049e-16
60,logistic,0.0
61,exp_0_5,1.635785616786273e-16
61,exp_1,0.0
61,exp_2,0.0
61,asinh,1.7576316297554497e-16
61,logistic,0.0
62,exp_0_5,0.0
62,exp_1,0.0
62,exp_2,0.0
62,asinh,0.0
62,logistic,0.0
63,exp_0_5,0.0
63,exp_1,1.694922404342522e-16
63,exp_2,1.2937769677908473e-16
63,asinh,0.0
63,logistic,0.0
64,exp_0_5,0.0
64,exp_1,0.0
64,exp_2,1.8055168508718117e-16
64,asinh,0.0
64,logistic,0.0
65,exp_0_5,1.1424811292037902e-16
65,exp_1,0.0
65,exp_2,0.0
65,asinh,1.2768680373691617e-16
65,logistic,1.1332212404735988e-16
66,exp_0_5,1.2848094704631152e-16
66,exp_1,1.4868502443002804e-16
66,exp_2,0.0
66,asinh,0.0
66,logistic,0.0
67,exp_0_5,1.5815461217483452e-16
67,exp_1,1.1264800313710564e-16
67,exp_2,0.0
67,asinh,1.2246798907037827e-16
67,logistic,1.4483496878487458e-16
68,exp_0_5,0.0
68,exp_1,1.402874538898158e-16
68,exp_2,0.0
68,asinh,2.2090708793832056e-16
68,logistic,0.0
69,exp_0_5,0.0
69,exp_1,1.8983501393005314e-16
69,exp_2,0.0
69,asinh,1.1535573480402888e-16
69,logistic,0.0
70,exp_0_5,1.4947993703832032e-16
70,exp_1,0.0
70,exp_2,1.8241936512310542e-16
70,asinh,0.0
70,logistic,1.445999167384469e-16
71,exp_0_5,0.0
71,exp_1,0.0
71,exp_2,0.0
71,asinh,1.5271254322064323e-16
71,logistic,0.0
72,exp_0_5,0.0
72,exp_1,0.0
72,exp_2,1.2559018707082368e-16
72,asinh,0.0
72,logistic,0.0
73,exp_0_5,1.5391087250568062e-16
73,exp_1,0.0
73,exp_2,0.0
73,asinh,0.0
73,logistic,0.0
74,exp_0_5,0.0
74,exp_1,0.0
74,exp_2,1.1785897500352142e-16
74,asinh,1.6199507765633664e-16
74,logistic,0.0
75,exp_0_5,1.6050170901637903e-16
75,exp_1,1.1601632296301905e-16
75,exp_2,0.0
75,asinh,0.0
75,logistic,1.7135170454689526e-16
76,exp_0_5,0.0
76,exp_1,0.0
76,exp_2,0.0
76,asinh,2.2500058029297717e-16
76,logistic,1.9352963894466008e-16
77,exp_0_5,1.4393675998277098e-16
77,exp_1,1.866092705232153e-16
77,exp_2,1.5682893919878755e-16
77,asinh,1.847168080142608e-16
77,logistic,1.465489132963028e-16
78,exp_0_5,0.0
78,exp_1,0.0
78,exp_2,0.0
78,asinh,0.0
78,logistic,0.0
79,exp_0_5,0.0
79,exp_1,1.211421127892369e-16
79,exp_2,0.0
79,asinh,0.0
79,logistic,1.168810152358797e-16
80,exp_0_5,0.0
80,exp_1,3.66149279814613e-16
80,exp_2,0.0
80,asinh,0.0
80,logistic,1.573013780179373e-16
81,exp_0_5,0.0
81,exp_1,1.5435544654853284e-16
81,exp_2,2.146019615044571e-16
81,asinh,0.0
81,logistic,0.0
82,exp_0_5,1.3968644854450583e-16
82,exp_1,1.7575120920920178e-16
82,exp_2,0.0
82,asinh,1.2447261171314803e-16
82,logistic,0.0
83,exp_0_5,0.0
83,exp_1,3.4041484270314555e-16
83,exp_2,0.0
83,asinh,0.0
83,logistic,0.0
84,exp_0_5,2.411555144829558e-16
84,exp_1,1.309556298050435e-16
84,exp_2,0.0
84,asinh,0.0
84,logistic,0.0
85,exp_0_5,0.0
85,exp_1,1.7420464226177747e-16
85,exp_2,0.0
85,asinh,0.0
85,logistic,0.0
86,exp_0_5,1.5966014793009802e-16
86,exp_1,0.0
86,exp_2,1.1871222051082992e-16
86,asinh,0.0
86,logistic,1.59374261248397e-16
87,exp_0_5,1.5312359381790493e-16
87,exp_1,0.0
87,exp_2,2.0086661863384192e-16
87,asinh,0.0
87,logistic,0.0
88,exp_0_5,1.9204075112012078e-16
88,exp_1,1.6609117840639183e-16
88,exp_2,1.2423755827680572e-16
88,asinh,0.0
88,logistic,1.143770112408715e-16
89,exp_0_5,1.114872472791189e-16
89,exp_1,1.1195413921515387e-16
89,exp_2,2.257875941932983e-16
89,asinh,0.0
89,logistic,0.0
90,exp_0_5,0.0
90,exp_1,0.0
90,exp_2,0.0
90,asinh,0.0
90,logistic,0.0
91,exp_0_5,1.3440639107964315e-16
91,exp_1,0.0
91,exp_2,0.0
91,asinh,0.0
91,logistic,0.0
92,exp_0_5,1.771560164251271e-16
92,exp_1,0.0
92,exp_2,0.0
92,asinh,1.2637913494356916e-16
92,logistic,0.0
93,exp_0_5,0.0
93,exp_1,0.0
93,exp_2,1.6766966281364763e-16
93,asinh,0.0
93,logistic,0.0
94,exp_0_5,1.1441518084177863e-16
94,exp_1,1.1791174670942128e-16
94,exp_2,0.0
94,asinh,0.0
94,logistic,0.0
95,exp_0_5,1.916760249043516e-16
95,exp_1,1.6546089257848894e-16
95,exp_2,2.4659285896285243e-16
95,asinh,1.3397732260456502e-16
95,logistic,1.3999111305180468e-16
96,exp_0_5,1.4970022111714784e-16
96,exp_1,0.0
96,exp_2,1.8349704810879883e-16
96,asinh,0.0
96,logistic,1.174149122422481e-16
97,exp_0_5,2.013676465358232e-16
97,exp_1,0.0
97,exp_2,0.0
97,asinh,1.716231775595436e-16
97,logistic,1.9833753739736425e-16
98,exp_0_5,1.84229155210351e-16
98,exp_1,0.0
98,exp_2,0.0
98,asinh,1.5736908642693916e-16
98,logistic,1.9132792459890325e-16
99,exp_0_5,0.0
99,exp_1,0.0
99,exp_2,0.0
99,asinh,0.0
99,logistic,0.0
100,exp_0_5,1.1184760152168692e-16
100,exp_1,1.1267903555123767e-16
100,exp_2,1.143604912809641e-16
100,asinh,0.0
100,logistic,1.7396424621122492e-16
101,exp_0_5,1.256402720192801e-16
101,exp_1,0.0
101,exp_2,1.8208944935299595e-16
101,asinh,0.0
101,logistic,1.2508413348349796e-16
102,exp_0_5,2.0445180159644796e-16
102,exp_1,1.8825289265706955e-16
102,exp_2,1.596037499119577e-16
102,asinh,2.1417021403730563e-16
102,logistic,0.0
103,exp_0_5,0.0
103,exp_1,1.4980465046054948e-16
103,exp_2,2.0213446129154361e-16
103,asinh,1.3651312373892164e-16
103,logistic,0.0
104,exp_0_5,2.0957035211849105e-16
104,exp_1,1.977968908629728e-16
104,exp_2,0.0
104,asinh,0.0
104,logistic,2.1467068762693832e-16
105,exp_0_5,2.1950261621491025e-16
105,exp_1,0.0
105,exp_2,0.0
105,asinh,1.9209816481908229e-16
105,logistic,0.0
106,exp_0_5,1.2919532026943245e-16
106,exp_1,1.5034304287786446e-16
106,exp_2,2.0358999985076723e-16
106,asinh,1.4910736566166705e-16
106,logistic,1.2703287193401749e-16
107,exp_0_5,1.4211034159629556e-16
107,exp_1,1.8190353416093452e-16
107,exp_2,0.0
107,asinh,0.0
107,logistic,0.0
108,exp_0_5,2.2553536455864224e-16
108,exp_1,1.145405011839256e-16
108,exp_2,1.18170188515901e-16
108,asinh,1.1428288912653648e-16
108,logistic,1.1311706835969902e-16
109,exp_0_5,1.320625082108305e-16
109,exp_1,1.5709011332046633e-16
109,exp_2,1.1113669576150574e-16
109,asinh,0.0
