sample_index,function,aggregation_error
73,exp_2,0.0
73,asinh,5.551115123125783e-17
73,logistic,5.551115123125783e-17
74,exp_0_5,5.551115123125783e-17
74,exp_1,5.551115123125783e-17
74,exp_2,0.0
74,asinh,5.551115123125783e-17
74,logistic,5.551115123125783e-17
75,exp_0_5,5.551115123125783e-17
75,exp_1,0.0
75,exp_2,5.551115123125783e-17
75,asinh,5.551115123125783e-17
75,logistic,0.0
76,exp_0_5,0.0
76,exp_1,0.0
76,exp_2,0.0
76,asinh,0.0
76,logistic,0.0
77,exp_0_5,0.0
77,exp_1,1.1102230246251565e-16
77,exp_2,0.0
77,asinh,0.0
77,logistic,0.0
78,exp_0_5,0.0
78,exp_1,0.0
78,exp_2,0.0
78,asinh,1.6653345369377348e-16
78,logistic,0.0
79,exp_0_5,0.0
79,exp_1,0.0
79,exp_2,0.0
79,asinh,0.0
79,logistic,0.0
80,exp_0_5,0.0
80,exp_1,0.0
80,exp_2,1.1102230246251565e-16
80,asinh,2.220446049250313e-16
80,logistic,0.0
81,exp_0_5,1.1102230246251565e-16
81,exp_1,0.0
81,exp_2,0.0
81,asinh,0.0
81,logistic,1.1102230246251565e-16
82,exp_0_5,0.0
82,exp_1,1.3877787807814457e-17
82,exp_2,0.0
82,asinh,0.0
82,logistic,0.0
83,exp_0_5,1.1102230246251565e-16
83,exp_1,0.0
83,exp_2,1.1102230246251565e-16
83,asinh,0.0
83,logistic,1.1102230246251565e-16
84,exp_0_5,1.1102230246251565e-16
84,exp_1,1.1102230246251565e-16
84,exp_2,1.1102230246251565e-16
84,asinh,0.0
84,logistic,0.0
85,exp_0_5,1.1102230246251565e-16
85,exp_1,1.1102230246251565e-16
85,exp_2,0.0
85,asinh,0.0
85,logistic,0.0
86,exp_0_5,5.551115123125783e-17
86,exp_1,1.1102230246251565e-16
86,exp_2,1.1102230246251565e-16
86,asinh,0.0
86,logistic,0.0
87,exp_0_5,5.551115123125783e-17
87,exp_1,0.0
87,exp_2,1.3877787807814457e-17
87,asinh,0.0
87,logistic,0.0
88,exp_0_5,1.1102230246251565e-16
88,exp_1,0.0
88,exp_2,1.1102230246251565e-16
88,asinh,0.0
88,logistic,0.0
89,exp_0_5,5.551115123125783e-17
89,exp_1,1.1102230246251565e-16
89,exp_2,1.1102230246251565e-16
89,asinh,0.0
89,logistic,0.0
90,exp_0_5,5.551115123125783e-17
90,exp_1,5.551115123125783e-17
90,exp_2,0.0
90,asinh,0.0
90,logistic,2.7755575615628914e-17
91,exp_0_5,5.551115123125783e-17
91,exp_1,2.7755575615628914e-17
91,exp_2,0.0
91,asinh,2.7755575615628914e-17
91,logistic,0.0
92,exp_0_5,1.1102230246251565e-16
92,exp_1,5.551115123125783e-17
92,exp_2,2.7755575615628914e-17
92,asinh,5.551115123125783e-17
92,logistic,5.551115123125783e-17
93,exp_0_5,0.0
93,exp_1,0.0
93,exp_2,0.0
93,asinh,5.551115123125783e-17
93,logistic,5.551115123125783e-17
94,exp_0_5,1.1102230246251565e-16
94,exp_1,0.0
94,exp_2,0.0
94,asinh,1.1102230246251565e-16
94,logistic,0.0
95,exp_0_5,1.1102230246251565e-16
95,exp_1,1.1102230246251565e-16
95,exp_2,1.1102230246251565e-16
95,asinh,1.1102230246251565e-16
95,logistic,0.0
96,exp_0_5,1.1102230246251565e-16
96,exp_1,2.220446049250313e-16
96,exp_2,2.220446049250313e-16
96,asinh,1.1102230246251565e-16
96,logistic,0.0
97,exp_0_5,0.0
97,exp_1,0.0
97,exp_2,0.0
97,asinh,0.0
97,logistic,0.0
98,exp_0_5,0.0
98,exp_1,0.0
98,exp_2,1.1102230246251565e-16
98,asinh,0.0
98,logistic,0.0
99,exp_0_5,0.0
99,exp_1,1.1102230246251565e-16
99,exp_2,1.1102230246251565e-16
99,asinh,0.0
99,logistic,1.1102230246251565e-16
100,exp_0_5,0.0
100,exp_1,1.1102230246251565e-16
100,exp_2,2.220446049250313e-16
100,asinh,0.0
100,logistic,0.0
101,exp_0_5,0.0
101,exp_1,0.0
101,exp_2,5.551115123125783e-17
101,asinh,0.0
101,logistic,0.0
102,exp_0_5,5.551115123125783e-17
102,exp_1,0.0
102,exp_2,5.551115123125783e-17
102,asinh,5.551115123125783e-17
102,logistic,5.551115123125783e-17
103,exp_0_5,0.0
103,exp_1,0.0
103,exp_2,0.0
103,asinh,0.0
103,logistic,5.551115123125783e-17
104,exp_0_5,1.1102230246251565e-16
104,exp_1,0.0
104,exp_2,0.0
104,asinh,0.0
104,logistic,1.1102230246251565e-16
105,exp_0_5,5.551115123125783e-17
105,exp_1,5.551115123125783e-17
105,exp_2,0.0
105,asinh,5.551115123125783e-17
105,logistic,0.0
106,exp_0_5,2.7755575615628914e-17
106,exp_1,0.0
106,exp_2,0.0
106,asinh,5.551115123125783e-17
106,logistic,5.551115123125783e-17
107,exp_0_5,0.0
107,exp_1,0.0
107,exp_2,0.0
107,asinh,0.0
107,logistic,0.0
108,exp_0_5,0.0
108,exp_1,1.1102230246251565e-16
108,exp_2,0.0
108,asinh,1.1102230246251565e-16
108,logistic,3.3306690738754696e-16
109,exp_0_5,1.1102230246251565e-16
109,exp_1,1.1102230246251565e-16
109,exp_2,1.1102230246251565e-16
109,asinh,0.0
109,logistic,1.1102230246251565e-16
110,exp_0_5,0.0
110,exp_1,0.0
110,exp_2,0.0
110,asinh,0.0
110,logistic,0.0
111,exp_0_5,1.1102230246251565e-16
111,exp_1,1.1102230246251565e-16
111,exp_2,5.551115123125783e-17
111,asinh,0.0
111,logistic,0.0
112,exp_0_5,0.0
112,exp_1,0.0
112,exp_2,2.7755575615628914e-17
112,asinh,5.551115123125783e-17
112,logistic,0.0
113,exp_0_5,1.1102230246251565e-16
113,exp_1,1.1102230246251565e-16
113,exp_2,2.220446049250313e-16
113,asinh,0.0
113,logistic,1.1102230246251565e-16
114,exp_0_5,0.0
114,exp_1,0.0
114,exp_2,0.0
114,asinh,5.551115123125783e-17
114,logistic,5.551115123125783e-17
115,exp_0_5,1.1102230246251565e-16
115,exp_1,1.1102230246251565e-16
115,exp_2,0.0
115,asinh,2.220446049250313e-16
115,logistic,1.1102230246251565e-16
116,exp_0_5,1.1102230246251565e-16
116,exp_1,1.1102230246251565e-16
116,exp_2,1.1102230246251565e-16
116,asinh,0.0
116,logistic,0.0
117,exp_0_5,5.551115123125783e-17
117,exp_1,0.0
117,exp_2,5.551115123125783e-17
117,asinh,1.1102230246251565e-16
117,logistic,5.551115123125783e-17
118,exp_0_5,0.0
118,exp_1,1.1102230246251565e-16
118,exp_2,0.0
118,asinh,1.1102230246251565e-16
118,logistic,0.0
119,exp_0_5,0.0
119,exp_1,5.551115123125783e-17
119,exp_2,5.551115123125783e-17
119,asinh,0.0
119,logistic,0.0
120,exp_0_5,0.0
120,exp_1,0.0
120,exp_2,0.0
120,asinh,0.0
120,logistic,1.1102230246251565e-16
121,exp_0_5,1.1102230246251565e-16
121,exp_1,1.1102230246251565e-16
121,exp_2,0.0
121,asinh,5.551115123125783e-17
121,logistic,5.551115123125783e-17
122,exp_0_5,1.6653345369377348e-16
122,exp_1,0.0
122,exp_2,5.551115123125783e-17
122,asinh,0.0
122,logistic,1.1102230246251565e-16
123,exp_0_5,1.1102230246251565e-16
123,exp_1,1.1102230246251565e-16
123,exp_2,0.0
123,asinh,0.0
123,logistic,1.1102230246251565e-16
124,exp_0_5,0.0
124,exp_1,1.3877787807814457e-17
124,exp_2,0.0
124,asinh,0.0
124,logistic,0.0
125,exp_0_5,1.1102230246251565e-16
125,exp_1,0.0
125,exp_2,1.1102230246251565e-16
125,asinh,1.1102230246251565e-16
125,logistic,1.1102230246251565e-16
126,exp_0_5,1.1102230246251565e-16
126,exp_1,0.0
126,exp_2,0.0
126,asinh,1.1102230246251565e-16
126,logistic,0.0
127,exp_0_5,2.220446049250313e-16
127,exp_1,0.0
127,exp_2,2.220446049250313e-16
127,asinh,1.1102230246251565e-16
127,logistic,0.0
128,exp_0_5,1.1102230246251565e-16
128,exp_1,1.1102230246251565e-16
128,exp_2,1.1102230246251565e-16
128,asinh,1.1102230246251565e-16
128,logistic,0.0
129,exp_0_5,0.0
129,exp_1,0.0
129,exp_2,0.0
129,asinh,0.0
129,logistic,2.220446049250313e-16
130,exp_0_5,0.0
130,exp_1,5.551115123125783e-17
130,exp_2,2.7755575615628914e-17
130,asinh,1.1102230246251565e-16
130,logistic,5.551115123125783e-17
131,exp_0_5,0.0
131,exp_1,1.1102230246251565e-16
131,exp_2,2.220446049250313e-16
