copula,marginal,permutation_code,count,probability
independence,uniform,271,137,0.00137
independence,uniform,272,139,0.00139
independence,uniform,273,139,0.00139
independence,uniform,274,147,0.00147
independence,uniform,275,138,0.00138
independence,uniform,276,142,0.00142
independence,uniform,277,123,0.00123
independence,uniform,278,140,0.0014
independence,uniform,279,129,0.00129
independence,uniform,280,123,0.00123
independence,uniform,281,128,0.00128
independence,uniform,282,143,0.00143
independence,uniform,283,116,0.00116
independence,uniform,284,126,0.00126
independence,uniform,285,130,0.0013
independence,uniform,286,154,0.00154
independence,uniform,287,141,0.00141
independence,uniform,288,139,0.00139
independence,uniform,289,116,0.00116
independence,uniform,290,127,0.00127
independence,uniform,291,125,0.00125
independence,uniform,292,136,0.00136
independence,uniform,293,141,0.00141
independence,uniform,294,155,0.00155
independence,uniform,295,131,0.00131
independence,uniform,296,147,0.00147
independence,uniform,297,152,0.00152
independence,uniform,298,145,0.00145
independence,uniform,299,152,0.00152
independence,uniform,300,124,0.00124
independence,uniform,301,135,0.00135
independence,uniform,302,152,0.00152
independence,uniform,303,129,0.00129
independence,uniform,304,134,0.00134
independence,uniform,305,144,0.00144
independence,uniform,306,116,0.00116
independence,uniform,307,142,0.00142
independence,uniform,308,139,0.00139
independence,uniform,309,146,0.00146
independence,uniform,310,150,0.0015
independence,uniform,311,117,0.00117
independence,uniform,312,153,0.00153
independence,uniform,313,134,0.00134
independence,uniform,314,148,0.00148
independence,uniform,315,144,0.00144
independence,uniform,316,144,0.00144
independence,uniform,317,159,0.00159
independence,uniform,318,138,0.00138
independence,uniform,319,141,0.00141
independence,uniform,320,119,0.00119
independence,uniform,321,141,0.00141
independence,uniform,322,140,0.0014
independence,uniform,323,137,0.00137
independence,uniform,324,128,0.00128
independence,uniform,325,158,0.00158
independence,uniform,326,137,0.00137
independence,uniform,327,146,0.00146
independence,uniform,328,134,0.00134
independence,uniform,329,140,0.0014
independence,uniform,330,132,0.00132
independence,uniform,331,131,0.00131
independence,uniform,332,150,0.0015
independence,uniform,333,157,0.00157
independence,uniform,334,148,0.00148
independence,uniform,335,155,0.00155
independence,uniform,336,143,0.00143
independence,uniform,337,148,0.00148
independence,uniform,338,152,0.00152
independence,uniform,339,138,0.00138
independence,uniform,340,143,0.00143
independence,uniform,341,146,0.00146
independence,uniform,342,125,0.00125
independence,uniform,343,139,0.00139
independence,uniform,344,134,0.00134
independence,uniform,345,145,0.00145
independence,uniform,346,140,0.0014
independence,uniform,347,149,0.00149
independence,uniform,348,133,0.00133
independence,uniform,349,136,0.00136
independence,uniform,350,135,0.00135
independence,uniform,351,129,0.00129
independence,uniform,352,150,0.0015
independence,uniform,353,116,0.00116
independence,uniform,354,144,0.00144
independence,uniform,355,149,0.00149
independence,uniform,356,142,0.00142
independence,uniform,357,133,0.00133
