n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,local_log_odds_shift_error,beta_q_scale_degeneracy_error
16,21,True,True,1.6653345369377348e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.21447421853060342,0.0,1.1102230246251565e-16
16,22,True,True,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.3101126033678468,0.0,2.220446049250313e-16
16,23,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.45618030250941377,0.0,1.1102230246251565e-16
16,24,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.4063721456328937,0.0,1.1102230246251565e-16
16,25,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5738333618856226,0.0,1.1102230246251565e-16
16,26,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.49144994108783,4.440892098500626e-16,5.551115123125783e-17
16,27,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3086611625727156,0.0,1.1102230246251565e-16
16,28,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.2049586198351394,0.0,2.220446049250313e-16
16,29,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4732254604539986,0.0,1.1102230246251565e-16
16,30,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5308981295490756,0.0,1.1102230246251565e-16
16,31,True,True,2.220446049250313e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.33675508609166804,0.0,1.1102230246251565e-16
16,32,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.3864911670330875,0.0,1.1102230246251565e-16
16,33,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.14407461756303014,0.0,1.1102230246251565e-16
16,34,True,True,1.1102230246251565e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,0.32369034446252115,4.440892098500626e-16,1.1102230246251565e-16
