split,family,label_manifold,dimension_target,sample_index,null_probability,target_ordering_fraction,ordering_fraction_mismatch,n,ordering_fraction,d_mm,d_lc,r2_lc,d_mid,mad_mid,branch_excess,usable_reg_fraction,usable_mid_fraction,number_comparable_pairs,number_regression_intervals,number_midpoint_intervals,abs_d_lc_minus_d_mm,abs_d_mid_minus_d_mm
train,minkowski,1,3,18,,0.24454365079365079,0.0,64,0.24454365079365079,2.9163169228662547,3.6609342439464867,0.3696168540328043,2.938599455335857,0.14886338591448256,0.5916666666666667,0.11359026369168357,0.018255578093306288,493,56,9,0.744617321080232,0.022282532469602323
train,minkowski,1,3,19,,0.26686507936507936,0.0,64,0.26686507936507936,2.80752140940318,3.1777376762211125,0.5284666426679118,2.523561956057013,0.06413033741971574,0.6,0.11338289962825279,0.016728624535315983,538,61,9,0.3702162668179323,0.2839594533461671
train,transitive_percolation,0,2,0,0.13405788798344234,0.597718253968254,0.02529761904761907,64,0.5724206349206349,1.8177263100686742,1.8126790491042182,0.8406375391813676,1.5849625007211563,0.16992500144231237,0.4166666666666667,0.4480069324090121,0.1949740034662045,1154,517,225,0.005047260964456068,0.23276380934751795
train,transitive_percolation,0,2,1,0.1101180422421671,0.4513888888888889,0.009920634920634941,64,0.44146825396825395,2.1645760396743072,1.9624959637128645,0.7251456850573639,1.557738608709968,0.19516852932525963,0.36363636363636365,0.33146067415730335,0.07640449438202247,890,295,68,0.20208007596144273,0.6068374309643392
train,transitive_percolation,0,2,2,0.13350926500000446,0.4880952380952381,0.005456349206349187,64,0.4826388888888889,2.04699925183562,1.859166072239995,0.6944751763744843,1.6629650127224291,0.08496250072115619,0.36363636363636365,0.34532374100719426,0.08633093525179857,973,336,84,0.18783317959562496,0.3840342391131908
train,transitive_percolation,0,2,3,0.12000841755215044,0.4712301587301587,0.012400793650793662,64,0.4836309523809524,2.0442748224953644,1.8434103449787522,0.7356613900725135,1.7655347463629771,0.102569733640548,0.4,0.3558974358974359,0.10871794871794872,975,347,106,0.20086447751661218,0.27874007613238727
train,transitive_percolation,0,2,4,0.10316702968992653,0.5084325396825397,0.02380952380952378,64,0.48462301587301587,2.0415551940859573,2.431712012350105,0.6479862886967963,2.0874628412503395,0.08746284125033954,0.4444444444444444,0.3039918116683726,0.09723643807574207,977,297,95,0.3901568182641477,0.045907647164382226
train,transitive_percolation,0,2,5,0.11685269224817184,0.5520833333333334,0.04613095238095233,64,0.5982142857142857,1.7574210072296104,1.935953169976823,0.8454447322527683,1.84799690655495,0.10619940383192539,0.4444444444444444,0.45854063018242125,0.2155887230514096,1206,553,260,0.17853216274721273,0.0905758993253396
train,transitive_percolation,0,2,6,0.10917198699614156,0.47867063492063494,0.019841269841269826,64,0.49851190476190477,2.003973304163796,2.094577315452739,0.6343900253683742,1.7655347463629771,0.18057224564182084,0.4,0.345273631840796,0.11343283582089553,1005,347,114,0.09060401128894302,0.23843855780081902
train,transitive_percolation,0,2,7,0.11266966003373818,0.5267857142857143,0.001984126984126977,64,0.5287698412698413,1.9250918301621998,2.517385428367442,0.7043246640212368,2.0,0.1699250014423126,0.45454545454545453,0.3602251407129456,0.13227016885553472,1066,384,141,0.5922935982052422,0.07490816983780024
train,transitive_percolation,0,2,8,0.14497660569360557,0.5471230158730159,0.025793650793650813,64,0.5213293650793651,1.9441272958376075,2.133782740518985,0.6789591332567146,1.8744691179161412,0.12553088208385876,0.4444444444444444,0.362511893434824,0.12178877259752617,1051,381,128,0.1896554446813774,0.06965817792146622
train,transitive_percolation,0,2,9,0.10120057320498439,0.5704365079365079,0.0009920634920634885,64,0.5694444444444444,1.8248269427531525,1.723445722397227,0.7692857700700176,1.5849625007211563,0.11103131238874409,0.36363636363636365,0.48257839721254353,0.20644599303135888,1148,554,237,0.10138122035592545,0.2398644420319962
train,three_layer,0,2,0,0.999999,0.597718253968254,0.03720238095238093,64,0.6349206349206349,1.6751247622011993,6.419663353468042,-48.0,4.08746284125034,0.0,0.9117647058823529,0.2,0.2,1280,256,256,4.744538591266843,2.4123380790491407
train,three_layer,0,2,1,0.6636761505829848,0.4513888888888889,0.01339285714285715,64,0.46478174603174605,2.0968839146947187,,0.0,3.1699250014423126,0.08246216019197306,0.8125,0.27321237993596587,0.1664887940234792,937,256,156,,1.073041086747594
train,three_layer,0,2,2,0.6706361070736089,0.4880952380952381,0.02132936507936506,64,0.466765873015873,2.0912601562344286,,0.95703125,3.1699250014423126,0.08246216019197306,0.8125,0.2720510095642933,0.16684378320935175,941,256,157,,1.078664845207884
train,three_layer,0,2,3,0.7067466192079758,0.4712301587301587,0.01339285714285715,64,0.48462301587301587,2.0415551940859573,,-3.0,3.1699250014423126,0.08246216019197306,0.8333333333333334,0.26202661207778916,0.21903787103377687,977,256,214,,1.1283698073563553
train,three_layer,0,2,4,0.7466113434477705,0.5084325396825397,0.0004960317460317443,64,0.5079365079365079,1.9789777676660845,,-3.0,3.3219280948873626,0.13750352374993513,0.85,0.25,0.2392578125,1024,256,245,,1.3429503272212782
train,three_layer,0,2,5,0.8518630566770017,0.5520833333333334,0.017857142857142794,64,0.5699404761904762,1.8236413863515288,,-1.921875,3.7548875021634687,0.10309349296410364,0.8888888888888888,0.2228024369016536,0.2228024369016536,1149,256,256,,1.9312461158119398
train,three_layer,0,2,6,0.7276310551410177,0.47867063492063494,0.022321428571428548,64,0.5009920634920635,1.9973567341557528,,-3.0,3.2479275134435857,0.1443899093351746,0.8421052631578947,0.25346534653465347,0.2376237623762376,1010,256,240,,1.250570779287833
train,three_layer,0,2,7,0.7632355587459764,0.5267857142857143,0.009920634920634885,64,0.5168650793650794,1.9556589652632432,,-10.92578125,3.3923174227787602,0.1312445332782528,0.8571428571428571,0.2456813819577735,0.2437619961612284,1042,256,254,,1.436658457515517
train,three_layer,0,2,8,0.8045683873061755,0.5471230158730159,0.010912698412698485,64,0.5362103174603174,1.9062804857399664,,-3.703125,3.523561956057013,0.1202942337177122,0.8695652173913043,0.23681776133209992,0.23681776133209992,1081,256,256,,1.6172814703170466
train,three_layer,0,2,9,0.8750859078803948,0.5704365079365079,0.00694444444444442,64,0.5634920634920635,1.8391204366047167,,0.4453125,3.700439718141092,0.10691520391651155,0.8846153846153846,0.22535211267605634,0.22535211267605634,1136,256,256,,1.8613192815363755
train,transitive_percolation,0,3,0,0.06330184140368265,0.21726190476190477,0.03521825396825398,64,0.18204365079365079,3.279427522953946,2.6235726069385112,0.18136689083593038,,,0.3693181818181818,0.05994550408719346,0.0,367,22,0,0.6558549160154348,
train,transitive_percolation,0,3,1,0.06804896775197324,0.21478174603174602,0.04960317460317462,64,0.26438492063492064,2.8191834904960307,1.7185443855351081,0.5636106857036978,1.4534452978042594,0.06112787502549899,0.3333333333333333,0.12382739212007504,0.00375234521575985,533,66,2,1.1006391049609225,1.3657381926917713
train,transitive_percolation,0,3,2,0.06702366226142485,0.20734126984126985,0.0,64,0.20734126984126985,3.120138878101467,0.9817874375010703,0.3840974853068444,,,0.25,0.050239234449760764,0.0,418,21,0,2.1383514406003967,
train,transitive_percolation,0,3,3,0.08221515297652852,0.2534722222222222,0.019841269841269826,64,0.27331349206349204,2.777663332172463,2.701638904855897,0.4157336582039006,2.0687517618749673,0.11702766943101417,0.4365079365079365,0.13430127041742287,0.021778584392014518,551,74,12,0.076024427316566,0.7089115702974955
train,transitive_percolation,0,3,4,0.07295372770369382,0.1939484126984127,0.006448412698412703,64,0.1875,3.243376542475532,1.6465301966634835,0.4228343079069906,,,0.25,0.082010582010582,0.0,378,31,0,1.5968463458120485,
train,transitive_percolation,0,3,5,0.06252840472461005,0.16964285714285715,0.014880952380952384,64,0.15476190476190477,3.476637677339699,,,,,0.2222222222222222,0.022435897435897436,0.0,312,7,0,,
train,transitive_percolation,0,3,6,0.06058559777189813,0.22371031746031747,0.027281746031746046,64,0.19642857142857142,3.1864689652640634,2.8205236041718513,0.2852803568239427,1.6780719051126378,0.0,0.3333333333333333,0.07828282828282829,0.0025252525252525255,396,31,1,0.3659453610922121,1.5083970601514256
train,transitive_percolation,0,3,7,0.06263648468104406,0.24950396825396826,0.015376984126984128,64,0.2648809523809524,2.816842986613539,2.5016546851166463,0.3724885083258549,1.6780719051126378,0.08746284125033932,0.3333333333333333,0.1441947565543071,0.02247191011235955,534,77,12,0.3151883014968928,1.1387710815009013
train,transitive_percolation,0,3,8,0.06277230628332678,0.25297619047619047,0.007440476190476192,64,0.24553571428571427,2.911289008721762,1.7455794553833026,0.45275621421125845,,,0.25,0.1111111111111111,0.0,495,55,0,1.1657095533384594,
