n,m,expected_count,expected_profile
128,105,0.14871511920245145,3.6593287205327615e-05
128,106,0.12895071840562272,3.172999960768275e-05
128,107,0.1111260107846007,2.7343998716683236e-05
128,108,0.09511854096212491,2.3405152795798448e-05
128,109,0.0808100177927242,1.988435477183174e-05
128,110,0.06808614850155535,1.6753481422626804e-05
128,111,0.056836480684587985,1.3985354499160427e-05
128,112,0.04695425173505948,1.1553703674965421e-05
128,113,0.03833624528869154,9.433131222611105e-06
128,114,0.030882654305760947,7.599078323267948e-06
128,115,0.024496950431907395,6.027792921237054e-06
128,116,0.01908575930168203,4.696299040768215e-06
128,117,0.014558741469423065,3.582367487554887e-06
128,118,0.010828478671207271,2.6644878620096624e-06
128,119,0.007810365139477732,1.9218418158163705e-06
128,120,0.005422503708588529,1.3342774873495394e-06
128,121,0.0035856064650271503,8.822850553708537e-07
128,122,0.00222289971055939,5.469733539762277e-07
128,123,0.0012600330200660402,3.1004749509499016e-07
128,124,0.0006249921884764404,1.5378744795188e-07
128,125,0.000248015873015873,6.102752780902385e-08
128,126,6.151574803149606e-05,1.5136749023498042e-08
160,0,590.5373072152985,0.09285177786404064
160,1,436.19281844023817,0.06858377648431417
160,2,361.3483296651779,0.05681577510458772
160,3,312.837174223451,0.049188234940794176
160,4,277.4093521150574,0.04361782265960022
160,5,249.78153000666381,0.03927382547274588
160,6,227.32037456493688,0.03574219725863787
160,7,208.52588578987664,0.03278708896067243
160,8,192.46353987195923,0.030261562872949566
160,9,178.51230506515293,0.0280679724945209
160,10,166.23884803612444,0.026138183653478687
160,11,155.3290273707323,0.024422803045712625
160,12,145.54799458412802,0.02288490480882516
160,13,136.7156797462417,0.021496176060729826
160,14,128.69105721604768,0.020234442958498064
160,15,121.36167278109176,0.019082024022184237
160,16,114.63645501280251,0.01802459984478027
160,17,108.44064900921914,0.01705041651088351
160,18,102.71216326707368,0.01614971120551473
160,19,97.3988822032908,0.01531428965460547
160,20,92.45665377108685,0.014537209712435039
160,21,87.84775867221624,0.013812540671732114
160,22,83.53972937421143,0.013135177574561546
160,23,79.5044273489339,0.012500696124046211
160,24,75.71731372945348,0.011905238007775704
160,25,72.15686677663972,0.0113454193045031
160,26,68.80411213151825,0.010818256624452556
160,27,65.64224067727999,0.010321107024729558
160,28,62.656295148967644,0.00985161873411441
160,29,59.832911197009985,0.009407690439781444
160,30,57.160101957696,0.008987437414732076
160,31,54.62707766461858,0.008589163154814242
160,32,52.2240936941218,0.008211335486497138
160,33,49.942321844837146,0.007852566327804582
160,34,47.77374072639028,0.0075115944538349496
160,35,45.711041960884586,0.007187270748566759
160,36,43.74754954458525,0.006878545525878184
160,37,41.877150221379,0.00658445758197783
160,38,40.09423311723391,0.006304124703967596
160,39,38.393637200673176,0.006036735408910877
160,40,36.77060538667654,0.0057815417274648655
160,41,35.220744304387225,0.005537852878048306
160,42,33.73998891315482,0.005305029703326229
160,43,32.32457128493459,0.005082479761782169
160,44,30.9709929801816,0.004869652984305283
160,45,29.676000534014463,0.004666037819813595
160,46,28.436563643402884,0.004471157805566491
160,47,27.249855707462903,0.00428456850746272
160,48,26.113236424005194,0.0041058547836486155
160,49,25.02423618816653,0.003934628331472725
160,50,23.980542074776846,0.003770525483455479
160,51,22.979985216289126,0.0036132052226869695
160,52,22.02052941360834,0.003462347392076783
160,53,21.10026083879403,0.00331765107528208
160,54,20.21737870702654,0.0031788331300356197
160,55,19.370186810949285,0.0030456268570674978
160,56,18.55708582396294,0.0029177807899312797
160,57,17.776566290610678,0.002795057592863314
160,58,17.027202232152547,0.0026772330553698973
160,59,16.30764530402756,0.002564095173589239
160,60,15.616619449348896,0.002455443309646053
160,61,14.952915999041817,0.0023510874212329903
160,62,14.315389174858485,0.0022508473545374977
160,63,13.702951956409917,0.002154552194404075
160,64,13.114572277643889,0.002062039666296209
160,65,12.549269521954786,0.001973155585213017
160,66,12.006111288410203,0.0018877533472343086
160,67,11.48421040448118,0.001805693459824085
160,68,10.982722163221165,0.0017268431074247115
160,69,10.500841765098404,0.0016510757492293087
160,70,10.03780194668579,0.0015782707463342436
160,71,9.592870780184642,0.001508313015752302
160,72,9.165349629332948,0.0014410927090146143
160,73,8.75457124864868,0.001376504913309541
160,74,8.359898014206546,0.001314449373302916
160,75,7.980720275259907,0.0012548302319591049
160,76,7.616454817015023,0.00119755578883884
160,77,7.266543425755785,0.0011425382744899033
160,78,6.93045154831606,0.0010896936396723365
160,79,6.607667038614083,0.0010389413582726544
160,80,6.297698984608308,0.0009902042428629415
160,81,6.000076609614879,0.0009434082719520251
160,82,5.714348242450417,0.0008984824280582417
160,83,5.4400803513364995,0.0008553585458076257
160,84,5.176856636929409,0.0008139711693285233
160,85,4.924277180225399,0.0007742574182744338
160,86,4.681957641442046,0.0007361568618619569
160,87,4.449528506294084,0.000699611400360705
160,88,4.226634376370783,0.0006645651535174187
160,89,4.012933300584357,0.000630964355437792
160,90,3.8080961448978052,0.0005987572554870763
160,91,3.611805997758262,0.0005678940248047582
160,92,3.4237576088604778,0.0005383266680598235
160,93,3.243656859046377,0.0005100089401016316
160,94,3.0712202593123497,0.0004828962671874764
160,95,2.906174477047527,0.0004569456724917495
160,96,2.7482558877651604,0.0004321157056234529
160,97,2.597210150716471,0.00040836637589881616
160,98,2.452791806893113,0.0003856590891341373
160,99,2.3147638980316185,0.0003639565877408205
160,100,2.18289760533174,0.0003432228939200849
160,101,2.0569719066912677,0.00032342325576906726
160,102,1.9367732513433598,0.0003045240961231698
160,103,1.822095250859339,0.0002864929639715942
160,104,1.7127383855508225,0.00026929848829415447
160,105,1.6085097253705112,0.00025291033417775336
160,106,1.5092226644714217,0.00023729916108041223
160,107,1.4146966686402216,0.0002224365831195317
160,108,1.324757034872019,0.00020829513126918538
160,109,1.2392346624018116,0.00019484821735877542
160,110,1.1579658345521213,0.00018207009977234612
160,111,1.0807920107974351,0.0001699358507543137
160,112,1.0075596284841906,0.0001584213252333633
160,113,0.9381199136804275,0.00014750313108182823
160,114,0.8723287006621014,0.0001371586007330348
160,115,0.8100462595736,0.00012736576408389937
160,116,0.7511371318284269,0.00011810332261453253
160,117,0.6954699728424639,0.00010935062466076477
160,118,0.6429174017168515,0.00010108764177937917
160,119,0.5933558575104814,9.329494614944676e-05
160,120,0.546665461763495,8.595368895652437e-05
160,121,0.5027298869531477,7.904557970961442e-05
160,122,0.4614362305820363,7.25528664437164e-05
160,123,0.4226748946160962,6.645831676353713e-05
160,124,0.38633947000604385,6.074519968648488e-05
160,125,0.3523266260411528,5.539726824546427e-05
160,126,0.32053600429848395,5.039874281422703e-05
160,127,0.29087011696401405,4.5734295120127995e-05
160,128,0.26323424931458356,4.138903291109804e-05
160,129,0.23753636616127705,3.734848524548381e-05
160,130,0.21368702206581197,3.359858837512767e-05
160,131,0.19159927515179137,3.0125672193677887e-05
160,132,0.17118860434232783,2.691644722363645e-05
160,133,0.1523728298646027,2.39579921170759e-05
160,134,0.13507203687043723,2.1237741646295162e-05
160,135,0.1192085020299478,1.8743475161941477e-05
160,136,0.10470662296287886,1.6463305497307998e-05
160,137,0.09149285037927923,1.438566829862881e-05
160,138,0.07949562280784504,1.2499311762239787e-05
160,139,0.06864530379651929,1.0793286760459008e-05
160,140,0.05887412147584102,9.256937338968713e-06
160,141,0.050116110381099935,7.879891569355336e-06
160,142,0.04230705543459579,6.652052741288647e-06
160,143,0.03538443799424746,5.5635908795986575e-06
160,144,0.029287383879462454,4.604934572242524e-06
160,145,0.023956613289581666,3.7667630958461738e-06
160,146,0.01933439253437258,3.0399988261592107e-06
160,147,0.015364487499972367,2.415799921379303e-06
160,148,0.01199211877739418,1.8855532668858773e-06
160,149,0.009163918384219222,1.4408676704747205e-06
160,150,0.006827888013415628,1.0735672977068596e-06
160,151,0.004933358746364793,7.756853374787411e-07
160,152,0.0034309521701470017,5.394578883878933e-07
160,153,0.002272542841951226,3.573180569105701e-07
160,154,0.0014112220461381,2.2189025882674528e-07
160,155,0.0008012627920090965,1.2598471572470071e-07
160,156,0.00039808600272707407,6.259213879356511e-08
160,157,0.00015822784810126583,2.487859246875249e-08
160,158,3.930817610062893e-05,6.180530833432222e-09
