n,family,sample_index,score_hellinger_squared,p_value,compatible_at_alpha_0_05,ordering_fraction,target_ordering_fraction,ordering_fraction_mismatch,perturbation_fraction,profile_m0,profile_m1,profile_m2
96,cover_deletion,24,0.003784195489635378,0.9867109634551495,True,0.5105263157894737,,0.0,0.1,0.12328178694158076,0.09407216494845361,0.08118556701030928
96,cover_deletion,25,0.004223271794140393,0.9335548172757475,True,0.49605263157894736,,0.0,0.1,0.121131741821397,0.09504862953138815,0.08045977011494253
96,cover_deletion,26,0.0072991234162052,0.2425249169435216,True,0.48837719298245613,,0.0,0.1,0.1347103726986978,0.1140547822182308,0.0880107768298159
96,cover_deletion,27,0.015948944263372566,0.006644518272425249,False,0.4019736842105263,,0.0,0.1,0.1625750136388434,0.1298417894162575,0.10092744135297327
96,cover_deletion,28,0.008302230949121081,0.15282392026578073,True,0.46578947368421053,,0.0,0.1,0.1440677966101695,0.10310734463276836,0.08851224105461393
96,cover_deletion,29,0.006853424435800282,0.31561461794019935,True,0.47675438596491226,,0.0,0.1,0.11039558417663294,0.11039558417663294,0.07681692732290708
96,cover_deletion,30,0.005529816939717769,0.654485049833887,True,0.4953947368421053,,0.0,0.1,0.11199645861000443,0.10270030987162461,0.08277999114652501
96,cover_deletion,31,0.009895615368825994,0.06312292358803986,True,0.4418859649122807,,0.0,0.1,0.13647642679900746,0.11265508684863523,0.08635235732009926
96,cover_deletion,32,0.005732648779362082,0.5980066445182725,True,0.5070175438596491,,0.0,0.1,0.12024221453287197,0.10553633217993079,0.09429065743944637
96,cover_deletion,33,0.004669916377297523,0.8538205980066446,True,0.531140350877193,,0.0,0.1,0.12056151940545004,0.09248554913294797,0.07555739058629232
96,cover_deletion,34,0.009588520166864845,0.07308970099667775,True,0.43706140350877193,,0.0,0.1,0.13798294029101857,0.11088810837932765,0.08830908178625188
96,cover_deletion,35,0.010888349498558325,0.04983388704318937,False,0.4280701754385965,,0.0,0.1,0.1408811475409836,0.12653688524590165,0.0855532786885246
96,cover_deletion,36,0.019480281982343972,0.0033222591362126247,False,0.4052631578947368,,0.0,0.1,0.14556277056277056,0.11688311688311688,0.10227272727272728
96,cover_deletion,37,0.007537735567018089,0.22591362126245848,True,0.46710526315789475,,0.0,0.1,0.14741784037558686,0.09765258215962441,0.08544600938967137
96,cover_deletion,38,0.009204029105229883,0.09302325581395349,True,0.5285087719298246,,0.0,0.1,0.10663900414937759,0.11369294605809128,0.08506224066390042
96,cover_deletion,39,0.015770523515811208,0.006644518272425249,False,0.41907894736842105,,0.0,0.1,0.13553113553113552,0.12035583464154893,0.09733124018838304
96,cover_deletion,40,0.007360441623701641,0.23920265780730898,True,0.5245614035087719,,0.0,0.1,0.11413043478260869,0.09531772575250837,0.09280936454849498
96,cover_deletion,41,0.007868843252773372,0.18604651162790697,True,0.4743421052631579,,0.0,0.1,0.12390198797965789,0.10587147480351364,0.09477577438742488
96,cover_deletion,42,0.005709471656029974,0.6046511627906976,True,0.45285087719298245,,0.0,0.1,0.12493946731234867,0.10653753026634383,0.08716707021791767
96,cover_deletion,43,0.006322738214191381,0.3920265780730897,True,0.4543859649122807,,0.0,0.1,0.1361003861003861,0.11486486486486487,0.0834942084942085
96,cover_deletion,44,0.0052151690051351896,0.7375415282392026,True,0.4885964912280702,,0.0,0.1,0.1319569120287253,0.09964093357271095,0.08168761220825853
96,cover_deletion,45,0.030791472668045383,0.0033222591362126247,False,0.37543859649122807,,0.0,0.1,0.1699766355140187,0.1366822429906542,0.10922897196261683
96,cover_deletion,46,0.01049640008947006,0.05647840531561462,True,0.43355263157894736,,0.0,0.1,0.14972180070814364,0.12645422357106728,0.08143651997976732
96,cover_deletion,47,0.004805240774413022,0.840531561461794,True,0.49144736842105263,,0.0,0.1,0.13699241410084784,0.107095046854083,0.07942882641677822
96,cover_deletion,48,0.008661001880065466,0.12956810631229235,True,0.44035087719298244,,0.0,0.1,0.1449203187250996,0.10856573705179283,0.09163346613545817
96,cover_deletion,49,0.01233462965868326,0.029900332225913623,False,0.42390350877192984,,0.0,0.1,0.13347128815312986,0.11950336264873254,0.10294878427315055
96,cover_deletion,50,0.007721174904455674,0.20930232558139536,True,0.450219298245614,,0.0,0.1,0.11787627861665854,0.1071602532878714,0.08865075499269362
96,cover_deletion,51,0.006559307436361461,0.3554817275747508,True,0.5160087719298245,,0.0,0.1,0.11602209944751381,0.10199745006374841,0.07819804504887377
96,cover_deletion,52,0.008069599774309433,0.16611295681063123,True,0.4355263157894737,,0.0,0.1,0.14551863041289023,0.11329305135951662,0.0850956696878147
96,cover_deletion,53,0.028262340170799982,0.0033222591362126247,False,0.4307017543859649,,0.0,0.1,0.12423625254582485,0.12067209775967414,0.10183299389002037
96,cover_deletion,54,0.006251741670005417,0.4152823920265781,True,0.5089912280701754,,0.0,0.1,0.12106850495476087,0.1029728565273589,0.08358466178371392
96,cover_deletion,55,0.010901636704710782,0.04983388704318937,False,0.4280701754385965,,0.0,0.1,0.1449795081967213,0.11321721311475409,0.0860655737704918
96,cover_deletion,56,0.0039797598107583765,0.9700996677740864,True,0.5177631578947368,,0.0,0.1,0.12113511224057602,0.09741634900465904,0.08132147395171538
96,cover_deletion,57,0.0074968407295716855,0.22591362126245848,True,0.47960526315789476,,0.0,0.1,0.12711476909007774,0.11202560585276634,0.09190672153635117
96,cover_deletion,58,0.01095723418482264,0.046511627906976744,False,0.4390350877192982,,0.0,0.1,0.15184815184815184,0.1063936063936064,0.0969030969030969
96,cover_deletion,59,0.0053337627320731995,0.7043189368770764,True,0.49166666666666664,,0.0,0.1,0.11775200713648529,0.10124888492417485,0.09589652096342552
96,cover_deletion,0,0.02515987965515376,0.0033222591362126247,False,0.40942982456140353,,0.0,0.2,0.14675950723085163,0.13711837171933583,0.10765934654525977
