sample_index,epsilon,base_weighted_sd,total_variation,nonincreasing_from_previous
28,1e-05,0.9791485778941214,2.4316104757278517e-06,True
28,1e-06,0.9791485778941214,2.4316157798749993e-07,True
29,0.1,0.9811509407466426,0.08561713665312175,True
29,0.01,0.9811509407466426,0.009521293899092982,True
29,0.001,0.9811509407466426,0.0009631135005122179,True
29,0.0001,0.9811509407466426,9.642279103385279e-05,True
29,1e-05,0.9811509407466426,9.643395137624942e-06,True
29,1e-06,0.9811509407466426,9.64350675846824e-07,True
30,0.1,0.7455478476233517,0.004582963960340397,True
30,0.01,0.7455478476233517,0.00047082776408118986,True
30,0.001,0.7455478476233517,4.7211894025374096e-05,True
30,0.0001,0.7455478476233517,4.722484502516466e-06,True
30,1e-05,0.7455478476233517,4.722614051747328e-07,True
30,1e-06,0.7455478476233517,4.722627000647676e-08,True
31,0.1,1.3888009498952745,0.009404767910781972,True
31,0.01,1.3888009498952745,0.0009551858649650103,True
31,0.001,1.3888009498952745,9.566804171229419e-05,True
31,0.0001,1.3888009498952745,9.568301126215455e-06,True
31,1e-05,1.3888009498952745,9.5684508457543e-07,True
31,1e-06,1.3888009498952745,9.568465817756892e-08,True
32,0.1,0.44710833015882845,0.014574170102392483,True
32,0.01,0.44710833015882845,0.0015787038150016084,True
32,0.001,0.44710833015882845,0.00015920836259270408,True
32,0.0001,0.44710833015882845,1.5934354483718367e-05,True
32,1e-05,0.44710833015882845,1.593570770508874e-06,True
32,1e-06,0.44710833015882845,1.593584304181012e-07,True
33,0.1,0.6563753414007389,0.01600433748150832,True
33,0.01,0.6563753414007389,0.0016255213917402086,True
33,0.001,0.6563753414007389,0.00016280727044040122,True
33,0.0001,0.6563753414007389,1.628328268371449e-05,True
33,1e-05,0.6563753414007389,1.6283538291327738e-06,True
33,1e-06,0.6563753414007389,1.6283563851149625e-07,True
34,0.1,1.1702526138461198,0.004703518359973048,True
34,0.01,1.1702526138461198,0.0004827570806302924,True
34,0.001,1.1702526138461198,4.8404447993618635e-05,True
34,0.0001,1.1702526138461198,4.841737088339049e-06,True
34,1e-05,1.1702526138461198,4.841866365326774e-07,True
34,1e-06,1.1702526138461198,4.841879283982294e-08,True
35,0.1,1.1262942930117408,0.007757238562566156,True
35,0.01,1.1262942930117408,0.0007833644682310719,True
35,0.001,1.1262942930117408,7.841363880783407e-05,True
35,0.0001,1.1262942930117408,7.842136594622529e-06,True
35,1e-05,1.1262942930117408,7.842213874763273e-07,True
35,1e-06,1.1262942930117408,7.842221606786309e-08,True
36,0.1,0.8789444331206889,0.006249966349097384,True
36,0.01,0.8789444331206889,0.0006302411154111974,True
36,0.001,0.8789444331206889,6.307702294400326e-05,True
36,0.0001,0.8789444331206889,6.308231879289163e-06,True
36,1e-05,0.8789444331206889,6.308284842329048e-07,True
36,1e-06,0.8789444331206889,6.308290138630557e-08,True
37,0.1,0.6543332632401958,0.006559134582187251,True
37,0.01,0.6543332632401958,0.0006841265053882074,True
37,0.001,0.6543332632401958,6.87090689947818e-05,True
37,0.0001,0.6543332632401958,6.873886119185829e-06,True
37,1e-05,0.6543332632401958,6.874184192128303e-07,True
37,1e-06,0.6543332632401958,6.874213999818164e-08,True
38,0.1,0.8720499733181125,0.006658131370454465,True
38,0.01,0.8720499733181125,0.0007011462728019174,True
38,0.001,0.8720499733181125,7.048898135834475e-05,True
38,0.0001,0.8720499733181125,7.052664021156675e-06,True
38,1e-05,0.8720499733181125,7.053040833915118e-07,True
38,1e-06,0.8720499733181125,7.053078525338562e-08,True
39,0.1,0.5590416342105333,0.03001351733145175,True
39,0.01,0.5590416342105333,0.0031063338599949765,True
39,0.001,0.5590416342105333,0.0003117294194291922,True
39,0.0001,0.5590416342105333,3.118395062894548e-05,True
39,1e-05,0.5590416342105333,3.1185051982950913e-06,True
39,1e-06,0.5590416342105333,3.1185162118309605e-07,True
