sample_index,old_count,observed_new_probability,asymptotic_new_probability,asymptotic_probability_error,old_pair_log_odds,expanded_pair_log_odds,pair_odds_collapsed_toward_one,absolute_expanded_pair_log_odds
56,13,0.001581417945169417,0.0015814179451694148,2.168404344971009e-18,-0.6212367409829553,-2.0138634518496242e-08,True,2.0138634518496242e-08
57,10,0.0030758588429540116,0.003075858842954005,6.5052130349130266e-18,1.2914520140006402,4.923237163324058e-08,True,4.923237163324058e-08
58,7,0.006897835113497351,0.006897835113497354,2.6020852139652106e-18,2.127326704792958,2.7668488894715463e-08,True,2.7668488894715463e-08
59,12,0.0019505656530105404,0.0019505656530105387,1.734723475976807e-18,1.8029151357251874,5.623183915831929e-08,True,5.623183915831929e-08
60,8,0.0051611463254581415,0.005161146325458139,2.6020852139652106e-18,-0.8341744399432411,-2.282831727506653e-08,True,2.282831727506653e-08
61,4,0.020108596134468106,0.020108596134468113,6.938893903907228e-18,-2.226527013542412,-3.356542744569491e-08,True,3.356542744569491e-08
62,4,0.02010859613446812,0.020108596134468113,6.938893903907228e-18,1.3777262478186143,3.919176017969068e-08,True,3.919176017969068e-08
63,5,0.013483418194656812,0.013483418194656805,6.938893903907228e-18,-2.068142543066375,-6.540933853084376e-08,True,6.540933853084376e-08
64,11,0.0024333952648429406,0.002433395264842939,1.734723475976807e-18,-2.9253874785189606,-1.0241486172872479e-07,True,1.0241486172872479e-07
65,6,0.009475758845705588,0.00947575884570558,8.673617379884035e-18,1.5021244601628487,5.875529978691002e-08,True,5.875529978691002e-08
66,3,0.032045963691410106,0.0320459636914101,6.938893903907228e-18,-1.5535111332204636,-2.442485987760639e-08,True,2.442485987760639e-08
67,4,0.02010859613446812,0.020108596134468113,6.938893903907228e-18,0.1519722008269127,4.497514572865715e-09,True,4.497514572865715e-09
68,9,0.003948127541290038,0.0039481275412900346,3.469446951953614e-18,0.7888336752111907,2.5201138635885867e-08,True,2.5201138635885867e-08
69,9,0.00394812754129004,0.0039481275412900346,5.204170427930421e-18,1.5819986122889458,5.5650062563991004e-08,True,5.5650062563991004e-08
70,7,0.006897835113497355,0.006897835113497354,1.734723475976807e-18,0.2654321828274173,7.977476425379308e-09,True,7.977476425379308e-09
71,12,0.0019505656530105391,0.0019505656530105387,4.336808689942018e-19,-1.2359654556922584,-2.9815206637302447e-08,True,2.9815206637302447e-08
72,5,0.013483418194656798,0.013483418194656805,6.938893903907228e-18,-0.981109835167531,-1.2013957456649996e-08,True,1.2013957456649996e-08
73,7,0.006897835113497355,0.006897835113497354,1.734723475976807e-18,-2.2294900311613612,-5.37430836508959e-08,True,5.37430836508959e-08
74,7,0.006897835113497359,0.006897835113497354,5.204170427930421e-18,0.4788684992720204,8.105435623142712e-09,True,8.105435623142712e-09
75,3,0.03204596369141012,0.0320459636914101,2.0816681711721685e-17,0.62494471160727,2.22994544785709e-08,True,2.22994544785709e-08
76,11,0.0024333952648429415,0.002433395264842939,2.6020852139652106e-18,0.22374330700899508,7.711597775037116e-09,True,7.711597775037116e-09
77,3,0.0320459636914101,0.0320459636914101,0.0,0.7072782059822815,1.8013519180586472e-08,True,1.8013519180586472e-08
78,5,0.013483418194656805,0.013483418194656805,0.0,-2.9293581974132206,-8.54716588506017e-08,True,8.54716588506017e-08
79,4,0.020108596134468113,0.020108596134468113,0.0,-0.9928476370030809,-2.3426554193361034e-08,True,2.3426554193361034e-08
80,6,0.009475758845705578,0.00947575884570558,1.734723475976807e-18,0.9843960486036605,1.6113019011358222e-08,True,1.6113019011358222e-08
81,10,0.003075858842954009,0.003075858842954005,3.903127820947816e-18,-0.30091806842056407,-8.853682937129606e-09,True,8.853682937129606e-09
82,9,0.003948127541290038,0.0039481275412900346,3.469446951953614e-18,0.09283061301786731,2.794204863580705e-09,True,2.794204863580705e-09
83,7,0.006897835113497357,0.006897835113497354,3.469446951953614e-18,0.4694024873197501,9.880205493791377e-09,True,9.880205493791377e-09
84,11,0.0024333952648429393,0.002433395264842939,4.336808689942018e-19,2.155793230397925,5.675841035963373e-08,True,5.675841035963373e-08
85,13,0.0015814179451694188,0.0015814179451694148,3.903127820947816e-18,2.8202164474095217,1.251981357928139e-07,True,1.251981357928139e-07
86,6,0.009475758845705583,0.00947575884570558,3.469446951953614e-18,-1.509047309084282,-4.24857985602757e-08,True,4.24857985602757e-08
87,12,0.0019505656530105428,0.0019505656530105387,4.119968255444917e-18,-0.11668522883424759,-4.602213398750876e-09,True,4.602213398750876e-09
88,3,0.03204596369141009,0.0320459636914101,6.938893903907228e-18,-2.207735432240569,-4.6753618625985605e-08,True,4.6753618625985605e-08
89,5,0.01348341819465681,0.013483418194656805,5.204170427930421e-18,0.9242977388719181,2.7025549432864106e-08,True,2.7025549432864106e-08
