sample_index,mode,size,clone_count,target_index,macro_total_variation,maximum_macro_probability_error,refinement_consistent
1343,weighted_z,11,6,9,1.5222198501696482e-16,8.326672684688674e-17,True
1344,unweighted_raw,10,2,8,0.060642345816588165,0.06064234581658813,False
1344,unweighted_z,10,2,8,0.05597074771853426,0.05597074771853419,False
1344,weighted_raw,10,2,8,3.469446951953614e-18,6.938893903907228e-18,True
1344,weighted_z,10,2,8,0.0,0.0,True
1345,unweighted_raw,9,5,0,0.29324103602994495,0.2932410360299451,False
1345,unweighted_z,9,5,0,0.28428043714071366,0.2842804371407137,False
1345,weighted_raw,9,5,0,1.3877787807814457e-17,2.7755575615628914e-17,True
1345,weighted_z,9,5,0,6.938893903907228e-18,1.3877787807814457e-17,True
1346,unweighted_raw,8,4,5,0.08875450894080639,0.08875450894080641,False
1346,unweighted_z,8,4,5,0.09901528986622551,0.08369103839289971,False
1346,weighted_raw,8,4,5,1.734723475976807e-18,3.469446951953614e-18,True
1346,weighted_z,8,4,5,3.2959746043559335e-17,5.551115123125783e-17,True
1347,unweighted_raw,6,3,2,0.2329719508965465,0.23297195089654651,False
1347,unweighted_z,6,3,2,0.23092595824741402,0.23092595824741396,False
1347,weighted_raw,6,3,2,2.7755575615628914e-17,5.551115123125783e-17,True
1347,weighted_z,6,3,2,8.326672684688674e-17,1.1102230246251565e-16,True
1348,unweighted_raw,9,4,4,0.20792143160590584,0.20792143160590587,False
1348,unweighted_z,9,4,4,0.16316026890329033,0.16316026890329038,False
1348,weighted_raw,9,4,4,7.45931094670027e-17,5.551115123125783e-17,True
1348,weighted_z,9,4,4,8.413408858487514e-17,5.551115123125783e-17,True
1349,unweighted_raw,6,4,1,0.22818440220229935,0.2281844022022993,False
1349,unweighted_z,6,4,1,0.11795107098522034,0.11795107098522045,False
1349,weighted_raw,6,4,1,3.122502256758253e-17,2.7755575615628914e-17,True
1349,weighted_z,6,4,1,1.3877787807814457e-17,2.7755575615628914e-17,True
1350,unweighted_raw,6,5,0,0.24999921817857507,0.24999921817857496,False
1350,unweighted_z,6,5,0,0.3274197370211996,0.3274197370211997,False
1350,weighted_raw,6,5,0,1.6046192152785466e-17,1.3877787807814457e-17,True
1350,weighted_z,6,5,0,5.551115123125783e-17,1.1102230246251565e-16,True
1351,unweighted_raw,11,6,4,0.2854647791334865,0.2854647791334864,False
1351,unweighted_z,11,6,4,0.2356304910665404,0.23563049106654033,False
1351,weighted_raw,11,6,4,4.5102810375396984e-17,2.7755575615628914e-17,True
1351,weighted_z,11,6,4,1.1882855810441129e-16,8.326672684688674e-17,True
1352,unweighted_raw,10,3,2,0.07346060001361669,0.0734606000136167,False
1352,unweighted_z,10,3,2,0.05251979081781635,0.0479438582746751,False
1352,weighted_raw,10,3,2,0.0,0.0,True
1352,weighted_z,10,3,2,1.734723475976807e-18,3.469446951953614e-18,True
1353,unweighted_raw,8,6,2,0.41576627528555643,0.4157662752855565,False
1353,unweighted_z,8,6,2,0.38220173896305265,0.38220173896305254,False
1353,weighted_raw,8,6,2,8.153200337090993e-17,5.551115123125783e-17,True
1353,weighted_z,8,6,2,1.3183898417423734e-16,8.326672684688674e-17,True
1354,unweighted_raw,8,5,5,0.3808277056751385,0.38082770567513863,False
1354,unweighted_z,8,5,5,0.3775960869835177,0.37759608698351754,False
1354,weighted_raw,8,5,5,0.0,0.0,True
1354,weighted_z,8,5,5,1.3877787807814457e-17,2.7755575615628914e-17,True
1355,unweighted_raw,6,3,4,0.2605774019829653,0.2605774019829653,False
1355,unweighted_z,6,3,4,0.2666871533111963,0.26668715331119636,False
1355,weighted_raw,6,3,4,0.0,0.0,True
1355,weighted_z,6,3,4,6.591949208711867e-17,5.551115123125783e-17,True
1356,unweighted_raw,9,3,2,0.20520321482089668,0.20520321482089673,False
1356,unweighted_z,9,3,2,0.20478604446164572,0.2047860444616457,False
1356,weighted_raw,9,3,2,3.469446951953614e-18,6.938893903907228e-18,True
1356,weighted_z,9,3,2,0.0,0.0,True
1357,unweighted_raw,9,3,2,0.20943506479918605,0.20943506479918597,False
1357,unweighted_z,9,3,2,0.2085156997808535,0.20851569978085338,False
1357,weighted_raw,9,3,2,8.847089727481716e-17,5.551115123125783e-17,True
1357,weighted_z,9,3,2,9.194034422677078e-17,5.551115123125783e-17,True
1358,unweighted_raw,11,2,1,0.15221510733612872,0.15221510733612875,False
1358,unweighted_z,11,2,1,0.14449334457099516,0.14449334457099522,False
1358,weighted_raw,11,2,1,0.0,0.0,True
1358,weighted_z,11,2,1,6.852157730108388e-17,5.551115123125783e-17,True
1359,unweighted_raw,6,2,4,0.1491798626924064,0.14917986269240635,False
1359,unweighted_z,6,2,4,0.1581003157749339,0.15810031577493394,False
1359,weighted_raw,6,2,4,0.0,0.0,True
1359,weighted_z,6,2,4,2.7755575615628914e-17,5.551115123125783e-17,True
1360,unweighted_raw,11,2,4,0.024042649155760876,0.02404264915576083,False
1360,unweighted_z,11,2,4,0.017844843394915513,0.01759691486560872,False
1360,weighted_raw,11,2,4,0.0,0.0,True
1360,weighted_z,11,2,4,6.375108774214766e-17,5.551115123125783e-17,True
1361,unweighted_raw,9,2,4,0.12277060318499819,0.12277060318499819,False
1361,unweighted_z,9,2,4,0.12469295425451665,0.1246929542545166,False
1361,weighted_raw,9,2,4,1.3877787807814457e-17,2.7755575615628914e-17,True
1361,weighted_z,9,2,4,6.418476861114186e-17,5.551115123125783e-17,True
1362,unweighted_raw,6,5,0,0.18135593255454435,0.18135593255454427,False
1362,unweighted_z,6,5,0,0.10881344025607866,0.10370507419872048,False
1362,weighted_raw,6,5,0,6.418476861114186e-17,5.551115123125783e-17,True
1362,weighted_z,6,5,0,0.0,0.0,True
1363,unweighted_raw,4,2,1,0.08886624130754951,0.0888662413075496,False
1363,unweighted_z,4,2,1,0.06265152433114068,0.06265152433114073,False
1363,weighted_raw,4,2,1,6.938893903907228e-18,1.3877787807814457e-17,True
1363,weighted_z,4,2,1,0.0,0.0,True
1364,unweighted_raw,8,2,5,0.09118516398691545,0.09118516398691537,False
1364,unweighted_z,8,2,5,0.08522687481591633,0.08522687481591641,False
1364,weighted_raw,8,2,5,9.107298248878237e-17,5.551115123125783e-17,True
1364,weighted_z,8,2,5,1.3010426069826053e-17,1.3877787807814457e-17,True
1365,unweighted_raw,8,5,7,0.19991258130939013,0.19991258130939016,False
