sample_index,shift_covariance_error,affine_rescaling_identity_error
309,0.0,0.0
310,4.440892098500626e-16,1.6653345369377348e-16
311,0.0,0.0
312,0.0,0.0
313,2.220446049250313e-16,1.1102230246251565e-16
314,0.0,4.440892098500626e-16
315,2.220446049250313e-16,0.0
316,0.0,0.0
317,2.220446049250313e-16,2.220446049250313e-16
318,0.0,2.220446049250313e-16
319,2.220446049250313e-16,0.0
320,1.1102230246251565e-16,0.0
321,1.6653345369377348e-16,0.0
322,5.551115123125783e-17,1.1102230246251565e-16
323,4.440892098500626e-16,4.440892098500626e-16
324,0.0,0.0
325,4.440892098500626e-16,4.440892098500626e-16
326,4.440892098500626e-16,0.0
327,1.6653345369377348e-16,0.0
328,1.1102230246251565e-16,2.220446049250313e-16
329,4.440892098500626e-16,0.0
330,0.0,0.0
331,0.0,4.440892098500626e-16
332,1.1102230246251565e-16,0.0
333,0.0,8.881784197001252e-16
334,0.0,4.440892098500626e-16
335,5.551115123125783e-17,4.440892098500626e-16
336,2.220446049250313e-16,0.0
337,0.0,2.220446049250313e-16
338,4.440892098500626e-16,0.0
339,0.0,0.0
340,0.0,4.440892098500626e-16
341,2.220446049250313e-16,0.0
342,1.1102230246251565e-16,4.440892098500626e-16
343,0.0,0.0
344,4.440892098500626e-16,4.440892098500626e-16
345,0.0,0.0
346,4.440892098500626e-16,0.0
347,4.440892098500626e-16,0.0
348,4.440892098500626e-16,0.0
349,4.440892098500626e-16,0.0
350,4.440892098500626e-16,8.881784197001252e-16
351,0.0,0.0
352,2.220446049250313e-16,2.220446049250313e-16
353,0.0,0.0
354,0.0,2.220446049250313e-16
355,0.0,1.8041124150158794e-16
356,0.0,0.0
357,8.881784197001252e-16,0.0
358,0.0,8.881784197001252e-16
359,2.220446049250313e-16,2.220446049250313e-16
360,2.220446049250313e-16,0.0
361,4.440892098500626e-16,4.440892098500626e-16
362,0.0,4.440892098500626e-16
363,0.0,0.0
364,2.7755575615628914e-17,2.220446049250313e-16
365,2.42861286636753e-17,1.1102230246251565e-16
366,0.0,1.7763568394002505e-15
367,2.220446049250313e-16,0.0
368,2.220446049250313e-16,4.440892098500626e-16
369,0.0,1.3877787807814457e-16
370,2.220446049250313e-16,2.220446049250313e-16
371,0.0,4.440892098500626e-16
372,4.440892098500626e-16,4.440892098500626e-16
373,0.0,1.1102230246251565e-16
374,4.440892098500626e-16,4.440892098500626e-16
375,2.220446049250313e-16,0.0
376,0.0,0.0
377,0.0,8.881784197001252e-16
378,0.0,0.0
379,6.661338147750939e-16,0.0
380,0.0,2.220446049250313e-16
381,0.0,8.881784197001252e-16
382,4.440892098500626e-16,0.0
383,0.0,2.220446049250313e-16
384,4.440892098500626e-16,2.220446049250313e-16
385,0.0,0.0
386,1.1102230246251565e-16,2.220446049250313e-16
387,2.220446049250313e-16,0.0
388,2.7755575615628914e-16,8.881784197001252e-16
389,2.7755575615628914e-17,1.1102230246251565e-16
390,1.1102230246251565e-16,1.0408340855860843e-16
391,0.0,4.440892098500626e-16
392,0.0,4.440892098500626e-16
393,0.0,0.0
394,4.440892098500626e-16,4.440892098500626e-16
395,0.0,0.0
396,6.938893903907228e-17,0.0
397,3.8163916471489756e-17,1.3877787807814457e-16
398,0.0,0.0
399,0.0,0.0
400,1.1102230246251565e-16,0.0
401,0.0,2.220446049250313e-16
402,0.0,0.0
403,4.440892098500626e-16,4.440892098500626e-16
404,1.1102230246251565e-16,1.3877787807814457e-16
405,0.0,4.440892098500626e-16
406,2.220446049250313e-16,8.881784197001252e-16
407,0.0,1.1102230246251565e-16
408,8.881784197001252e-16,0.0
409,0.0,8.881784197001252e-16
410,5.551115123125783e-17,4.440892098500626e-16
411,0.0,0.0
412,0.0,0.0
413,2.220446049250313e-16,4.440892098500626e-16
414,8.881784197001252e-16,0.0
415,0.0,0.0
416,2.220446049250313e-16,0.0
417,0.0,2.220446049250313e-16
418,2.220446049250313e-16,1.1102230246251565e-16
419,0.0,0.0
420,0.0,4.440892098500626e-16
421,2.7755575615628914e-17,0.0
422,2.220446049250313e-16,4.440892098500626e-16
423,0.0,4.440892098500626e-16
424,0.0,0.0
425,2.220446049250313e-16,6.409803243734302e-16
426,5.551115123125783e-17,0.0
427,0.0,0.0
428,1.1102230246251565e-16,1.1102230246251565e-16
429,0.0,0.0
430,0.0,0.0
431,2.220446049250313e-16,0.0
432,0.0,2.220446049250313e-16
433,2.220446049250313e-16,0.0
434,0.0,1.1102230246251565e-16
435,0.0,0.0
436,0.0,0.0
437,2.220446049250313e-16,0.0
438,0.0,0.0
439,6.938893903907228e-17,1.1102230246251565e-16
440,0.0,0.0
441,0.0,4.440892098500626e-16
442,0.0,0.0
443,2.220446049250313e-16,0.0
444,1.1102230246251565e-16,2.220446049250313e-16
445,0.0,0.0
446,2.220446049250313e-16,0.0
447,2.220446049250313e-16,0.0
448,2.220446049250313e-16,2.220446049250313e-16
449,0.0,0.0
450,0.0,0.0
451,0.0,1.1102230246251565e-16
452,0.0,4.440892098500626e-16
453,0.0,8.881784197001252e-16
454,0.0,0.0
455,1.5265566588595902e-16,2.220446049250313e-16
456,0.0,0.0
457,2.220446049250313e-16,2.220446049250313e-16
458,0.0,0.0
459,4.440892098500626e-16,0.0
460,0.0,1.1102230246251565e-16
461,4.440892098500626e-16,0.0
462,0.0,1.1102230246251565e-16
463,4.440892098500626e-16,4.440892098500626e-16
464,0.0,2.220446049250313e-16
465,2.220446049250313e-16,0.0
466,1.6653345369377348e-16,0.0
467,0.0,0.0
468,0.0,8.881784197001252e-16
469,1.1102230246251565e-16,0.0
470,8.881784197001252e-16,0.0
471,2.220446049250313e-16,1.1102230246251565e-16
472,4.440892098500626e-16,4.440892098500626e-16
473,4.440892098500626e-16,0.0
474,2.220446049250313e-16,4.440892098500626e-16
475,1.1102230246251565e-16,0.0
476,0.0,2.220446049250313e-16
477,0.0,4.440892098500626e-16
478,4.440892098500626e-16,4.440892098500626e-16
479,0.0,0.0
480,0.0,0.0
481,4.440892098500626e-16,4.440892098500626e-16
482,1.1102230246251565e-16,3.3306690738754696e-16
483,0.0,8.881784197001252e-16
484,2.220446049250313e-16,2.220446049250313e-16
485,4.440892098500626e-16,0.0
486,0.0,8.881784197001252e-16
487,2.7755575615628914e-17,2.7755575615628914e-17
488,8.881784197001252e-16,4.440892098500626e-16
489,2.220446049250313e-16,0.0
490,5.551115123125783e-17,0.0
491,0.0,0.0
492,8.881784197001252e-16,8.881784197001252e-16
493,2.220446049250313e-16,1.249000902703301e-16
494,8.881784197001252e-16,0.0
495,2.220446049250313e-16,0.0
496,2.220446049250313e-16,4.440892098500626e-16
497,0.0,8.881784197001252e-16
498,0.0,4.440892098500626e-16
499,0.0,0.0
500,2.220446049250313e-16,2.220446049250313e-16
501,4.440892098500626e-16,0.0
502,1.1102230246251565e-16,0.0
503,0.0,4.440892098500626e-16
504,0.0,0.0
505,1.1102230246251565e-16,2.220446049250313e-16
506,0.0,0.0
507,2.220446049250313e-16,4.440892098500626e-16
508,0.0,2.220446049250313e-16
509,1.942890293094024e-16,3.3306690738754696e-16
510,4.440892098500626e-16,4.440892098500626e-16
511,0.0,0.0
512,5.551115123125783e-17,0.0
513,0.0,2.220446049250313e-16
514,2.220446049250313e-16,2.220446049250313e-16
515,0.0,0.0
516,0.0,4.996003610813204e-16
517,2.220446049250313e-16,4.440892098500626e-16
518,0.0,2.220446049250313e-16
519,4.440892098500626e-16,0.0
520,4.440892098500626e-16,0.0
521,0.0,4.440892098500626e-16
522,0.0,0.0
523,0.0,0.0
524,2.220446049250313e-16,0.0
525,2.220446049250313e-16,4.440892098500626e-16
526,2.220446049250313e-16,1.700029006457271e-16
527,2.220446049250313e-16,0.0
528,2.220446049250313e-16,2.220446049250313e-16
529,4.440892098500626e-16,0.0
530,2.220446049250313e-16,0.0
531,0.0,4.440892098500626e-16
532,4.440892098500626e-16,0.0
533,4.440892098500626e-16,0.0
534,0.0,4.440892098500626e-16
535,0.0,4.440892098500626e-16
536,4.440892098500626e-16,8.881784197001252e-16
537,2.220446049250313e-16,1.1102230246251565e-16
538,0.0,4.440892098500626e-16
539,5.551115123125783e-17,2.7755575615628914e-17
540,0.0,4.440892098500626e-16
541,0.0,2.220446049250313e-16
542,2.220446049250313e-16,0.0
543,0.0,2.220446049250313e-16
544,4.440892098500626e-16,4.440892098500626e-16
545,0.0,0.0
546,0.0,4.440892098500626e-16
547,0.0,8.881784197001252e-16
548,0.0,4.440892098500626e-16
549,1.1102230246251565e-16,0.0
550,4.440892098500626e-16,0.0
551,3.3306690738754696e-16,4.440892098500626e-16
552,0.0,0.0
553,8.881784197001252e-16,0.0
554,0.0,0.0
555,1.249000902703301e-16,1.1102230246251565e-16
556,2.220446049250313e-16,0.0
557,2.220446049250313e-16,2.220446049250313e-16
558,4.440892098500626e-16,4.440892098500626e-16
559,1.1102230246251565e-16,1.3322676295501878e-15
560,0.0,0.0
561,1.1102230246251565e-16,2.7755575615628914e-16
562,5.551115123125783e-17,5.551115123125783e-16
563,0.0,0.0
564,4.440892098500626e-16,8.881784197001252e-16
