sample_index,shift_covariance_error,affine_rescaling_identity_error
244,1.1102230246251565e-16,1.3877787807814457e-16
245,4.440892098500626e-16,0.0
246,1.1102230246251565e-16,2.220446049250313e-16
247,0.0,0.0
248,8.881784197001252e-16,0.0
249,2.220446049250313e-16,2.220446049250313e-16
250,4.440892098500626e-16,4.440892098500626e-16
251,4.440892098500626e-16,2.220446049250313e-16
252,1.6653345369377348e-16,1.1102230246251565e-16
253,4.440892098500626e-16,4.440892098500626e-16
254,4.440892098500626e-16,1.1102230246251565e-16
255,0.0,0.0
256,2.220446049250313e-16,4.440892098500626e-16
257,0.0,0.0
258,5.551115123125783e-17,3.3306690738754696e-16
259,0.0,0.0
260,8.881784197001252e-16,4.440892098500626e-16
261,5.551115123125783e-17,1.6653345369377348e-16
262,0.0,1.1102230246251565e-16
263,0.0,8.326672684688674e-17
264,2.220446049250313e-16,0.0
265,2.220446049250313e-16,1.1102230246251565e-16
266,0.0,0.0
267,4.440892098500626e-16,0.0
268,0.0,0.0
269,1.196959198423997e-16,5.551115123125783e-17
270,0.0,0.0
271,1.6653345369377348e-16,0.0
272,0.0,4.440892098500626e-16
273,4.440892098500626e-16,0.0
274,0.0,0.0
275,0.0,0.0
276,0.0,0.0
277,8.881784197001252e-16,4.440892098500626e-16
278,4.440892098500626e-16,4.440892098500626e-16
279,1.1102230246251565e-16,2.5500435096859064e-16
280,5.551115123125783e-17,1.3322676295501878e-15
281,1.1102230246251565e-16,9.71445146547012e-17
282,0.0,8.881784197001252e-16
283,0.0,0.0
284,2.220446049250313e-16,0.0
285,4.440892098500626e-16,4.440892098500626e-16
286,0.0,0.0
287,3.3306690738754696e-16,2.220446049250313e-16
288,0.0,0.0
289,8.881784197001252e-16,0.0
290,2.220446049250313e-16,0.0
291,4.440892098500626e-16,0.0
292,2.220446049250313e-16,8.881784197001252e-16
293,8.881784197001252e-16,8.881784197001252e-16
294,1.1102230246251565e-16,8.326672684688674e-17
295,4.440892098500626e-16,0.0
296,0.0,2.220446049250313e-16
297,1.1102230246251565e-16,5.551115123125783e-17
298,4.440892098500626e-16,4.440892098500626e-16
299,0.0,4.440892098500626e-16
300,0.0,0.0
301,0.0,0.0
302,0.0,0.0
303,4.440892098500626e-16,0.0
304,0.0,8.881784197001252e-16
305,0.0,4.440892098500626e-16
306,4.440892098500626e-16,0.0
307,0.0,0.0
308,4.440892098500626e-16,2.220446049250313e-16
