sample_index,lambda,second_order_error,third_order_error,fourth_order_error
38,0.2,0.000902105868452463,3.0677004782986295e-05,5.749290738044088e-06
39,0.025,6.183853821062346e-06,1.2470119677143732e-07,5.017725263067874e-10
39,0.05,2.4232675643443002e-05,1.0015444278782537e-06,7.949033958842833e-09
39,0.1,9.286352617220162e-05,8.073354113083409e-06,1.2459096176975493e-07
39,0.2,0.0003382504203042827,6.549710083687127e-05,1.906995626382857e-06
40,0.025,5.195884051789612e-06,2.3291498885136264e-07,6.013746722821622e-10
40,0.05,1.9847299869646395e-05,1.8678962930285259e-06,9.387379762415549e-09
40,0.1,7.185011155208532e-05,1.5010673098558858e-05,1.4260179231895265e-07
40,0.2,0.0002264648388535795,0.00012097829974899721,2.03372929913348e-06
41,0.025,9.533091425623086e-06,4.2996506045833716e-07,1.5893101973363244e-09
41,0.05,3.6400393573290946e-05,3.451832371006991e-06,2.4826368918984265e-08
41,0.1,0.00013161524261876,2.7793661158445615e-05,3.77613141727684e-07
41,0.2,0.00041291086920233755,0.00022472474590648495,5.396361772769254e-06
42,0.025,1.2775639885623247e-05,2.8717024115609835e-07,9.80889328094925e-10
42,0.05,4.99463578473025e-05,2.3048826598287553e-06,1.5367845246361256e-08
42,0.1,0.00019045353227437056,1.855142975414059e-05,2.3531123746756144e-07
42,0.2,0.0006860713945028296,0.00014994845361118725,3.4195054778030087e-06
43,0.025,2.317636751107688e-05,3.693682245481389e-08,1.2589736406165564e-09
43,0.05,9.284324251978421e-05,2.855197652959496e-07,2.0046603467493984e-08
43,0.1,0.00037235783385425325,2.1269428363106246e-06,3.1758811381080165e-07
43,0.2,0.0014955026766941965,1.4579112622423347e-05,4.977134978547196e-06
44,0.025,3.0917438786914886e-07,1.0477131660857619e-07,3.8297143234444775e-13
44,0.05,1.655765268226972e-06,8.381529832124368e-07,1.4485870836189463e-11
44,0.1,9.974896770556518e-06,6.704447630470622e-06,8.921221678059865e-10
44,0.2,6.668920580139848e-05,5.360740924105489e-05,3.5308780066412027e-08
45,0.025,8.152036535757912e-06,1.3723403857746064e-08,5.8020366289213143e-11
45,0.05,3.255277949154589e-05,1.1026026697225078e-07,9.371992071294244e-10
45,0.1,0.000129762289667823,8.898693661940626e-07,1.5284824128602992e-08
45,0.2,0.0005153573880108397,7.251248125283993e-06,2.5457178887133836e-07
46,0.025,2.5621627525174162e-05,1.3315970738558836e-07,5.377557565910962e-10
46,0.05,0.00010194980350659855,1.0693454236543332e-06,8.369810636232877e-09
46,0.1,0.00040346220881083694,8.614386910202332e-06,1.2658200605752956e-07
46,0.2,0.0015786036452647423,6.970273761938706e-05,1.8002983862563937e-06
47,0.025,1.0207329556866096e-05,4.3934788807042935e-08,4.916208551364321e-10
47,0.05,4.0649644732881907e-05,3.5541264981064913e-07,7.867306306419408e-09
47,0.1,0.00016111397953277873,2.9062499979914946e-06,1.2588724979112342e-07
47,0.2,0.0006318256190085414,2.4255299114539497e-05,2.0123971290475495e-06
48,0.025,3.526675197959572e-05,2.1548979917129785e-07,3.6866533159596315e-09
48,0.05,0.0001418994879374691,1.6944392157713928e-06,5.897240407115589e-08
48,0.1,0.0005739049054521161,1.3084710565297586e-05,9.425823934428035e-07
48,0.2,0.00234048091761907,9.720013807179573e-05,1.5018205598210654e-05
49,0.025,2.9533362193023827e-06,5.76624183123986e-08,9.409201195964556e-11
49,0.05,1.2043213184459445e-05,4.6051798049950854e-07,1.5341020953574258e-09
49,0.1,5.000173827340859e-05,3.6709574576243575e-06,2.5459203134570174e-08
49,0.2,0.00021445836660824447,2.9135243345079775e-05,4.360899409361352e-07
50,0.025,3.910837327797401e-05,4.5364330564234834e-07,4.9937820545409295e-09
50,0.05,0.0001582076520679765,3.5887321786221005e-06,8.036452289750251e-08
50,0.1,0.0006465288503250677,2.8053170767650126e-05,1.2996028444511865e-06
50,0.2,0.002687559575094922,0.00021365685686525193,2.116533203161408e-05
51,0.025,8.030231248068453e-06,1.8121052491881784e-08,2.6655272433728783e-10
51,0.05,3.219128306702901e-05,1.4284228472272176e-07,4.25855717356427e-09
51,0.1,0.00012930264500055078,1.1088818712701176e-06,6.792486395568176e-08
51,0.2,0.0005211101898931481,8.335137376025425e-06,1.0793165057809695e-06
52,0.025,1.58651871739815e-05,4.6728053815225934e-08,9.355292929225101e-11
52,0.05,6.364685753984523e-05,3.7302105918013417e-07,1.551794769072412e-09
52,0.1,0.0002560653023419013,2.9699564192409156e-06,2.6626412366614893e-08
52,0.2,0.0010358678589870024,2.3486475296333187e-05,4.861873565409347e-07
53,0.025,2.232539311530779e-05,4.007655965421186e-08,1.0630656632759639e-09
53,0.05,8.913296575427387e-05,3.289129456296447e-07,1.680499370215749e-08
53,0.1,0.00035508826579586095,2.759249003697617e-06,2.6238538819445267e-07
53,0.2,0.0014074219775886132,2.3968081609648806e-05,3.993172685651247e-06
54,0.025,7.356074349290642e-06,3.305451702628748e-08,3.0769178871459246e-11
54,0.05,2.929235103203698e-05,2.6416443323074024e-07,5.178564382868345e-10
54,0.1,0.00011611768931084343,2.1083725502551998e-06,9.085767041505655e-09
54,0.2,0.0004561345273410289,1.676972010335176e-05,1.6994643503576157e-07
55,0.025,8.667617399496508e-06,1.2387488895759802e-07,6.677352698547523e-10
55,0.05,3.416971311726025e-05,9.962560365422979e-07,1.059880701259619e-08
55,0.1,0.00013261184083418476,8.052035781039302e-06,1.667779447739326e-07
55,0.2,0.0004969994310305703,6.565607543035368e-05,2.574012740272358e-06
56,0.025,1.1607768145016628e-06,1.435975985342175e-08,1.8426052350584143e-10
56,0.05,4.6990864475127125e-06,1.1341822894750386e-07,2.933933984650139e-09
56,0.1,1.9227016881562253e-05,8.84344007343052e-07,4.6473296030913325e-08
56,0.2,8.00895159051851e-05,6.71882440829441e-06,7.277140186695563e-07
57,0.025,4.618388512178662e-06,4.693392902099802e-08,2.9660999212310912e-09
57,0.05,1.863810446861569e-05,3.5228613592952485e-07,4.691409566381921e-08
57,0.1,7.56043302195808e-05,2.461056888891644e-06,7.325449640216419e-07
57,0.2,0.0003070200235640863,1.4446930241385214e-05,1.110188458175454e-05
58,0.025,1.3552571744651631e-05,1.0808577735610392e-07,9.376383003356636e-11
58,0.05,5.3777240149155414e-05,8.653899389032826e-07,1.4538307224754021e-09
58,0.1,0.00021163716592381698,6.9333544284455595e-06,2.1865562999101584e-08
58,0.2,0.0008186787028547915,5.560337855431419e-05,3.114676307425235e-07
59,0.025,1.8208165146749167e-06,1.1197641386351265e-07,8.567874187903612e-11
59,0.05,7.7304474860318e-06,8.950870827306723e-07,1.409658056950036e-09
59,0.1,3.448962347696316e-05,7.1481818638141625e-06,2.379206259783828e-08
59,0.2,0.0001663217655037963,5.69559990512003e-05,4.1979235992917197e-07
60,0.025,7.785064344484338e-06,2.0562468727725047e-08,2.8573832189238146e-10
60,0.05,3.1220271625165275e-05,1.6226412211106656e-07,4.521534341384026e-09
60,0.1,0.000125495574969825,1.263544957663676e-06,7.074029403919546e-08
60,0.2,0.0005065214611304492,9.593341081748363e-06,1.0809409318468521e-06
61,0.025,1.5572325052524982e-05,7.379589414338583e-07,2.862225317867839e-09
61,0.05,6.521683369288545e-05,5.87936924851401e-06,4.7200085478982245e-08
61,0.1,0.00028396319922241453,4.661334144492879e-05,7.99213227001272e-07
61,0.2,0.0013145708857620064,0.0003651714546520912,1.4128982723307648e-05
62,0.025,3.3561511245672193e-06,7.862195688934648e-08,1.5617379611754245e-10
62,0.05,1.3737796768165111e-05,6.276800974536201e-07,2.5449481411143893e-09
62,0.1,5.74400892516258e-05,4.999622568668816e-06,4.217779614457129e-08
62,0.2,0.0002493757379877781,3.9613871256005684e-05,7.205316627234559e-07
63,0.025,1.3391761198050522e-05,1.9885907059924435e-08,6.261215157454814e-10
63,0.05,5.348241415914501e-05,1.6417426129677892e-07,1.0095976971102871e-08
63,0.1,0.000213189711164824,1.3966425169154029e-06,1.6401624222672773e-07
63,0.2,0.0008457819358015095,1.2563478925392557e-05,2.7024687277998893e-06
64,0.025,1.633808686951621e-05,1.0135379480136208e-08,7.812960833852856e-10
64,0.05,6.538670986772077e-05,7.490390768749577e-08,1.2429496987209632e-08
64,0.1,0.00026174931762279474,5.020937826061278e-07,1.965734547360043e-07
64,0.2,0.0010475077819817602,2.5188866208947225e-06,3.0704512778423343e-06
65,0.025,4.1311767941733246e-05,4.226630287984534e-07,6.561633576762649e-09
65,0.05,0.00016688499856423733,3.328578912498159e-06,1.052183865035694e-07
65,0.1,0.000680006545187517,2.5780866580574213e-05,1.689511811411859e-06
65,0.2,0.0028095286463498403,0.00019262593192206912,2.7137095213874973e-05
66,0.025,2.437409437033855e-06,8.83746691174303e-08,2.2575390168366738e-10
66,0.05,1.0101279508081817e-05,7.051404364091796e-07,3.6629477506711083e-09
66,0.1,4.3194773424959365e-05,5.6102171382826915e-06,6.020993498917493e-08
66,0.2,0.0001946886476557816,4.4350422509061016e-05,1.0129940771000379e-06
67,0.025,2.573490065466144e-05,6.03505057039655e-08,1.2435322216397537e-09
67,0.05,0.0001031708295851641,4.726289893342006e-07,2.0123313959619082e-08
67,0.1,0.00041440557046107385,3.6127680777819915e-06,3.2925034870734393e-07
