sample_index,n,group_count,effective_score_error,partition_weight_error
558,56,9,1.1102230246251565e-16,8.881784197001252e-16
559,5,4,0.0,0.0
560,74,10,2.220446049250313e-16,8.881784197001252e-16
561,45,5,0.0,2.220446049250313e-16
562,26,10,1.6653345369377348e-16,4.440892098500626e-16
563,20,6,0.0,2.220446049250313e-16
564,28,6,1.1102230246251565e-16,4.440892098500626e-16
565,51,3,1.1102230246251565e-16,8.881784197001252e-16
566,58,3,0.0,0.0
567,47,8,0.0,4.440892098500626e-16
568,8,6,0.0,4.440892098500626e-16
569,79,3,2.220446049250313e-16,8.881784197001252e-16
570,43,9,3.3306690738754696e-16,1.3322676295501878e-15
571,67,7,1.1102230246251565e-16,0.0
572,38,10,3.3306690738754696e-16,8.881784197001252e-16
573,22,2,1.1102230246251565e-16,1.3322676295501878e-15
574,9,2,1.1102230246251565e-16,8.881784197001252e-16
575,15,5,0.0,4.440892098500626e-16
576,77,5,1.1102230246251565e-16,4.440892098500626e-16
577,52,5,0.0,0.0
578,53,8,1.1102230246251565e-16,4.440892098500626e-16
579,24,5,2.220446049250313e-16,0.0
580,45,7,1.1102230246251565e-16,4.440892098500626e-16
581,58,6,1.1102230246251565e-16,0.0
582,7,7,1.6653345369377348e-16,2.220446049250313e-16
583,69,7,4.440892098500626e-16,4.440892098500626e-16
584,9,5,2.220446049250313e-16,4.440892098500626e-16
585,57,8,4.440892098500626e-16,1.7763568394002505e-15
586,45,6,0.0,8.881784197001252e-16
587,43,5,0.0,0.0
588,7,2,1.942890293094024e-16,0.0
589,18,2,2.220446049250313e-16,4.440892098500626e-16
590,50,4,1.1102230246251565e-16,0.0
591,16,6,1.942890293094024e-16,0.0
592,7,5,0.0,0.0
593,35,8,0.0,1.3322676295501878e-15
594,68,3,2.220446049250313e-16,8.881784197001252e-16
595,10,8,0.0,0.0
596,33,5,0.0,0.0
