sample_index,n,group_count,effective_score_error,partition_weight_error
352,63,4,2.220446049250313e-16,1.7763568394002505e-15
353,14,3,1.1102230246251565e-16,4.440892098500626e-16
354,42,7,1.6653345369377348e-16,2.220446049250313e-16
355,7,6,2.220446049250313e-16,8.881784197001252e-16
356,64,3,0.0,0.0
357,55,8,0.0,0.0
358,68,3,2.220446049250313e-16,8.881784197001252e-16
359,70,3,0.0,4.440892098500626e-16
360,19,6,1.1102230246251565e-16,0.0
361,30,8,0.0,4.440892098500626e-16
362,40,9,0.0,8.881784197001252e-16
363,78,8,4.440892098500626e-16,8.881784197001252e-16
364,29,3,1.1102230246251565e-16,4.440892098500626e-16
365,33,10,0.0,0.0
366,19,5,2.220446049250313e-16,0.0
367,77,5,1.1102230246251565e-16,4.440892098500626e-16
368,18,2,2.220446049250313e-16,8.881784197001252e-16
369,57,9,0.0,4.440892098500626e-16
370,44,8,0.0,4.440892098500626e-16
371,70,6,1.1102230246251565e-16,4.440892098500626e-16
372,14,4,8.881784197001252e-16,7.105427357601002e-15
373,43,8,2.220446049250313e-16,0.0
374,56,7,2.220446049250313e-16,4.440892098500626e-16
375,65,9,2.220446049250313e-16,4.440892098500626e-16
376,59,8,1.1102230246251565e-16,4.440892098500626e-16
377,7,6,0.0,2.220446049250313e-16
378,5,4,1.6653345369377348e-16,0.0
379,17,9,0.0,8.881784197001252e-16
380,60,3,0.0,4.440892098500626e-16
381,50,9,0.0,4.440892098500626e-16
382,22,4,0.0,4.440892098500626e-16
383,46,8,0.0,8.881784197001252e-16
384,54,2,2.220446049250313e-16,0.0
385,27,5,5.551115123125783e-17,2.220446049250313e-16
386,55,5,3.3306690738754696e-16,8.881784197001252e-16
387,63,9,0.0,2.220446049250313e-16
388,61,5,0.0,4.440892098500626e-16
389,63,5,3.3306690738754696e-16,2.220446049250313e-16
390,12,6,2.220446049250313e-16,8.881784197001252e-16
391,63,6,0.0,1.7763568394002505e-15
392,15,3,1.1102230246251565e-16,4.440892098500626e-16
393,34,5,0.0,4.440892098500626e-16
394,72,3,1.1102230246251565e-16,8.881784197001252e-16
395,61,8,2.220446049250313e-16,0.0
396,56,10,0.0,0.0
397,14,10,0.0,0.0
398,9,7,4.440892098500626e-16,1.7763568394002505e-15
399,75,6,1.1102230246251565e-16,4.440892098500626e-16
400,20,9,0.0,8.881784197001252e-16
401,37,5,0.0,3.552713678800501e-15
402,18,3,2.220446049250313e-16,0.0
403,48,9,0.0,4.440892098500626e-16
404,42,5,0.0,2.220446049250313e-16
405,16,3,1.1102230246251565e-16,4.440892098500626e-16
406,38,6,2.220446049250313e-16,4.440892098500626e-16
407,9,6,0.0,0.0
408,7,3,2.220446049250313e-16,2.220446049250313e-16
409,30,9,0.0,8.881784197001252e-16
410,26,9,5.551115123125783e-17,2.220446049250313e-16
411,60,10,1.1102230246251565e-16,0.0
412,73,2,1.1102230246251565e-16,8.881784197001252e-16
413,13,3,3.885780586188048e-16,2.220446049250313e-16
414,33,5,0.0,4.440892098500626e-16
415,25,4,1.942890293094024e-16,2.220446049250313e-16
416,64,3,1.6653345369377348e-16,0.0
417,64,9,2.220446049250313e-16,0.0
418,78,9,1.1102230246251565e-16,0.0
419,14,5,4.440892098500626e-16,1.7763568394002505e-15
420,78,5,3.3306690738754696e-16,0.0
421,77,2,0.0,8.881784197001252e-16
422,70,2,1.1102230246251565e-16,0.0
423,58,6,0.0,8.881784197001252e-16
424,9,7,1.249000902703301e-16,1.1102230246251565e-16
425,58,4,2.220446049250313e-16,3.552713678800501e-15
426,61,3,2.220446049250313e-16,3.552713678800501e-15
427,71,7,1.1102230246251565e-16,2.220446049250313e-16
428,38,7,0.0,8.881784197001252e-16
429,41,10,0.0,4.440892098500626e-16
430,8,7,0.0,0.0
431,7,6,0.0,1.1102230246251565e-16
432,73,2,2.220446049250313e-16,4.440892098500626e-16
433,67,10,0.0,8.881784197001252e-16
434,6,6,0.0,2.220446049250313e-16
435,5,4,0.0,0.0
436,19,5,2.220446049250313e-16,8.881784197001252e-16
437,45,4,0.0,4.440892098500626e-16
438,40,7,0.0,4.440892098500626e-16
439,55,5,2.220446049250313e-16,1.7763568394002505e-15
440,38,9,2.220446049250313e-16,4.440892098500626e-16
441,60,4,0.0,0.0
442,31,9,1.6653345369377348e-16,4.440892098500626e-16
443,66,3,2.220446049250313e-16,0.0
444,19,4,0.0,4.440892098500626e-16
445,65,5,2.220446049250313e-16,0.0
446,45,9,2.220446049250313e-16,0.0
447,61,5,2.220446049250313e-16,4.440892098500626e-16
448,34,9,0.0,4.440892098500626e-16
449,10,8,1.1102230246251565e-16,4.440892098500626e-16
450,64,5,3.3306690738754696e-16,0.0
451,44,7,2.220446049250313e-16,8.881784197001252e-16
452,76,7,2.220446049250313e-16,4.440892098500626e-16
453,78,7,0.0,4.440892098500626e-16
454,19,7,0.0,0.0
455,45,5,2.220446049250313e-16,0.0
456,60,7,1.1102230246251565e-16,0.0
457,58,9,0.0,8.881784197001252e-16
458,7,4,1.1102230246251565e-16,0.0
459,69,6,0.0,1.3322676295501878e-15
460,24,8,1.1102230246251565e-16,4.440892098500626e-16
461,74,9,2.220446049250313e-16,1.3322676295501878e-15
462,21,4,0.0,4.440892098500626e-16
463,53,8,2.220446049250313e-16,2.220446049250313e-16
464,21,5,0.0,0.0
465,14,8,0.0,2.220446049250313e-16
466,13,10,0.0,8.881784197001252e-16
467,79,5,0.0,8.881784197001252e-16
468,34,8,4.440892098500626e-16,0.0
469,34,7,1.1102230246251565e-16,4.440892098500626e-16
470,18,6,0.0,4.440892098500626e-16
471,34,5,2.220446049250313e-16,4.440892098500626e-16
472,48,2,1.1102230246251565e-16,4.440892098500626e-16
473,67,7,2.220446049250313e-16,0.0
474,41,3,2.220446049250313e-16,8.881784197001252e-16
475,5,4,1.249000902703301e-16,0.0
476,23,7,3.3306690738754696e-16,0.0
477,14,4,2.220446049250313e-16,8.881784197001252e-16
478,20,6,4.440892098500626e-16,1.7763568394002505e-15
479,11,7,1.717376241217039e-16,0.0
480,8,3,4.440892098500626e-16,0.0
481,69,9,0.0,8.881784197001252e-16
482,63,9,2.220446049250313e-16,4.440892098500626e-16
483,11,9,0.0,2.220446049250313e-16
484,15,9,2.220446049250313e-16,0.0
485,71,5,1.6653345369377348e-16,0.0
486,14,7,1.1102230246251565e-16,4.440892098500626e-16
487,58,8,0.0,0.0
488,67,4,0.0,0.0
489,29,4,0.0,8.881784197001252e-16
490,37,9,0.0,2.220446049250313e-16
491,40,2,1.1102230246251565e-16,0.0
492,57,6,0.0,4.440892098500626e-16
493,57,10,1.1102230246251565e-16,0.0
494,39,7,3.3306690738754696e-16,0.0
495,70,8,3.3306690738754696e-16,4.440892098500626e-16
496,79,5,2.220446049250313e-16,0.0
497,5,3,1.1102230246251565e-16,0.0
498,13,7,0.0,8.881784197001252e-16
499,39,7,3.3306690738754696e-16,4.440892098500626e-16
500,71,6,1.1102230246251565e-16,0.0
501,76,2,1.1102230246251565e-16,8.881784197001252e-16
502,79,9,5.551115123125783e-16,8.881784197001252e-16
503,22,5,2.220446049250313e-16,8.881784197001252e-16
504,18,10,4.440892098500626e-16,8.881784197001252e-16
505,21,8,0.0,4.440892098500626e-16
506,65,5,2.220446049250313e-16,8.881784197001252e-16
507,56,2,2.220446049250313e-16,2.6645352591003757e-15
508,20,9,1.1102230246251565e-16,4.440892098500626e-16
509,26,5,1.6653345369377348e-16,4.440892098500626e-16
510,48,2,2.220446049250313e-16,0.0
511,25,4,3.3306690738754696e-16,4.440892098500626e-16
512,15,3,0.0,1.7763568394002505e-15
513,16,4,8.326672684688674e-17,2.220446049250313e-16
514,46,7,0.0,0.0
515,66,5,2.220446049250313e-16,8.881784197001252e-16
516,59,7,0.0,1.7763568394002505e-15
517,6,2,0.0,0.0
518,56,4,0.0,0.0
519,14,3,3.3306690738754696e-16,8.881784197001252e-16
520,55,8,0.0,8.881784197001252e-16
521,9,9,0.0,0.0
522,56,7,2.220446049250313e-16,0.0
523,57,8,0.0,8.881784197001252e-16
524,36,2,1.1102230246251565e-16,0.0
525,14,10,8.326672684688674e-17,2.220446049250313e-16
526,79,10,2.220446049250313e-16,4.440892098500626e-16
527,70,10,0.0,4.440892098500626e-16
528,75,10,2.220446049250313e-16,1.7763568394002505e-15
529,19,5,8.500145032286355e-17,1.1102230246251565e-16
530,70,9,0.0,4.440892098500626e-16
531,48,10,0.0,0.0
532,47,6,0.0,1.7763568394002505e-15
533,46,3,0.0,4.440892098500626e-16
534,13,10,0.0,8.881784197001252e-16
535,16,7,1.1102230246251565e-16,4.440892098500626e-16
536,79,6,1.1102230246251565e-16,0.0
537,20,5,0.0,8.881784197001252e-16
538,66,3,1.1102230246251565e-16,4.440892098500626e-16
539,60,7,1.1102230246251565e-16,0.0
540,25,5,1.1102230246251565e-16,4.440892098500626e-16
541,52,3,3.3306690738754696e-16,0.0
542,36,4,0.0,2.220446049250313e-16
543,69,6,1.1102230246251565e-16,8.881784197001252e-16
544,27,6,0.0,0.0
545,45,4,1.1102230246251565e-16,0.0
546,76,2,0.0,0.0
547,12,6,0.0,8.881784197001252e-16
548,78,6,2.220446049250313e-16,1.3322676295501878e-15
549,35,8,0.0,4.440892098500626e-16
550,22,4,4.440892098500626e-16,1.7763568394002505e-15
551,35,7,3.3306690738754696e-16,8.881784197001252e-16
552,59,9,0.0,8.881784197001252e-16
553,57,4,0.0,8.881784197001252e-16
554,15,9,0.0,4.440892098500626e-16
555,43,8,1.1102230246251565e-16,0.0
556,73,9,3.3306690738754696e-16,4.440892098500626e-16
557,50,8,1.1102230246251565e-16,0.0
