n,sample_index,transform,relation_identical,relation_hash_identical,u_rank_identical,v_rank_identical,same_cardinality,coordinate_js_divergence_bits,base_max_marginal_ks_from_uniform,transformed_max_marginal_ks_from_uniform,mean_marginal_wasserstein_shift
128,18,power_anisotropic,True,True,True,True,True,0.24963821462956848,0.0725937979661645,0.5044169398151666,0.2287679985333217
128,18,beta_skew_opposed,True,True,True,True,True,0.21109011103217237,0.0725937979661645,0.4002311059881888,0.21186221733897792
128,18,power_isotropic_extreme,True,True,True,True,True,0.28209541598826193,0.0725937979661645,0.6542232222989356,0.38722763075521194
128,19,power_anisotropic,True,True,True,True,True,0.26010239194538404,0.12783357574507037,0.5062652589716461,0.24171194710842708
128,19,beta_skew_opposed,True,True,True,True,True,0.22761136053787953,0.12783357574507037,0.4390759660266592,0.22407887565556028
128,19,power_isotropic_extreme,True,True,True,True,True,0.3189693150831819,0.12783357574507037,0.7020777477254732,0.3773682051640352
128,20,power_anisotropic,True,True,True,True,True,0.24404881170855366,0.07775398005710021,0.4782852543645348,0.23870477145322272
128,20,beta_skew_opposed,True,True,True,True,True,0.21874192014174626,0.07775398005710021,0.40669122186234147,0.2251653746119895
128,20,power_isotropic_extreme,True,True,True,True,True,0.2995017723327719,0.07775398005710021,0.72674451910001,0.39140269280703155
128,21,power_anisotropic,True,True,True,True,True,0.25823458739917865,0.06924030574471596,0.5335476058699827,0.22466372394125003
128,21,beta_skew_opposed,True,True,True,True,True,0.2255222909197187,0.06924030574471596,0.3995326072377805,0.20783337480637476
128,21,power_isotropic_extreme,True,True,True,True,True,0.299402944462485,0.06924030574471596,0.6955194804306378,0.3774755885737445
128,22,power_anisotropic,True,True,True,True,True,0.23167212297143522,0.09374851441094123,0.42930206159858597,0.23208016951925248
128,22,beta_skew_opposed,True,True,True,True,True,0.22947532996176676,0.09374851441094123,0.4006700074411651,0.21857097880213172
128,22,power_isotropic_extreme,True,True,True,True,True,0.28470043918289695,0.09374851441094123,0.6442807792197521,0.395154902651497
