n,sample_index,transform,relation_identical,relation_hash_identical,u_rank_identical,v_rank_identical,same_cardinality,coordinate_js_divergence_bits,base_max_marginal_ks_from_uniform,transformed_max_marginal_ks_from_uniform,mean_marginal_wasserstein_shift
128,25,beta_edge_concentrated,True,True,True,True,True,0.2244638078677514,0.09808985910830281,0.14245915223270747,0.07021678174962415
128,26,power_anisotropic,True,True,True,True,True,0.22644497003866965,0.0642366286001036,0.4749638369705004,0.22361795260416578
128,26,beta_skew_opposed,True,True,True,True,True,0.22050713943459044,0.0642366286001036,0.3929627726784484,0.21818057406232594
128,26,beta_edge_concentrated,True,True,True,True,True,0.2104865526631047,0.0642366286001036,0.16917697874254753,0.06701795308344805
128,27,power_anisotropic,True,True,True,True,True,0.24251770912386825,0.11472302456624839,0.46819354839404964,0.2337182810981291
128,27,beta_skew_opposed,True,True,True,True,True,0.24272931136235298,0.11472302456624839,0.40349675621453196,0.2260538889915088
128,27,beta_edge_concentrated,True,True,True,True,True,0.22001648247934127,0.11472302456624839,0.1932147542958062,0.07097645801167873
128,28,power_anisotropic,True,True,True,True,True,0.2318812023488774,0.0991794390626598,0.4944498986544229,0.23905314560836338
128,28,beta_skew_opposed,True,True,True,True,True,0.235535732981114,0.0991794390626598,0.4177431720290835,0.21517915428572917
128,28,beta_edge_concentrated,True,True,True,True,True,0.22011917766884687,0.0991794390626598,0.13684832517978052,0.06802511200282979
128,29,power_anisotropic,True,True,True,True,True,0.2418951996855096,0.1053959519861648,0.526797214950527,0.22213583410031917
128,29,beta_skew_opposed,True,True,True,True,True,0.21074448053709952,0.1053959519861648,0.41718874648616733,0.20297387554885463
128,29,beta_edge_concentrated,True,True,True,True,True,0.2155830618036363,0.1053959519861648,0.1977072913879252,0.0693754105662435
256,0,power_anisotropic,True,True,True,True,True,0.32304447750955034,0.0673340238184833,0.500321704895387,0.22915882016961941
256,0,beta_skew_opposed,True,True,True,True,True,0.3009088596992709,0.0673340238184833,0.3957541400035879,0.21861012742608218
256,0,beta_edge_concentrated,True,True,True,True,True,0.24831787118752158,0.0673340238184833,0.1345529140239412,0.06710511139668071
256,1,power_anisotropic,True,True,True,True,True,0.32179120449746823,0.04511294987188019,0.47832972893517695,0.2294460745699009
256,1,beta_skew_opposed,True,True,True,True,True,0.29759877405704743,0.04511294987188019,0.42314174408498206,0.21546077539543945
256,1,beta_edge_concentrated,True,True,True,True,True,0.2619311574491556,0.04511294987188019,0.14240097316502104,0.06996220982187494
256,2,power_anisotropic,True,True,True,True,True,0.31369311115765725,0.059800411843357715,0.5296033442275875,0.23241392069215422
256,2,beta_skew_opposed,True,True,True,True,True,0.2938816059759471,0.059800411843357715,0.4139092003275616,0.21328134678847854
256,2,beta_edge_concentrated,True,True,True,True,True,0.26986715646540327,0.059800411843357715,0.15615559006448076,0.06419008668419252
256,3,power_anisotropic,True,True,True,True,True,0.3009821057630333,0.08104713513371542,0.48914825668818884,0.231845552914292
256,3,beta_skew_opposed,True,True,True,True,True,0.2904273539869119,0.08104713513371542,0.4393689514690087,0.21117838574476272
256,3,beta_edge_concentrated,True,True,True,True,True,0.26832131822768096,0.08104713513371542,0.1477391355162001,0.06712873103748762
256,4,power_anisotropic,True,True,True,True,True,0.31346155546129345,0.08081218908746701,0.47987098172630394,0.2340520479754873
256,4,beta_skew_opposed,True,True,True,True,True,0.28206048433948777,0.08081218908746701,0.39897035153545024,0.22144488388542805
256,4,beta_edge_concentrated,True,True,True,True,True,0.2705202904670673,0.08081218908746701,0.17412982414511974,0.06928031337832977
256,5,power_anisotropic,True,True,True,True,True,0.3006749071975953,0.0366325976684998,0.4740160919056855,0.23378654595275045
256,5,beta_skew_opposed,True,True,True,True,True,0.2938357577716255,0.0366325976684998,0.40692425864040577,0.21740092271891887
256,5,beta_edge_concentrated,True,True,True,True,True,0.25057717352591014,0.0366325976684998,0.12274727939934027,0.06896065389474759
256,6,power_anisotropic,True,True,True,True,True,0.3069307082015334,0.03320096780156978,0.48919052095741766,0.23241590958996794
256,6,beta_skew_opposed,True,True,True,True,True,0.29603945502835133,0.03320096780156978,0.41781387207689086,0.21336041708420683
256,6,beta_edge_concentrated,True,True,True,True,True,0.2672663046907901,0.03320096780156978,0.135114318839908,0.067606552600071
256,7,power_anisotropic,True,True,True,True,True,0.3054790071671123,0.04758096921890276,0.4625992942504161,0.23366728902896072
256,7,beta_skew_opposed,True,True,True,True,True,0.29263644949561846,0.04758096921890276,0.4022057205144528,0.22035713324152462
256,7,beta_edge_concentrated,True,True,True,True,True,0.2520666176737495,0.04758096921890276,0.14768987095574654,0.06657523803398618
256,8,power_anisotropic,True,True,True,True,True,0.31474122627169393,0.04763575226286498,0.5057635190610077,0.23610363147547475
256,8,beta_skew_opposed,True,True,True,True,True,0.30242398511008434,0.04763575226286498,0.42285397458860785,0.21651848818516384
256,8,beta_edge_concentrated,True,True,True,True,True,0.2572967116499978,0.04763575226286498,0.1278245919674854,0.06830140276553517
256,9,power_anisotropic,True,True,True,True,True,0.3076539268581015,0.06295693577922878,0.4913216063058092,0.23521433269030945
256,9,beta_skew_opposed,True,True,True,True,True,0.2935804274437762,0.06295693577922878,0.4047369988261497,0.21928079172029327
256,9,beta_edge_concentrated,True,True,True,True,True,0.25986186507899384,0.06295693577922878,0.13967737244589307,0.06897930812202771
256,10,power_anisotropic,True,True,True,True,True,0.3133790055891552,0.08228772021573116,0.544837728291137,0.23339426270830696
256,10,beta_skew_opposed,True,True,True,True,True,0.26945397287010037,0.08228772021573116,0.4032933630403097,0.2161010653380424
256,10,beta_edge_concentrated,True,True,True,True,True,0.2652639370979615,0.08228772021573116,0.14242950003749114,0.0675774757614874
256,11,power_anisotropic,True,True,True,True,True,0.29871120239490107,0.08105492634895095,0.41913345821487225,0.2311323561738551
256,11,beta_skew_opposed,True,True,True,True,True,0.3038788227495281,0.08105492634895095,0.3827992489759598,0.22846374147093784
256,11,beta_edge_concentrated,True,True,True,True,True,0.2697634596510938,0.08105492634895095,0.1708049368853214,0.0685797705858707
256,12,power_anisotropic,True,True,True,True,True,0.30284481169205757,0.0513348044502423,0.49335881952925487,0.23813836151374063
256,12,beta_skew_opposed,True,True,True,True,True,0.2833670173521538,0.0513348044502423,0.442190839533256,0.21658685307611103
256,12,beta_edge_concentrated,True,True,True,True,True,0.24402723945213428,0.0513348044502423,0.1351737128712169,0.06741435866408439
256,13,power_anisotropic,True,True,True,True,True,0.2991305429458754,0.11736179066701569,0.45345431203604747,0.23469204676600858
256,13,beta_skew_opposed,True,True,True,True,True,0.2938271177705178,0.11736179066701569,0.45657608969062047,0.2098815225221972
256,13,beta_edge_concentrated,True,True,True,True,True,0.2721541453960528,0.11736179066701569,0.13308539763310256,0.07036191798208619
256,14,power_anisotropic,True,True,True,True,True,0.33948933591495684,0.07380987647018811,0.5369890009001607,0.2306683931145181
256,14,beta_skew_opposed,True,True,True,True,True,0.2826942721237826,0.07380987647018811,0.40559963016490563,0.20718155458235102
