sample_index,operator,group_count,macro_probability_tv,maximum_group_weight_relative_error
32,minimum,5,0.04980073245061203,0.5671136576555813
33,weighted_arithmetic,2,0.05713356690253901,0.6264671035185272
33,exponential_mean,2,0.0,0.0
33,weighted_median,2,0.21175967722425593,0.7133314712907975
33,minimum,2,0.11982690648830552,2.190745368362793
34,weighted_arithmetic,8,0.0,0.0
34,exponential_mean,8,0.0,0.0
34,weighted_median,8,0.0,0.0
34,minimum,8,0.0,0.0
35,weighted_arithmetic,2,0.07145402156679016,0.4080046914044269
35,exponential_mean,2,6.938893903907228e-17,1.2507198385345735e-16
35,weighted_median,2,0.009180479891025106,0.20665867530341714
35,minimum,2,0.07608549401098436,2.0554126523900322
36,weighted_arithmetic,3,0.03292598380434421,0.4355510706653765
36,exponential_mean,3,5.898059818321144e-17,1.461606920838758e-16
36,weighted_median,3,0.16751790495660474,0.5910269504679976
36,minimum,3,0.030692313815296,1.928545697154167
37,weighted_arithmetic,4,0.05763704042544772,0.45231210639415376
37,exponential_mean,4,6.938893903907228e-17,2.015488515017414e-16
37,weighted_median,4,0.20564715253988913,0.5319607043045531
37,minimum,4,0.12498568351689121,3.3751387185862445
38,weighted_arithmetic,3,0.08654763949063543,0.726315121311986
38,exponential_mean,3,5.551115123125783e-17,1.7596051440223117e-16
38,weighted_median,3,0.1829304831524759,0.8575114242115007
38,minimum,3,0.06946172679369013,4.024103954708635
39,weighted_arithmetic,6,0.0802637025824687,0.3352249353395751
39,exponential_mean,6,3.122502256758253e-17,1.8687341460654492e-16
39,weighted_median,6,0.23702371104235212,0.6268855806872792
39,minimum,6,0.1483052380284193,1.3879353575889155
40,weighted_arithmetic,2,0.058712589391740955,0.47928263177604746
40,exponential_mean,2,1.3877787807814457e-17,1.1978835416700772e-16
40,weighted_median,2,0.11300477771853432,0.49321701062038814
40,minimum,2,0.021687432560517514,2.0078614480578665
41,weighted_arithmetic,5,0.0982110788269831,0.43566431035895525
41,exponential_mean,5,7.28583859910259e-17,1.578148889579342e-16
41,weighted_median,5,0.183630626457945,0.4917904328425755
41,minimum,5,0.16502219251844338,3.3492055083611896
42,weighted_arithmetic,8,0.10229928471997479,0.4866954883680712
42,exponential_mean,8,5.551115123125783e-17,1.8454859900366862e-16
42,weighted_median,8,0.17756504745473695,0.6447745126230967
42,minimum,8,0.19817458304593324,3.7324657793169513
43,weighted_arithmetic,3,0.008858631654870469,0.2302538416218222
43,exponential_mean,3,0.0,1.6597967539842768e-16
43,weighted_median,3,0.09747780998017219,0.5141893635452068
43,minimum,3,0.2349320826741692,5.688091965214774
44,weighted_arithmetic,3,0.04126685985312345,0.21899080743774188
44,exponential_mean,3,1.1102230246251565e-16,4.865324974207689e-16
44,weighted_median,3,0.04855251811444099,0.27141069546647867
44,minimum,3,0.07244181207888054,1.0139311405004607
45,weighted_arithmetic,7,0.028430358947129097,0.27378201816319486
45,exponential_mean,7,6.938893903907228e-18,1.1791881032679497e-16
45,weighted_median,7,0.05449180413462042,0.5102182485595579
45,minimum,7,0.1777452963703652,2.209594153303669
46,weighted_arithmetic,7,0.22044121004496425,0.6981319480435133
46,exponential_mean,7,6.938893903907228e-17,3.3503255139546977e-16
46,weighted_median,7,0.18710162793511492,0.7781771637696848
46,minimum,7,0.10655872564516086,4.0294683726504354
47,weighted_arithmetic,7,0.17492142374295705,0.7732977830539466
47,exponential_mean,7,3.0357660829594124e-17,3.61586481463917e-16
47,weighted_median,7,0.20632278787486064,0.6201008768474151
47,minimum,7,0.08417115800706962,2.8806145103307297
48,weighted_arithmetic,4,0.05194629392875226,0.6004635052353833
48,exponential_mean,4,0.0,0.0
48,weighted_median,4,0.0904710654929968,0.8572680877419457
48,minimum,4,0.061914378050188616,1.5406306354112334
49,weighted_arithmetic,8,0.29628854472815114,0.7694444696633165
49,exponential_mean,8,1.0104764247564901e-16,2.661490251750059e-16
