sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
199,13,5,2,2.842170943040401e-14
200,31,4,3,1.7053025658242404e-13
201,23,5,3,1.1368683772161603e-13
202,14,6,4,2.842170943040401e-14
203,25,5,2,1.7053025658242404e-13
204,32,8,5,2.842170943040401e-14
205,20,7,2,1.1368683772161603e-13
206,32,4,3,6.821210263296962e-13
207,15,6,3,1.4210854715202004e-14
208,13,4,2,2.1316282072803006e-14
209,13,5,4,1.4210854715202004e-14
210,24,9,7,5.684341886080802e-14
211,24,4,2,1.1368683772161603e-13
212,28,6,5,1.4210854715202004e-14
213,20,7,2,1.7053025658242404e-13
214,16,4,2,2.842170943040401e-14
215,17,4,3,2.842170943040401e-14
216,19,6,4,4.263256414560601e-14
217,13,7,6,3.552713678800501e-15
218,16,8,2,5.684341886080802e-14
219,25,4,3,5.684341886080802e-14
220,30,4,3,1.7053025658242404e-13
221,19,4,3,5.684341886080802e-14
222,26,8,7,1.4210854715202004e-14
223,27,4,3,1.1368683772161603e-13
224,28,9,6,2.842170943040401e-14
225,31,5,3,1.7053025658242404e-13
226,30,7,4,1.1368683772161603e-13
227,32,4,3,1.7053025658242404e-13
228,20,5,3,5.684341886080802e-14
229,27,4,2,3.410605131648481e-13
230,20,9,6,2.842170943040401e-14
231,31,4,2,3.410605131648481e-13
232,31,5,2,3.410605131648481e-13
233,26,8,7,2.842170943040401e-14
234,30,5,3,1.4210854715202004e-13
235,13,4,2,5.684341886080802e-14
236,14,4,2,5.684341886080802e-14
237,24,9,3,1.7053025658242404e-13
238,20,4,3,3.410605131648481e-13
239,13,4,3,5.684341886080802e-14
240,26,6,3,1.4210854715202004e-13
241,31,9,5,1.1368683772161603e-13
242,24,4,3,8.526512829121202e-14
243,21,8,5,2.842170943040401e-14
244,14,7,2,4.263256414560601e-14
245,18,5,2,8.526512829121202e-14
246,15,7,6,1.4210854715202004e-14
247,14,9,8,4.440892098500626e-16
248,17,6,2,1.7053025658242404e-13
249,20,8,6,2.1316282072803006e-14
250,27,9,8,1.4210854715202004e-14
251,14,6,4,1.4210854715202004e-14
252,30,7,3,1.1368683772161603e-13
253,30,6,2,5.684341886080801e-13
254,31,9,2,2.2737367544323206e-13
255,23,4,3,2.2737367544323206e-13
256,31,7,6,5.684341886080802e-14
257,28,7,5,8.526512829121202e-14
258,26,7,3,1.1368683772161603e-13
259,16,7,3,2.842170943040401e-14
260,17,4,2,2.2737367544323206e-13
261,21,8,5,2.842170943040401e-14
262,27,7,4,5.684341886080802e-14
263,19,6,5,1.4210854715202004e-14
264,28,8,3,2.2737367544323206e-13
265,29,9,4,1.7053025658242404e-13
266,24,5,2,2.8421709430404007e-13
267,17,7,4,2.842170943040401e-14
268,25,4,3,1.1368683772161603e-13
269,22,9,3,1.4210854715202004e-13
270,32,6,4,1.1368683772161603e-13
271,26,9,4,1.1368683772161603e-13
272,29,4,2,2.8421709430404007e-13
273,30,4,2,1.7053025658242404e-13
274,32,8,3,1.7053025658242404e-13
275,20,6,3,4.263256414560601e-14
276,25,9,2,2.2737367544323206e-13
277,24,9,2,2.2737367544323206e-13
278,27,7,3,1.1368683772161603e-13
279,31,7,6,1.1368683772161603e-13
280,22,8,6,2.842170943040401e-14
281,20,9,6,2.1316282072803006e-14
282,28,4,3,2.842170943040401e-14
283,12,8,4,7.105427357601002e-15
284,12,4,2,4.263256414560601e-14
285,20,6,4,2.842170943040401e-14
286,31,6,4,1.1368683772161603e-13
287,26,7,2,1.1368683772161603e-13
288,19,9,4,2.842170943040401e-14
289,17,7,6,4.263256414560601e-14
290,32,8,5,4.263256414560601e-14
291,17,9,3,2.842170943040401e-14
292,21,8,5,2.842170943040401e-14
293,12,9,4,7.105427357601002e-15
294,21,7,3,2.842170943040401e-14
295,24,6,2,1.7053025658242404e-13
296,20,9,3,5.684341886080802e-14
297,16,7,3,2.842170943040401e-14
298,12,9,4,7.105427357601002e-15
299,19,6,3,5.684341886080802e-14
300,14,5,4,7.105427357601002e-15
301,24,9,8,1.4210854715202004e-14
302,16,7,4,4.263256414560601e-14
303,30,5,2,2.8421709430404007e-13
304,30,5,2,9.094947017729282e-13
305,27,6,4,1.1368683772161603e-13
306,22,5,4,2.842170943040401e-14
307,22,8,6,7.105427357601002e-15
