sample_index,maximum_flow_aggregation_error,maximum_macro_row_sum_error
130,3.3306690738754696e-16,6.661338147750939e-16
131,1.1102230246251565e-16,2.220446049250313e-16
132,1.1102230246251565e-16,4.440892098500626e-16
133,5.551115123125783e-17,1.1102230246251565e-16
134,1.6653345369377348e-16,2.220446049250313e-16
135,5.551115123125783e-17,1.1102230246251565e-16
136,1.1102230246251565e-16,2.220446049250313e-16
137,1.1102230246251565e-16,1.1102230246251565e-16
138,1.1102230246251565e-16,2.220446049250313e-16
139,1.1102230246251565e-16,2.220446049250313e-16
140,3.3306690738754696e-16,3.3306690738754696e-16
141,1.1102230246251565e-16,2.220446049250313e-16
142,2.220446049250313e-16,4.440892098500626e-16
143,1.1102230246251565e-16,1.1102230246251565e-16
144,4.440892098500626e-16,6.661338147750939e-16
145,1.1102230246251565e-16,2.220446049250313e-16
146,1.1102230246251565e-16,1.1102230246251565e-16
147,1.6653345369377348e-16,2.220446049250313e-16
148,1.1102230246251565e-16,2.220446049250313e-16
149,1.1102230246251565e-16,2.220446049250313e-16
150,1.1102230246251565e-16,0.0
151,2.220446049250313e-16,2.220446049250313e-16
152,5.551115123125783e-17,4.440892098500626e-16
153,1.1102230246251565e-16,4.440892098500626e-16
154,1.1102230246251565e-16,0.0
155,2.220446049250313e-16,2.220446049250313e-16
156,4.440892098500626e-16,4.440892098500626e-16
157,4.440892098500626e-16,2.220446049250313e-16
158,4.440892098500626e-16,4.440892098500626e-16
159,1.1102230246251565e-16,2.220446049250313e-16
160,1.1102230246251565e-16,2.220446049250313e-16
161,5.551115123125783e-17,2.220446049250313e-16
162,1.1102230246251565e-16,0.0
163,1.1102230246251565e-16,1.1102230246251565e-16
164,3.3306690738754696e-16,4.440892098500626e-16
165,2.220446049250313e-16,1.1102230246251565e-16
166,2.220446049250313e-16,2.220446049250313e-16
167,1.6653345369377348e-16,2.220446049250313e-16
168,2.220446049250313e-16,2.220446049250313e-16
169,3.3306690738754696e-16,2.220446049250313e-16
170,1.1102230246251565e-16,1.1102230246251565e-16
171,1.1102230246251565e-16,2.220446049250313e-16
172,1.1102230246251565e-16,2.220446049250313e-16
173,2.220446049250313e-16,2.220446049250313e-16
174,1.6653345369377348e-16,2.220446049250313e-16
175,1.1102230246251565e-16,2.220446049250313e-16
176,2.220446049250313e-16,2.220446049250313e-16
177,3.3306690738754696e-16,2.220446049250313e-16
178,2.7755575615628914e-16,4.440892098500626e-16
179,1.1102230246251565e-16,2.220446049250313e-16
180,1.6653345369377348e-16,1.1102230246251565e-16
181,1.6653345369377348e-16,2.220446049250313e-16
182,5.551115123125783e-17,2.220446049250313e-16
183,2.220446049250313e-16,2.220446049250313e-16
184,1.1102230246251565e-16,0.0
185,5.551115123125783e-17,0.0
186,2.7755575615628914e-16,4.440892098500626e-16
187,2.220446049250313e-16,2.220446049250313e-16
188,1.6653345369377348e-16,2.220446049250313e-16
189,1.1102230246251565e-16,2.220446049250313e-16
190,2.220446049250313e-16,2.220446049250313e-16
191,1.6653345369377348e-16,2.220446049250313e-16
192,1.1102230246251565e-16,2.220446049250313e-16
