sample_index,operator,size,group_count,direct_score,hierarchical_score,absolute_associativity_error,associative_at_tolerance
2490,exponential_mean,24,6,-1.5957908255047897,-1.5957908255047897,0.0,True
2490,weighted_median,24,6,-0.8469585338643421,-1.2129790294606067,0.3660204955962646,False
2490,minimum,24,6,-2.4252414957375072,-2.4252414957375072,0.0,True
2491,weighted_arithmetic,26,3,-0.1259025819268818,-0.12590258192688178,2.7755575615628914e-17,True
2491,exponential_mean,26,3,-1.2720906062578927,-1.272090606257893,2.220446049250313e-16,True
2491,weighted_median,26,3,-0.05543136930124195,-0.05543136930124195,0.0,True
2491,minimum,26,3,-3.2407526387954553,-3.2407526387954553,0.0,True
2492,weighted_arithmetic,26,3,-0.07809400350328259,-0.07809400350328255,4.163336342344337e-17,True
2492,exponential_mean,26,3,-0.7093370760053572,-0.7093370760053572,0.0,True
2492,weighted_median,26,3,-0.13332062287857754,0.11385055502053754,0.24717117789911508,False
2492,minimum,26,3,-1.865701692884103,-1.865701692884103,0.0,True
2493,weighted_arithmetic,10,5,-0.5201542600300684,-0.5201542600300684,0.0,True
2493,exponential_mean,10,5,-0.9074577258287059,-0.9074577258287061,2.220446049250313e-16,True
2493,weighted_median,10,5,-0.3432492323666408,0.13631729790284572,0.4795665302694865,False
2493,minimum,10,5,-1.6649622193217428,-1.6649622193217428,0.0,True
2494,weighted_arithmetic,18,2,0.011488499710558538,0.011488499710558538,0.0,True
2494,exponential_mean,18,2,-0.8451945026049751,-0.8451945026049751,0.0,True
2494,weighted_median,18,2,-0.06112406202320278,0.4656874845241734,0.5268115465473762,False
2494,minimum,18,2,-1.8647113087750098,-1.8647113087750098,0.0,True
2495,weighted_arithmetic,10,7,1.0559569237624247,1.0559569237624247,0.0,True
2495,exponential_mean,10,7,0.4657724015219763,0.4657724015219763,0.0,True
2495,weighted_median,10,7,0.5406450405493171,2.191947695612343,1.651302655063026,False
2495,minimum,10,7,-0.9902331201414172,-0.9902331201414172,0.0,True
2496,weighted_arithmetic,34,5,0.24132070108929385,0.24132070108929393,8.326672684688674e-17,True
2496,exponential_mean,34,5,-1.2036858730205104,-1.2036858730205104,0.0,True
2496,weighted_median,34,5,0.618883901793687,0.5974835820977061,0.021400319695980885,False
