n,sample_index,first_kernel,second_kernel,mean_row_total_variation,maximum_row_total_variation
16,62,standardized_asinh,standardized_rank,0.1487240066767082,0.27178408700414725
16,63,standardized_exponential,standardized_asinh,0.05753825318470007,0.13367876476272236
16,63,standardized_exponential,standardized_rank,0.23438899566126084,0.3844136598167127
16,63,standardized_asinh,standardized_rank,0.179459778183107,0.28607965681219805
16,64,standardized_exponential,standardized_asinh,0.04706610138410765,0.0956983682410103
16,64,standardized_exponential,standardized_rank,0.20859381827681847,0.3499906597759499
16,64,standardized_asinh,standardized_rank,0.16749988419259407,0.2654444960255765
16,65,standardized_exponential,standardized_asinh,0.04440786460373159,0.10631269071145984
16,65,standardized_exponential,standardized_rank,0.19976604367863904,0.3516337353161013
16,65,standardized_asinh,standardized_rank,0.15886604769075102,0.25109490070916707
16,66,standardized_exponential,standardized_asinh,0.05250187042439633,0.1070335882763446
16,66,standardized_exponential,standardized_rank,0.22030949773182973,0.3548846127685352
16,66,standardized_asinh,standardized_rank,0.1724463896746407,0.2478510244921906
16,67,standardized_exponential,standardized_asinh,0.05360579947508483,0.10510069820340662
16,67,standardized_exponential,standardized_rank,0.22880570065229727,0.3657822175626286
16,67,standardized_asinh,standardized_rank,0.1773940545285445,0.2797064295592586
16,68,standardized_exponential,standardized_asinh,0.049289659738663776,0.09383648473871099
16,68,standardized_exponential,standardized_rank,0.22302650565629123,0.36767789421663377
16,68,standardized_asinh,standardized_rank,0.17996732904127408,0.28087517685972074
16,69,standardized_exponential,standardized_asinh,0.05861512368184895,0.12052400081861989
16,69,standardized_exponential,standardized_rank,0.23163713762988203,0.363441603900696
16,69,standardized_asinh,standardized_rank,0.17941047984428254,0.25477026452537593
16,70,standardized_exponential,standardized_asinh,0.041504288079146245,0.08697724096783288
16,70,standardized_exponential,standardized_rank,0.1969212994245738,0.37266489631750266
16,70,standardized_asinh,standardized_rank,0.15829749414470862,0.2856876553496698
16,71,standardized_exponential,standardized_asinh,0.059910038081034483,0.1194985093136409
16,71,standardized_exponential,standardized_rank,0.2498522401894976,0.4225407754270955
16,71,standardized_asinh,standardized_rank,0.19308997337759679,0.30304226611345464
16,72,standardized_exponential,standardized_asinh,0.04408913262391483,0.09823249126023403
16,72,standardized_exponential,standardized_rank,0.21052196698590941,0.2972345725163392
16,72,standardized_asinh,standardized_rank,0.170895045092909,0.24309565030332447
16,73,standardized_exponential,standardized_asinh,0.04883792078851036,0.09604858754068099
16,73,standardized_exponential,standardized_rank,0.20738620436013963,0.31963030441041496
16,73,standardized_asinh,standardized_rank,0.16255819376672592,0.23725317607125254
16,74,standardized_exponential,standardized_asinh,0.05063764766861371,0.11318592581702873
16,74,standardized_exponential,standardized_rank,0.23042610191905274,0.3772006911207071
16,74,standardized_asinh,standardized_rank,0.18656200739779738,0.2640147653036783
16,75,standardized_exponential,standardized_asinh,0.053639504996806336,0.12210251008647942
16,75,standardized_exponential,standardized_rank,0.22553050064121902,0.381581041602272
16,75,standardized_asinh,standardized_rank,0.17752983376565074,0.2943064891217236
16,76,standardized_exponential,standardized_asinh,0.047100498973464605,0.10859871180865065
16,76,standardized_exponential,standardized_rank,0.2008418237758413,0.356486701602469
16,76,standardized_asinh,standardized_rank,0.15944617579084627,0.24788798979381832
16,77,standardized_exponential,standardized_asinh,0.0423817024595277,0.10648858822378401
16,77,standardized_exponential,standardized_rank,0.18911163636371195,0.3488409964150441
16,77,standardized_asinh,standardized_rank,0.15120717066654749,0.24235240819126014
16,78,standardized_exponential,standardized_asinh,0.04060231663622757,0.10978299602304792
16,78,standardized_exponential,standardized_rank,0.18664576165930769,0.3604144827243512
16,78,standardized_asinh,standardized_rank,0.14894304933000585,0.25063148670130325
16,79,standardized_exponential,standardized_asinh,0.0543074322688262,0.11275627520572219
16,79,standardized_exponential,standardized_rank,0.23967458172163741,0.3786787565711658
16,79,standardized_asinh,standardized_rank,0.18828340346087483,0.26975366887270436
16,80,standardized_exponential,standardized_asinh,0.05952186951365512,0.13931922188531937
16,80,standardized_exponential,standardized_rank,0.25790680750914086,0.4050934193480438
16,80,standardized_asinh,standardized_rank,0.20028449282617852,0.2686288571081579
16,81,standardized_exponential,standardized_asinh,0.060549799672588285,0.11084165833269119
16,81,standardized_exponential,standardized_rank,0.24795232750014695,0.3738963031399203
16,81,standardized_asinh,standardized_rank,0.1896910816095999,0.27770302495362137
16,82,standardized_exponential,standardized_asinh,0.04944415250288,0.08587465200320346
16,82,standardized_exponential,standardized_rank,0.21863350412438698,0.3546894887530851
16,82,standardized_asinh,standardized_rank,0.17234713116781206,0.26881483674988166
16,83,standardized_exponential,standardized_asinh,0.05400630252406846,0.11848021591350535
16,83,standardized_exponential,standardized_rank,0.22768063470128974,0.3200977738199355
16,83,standardized_asinh,standardized_rank,0.17695232891487292,0.2436105553640001
16,84,standardized_exponential,standardized_asinh,0.05464160730760123,0.10460209873500301
16,84,standardized_exponential,standardized_rank,0.20431791441183328,0.3494171857763335
16,84,standardized_asinh,standardized_rank,0.15752618830043608,0.2700861668321599
16,85,standardized_exponential,standardized_asinh,0.03740182245895947,0.09935518268299048
16,85,standardized_exponential,standardized_rank,0.17736669252019688,0.32065854983161945
16,85,standardized_asinh,standardized_rank,0.14649403556149532,0.2296725553372192
16,86,standardized_exponential,standardized_asinh,0.05497953324521927,0.1031119729422198
16,86,standardized_exponential,standardized_rank,0.23191304868719745,0.36583108382713087
16,86,standardized_asinh,standardized_rank,0.18268251850378298,0.2796275851407747
16,87,standardized_exponential,standardized_asinh,0.05490946572984833,0.12904148716775565
16,87,standardized_exponential,standardized_rank,0.23165007855812714,0.37406224877301486
16,87,standardized_asinh,standardized_rank,0.1795836787989864,0.25188315397490546
16,88,standardized_exponential,standardized_asinh,0.04831760387357119,0.0859537729181383
16,88,standardized_exponential,standardized_rank,0.20903607476474628,0.36336616546198686
16,88,standardized_asinh,standardized_rank,0.16849134032212743,0.27741239254384853
16,89,standardized_exponential,standardized_asinh,0.057441899030106505,0.1059492292009586
16,89,standardized_exponential,standardized_rank,0.2244632378758647,0.3436575698234216
16,89,standardized_asinh,standardized_rank,0.17674438951770066,0.24536550644113211
16,90,standardized_exponential,standardized_asinh,0.0368317573801404,0.08268550970299604
16,90,standardized_exponential,standardized_rank,0.1839672452108842,0.3317405560250901
16,90,standardized_asinh,standardized_rank,0.15161519045587313,0.24905504632209408
16,91,standardized_exponential,standardized_asinh,0.043582006295447624,0.11064048654819343
16,91,standardized_exponential,standardized_rank,0.19062244593838784,0.37067140646812446
16,91,standardized_asinh,standardized_rank,0.1530723942425839,0.260030919919931
16,92,standardized_exponential,standardized_asinh,0.07375274694040454,0.11820962180431718
16,92,standardized_exponential,standardized_rank,0.2900133979104703,0.4090876484996282
16,92,standardized_asinh,standardized_rank,0.22079741370313954,0.290878026695311
16,93,standardized_exponential,standardized_asinh,0.052203371459746024,0.12408802587709533
16,93,standardized_exponential,standardized_rank,0.2110211028901849,0.35404434916113237
16,93,standardized_asinh,standardized_rank,0.16327142003001552,0.2392886630527824
16,94,standardized_exponential,standardized_asinh,0.05750462362213145,0.09355775489477934
16,94,standardized_exponential,standardized_rank,0.2272228259293591,0.33955700520492127
16,94,standardized_asinh,standardized_rank,0.1728244358149565,0.25513960518854306
