sample_index,scale_factor,offset,maximum_reparameterization_error,original_noise_sd,transformed_noise_sd
66,0.56772505089424,-0.8666756931572293,4.440892098500626e-16,0.08,0.045418004071539196
67,2.9143823610477364,1.0273716255073158,8.881784197001252e-16,0.08,0.23315058888381893
68,1.527093811932404,-1.260379270328586,8.881784197001252e-16,0.08,0.12216750495459232
69,0.295722597400613,0.9935774893759164,4.440892098500626e-16,0.08,0.02365780779204904
70,3.4495786358248886,0.8728507620640511,1.7763568394002505e-15,0.08,0.2759662908659911
71,3.4194658524087616,0.18327588649806037,1.7763568394002505e-15,0.08,0.27355726819270093
72,0.7288363285847663,0.8845147992149527,4.440892098500626e-16,0.08,0.058306906286781306
73,1.0769438425347453,1.7693216880893927,8.881784197001252e-16,0.08,0.08615550740277962
74,3.2025000452061785,0.7271231802233653,1.7763568394002505e-15,0.08,0.2562000036164943
75,1.7051805886869582,1.4732675115273821,8.881784197001252e-16,0.08,0.13641444709495665
76,0.6064228773804445,-0.10070594119195153,2.220446049250313e-16,0.08,0.048513830190435564
77,0.36204342025458747,1.884206090919073,4.440892098500626e-16,0.08,0.028963473620366997
78,2.890303291898387,0.6319117008735993,1.7763568394002505e-15,0.08,0.23122426335187096
79,1.6845756263959977,-1.5115507754630286,8.881784197001252e-16,0.08,0.13476605011167983
80,0.5260014271851655,-1.261215548635997,4.440892098500626e-16,0.08,0.04208011417481324
81,2.9043483784659925,0.5673351965043425,1.7763568394002505e-15,0.08,0.2323478702772794
82,1.9736298411398034,1.9303373041809593,8.881784197001252e-16,0.08,0.1578903872911843
83,1.549425941153328,-1.7168669992214403,8.881784197001252e-16,0.08,0.12395407529226624
84,2.9217425246050044,-0.560023777048626,1.7763568394002505e-15,0.08,0.23373940196840035
85,0.6461641065495464,1.2676948666028847,4.440892098500626e-16,0.08,0.05169312852396371
86,3.1336769035324243,1.8314626584881277,1.7763568394002505e-15,0.08,0.25069415228259395
87,2.7643252520903046,-1.4604705840062935,1.3322676295501878e-15,0.08,0.22114602016722437
88,0.8406890540761938,-0.3567054156800289,4.440892098500626e-16,0.08,0.0672551243260955
89,1.3813891010606019,-1.1420551723042944,8.881784197001252e-16,0.08,0.11051112808484816
90,2.1258433773267313,-0.27288624939868367,8.881784197001252e-16,0.08,0.17006747018613852
91,1.5185136645009112,1.2207104692257187,8.881784197001252e-16,0.08,0.1214810931600729
92,0.9378877728306723,1.2865360874385767,6.661338147750939e-16,0.08,0.07503102182645378
93,0.43108512591875325,-1.5172944700323452,4.440892098500626e-16,0.08,0.03448681007350026
94,1.2009012201773608,0.05891558275721742,4.440892098500626e-16,0.08,0.09607209761418886
95,0.5495928443981309,1.834924029952643,4.440892098500626e-16,0.08,0.04396742755185048
96,0.7405459528541086,0.9661076426235589,4.440892098500626e-16,0.08,0.05924367622832869
97,1.5364297408512595,-1.4010351096357931,8.881784197001252e-16,0.08,0.12291437926810077
98,0.5331445443255126,1.1738887064600392,4.440892098500626e-16,0.08,0.04265156354604101
99,2.6658279126615994,1.9663545380995564,1.7763568394002505e-15,0.08,0.21326623301292796
100,2.948019972665915,0.8708318251300384,1.7763568394002505e-15,0.08,0.23584159781327318
101,1.5777919120436243,0.6304258810272336,8.881784197001252e-16,0.08,0.12622335296348994
102,2.71999738810798,0.23880451303640715,1.7763568394002505e-15,0.08,0.2175997910486384
103,0.32746372740397023,-1.2574960695651836,4.440892098500626e-16,0.08,0.02619709819231762
104,0.6673978626328021,0.4954975901912708,4.440892098500626e-16,0.08,0.05339182901062417
105,3.4196108665675635,0.6611332708774138,1.7763568394002505e-15,0.08,0.2735688693254051
106,0.8078270073359645,0.45443780717345206,2.220446049250313e-16,0.08,0.06462616058687716
