n,sample_index,kernel,row_affine_invariance_error,global_scale_total_variation,relabel_equivariance_error,outside_locality_error,shape_perturbation_mean_tv,shape_perturbation_max_tv
32,88,standardized_exponential,1.6653345369377348e-16,4.1931519020876884e-17,1.1102230246251565e-16,0.0,0.215810463372079,0.4849429696022952
32,88,standardized_asinh,1.1102230246251565e-16,3.63207727782644e-17,1.1102230246251565e-16,0.0,0.17174520455309883,0.35841689082668354
32,88,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.07826833838410716,0.2433265752281319
32,89,raw_softmax,0.2912932979871207,0.2775488506593945,1.1102230246251565e-16,0.0,0.1399756664334033,0.2008173607487747
32,89,standardized_exponential,2.220446049250313e-16,4.523833564695767e-17,2.220446049250313e-16,0.0,0.22925248788410796,0.5857077683248939
32,89,standardized_asinh,1.6653345369377348e-16,3.529078071440317e-17,2.220446049250313e-16,0.0,0.19236854940701012,0.4613404753012971
32,89,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.0937035253763577,0.21698551169633967
32,90,raw_softmax,0.4338492698586006,0.251580586310825,1.1102230246251565e-16,0.0,0.14010011067414324,0.2804311037293277
32,90,standardized_exponential,2.220446049250313e-16,4.3747557659790104e-17,2.220446049250313e-16,0.0,0.1985166486865035,0.4271108206854126
32,90,standardized_asinh,1.1102230246251565e-16,3.496552006265752e-17,2.220446049250313e-16,0.0,0.16604694802482933,0.3469201082074947
32,90,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.08711242939842541,0.32015666782980645
32,91,raw_softmax,0.3238965873737665,0.26313934346514856,1.1102230246251565e-16,0.0,0.14102948024138745,0.3218529879991997
32,91,standardized_exponential,2.7755575615628914e-16,3.8949963046541747e-17,2.220446049250313e-16,0.0,0.2152642599703277,0.6413264394657121
32,91,standardized_asinh,2.7755575615628914e-16,3.7730235602495554e-17,1.1102230246251565e-16,0.0,0.18527022274505617,0.5724941579773867
32,91,standardized_rank,0.0,0.0,1.1102230246251565e-16,0.0,0.08802272060842256,0.32015666782980645
32,92,raw_softmax,0.462224740210656,0.2958739704631407,1.1102230246251565e-16,0.0,0.1607660647514622,0.3215302551788979
32,92,standardized_exponential,2.7755575615628914e-16,4.5319650809894085e-17,1.6653345369377348e-16,0.0,0.24365659457712474,0.7410978652990952
32,92,standardized_asinh,2.220446049250313e-16,3.268869550043796e-17,1.1102230246251565e-16,0.0,0.20176670474951236,0.6637169165202633
32,92,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.08959275789791527,0.32015666782980645
32,93,raw_softmax,0.3667921699401343,0.3090817021163832,1.1102230246251565e-16,0.0,0.15296850743735307,0.2957741470413525
32,93,standardized_exponential,2.220446049250313e-16,5.2475385148298415e-17,2.220446049250313e-16,0.0,0.2369234488516716,0.7311741924050361
32,93,standardized_asinh,2.220446049250313e-16,4.038653092508504e-17,1.1102230246251565e-16,0.0,0.19803547001058935,0.6542819284332917
32,93,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.09579298282926804,0.32015666782980645
32,94,raw_softmax,0.36704887842898704,0.24665378213678998,1.1102230246251565e-16,0.0,0.14006389840330982,0.23261982372757808
32,94,standardized_exponential,2.220446049250313e-16,5.561957144850638e-17,1.1102230246251565e-16,0.0,0.20165583552522381,0.4653303116061169
32,94,standardized_asinh,2.220446049250313e-16,4.3530717225293e-17,1.1102230246251565e-16,0.0,0.17309465530212842,0.36018991347873075
32,94,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.07118272024250308,0.1639711914469455
32,95,raw_softmax,0.38318787611585103,0.18516513270302307,5.551115123125783e-17,0.0,0.16917675901172768,0.32986757018591845
32,95,standardized_exponential,2.220446049250313e-16,4.1904413966564746e-17,2.220446049250313e-16,0.0,0.27147497400966936,0.6530952175138524
32,95,standardized_asinh,2.220446049250313e-16,3.7730235602495554e-17,1.1102230246251565e-16,0.0,0.22352097451009212,0.5715538803480854
32,95,standardized_rank,0.0,0.0,8.326672684688674e-17,0.0,0.10739299889677967,0.24332657522813186
32,96,raw_softmax,0.35535217674138003,0.2712217286599315,1.1102230246251565e-16,0.0,0.15340710558611592,0.28291116777934905
32,96,standardized_exponential,2.220446049250313e-16,5.022566564039099e-17,1.1102230246251565e-16,0.0,0.22862097750736582,0.6164900531969224
32,96,standardized_asinh,1.6653345369377348e-16,2.6129272356900657e-17,1.1102230246251565e-16,0.0,0.1893780431287273,0.550123952104681
32,96,standardized_rank,0.0,0.0,1.1102230246251565e-16,0.0,0.09216116023724279,0.32151273753163434
32,97,raw_softmax,0.40438025720892323,0.20004154622917464,5.551115123125783e-17,0.0,0.14365641530216783,0.27108827445690536
32,97,standardized_exponential,2.220446049250313e-16,4.456070928915423e-17,2.220446049250313e-16,0.0,0.23541952578965433,0.7085789528564764
32,97,standardized_asinh,2.7755575615628914e-16,3.268869550043796e-17,1.6653345369377348e-16,0.0,0.2015155649996569,0.6358305457932512
32,97,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.09482783292324543,0.32015666782980645
32,98,raw_softmax,0.41260925867210224,0.22710800469445858,1.1102230246251565e-16,0.0,0.16048053553807198,0.3084287550441051
32,98,standardized_exponential,4.440892098500626e-16,5.331564183197468e-17,2.220446049250313e-16,0.0,0.26115945736794716,0.7261405671520622
32,98,standardized_asinh,2.220446049250313e-16,3.236343484869231e-17,1.1102230246251565e-16,0.0,0.21749292062423584,0.6523906067814124
32,98,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.106534662095427,0.32015666782980645
32,99,raw_softmax,0.38997389094944956,0.20212160230617862,1.1102230246251565e-16,0.0,0.11671915367765771,0.24317717705153602
32,99,standardized_exponential,2.220446049250313e-16,4.187730891225261e-17,2.220446049250313e-16,0.0,0.1835514066569167,0.5286632473451653
32,99,standardized_asinh,1.6653345369377348e-16,4.027811070783649e-17,1.1102230246251565e-16,0.0,0.14814671376588107,0.4143976822857929
32,99,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.06391689749148977,0.16357798180761274
64,0,raw_softmax,0.4407318005517257,0.2198884405633439,5.551115123125783e-17,0.0,0.10261671474371646,0.1731626343171085
64,0,standardized_exponential,3.885780586188048e-16,5.783540963852363e-17,2.220446049250313e-16,0.0,0.15871499898242755,0.32823724539962895
64,0,standardized_asinh,1.1102230246251565e-16,4.529254575558195e-17,1.1102230246251565e-16,0.0,0.12092331920148375,0.23361521153140932
64,0,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.05003259875792415,0.11695020158137892
64,1,raw_softmax,0.47265329125473793,0.3567752407219289,5.551115123125783e-17,0.0,0.10111320816918616,0.22685134293764456
64,1,standardized_exponential,2.220446049250313e-16,5.76524505219167e-17,2.220446049250313e-16,0.0,0.1720848210590567,0.6536883897565309
64,1,standardized_asinh,1.1102230246251565e-16,4.8829755343315906e-17,1.1102230246251565e-16,0.0,0.12948634784045682,0.5529905518759639
64,1,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.054923905416132096,0.24332657522813186
64,2,raw_softmax,0.49019996789861037,0.29664061966412686,5.551115123125783e-17,0.0,0.0993943370262174,0.21470859059440345
64,2,standardized_exponential,4.440892098500626e-16,5.2509266466188587e-17,1.6653345369377348e-16,0.0,0.16466516941733333,0.36573650338677505
64,2,standardized_asinh,3.885780586188048e-16,3.492486248118931e-17,1.1102230246251565e-16,0.0,0.12511052182314356,0.2927796858066832
64,2,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.05630231303484953,0.16898848642425884
64,3,raw_softmax,0.35813399672071405,0.20576962660488085,1.1102230246251565e-16,0.0,0.10160908737561997,0.31218826992438264
64,3,standardized_exponential,1.6653345369377348e-16,6.234840118149454e-17,1.1102230246251565e-16,0.0,0.17571337347052066,0.6908305327862365
64,3,standardized_asinh,1.1102230246251565e-16,4.529254575558195e-17,1.6653345369377348e-16,0.0,0.13401729045490482,0.6118075743122078
64,3,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.06180710539928386,0.32015666782980645
64,4,raw_softmax,0.46078936560722095,0.25105903387402884,1.1102230246251565e-16,0.0,0.10688465450171111,0.22657414734832387
64,4,standardized_exponential,2.7755575615628914e-16,6.196215415754658e-17,1.6653345369377348e-16,0.0,0.18938514469256507,0.5374680156043354
64,4,standardized_asinh,2.220446049250313e-16,4.7718448116518264e-17,1.1102230246251565e-16,0.0,0.13866225478526667,0.43441719467608575
64,4,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.060728799440097556,0.24332657522813184
64,5,raw_softmax,0.5222280670719319,0.2505731484886106,8.326672684688674e-17,0.0,0.10024649521090505,0.22651452081363505
64,5,standardized_exponential,2.7755575615628914e-16,6.251441963915638e-17,1.6653345369377348e-16,0.0,0.1827802161187341,0.4813342918764533
64,5,standardized_asinh,1.1102230246251565e-16,4.1240340135917375e-17,1.1102230246251565e-16,0.0,0.14411287450034074,0.41772328989477814
64,5,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.06725111843243281,0.2433265752281319
64,6,raw_softmax,0.43227630752006985,0.3470900880744747,1.1102230246251565e-16,0.0,0.10475613910608442,0.24414913806540461
64,6,standardized_exponential,1.1102230246251565e-16,6.08237418764368e-17,2.7755575615628914e-16,0.0,0.16190894842406953,0.4184861519440858
64,6,standardized_asinh,1.1102230246251565e-16,4.697305912293448e-17,1.1102230246251565e-16,0.0,0.12461393159141773,0.3596331989435246
64,6,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.05390728161516341,0.18730374188406823
64,7,raw_softmax,0.45372922472126365,0.31571069350646985,1.1102230246251565e-16,0.0,0.09727286075020518,0.1839334341348086
64,7,standardized_exponential,1.6653345369377348e-16,5.5260429478870554e-17,1.6653345369377348e-16,0.0,0.15160892660904018,0.41914270076402765
64,7,standardized_asinh,1.6653345369377348e-16,4.2148359455373985e-17,1.1102230246251565e-16,0.0,0.11770103163118899,0.24912590895048392
64,7,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.05530910810075053,0.12087216249265079
64,8,raw_softmax,0.5305065812342292,0.3046230601084151,5.551115123125783e-17,0.0,0.09819666196174012,0.24492823457015878
64,8,standardized_exponential,2.220446049250313e-16,5.735090679269417e-17,1.1102230246251565e-16,0.0,0.155257260343096,0.28292062408595553
64,8,standardized_asinh,1.1102230246251565e-16,4.560425388017153e-17,1.6653345369377348e-16,0.0,0.12212304986794606,0.26769936423969254
64,8,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.056649721323241115,0.14846931367270683
64,9,raw_softmax,0.3979425313096349,0.31010634065717296,1.1102230246251565e-16,0.0,0.11181278619373158,0.2600983787931563
64,9,standardized_exponential,2.220446049250313e-16,4.703404549513679e-17,1.6653345369377348e-16,0.0,0.18109661014455733,0.62418894382769
64,9,standardized_asinh,1.1102230246251565e-16,3.629366772395226e-17,1.1102230246251565e-16,0.0,0.1409583322546746,0.5009109253974802
64,9,standardized_rank,0.0,0.0,5.551115123125783e-17,0.0,0.06944370944038053,0.32015666782980645
