sample_index,transformed_model,initial_relation_identical,mark_vector_identical,trajectory_diverged,first_divergence_step,final_relation_identical,path_hash_identical,anchor_hash_identical,base_transitive_every_step,transformed_transitive_every_step
90,beta_skew,True,False,True,2,False,False,False,True,True
91,power_anisotropic,True,False,True,10,False,False,False,True,True
91,beta_skew,True,False,True,9,False,False,False,True,True
92,power_anisotropic,True,False,True,1,False,False,False,True,True
92,beta_skew,True,False,True,5,False,False,False,True,True
93,power_anisotropic,True,False,True,1,False,False,False,True,True
93,beta_skew,True,False,True,3,False,False,False,True,True
94,power_anisotropic,True,False,True,2,False,False,False,True,True
94,beta_skew,True,False,True,1,False,False,False,True,True
95,power_anisotropic,True,False,True,1,False,False,False,True,True
95,beta_skew,True,False,True,1,False,False,False,True,True
96,power_anisotropic,True,False,True,2,False,False,False,True,True
96,beta_skew,True,False,True,7,False,False,False,True,True
97,power_anisotropic,True,False,True,1,False,False,False,True,True
97,beta_skew,True,False,True,1,False,False,False,True,True
98,power_anisotropic,True,False,True,2,False,False,False,True,True
98,beta_skew,True,False,True,2,False,False,False,True,True
99,power_anisotropic,True,False,True,2,False,False,False,True,True
99,beta_skew,True,False,True,2,False,False,False,True,True
100,power_anisotropic,True,False,True,1,False,False,False,True,True
100,beta_skew,True,False,True,2,False,False,False,True,True
101,power_anisotropic,True,False,True,1,False,False,False,True,True
101,beta_skew,True,False,True,1,False,False,False,True,True
102,power_anisotropic,True,False,True,5,False,False,False,True,True
102,beta_skew,True,False,True,1,False,False,False,True,True
103,power_anisotropic,True,False,True,1,False,False,False,True,True
103,beta_skew,True,False,True,4,False,False,False,True,True
104,power_anisotropic,True,False,True,3,False,False,False,True,True
104,beta_skew,True,False,True,10,False,False,False,True,True
105,power_anisotropic,True,False,True,2,False,False,False,True,True
105,beta_skew,True,False,True,1,False,False,False,True,True
106,power_anisotropic,True,False,True,1,False,False,False,True,True
106,beta_skew,True,False,True,2,False,False,False,True,True
107,power_anisotropic,True,False,True,1,False,False,False,True,True
107,beta_skew,True,False,True,3,False,False,False,True,True
108,power_anisotropic,True,False,True,2,False,False,False,True,True
108,beta_skew,True,False,True,2,False,False,False,True,True
109,power_anisotropic,True,False,True,1,False,False,False,True,True
109,beta_skew,True,False,True,1,False,False,False,True,True
110,power_anisotropic,True,False,True,1,False,False,False,True,True
110,beta_skew,True,False,True,2,False,False,False,True,True
111,power_anisotropic,True,False,True,2,False,False,False,True,True
111,beta_skew,True,False,True,2,False,False,False,True,True
112,power_anisotropic,True,False,True,1,False,False,False,True,True
112,beta_skew,True,False,True,4,False,False,False,True,True
113,power_anisotropic,True,False,True,2,False,False,False,True,True
113,beta_skew,True,False,True,7,False,False,False,True,True
114,power_anisotropic,True,False,True,5,False,False,False,True,True
114,beta_skew,True,False,True,3,False,False,False,True,True
115,power_anisotropic,True,False,True,1,False,False,False,True,True
115,beta_skew,True,False,True,6,False,False,False,True,True
116,power_anisotropic,True,False,True,1,False,False,False,True,True
116,beta_skew,True,False,True,3,False,False,False,True,True
117,power_anisotropic,True,False,True,1,False,False,False,True,True
117,beta_skew,True,False,True,3,False,False,False,True,True
118,power_anisotropic,True,False,True,1,False,False,False,True,True
118,beta_skew,True,False,True,3,False,False,False,True,True
119,power_anisotropic,True,False,True,5,False,False,False,True,True
119,beta_skew,True,False,True,5,False,False,False,True,True
120,power_anisotropic,True,False,True,2,False,False,False,True,True
120,beta_skew,True,False,True,3,False,False,False,True,True
121,power_anisotropic,True,False,True,2,False,False,False,True,True
121,beta_skew,True,False,True,2,False,False,False,True,True
122,power_anisotropic,True,False,True,1,False,False,False,True,True
122,beta_skew,True,False,True,1,False,False,False,True,True
123,power_anisotropic,True,False,True,1,False,False,False,True,True
123,beta_skew,True,False,True,13,False,False,False,True,True
124,power_anisotropic,True,False,True,4,False,False,False,True,True
124,beta_skew,True,False,True,4,False,False,False,True,True
125,power_anisotropic,True,False,True,3,False,False,False,True,True
125,beta_skew,True,False,True,3,False,False,False,True,True
126,power_anisotropic,True,False,True,4,False,False,False,True,True
126,beta_skew,True,False,True,1,False,False,False,True,True
127,power_anisotropic,True,False,True,15,False,False,False,True,True
127,beta_skew,True,False,True,3,False,False,False,True,True
128,power_anisotropic,True,False,True,1,False,False,False,True,True
128,beta_skew,True,False,True,1,False,False,False,True,True
129,power_anisotropic,True,False,True,4,False,False,False,True,True
129,beta_skew,True,False,True,5,False,False,False,True,True
130,power_anisotropic,True,False,True,2,False,False,False,True,True
130,beta_skew,True,False,True,2,False,False,False,True,True
131,power_anisotropic,True,False,True,1,False,False,False,True,True
131,beta_skew,True,False,True,2,False,False,False,True,True
132,power_anisotropic,True,False,True,3,False,False,False,True,True
132,beta_skew,True,False,True,1,False,False,False,True,True
133,power_anisotropic,True,False,True,1,False,False,False,True,True
133,beta_skew,True,False,True,3,False,False,False,True,True
134,power_anisotropic,True,False,True,1,False,False,False,True,True
134,beta_skew,True,False,True,2,False,False,False,True,True
135,power_anisotropic,True,False,True,3,False,False,False,True,True
135,beta_skew,True,False,True,3,False,False,False,True,True
136,power_anisotropic,True,False,True,1,False,False,False,True,True
136,beta_skew,True,False,True,1,False,False,False,True,True
137,power_anisotropic,True,False,True,2,False,False,False,True,True
137,beta_skew,True,False,True,12,False,False,False,True,True
138,power_anisotropic,True,False,True,1,False,False,False,True,True
138,beta_skew,True,False,True,1,False,False,False,True,True
139,power_anisotropic,True,False,True,1,False,False,False,True,True
139,beta_skew,True,False,True,1,False,False,False,True,True
140,power_anisotropic,True,False,True,2,False,False,False,True,True
140,beta_skew,True,False,True,3,False,False,False,True,True
141,power_anisotropic,True,False,True,2,False,False,False,True,True
141,beta_skew,True,False,True,5,False,False,False,True,True
142,power_anisotropic,True,False,True,4,False,False,False,True,True
142,beta_skew,True,False,True,1,False,False,False,True,True
143,power_anisotropic,True,False,True,1,False,False,False,True,True
143,beta_skew,True,False,True,1,False,False,False,True,True
144,power_anisotropic,True,False,True,2,False,False,False,True,True
144,beta_skew,True,False,True,3,False,False,False,True,True
145,power_anisotropic,True,False,True,1,False,False,False,True,True
145,beta_skew,True,False,True,1,False,False,False,True,True
146,power_anisotropic,True,False,True,1,False,False,False,True,True
146,beta_skew,True,False,True,1,False,False,False,True,True
147,power_anisotropic,True,False,True,2,False,False,False,True,True
147,beta_skew,True,False,True,2,False,False,False,True,True
148,power_anisotropic,True,False,True,1,False,False,False,True,True
148,beta_skew,True,False,True,2,False,False,False,True,True
149,power_anisotropic,True,False,True,2,False,False,False,True,True
149,beta_skew,True,False,True,2,False,False,False,True,True
150,power_anisotropic,True,False,True,3,False,False,False,True,True
150,beta_skew,True,False,True,4,False,False,False,True,True
151,power_anisotropic,True,False,True,1,False,False,False,True,True
151,beta_skew,True,False,True,2,False,False,False,True,True
152,power_anisotropic,True,False,True,2,False,False,False,True,True
152,beta_skew,True,False,True,1,False,False,False,True,True
153,power_anisotropic,True,False,True,1,False,False,False,True,True
153,beta_skew,True,False,True,1,False,False,False,True,True
154,power_anisotropic,True,False,True,2,False,False,False,True,True
154,beta_skew,True,False,True,2,False,False,False,True,True
155,power_anisotropic,True,False,True,2,False,False,False,True,True
155,beta_skew,True,False,True,10,False,False,False,True,True
156,power_anisotropic,True,False,True,1,False,False,False,True,True
156,beta_skew,True,False,True,1,False,False,False,True,True
157,power_anisotropic,True,False,True,1,False,False,False,True,True
157,beta_skew,True,False,True,9,False,False,False,True,True
158,power_anisotropic,True,False,True,1,False,False,False,True,True
158,beta_skew,True,False,True,1,False,False,False,True,True
159,power_anisotropic,True,False,True,1,False,False,False,True,True
159,beta_skew,True,False,True,1,False,False,False,True,True
160,power_anisotropic,True,False,True,2,False,False,False,True,True
