n,sample_index,clone_count,maximum_macro_error,maximum_conservation_error
10,39,5,1.3877787807814457e-16,1.7763568394002505e-15
10,40,4,1.3877787807814457e-16,1.7763568394002505e-15
10,41,6,1.6653345369377348e-16,1.5543122344752192e-15
10,42,6,8.326672684688674e-17,1.5543122344752192e-15
10,43,3,8.326672684688674e-17,1.887379141862766e-15
10,44,3,5.551115123125783e-17,1.7763568394002505e-15
10,45,2,5.551115123125783e-17,1.5543122344752192e-15
10,46,2,1.6653345369377348e-16,1.5543122344752192e-15
10,47,6,1.1102230246251565e-16,2.3314683517128287e-15
10,48,5,1.1102230246251565e-16,1.7763568394002505e-15
10,49,4,2.220446049250313e-16,2.3314683517128287e-15
10,50,4,1.6653345369377348e-16,2.1094237467877974e-15
10,51,3,2.498001805406602e-16,3.219646771412954e-15
10,52,4,8.326672684688674e-17,1.5543122344752192e-15
10,53,5,5.551115123125783e-17,1.3322676295501878e-15
10,54,5,8.326672684688674e-17,1.5543122344752192e-15
10,55,5,8.326672684688674e-17,1.887379141862766e-15
10,56,5,1.6653345369377348e-16,2.6645352591003757e-15
10,57,5,8.326672684688674e-17,1.6653345369377348e-15
10,58,3,2.7755575615628914e-17,1.3322676295501878e-15
10,59,4,2.7755575615628914e-17,1.3322676295501878e-15
10,60,2,1.3877787807814457e-16,1.9984014443252818e-15
10,61,6,5.551115123125783e-17,1.887379141862766e-15
10,62,4,5.551115123125783e-17,1.5543122344752192e-15
10,63,3,5.551115123125783e-17,1.3322676295501878e-15
10,64,4,5.551115123125783e-17,1.5543122344752192e-15
10,65,6,1.3877787807814457e-16,2.4424906541753444e-15
10,66,5,1.942890293094024e-16,2.6645352591003757e-15
10,67,4,2.7755575615628914e-17,1.4432899320127035e-15
10,68,2,1.1102230246251565e-16,1.7763568394002505e-15
10,69,3,5.551115123125783e-17,1.3322676295501878e-15
10,70,2,8.326672684688674e-17,1.5543122344752192e-15
10,71,3,5.551115123125783e-17,1.3322676295501878e-15
