n,sample_index,clone_count,maximum_macro_error,maximum_conservation_error
40,110,3,2.7755575615628914e-17,2.1094237467877974e-15
40,111,6,2.0816681711721685e-17,1.9984014443252818e-15
40,112,3,2.0816681711721685e-17,2.220446049250313e-15
40,113,2,2.0816681711721685e-17,1.7763568394002505e-15
40,114,2,1.3877787807814457e-17,1.7763568394002505e-15
40,115,5,2.0816681711721685e-17,1.6653345369377348e-15
40,116,6,1.3877787807814457e-17,2.220446049250313e-15
40,117,6,1.3877787807814457e-17,1.887379141862766e-15
40,118,2,2.0816681711721685e-17,2.1094237467877974e-15
40,119,6,4.85722573273506e-17,1.6653345369377348e-15
40,120,2,2.7755575615628914e-17,2.1094237467877974e-15
40,121,5,2.0816681711721685e-17,1.5543122344752192e-15
40,122,2,2.0816681711721685e-17,2.1094237467877974e-15
40,123,5,1.3877787807814457e-17,2.4424906541753444e-15
40,124,6,2.7755575615628914e-17,2.4424906541753444e-15
40,125,2,1.3877787807814457e-17,1.9984014443252818e-15
40,126,2,1.3877787807814457e-17,1.7763568394002505e-15
40,127,2,2.0816681711721685e-17,1.5543122344752192e-15
40,128,2,2.0816681711721685e-17,1.7763568394002505e-15
40,129,6,2.0816681711721685e-17,2.1094237467877974e-15
40,130,2,1.3877787807814457e-17,2.1094237467877974e-15
40,131,3,2.0816681711721685e-17,1.7763568394002505e-15
40,132,6,1.3877787807814457e-17,1.9984014443252818e-15
40,133,6,2.7755575615628914e-17,1.6653345369377348e-15
40,134,5,1.3877787807814457e-17,1.2212453270876722e-15
40,135,2,2.0816681711721685e-17,1.9984014443252818e-15
40,136,2,1.3877787807814457e-17,2.220446049250313e-15
40,137,4,1.3877787807814457e-17,1.4432899320127035e-15
40,138,5,2.0816681711721685e-17,1.887379141862766e-15
40,139,2,2.7755575615628914e-17,1.9984014443252818e-15
40,140,6,2.0816681711721685e-17,1.7763568394002505e-15
40,141,6,6.938893903907228e-18,1.7763568394002505e-15
40,142,2,1.3877787807814457e-17,1.887379141862766e-15
40,143,6,1.3877787807814457e-17,1.887379141862766e-15
40,144,4,2.0816681711721685e-17,2.1094237467877974e-15
40,145,2,1.3877787807814457e-17,1.4432899320127035e-15
40,146,5,1.3877787807814457e-17,1.9984014443252818e-15
40,147,4,2.0816681711721685e-17,1.7763568394002505e-15
40,148,2,1.3877787807814457e-17,1.9984014443252818e-15
40,149,4,2.0816681711721685e-17,1.9984014443252818e-15
40,150,2,1.3877787807814457e-17,2.220446049250313e-15
40,151,5,1.3877787807814457e-17,1.6653345369377348e-15
40,152,4,2.0816681711721685e-17,1.9984014443252818e-15
40,153,4,1.3877787807814457e-17,1.6653345369377348e-15
40,154,5,1.3877787807814457e-17,1.7763568394002505e-15
40,155,6,2.0816681711721685e-17,1.9984014443252818e-15
40,156,4,2.0816681711721685e-17,1.9984014443252818e-15
40,157,2,1.3877787807814457e-17,2.1094237467877974e-15
40,158,6,2.0816681711721685e-17,1.6653345369377348e-15
40,159,6,1.3877787807814457e-17,2.3314683517128287e-15
40,160,3,1.3877787807814457e-17,1.887379141862766e-15
40,161,5,1.3877787807814457e-17,2.220446049250313e-15
40,162,4,2.0816681711721685e-17,1.887379141862766e-15
40,163,4,2.0816681711721685e-17,1.7763568394002505e-15
40,164,4,2.0816681711721685e-17,1.9984014443252818e-15
40,165,5,1.3877787807814457e-17,1.7763568394002505e-15
40,166,3,2.0816681711721685e-17,1.6653345369377348e-15
40,167,4,1.3877787807814457e-17,1.2212453270876722e-15
40,168,3,2.0816681711721685e-17,1.7763568394002505e-15
40,169,4,2.0816681711721685e-17,1.9984014443252818e-15
40,170,3,2.7755575615628914e-17,1.9984014443252818e-15
40,171,4,1.3877787807814457e-17,1.7763568394002505e-15
40,172,3,1.3877787807814457e-17,1.5543122344752192e-15
40,173,3,1.3877787807814457e-17,1.7763568394002505e-15
40,174,2,1.3877787807814457e-17,1.7763568394002505e-15
40,175,3,2.0816681711721685e-17,1.7763568394002505e-15
40,176,3,2.0816681711721685e-17,1.4432899320127035e-15
40,177,4,1.3877787807814457e-17,1.887379141862766e-15
40,178,5,1.3877787807814457e-17,1.6653345369377348e-15
40,179,4,1.3877787807814457e-17,1.9984014443252818e-15
