n,sample_index,measure,clone_count,macro_total_variation,refinement_consistent
10,70,q_node_softmax,5,0.2607215649733136,False
10,71,uniform_count,6,0.29999999999999993,False
10,71,degree,6,0.2698412698412698,False
10,71,relation_stationary,6,0.24789300779762627,False
10,71,q_stationary,6,0.06910015456180787,False
10,71,q_node_softmax,6,0.3946342047447195,False
10,72,uniform_count,2,0.08181818181818183,False
10,72,degree,2,0.08441558441558442,False
10,72,relation_stationary,2,0.08758101231967269,False
10,72,q_stationary,2,0.07822132505803715,False
10,72,q_node_softmax,2,0.054442483859193286,False
10,73,uniform_count,3,0.15000000000000002,False
10,73,degree,3,0.14525283797729618,False
10,73,relation_stationary,3,0.2279986094670125,False
10,73,q_stationary,3,0.20477237341891766,False
10,73,q_node_softmax,3,0.09491100292818479,False
10,74,uniform_count,2,0.08181818181818183,False
10,74,degree,2,0.08358153387937453,False
10,74,relation_stationary,2,0.07179952019088225,False
10,74,q_stationary,2,0.022515734858700537,False
10,74,q_node_softmax,2,0.08045090249170367,False
10,75,uniform_count,4,0.2076923076923077,False
10,75,degree,4,0.19481981981981983,False
10,75,relation_stationary,4,0.15886447446626617,False
10,75,q_stationary,4,0.07702294151013035,False
10,75,q_node_softmax,4,0.25125056086725783,False
10,76,uniform_count,2,0.08181818181818183,False
10,76,degree,2,0.07764603817235394,False
10,76,relation_stationary,2,0.029839913143078527,False
10,76,q_stationary,2,0.02177966301462425,False
10,76,q_node_softmax,2,0.08170781377642042,False
10,77,uniform_count,2,0.08181818181818183,False
10,77,degree,2,0.10317460317460317,False
10,77,relation_stationary,2,0.1144963677762886,False
10,77,q_stationary,2,0.05639809989956381,False
10,77,q_node_softmax,2,0.1053660975887026,False
10,78,uniform_count,3,0.15000000000000002,False
10,78,degree,3,0.14906832298136646,False
10,78,relation_stationary,3,0.11394776015661814,False
10,78,q_stationary,3,0.06467316991933222,False
10,78,q_node_softmax,3,0.10817188568747808,False
10,79,uniform_count,2,0.08181818181818183,False
10,79,degree,2,0.0848089468779124,False
10,79,relation_stationary,2,0.09551254401927503,False
10,79,q_stationary,2,0.0773947032901994,False
10,79,q_node_softmax,2,0.05499667577500148,False
10,80,uniform_count,4,0.20769230769230773,False
10,80,degree,4,0.1996520226185298,False
10,80,relation_stationary,4,0.08198722302953951,False
10,80,q_stationary,4,0.05568133392141521,False
10,80,q_node_softmax,4,0.20501962164335594,False
10,81,uniform_count,3,0.15000000000000002,False
10,81,degree,3,0.12443845462713388,False
10,81,relation_stationary,3,0.07720255201940347,False
10,81,q_stationary,3,0.13457367393270003,False
10,81,q_node_softmax,3,0.14249059178643886,False
10,82,uniform_count,2,0.08181818181818183,False
10,82,degree,2,0.08358153387937453,False
10,82,relation_stationary,2,0.11567317867316476,False
10,82,q_stationary,2,0.13762333485570474,False
10,82,q_node_softmax,2,0.04823310921092486,False
10,83,uniform_count,4,0.2076923076923077,False
10,83,degree,4,0.174982674982675,False
10,83,relation_stationary,4,0.21439641840619983,False
10,83,q_stationary,4,0.1757225051062731,False
10,83,q_node_softmax,4,0.20261721779538105,False
10,84,uniform_count,2,0.08181818181818183,False
10,84,degree,2,0.08524904214559387,False
10,84,relation_stationary,2,0.11583377424855561,False
10,84,q_stationary,2,0.12376806683890647,False
10,84,q_node_softmax,2,0.0957036374944932,False
10,85,uniform_count,5,0.2571428571428572,False
10,85,degree,5,0.20880681818181818,False
10,85,relation_stationary,5,0.11221910890962564,False
10,85,q_stationary,5,0.11913973032313299,False
10,85,q_node_softmax,5,0.21430067022621538,False
10,86,uniform_count,4,0.20769230769230773,False
10,86,degree,4,0.19584936778449696,False
10,86,relation_stationary,4,0.07644340166140332,False
10,86,q_stationary,4,0.020048803337442554,False
10,86,q_node_softmax,4,0.20702330237230265,False
10,87,uniform_count,3,0.15000000000000002,False
10,87,degree,3,0.13390985324947588,False
10,87,relation_stationary,3,0.12438187411420981,False
10,87,q_stationary,3,0.15223266221482848,False
10,87,q_node_softmax,3,0.194225754389021,False
10,88,uniform_count,3,0.15000000000000002,False
10,88,degree,3,0.15349143610013177,False
10,88,relation_stationary,3,0.09983767455157078,False
10,88,q_stationary,3,0.069884189436795,False
10,88,q_node_softmax,3,0.11585470046055296,False
10,89,uniform_count,4,0.20769230769230773,False
10,89,degree,4,0.18376068376068377,False
10,89,relation_stationary,4,0.09135022525598742,False
10,89,q_stationary,4,0.07549010855888401,False
10,89,q_node_softmax,4,0.22452176930744808,False
10,90,uniform_count,4,0.20769230769230773,False
10,90,degree,4,0.19621621621621618,False
10,90,relation_stationary,4,0.24005679688842435,False
10,90,q_stationary,4,0.12047969244584247,False
10,90,q_node_softmax,4,0.19767434330894118,False
10,91,uniform_count,3,0.15000000000000005,False
10,91,degree,3,0.15469208211143692,False
10,91,relation_stationary,3,0.18441452985776943,False
10,91,q_stationary,3,0.1371598784177977,False
10,91,q_node_softmax,3,0.15945556016566648,False
10,92,uniform_count,4,0.20769230769230773,False
10,92,degree,4,0.19318181818181823,False
10,92,relation_stationary,4,0.22464715800829077,False
10,92,q_stationary,4,0.23326323620542083,False
10,92,q_node_softmax,4,0.1407543113318093,False
10,93,uniform_count,3,0.15000000000000002,False
10,93,degree,3,0.15434451219512194,False
10,93,relation_stationary,3,0.19150461206000943,False
10,93,q_stationary,3,0.04549314659120346,False
10,93,q_node_softmax,3,0.19849319966068982,False
10,94,uniform_count,2,0.08181818181818183,False
10,94,degree,2,0.08777969018932874,False
10,94,relation_stationary,2,0.13337755180643046,False
10,94,q_stationary,2,0.1349343252998698,False
10,94,q_node_softmax,2,0.10185870476873968,False
10,95,uniform_count,4,0.20769230769230773,False
10,95,degree,4,0.19610389610389609,False
10,95,relation_stationary,4,0.14618921530253345,False
10,95,q_stationary,4,0.05231415882314342,False
10,95,q_node_softmax,4,0.1954199325413799,False
10,96,uniform_count,2,0.08181818181818183,False
10,96,degree,2,0.08480392156862744,False
10,96,relation_stationary,2,0.044539432763426125,False
10,96,q_stationary,2,0.05589576255619408,False
10,96,q_node_softmax,2,0.09255888026003845,False
10,97,uniform_count,6,0.29999999999999993,False
10,97,degree,6,0.26108374384236455,False
10,97,relation_stationary,6,0.3092350971790554,False
10,97,q_stationary,6,0.12236119691447446,False
10,97,q_node_softmax,6,0.2091505193174665,False
10,98,uniform_count,5,0.2571428571428572,False
10,98,degree,5,0.23114158935054455,False
10,98,relation_stationary,5,0.21952806065831112,False
10,98,q_stationary,5,0.1436135727023739,False
10,98,q_node_softmax,5,0.28688782492546105,False
10,99,uniform_count,4,0.20769230769230773,False
10,99,degree,4,0.20147420147420148,False
