n,sample_index,measure,same_relation_measure_tv
10,61,q_node_softmax,0.2799224753075311
10,62,q_stationary,0.3073131393836579
10,62,q_node_softmax,0.25907974746159035
10,63,q_stationary,0.4890869057492099
10,63,q_node_softmax,0.246925732950976
10,64,q_stationary,0.4221239191863706
10,64,q_node_softmax,0.15061080801538035
10,65,q_stationary,0.6478324686000764
10,65,q_node_softmax,0.26544431348014536
10,66,q_stationary,0.41983947937797694
10,66,q_node_softmax,0.24763343722782863
10,67,q_stationary,0.5069431081513538
10,67,q_node_softmax,0.21358102036866328
10,68,q_stationary,0.41263892335376817
10,68,q_node_softmax,0.16495581861146985
10,69,q_stationary,0.8314552056433651
10,69,q_node_softmax,0.2845859279790014
10,70,q_stationary,0.4499613721416069
10,70,q_node_softmax,0.1787200573477694
10,71,q_stationary,0.27287938637859677
10,71,q_node_softmax,0.3066753268937455
10,72,q_stationary,0.4145867223367681
10,72,q_node_softmax,0.21819759763816562
10,73,q_stationary,0.4036674927657403
10,73,q_node_softmax,0.19529930055460865
10,74,q_stationary,0.3598508488096761
10,74,q_node_softmax,0.1774242751551951
10,75,q_stationary,0.7605579422548896
10,75,q_node_softmax,0.2120598656943549
10,76,q_stationary,0.6297396671689279
10,76,q_node_softmax,0.24774736687677545
10,77,q_stationary,0.5095990321052016
10,77,q_node_softmax,0.18045926499571732
10,78,q_stationary,0.48787729431183663
10,78,q_node_softmax,0.2911930206539226
10,79,q_stationary,0.2911452150305091
10,79,q_node_softmax,0.2264502044036529
10,80,q_stationary,0.35820010840874505
10,80,q_node_softmax,0.29171122567559205
10,81,q_stationary,0.37267073925983585
10,81,q_node_softmax,0.20523793357688766
10,82,q_stationary,0.4993780513095988
10,82,q_node_softmax,0.12598696766522935
10,83,q_stationary,0.3703507617582953
10,83,q_node_softmax,0.24204477919530035
10,84,q_stationary,0.3217469482376538
10,84,q_node_softmax,0.257226937880739
10,85,q_stationary,0.2185961083339293
10,85,q_node_softmax,0.1061906865464268
10,86,q_stationary,0.37191633951337566
10,86,q_node_softmax,0.10757044433936026
10,87,q_stationary,0.4298831273869639
10,87,q_node_softmax,0.12366234205306431
10,88,q_stationary,0.5804176285859131
10,88,q_node_softmax,0.19170706038716445
10,89,q_stationary,0.3818216129449472
10,89,q_node_softmax,0.12732004063203212
10,90,q_stationary,0.4741916796381274
10,90,q_node_softmax,0.19142280605800607
10,91,q_stationary,0.4510656720296729
10,91,q_node_softmax,0.21045678618752636
10,92,q_stationary,0.3893725257517612
10,92,q_node_softmax,0.1622299242233185
10,93,q_stationary,0.03804097065147667
10,93,q_node_softmax,0.19002756312555463
10,94,q_stationary,0.2969290731493582
10,94,q_node_softmax,0.19139422041724288
10,95,q_stationary,0.67433951530482
10,95,q_node_softmax,0.21883819415011738
10,96,q_stationary,0.4577710795764779
10,96,q_node_softmax,0.16630792008816
10,97,q_stationary,0.3201452998040212
10,97,q_node_softmax,0.12802379742340728
10,98,q_stationary,0.6007784881151962
10,98,q_node_softmax,0.24040912110870685
10,99,q_stationary,0.5868509328445837
10,99,q_node_softmax,0.24118609526318602
10,100,q_stationary,0.3990820382401704
10,100,q_node_softmax,0.13424155395205767
10,101,q_stationary,0.20855758298822238
10,101,q_node_softmax,0.18941556183690308
10,102,q_stationary,0.5092641579582371
10,102,q_node_softmax,0.12379204769695863
10,103,q_stationary,0.657984430762827
10,103,q_node_softmax,0.23163999079460731
10,104,q_stationary,0.5788425754563974
10,104,q_node_softmax,0.2539043425433437
10,105,q_stationary,0.4157590346805832
10,105,q_node_softmax,0.23640216313763326
10,106,q_stationary,0.47595910969238664
10,106,q_node_softmax,0.23464867989968383
10,107,q_stationary,0.36283986142648217
10,107,q_node_softmax,0.27639520216400787
10,108,q_stationary,0.36708534369427537
10,108,q_node_softmax,0.23068929447280598
10,109,q_stationary,0.4752460872355754
10,109,q_node_softmax,0.33273249177918374
10,110,q_stationary,0.41491008712691707
10,110,q_node_softmax,0.18866179262006233
10,111,q_stationary,0.8733277000791917
10,111,q_node_softmax,0.23013762019582107
10,112,q_stationary,0.25388789203768647
10,112,q_node_softmax,0.3226661894007193
10,113,q_stationary,0.4895885172152941
10,113,q_node_softmax,0.18338382840207498
10,114,q_stationary,0.28007607545820623
10,114,q_node_softmax,0.15794842796850259
10,115,q_stationary,0.7810821964607152
10,115,q_node_softmax,0.1731334984976381
10,116,q_stationary,0.36044417416725966
10,116,q_node_softmax,0.20258028842978154
10,117,q_stationary,0.28347011909989644
10,117,q_node_softmax,0.1467289249911972
10,118,q_stationary,0.45857455112538487
10,118,q_node_softmax,0.13454104628513214
10,119,q_stationary,0.3846903667992985
10,119,q_node_softmax,0.2004728727049815
10,120,q_stationary,0.549326519616322
10,120,q_node_softmax,0.133410873865339
10,121,q_stationary,0.35672728111082663
10,121,q_node_softmax,0.15557381070733634
10,122,q_stationary,0.372262991483767
10,122,q_node_softmax,0.27659558921433475
10,123,q_stationary,0.5736741616899255
10,123,q_node_softmax,0.24307488319346707
10,124,q_stationary,0.3299381665974539
10,124,q_node_softmax,0.13105085977657527
10,125,q_stationary,0.4500876534740223
10,125,q_node_softmax,0.225588393436374
10,126,q_stationary,0.49298783931547774
10,126,q_node_softmax,0.1377369133925467
10,127,q_stationary,0.32243859055406054
10,127,q_node_softmax,0.16278217137908305
10,128,q_stationary,0.4695566582755156
10,128,q_node_softmax,0.27369000820373335
10,129,q_stationary,0.5272517003089331
10,129,q_node_softmax,0.16231082542392997
10,130,q_stationary,0.3417427227667101
10,130,q_node_softmax,0.18806855504738065
10,131,q_stationary,0.3918316460556261
10,131,q_node_softmax,0.13500897152512698
10,132,q_stationary,0.7004623080129276
10,132,q_node_softmax,0.2573154703192025
10,133,q_stationary,0.2163906032032144
10,133,q_node_softmax,0.19430491396442215
10,134,q_stationary,0.22249723815942551
10,134,q_node_softmax,0.2098301051072032
10,135,q_stationary,0.45303722932549956
10,135,q_node_softmax,0.18930936085273878
10,136,q_stationary,0.3119923769076439
10,136,q_node_softmax,0.18650889498178502
10,137,q_stationary,0.5520017384980783
10,137,q_node_softmax,0.16655095026320513
10,138,q_stationary,0.6015328065679316
10,138,q_node_softmax,0.16688321730284808
10,139,q_stationary,0.3845502310934887
10,139,q_node_softmax,0.18504404741244923
10,140,q_stationary,0.18869688755244451
10,140,q_node_softmax,0.1897118772915598
10,141,q_stationary,0.1421788746227739
10,141,q_node_softmax,0.288675730109932
10,142,q_stationary,0.26655050346577797
10,142,q_node_softmax,0.28389320312922217
10,143,q_stationary,0.4563272897581609
10,143,q_node_softmax,0.20832123271423303
10,144,q_stationary,0.29205919317258633
10,144,q_node_softmax,0.13609647523921042
10,145,q_stationary,0.2565822463394603
10,145,q_node_softmax,0.09141497443560548
10,146,q_stationary,0.08124077340858993
10,146,q_node_softmax,0.12693732115613876
10,147,q_stationary,0.31132545287054714
10,147,q_node_softmax,0.18935693673555595
10,148,q_stationary,0.36577139428181205
10,148,q_node_softmax,0.09546388605304758
10,149,q_stationary,0.34359530546022804
10,149,q_node_softmax,0.2550974918387191
10,150,q_stationary,0.39209348736576255
10,150,q_node_softmax,0.15383729403636762
10,151,q_stationary,0.6226623786422887
10,151,q_node_softmax,0.13208272675496446
10,152,q_stationary,0.18859479761891773
10,152,q_node_softmax,0.18716584843475614
10,153,q_stationary,0.47847246341431376
10,153,q_node_softmax,0.18998420973151495
10,154,q_stationary,0.35633038922143545
10,154,q_node_softmax,0.23143560180078349
10,155,q_stationary,0.20444969296944893
10,155,q_node_softmax,0.28332843834928223
10,156,q_stationary,0.5501344243538181
10,156,q_node_softmax,0.2572393143286733
10,157,q_stationary,0.5051218339001633
10,157,q_node_softmax,0.14440160768264776
10,158,q_stationary,0.558778268795406
10,158,q_node_softmax,0.20842647917734616
10,159,q_stationary,0.36533627456471185
10,159,q_node_softmax,0.18903873024903778
10,160,q_stationary,0.18523765891681557
10,160,q_node_softmax,0.2731943304820199
10,161,q_stationary,0.21714537814823098
10,161,q_node_softmax,0.2760646603389353
10,162,q_stationary,0.483018282327447
10,162,q_node_softmax,0.22348214229018387
10,163,q_stationary,0.46469881282880277
10,163,q_node_softmax,0.17060702456070032
10,164,q_stationary,0.6899457560462107
10,164,q_node_softmax,0.12285342270495436
10,165,q_stationary,0.338398099766265
10,165,q_node_softmax,0.1653366551396488
10,166,q_stationary,0.4582176325335116
10,166,q_node_softmax,0.10673792825456162
10,167,q_stationary,0.3385371483997895
10,167,q_node_softmax,0.2032152661421182
10,168,q_stationary,0.41970870561448304
10,168,q_node_softmax,0.22088610435725947
10,169,q_stationary,0.444958327428702
10,169,q_node_softmax,0.2525483827866869
10,170,q_stationary,0.4899374915774821
10,170,q_node_softmax,0.24270681013531717
10,171,q_stationary,0.6617196425823529
10,171,q_node_softmax,0.2871601764891541
10,172,q_stationary,0.3794535547920601
10,172,q_node_softmax,0.2419555460149235
10,173,q_stationary,0.5502241882872847
