n,sample_index,clone_count,maximum_macro_error,refinement_consistent
40,141,2,3.469446951953614e-18,True
40,142,4,1.3877787807814457e-17,True
40,143,3,1.3877787807814457e-17,True
40,144,5,6.938893903907228e-18,True
40,145,5,6.938893903907228e-18,True
40,146,6,2.7755575615628914e-17,True
40,147,3,1.3877787807814457e-17,True
40,148,4,1.3877787807814457e-17,True
40,149,3,0.0,True
40,150,5,2.7755575615628914e-17,True
40,151,5,6.938893903907228e-18,True
40,152,5,0.0,True
40,153,4,0.0,True
40,154,5,1.3877787807814457e-17,True
40,155,3,1.3877787807814457e-17,True
40,156,4,0.0,True
40,157,3,2.7755575615628914e-17,True
40,158,5,1.3877787807814457e-17,True
40,159,2,0.0,True
40,160,3,0.0,True
40,161,6,1.3877787807814457e-17,True
40,162,2,1.3877787807814457e-17,True
40,163,6,0.0,True
40,164,6,2.0816681711721685e-17,True
40,165,2,1.3877787807814457e-17,True
40,166,3,6.938893903907228e-18,True
40,167,6,2.7755575615628914e-17,True
40,168,2,8.673617379884035e-19,True
40,169,2,2.7755575615628914e-17,True
40,170,4,1.3877787807814457e-17,True
40,171,5,3.469446951953614e-18,True
40,172,3,2.7755575615628914e-17,True
40,173,4,1.3877787807814457e-17,True
40,174,4,0.0,True
40,175,3,1.3877787807814457e-17,True
40,176,5,1.3877787807814457e-17,True
40,177,2,0.0,True
40,178,4,1.3877787807814457e-17,True
40,179,5,1.3877787807814457e-17,True
