n,phase,candidate_index,gadget_count,gadget_vertex_fraction,core_n,prefix_size,suffix_size,target_ordering_fraction,ordering_fraction,ordering_fraction_mismatch,induced_s3_certificate,transitive,q_score,p_value,accepted_by_a14
128,discovery,13,1,0.046875,122,30,40,0.4943405511811024,0.4943405511811024,0.0,True,True,119.02965853950431,0.004524886877828055,False
128,discovery,14,1,0.046875,122,30,46,0.5105807086614174,0.5105807086614174,0.0,True,True,109.22595307573835,0.004524886877828055,False
128,discovery,15,1,0.046875,122,26,28,0.48683562992125984,0.48683562992125984,0.0,True,True,68.25779192536208,0.3665158371040724,True
128,discovery,16,1,0.046875,122,0,0,0.5171013779527559,0.5203001968503937,0.003198818897637845,True,True,72.79955776379448,0.2669683257918552,True
128,discovery,17,1,0.046875,122,19,20,0.4964320866141732,0.49606299212598426,0.00036909448818894797,True,True,88.41347205268922,0.049773755656108594,False
128,discovery,18,1,0.046875,122,17,46,0.5017224409448819,0.5017224409448819,0.0,True,True,82.0448186719901,0.09502262443438914,True
128,discovery,19,1,0.046875,122,0,0,0.4873277559055118,0.4885580708661417,0.001230314960629919,True,True,35.659886378005396,0.9864253393665159,True
128,discovery,20,1,0.046875,122,17,21,0.4749015748031496,0.4750246062992126,0.00012303149606301966,True,True,89.69856924672496,0.049773755656108594,False
128,discovery,21,1,0.046875,122,34,25,0.47563976377952755,0.47563976377952755,0.0,True,True,63.49888886201379,0.46153846153846156,True
128,discovery,22,1,0.046875,122,0,0,0.46653543307086615,0.468873031496063,0.002337598425196874,True,True,86.33630971197488,0.06334841628959276,True
128,discovery,23,1,0.046875,122,25,44,0.5082431102362205,0.5082431102362205,0.0,True,True,85.0797289262728,0.06787330316742081,True
128,discovery,24,1,0.046875,122,51,24,0.5103346456692913,0.5103346456692913,0.0,True,True,128.13270393633346,0.004524886877828055,False
128,discovery,25,1,0.046875,122,0,0,0.4436515748031496,0.4640748031496063,0.020423228346456712,True,True,41.36626184075286,0.9547511312217195,True
128,discovery,26,1,0.046875,122,32,13,0.4859744094488189,0.4859744094488189,0.0,True,True,54.74568473419158,0.6923076923076923,True
128,discovery,27,1,0.046875,122,29,40,0.49126476377952755,0.49126476377952755,0.0,True,True,88.79089548310394,0.049773755656108594,False
128,discovery,28,1,0.046875,122,52,43,0.5442913385826772,0.5442913385826772,0.0,True,True,150.82185082546562,0.004524886877828055,False
128,discovery,29,1,0.046875,122,0,0,0.4575541338582677,0.5088582677165354,0.05130413385826771,True,True,71.2390047258308,0.2986425339366516,True
128,discovery,30,1,0.046875,122,0,0,0.45398622047244097,0.47416338582677164,0.020177165354330673,True,True,86.06276449192579,0.06334841628959276,True
128,discovery,31,1,0.046875,122,30,51,0.5282972440944882,0.5282972440944882,0.0,True,True,97.38145397982191,0.027149321266968326,False
128,discovery,32,1,0.046875,122,45,46,0.5601624015748031,0.5601624015748031,0.0,True,True,117.8727595077723,0.004524886877828055,False
128,discovery,33,1,0.046875,122,31,28,0.49544783464566927,0.49544783464566927,0.0,True,True,100.8266616734702,0.02262443438914027,False
128,discovery,34,1,0.046875,122,30,43,0.48302165354330706,0.48302165354330706,0.0,True,True,118.99855061403511,0.004524886877828055,False
128,discovery,35,1,0.046875,122,7,8,0.4920029527559055,0.4917568897637795,0.0002460629921259838,True,True,46.88849328613696,0.8778280542986425,True
128,discovery,36,1,0.046875,122,22,36,0.515625,0.515625,0.0,True,True,87.05405385145781,0.049773755656108594,False
128,discovery,37,1,0.046875,122,0,0,0.4607529527559055,0.46628937007874016,0.005536417322834664,True,True,67.0856336041055,0.3936651583710407,True
128,discovery,38,1,0.046875,122,6,6,0.46776574803149606,0.4675196850393701,0.0002460629921259838,True,True,57.46881697640602,0.6289592760180995,True
128,discovery,39,1,0.046875,122,28,23,0.4879429133858268,0.4879429133858268,0.0,True,True,84.1192608381358,0.08144796380090498,True
128,discovery,40,1,0.046875,122,0,0,0.4311023622047244,0.5087352362204725,0.07763287401574803,True,True,49.466126714397426,0.8371040723981901,True
128,discovery,41,1,0.046875,122,42,13,0.5210383858267716,0.5210383858267716,0.0,True,True,84.00503648009979,0.08144796380090498,True
128,discovery,42,1,0.046875,122,0,0,0.5027066929133859,0.5061515748031497,0.0034448818897637734,True,True,82.53734244313588,0.09049773755656108,True
128,discovery,43,1,0.046875,122,21,22,0.5200541338582677,0.5198080708661418,0.0002460629921259283,True,True,59.3011199703664,0.579185520361991,True
128,discovery,44,1,0.046875,122,12,13,0.4907726377952756,0.49101870078740156,0.0002460629921259838,True,True,97.48248602453401,0.027149321266968326,False
128,discovery,45,1,0.046875,122,27,45,0.484621062992126,0.484621062992126,0.0,True,True,165.8323887043258,0.004524886877828055,False
128,discovery,46,1,0.046875,122,28,34,0.5050442913385826,0.5050442913385826,0.0,True,True,114.78150714598883,0.004524886877828055,False
128,discovery,47,1,0.046875,122,47,20,0.5252214566929134,0.5252214566929134,0.0,True,True,81.75905893451163,0.10407239819004525,True
128,discovery,48,1,0.046875,122,42,18,0.48351377952755903,0.48351377952755903,0.0,True,True,79.51139848039206,0.14027149321266968,True
128,discovery,49,1,0.046875,122,29,55,0.5252214566929134,0.5252214566929134,0.0,True,True,83.73665695768916,0.08597285067873303,True
128,discovery,50,1,0.046875,122,47,32,0.5396161417322834,0.5396161417322834,0.0,True,True,87.24523037609937,0.049773755656108594,False
128,discovery,51,1,0.046875,122,57,30,0.5328494094488189,0.5328494094488189,0.0,True,True,91.50024281478292,0.049773755656108594,False
128,discovery,52,1,0.046875,122,2,2,0.4672736220472441,0.4675196850393701,0.0002460629921259838,True,True,59.8596193373305,0.5701357466063348,True
128,discovery,53,1,0.046875,122,52,25,0.4796998031496063,0.4796998031496063,0.0,True,True,123.57053176188543,0.004524886877828055,False
128,discovery,54,1,0.046875,122,20,20,0.47600885826771655,0.47625492125984253,0.0002460629921259838,True,True,56.041650678152884,0.6606334841628959,True
128,discovery,55,1,0.046875,122,38,56,0.5503198818897638,0.5504429133858267,0.00012303149606296415,True,True,126.83621795893417,0.004524886877828055,False
128,discovery,56,1,0.046875,122,4,5,0.48831200787401574,0.48831200787401574,0.0,True,True,64.97325808533618,0.4479638009049774,True
128,discovery,57,1,0.046875,122,14,15,0.5220226377952756,0.5221456692913385,0.00012303149606296415,True,True,67.77715900195415,0.37104072398190047,True
128,discovery,58,1,0.046875,122,18,38,0.5067667322834646,0.5067667322834646,0.0,True,True,81.38408836916571,0.11764705882352941,True
128,discovery,59,1,0.046875,122,38,53,0.5178395669291339,0.5180856299212598,0.0002460629921259283,True,True,182.7653081340749,0.004524886877828055,False
