sample_index,epsilon,total_variation,nonincreasing_from_previous
10,0.001,0.00016646830771629065,True
10,0.0001,1.664939578322966e-05,True
10,1e-05,1.664965232989069e-06,True
10,1e-06,1.664967798411114e-07,True
11,0.1,0.008607640299709621,True
11,0.01,0.000870023130373164,True
11,0.001,8.709594686204402e-05,True
11,0.0001,8.710532079042379e-06,True
11,1e-05,8.710625829394233e-07,True
11,1e-06,8.710635214500583e-08,True
12,0.1,0.006906919111892506,True
12,0.01,0.0006977567362338023,True
12,0.001,6.984709362963283e-05,True
12,0.0001,6.985424343418599e-06,True
12,1e-05,6.98549584995431e-07,True
12,1e-06,6.985503007221028e-08,True
13,0.1,0.0035741014359247235,True
13,0.01,0.00036432024925729304,True
13,0.001,3.652263306007371e-05,True
13,0.0001,3.653173273702767e-06,True
13,1e-05,3.6532643093714965e-07,True
13,1e-06,3.65327340790163e-08,True
14,0.1,0.021416027157262353,True
14,0.01,0.0021852935841933036,True
14,0.001,0.00021897683303010216,True
14,0.0001,2.190216888680052e-05,True
14,1e-05,2.190261755409445e-06,True
14,1e-06,2.1902662410869239e-07,True
15,0.1,0.006354922173800761,True
15,0.01,0.0006417640979472091,True
15,0.001,6.423977987558262e-05,True
15,0.0001,6.424612346444831e-06,True
15,1e-05,6.424675789311625e-07,True
15,1e-06,6.424682129932385e-08,True
16,0.1,0.009673583172169493,True
16,0.01,0.0009764744833447766,True
16,0.001,9.773953386232943e-05,True
16,0.0001,9.774875174653293e-06,True
16,1e-05,9.774967362468777e-07,True
16,1e-06,9.774976590140482e-08,True
17,0.1,0.00436453741837976,True
17,0.01,0.0004401323179253564,True
17,0.001,4.405031959032534e-05,True
17,0.0001,4.405403141543732e-06,True
17,1e-05,4.405440262421823e-07,True
17,1e-06,4.405443975644896e-08,True
18,0.1,0.005300924755264942,True
18,0.01,0.0005346237010788112,True
18,0.001,5.3508079382458076e-05,True
18,0.0001,5.351265431570363e-06,True
18,1e-05,5.351311184740168e-07,True
18,1e-06,5.351315752894485e-08,True
19,0.1,0.002810564551832845,True
19,0.01,0.00028228705559756056,True
19,0.001,2.824071913365875e-05,True
19,0.0001,2.8241917445288985e-06,True
19,1e-05,2.824203725464e-07,True
19,1e-06,2.8242049275359914e-08,True
20,0.1,0.003075650267650977,True
20,0.01,0.00031576442208230596,True
20,0.001,3.1660972884864445e-05,True
20,0.0001,3.1669452160103163e-06,True
20,1e-05,3.167030035301305e-07,True
20,1e-06,3.167038515191936e-08,True
21,0.1,0.04139970227674701,True
21,0.01,0.004316746847143692,True
21,0.001,0.00043353589956823926,True
21,0.0001,4.337230085750863e-05,True
21,1e-05,4.3374172941229346e-06,True
21,1e-06,4.3374360166774027e-07,True
22,0.1,0.013479055512845117,True
22,0.01,0.001474146742103275,True
22,0.001,0.00014882016108091112,True
22,0.0001,1.4896230845828478e-05,True
22,1e-05,1.4897653937653257e-06,True
22,1e-06,1.489779626473948e-07,True
23,0.1,0.009954178681379057,True
23,0.01,0.0010074657359707053,True
23,0.001,0.00010086858210056439,True
23,0.0001,1.0088079844392512e-05,True
23,1e-05,1.008820202203264e-06,True
23,1e-06,1.008821423494188e-07,True
24,0.1,0.07553007200017209,True
24,0.01,0.00836826431376016,True
24,0.001,0.00084609246524733,True
24,0.0001,8.47031776891205e-05,True
24,1e-05,8.471258369426774e-06,True
24,1e-06,8.471352441407678e-07,True
25,0.1,0.008299032451051793,True
25,0.01,0.000868582374337407,True
25,0.001,8.726391972907149e-05,True
25,0.0001,8.730468623235273e-06,True
