sample_index,old_count,observed_new_probability,asymptotic_new_probability,asymptotic_probability_error,old_pair_log_odds,expanded_pair_log_odds,pair_odds_collapsed_toward_one,absolute_expanded_pair_log_odds
2974,13,0.0015814179451694185,0.0015814179451694148,3.686287386450715e-18,-1.4569855076317546,-5.916920395499826e-08,True,5.916920395499826e-08
2975,5,0.013483418194656814,0.013483418194656805,8.673617379884035e-18,-1.3145460703709468,-2.0903299199108546e-08,True,2.0903299199108546e-08
2976,3,0.032045963691410106,0.0320459636914101,6.938893903907228e-18,1.2879437146822257,2.0280095175156872e-08,True,2.0280095175156872e-08
2977,9,0.003948127541290039,0.0039481275412900346,4.336808689942018e-18,-0.9994283748155133,-3.36441022927558e-08,True,3.36441022927558e-08
2978,5,0.013483418194656809,0.013483418194656805,3.469446951953614e-18,2.135286912841293,3.883756862854305e-08,True,3.883756862854305e-08
2979,4,0.02010859613446812,0.020108596134468113,6.938893903907228e-18,-0.06383421772581467,-8.813199063315633e-10,True,8.813199063315633e-10
2980,13,0.0015814179451694175,0.0015814179451694148,2.6020852139652106e-18,0.9268578997440335,3.612093381333892e-08,True,3.612093381333892e-08
2981,7,0.006897835113497359,0.006897835113497354,5.204170427930421e-18,-1.7033959398641099,-4.132280958415804e-08,True,4.132280958415804e-08
2982,7,0.006897835113497355,0.006897835113497354,1.734723475976807e-18,-2.545010421692636,-5.041343447653313e-08,True,5.041343447653313e-08
2983,5,0.013483418194656803,0.013483418194656805,1.734723475976807e-18,-2.6374438042703376,-2.8137995774025823e-08,True,2.8137995774025823e-08
2984,11,0.002433395264842941,0.002433395264842939,2.168404344971009e-18,1.2111184045792573,3.905830804668299e-08,True,3.905830804668299e-08
2985,6,0.009475758845705581,0.00947575884570558,1.734723475976807e-18,2.840008075045131,7.026336243565166e-08,True,7.026336243565166e-08
2986,4,0.02010859613446811,0.020108596134468113,3.469446951953614e-18,-1.047935295476593,-1.0299452677135623e-08,True,1.0299452677135623e-08
2987,13,0.001581417945169416,0.0015814179451694148,1.0842021724855044e-18,-0.7725472753530546,-2.0293642417038135e-08,True,2.0293642417038135e-08
2988,10,0.0030758588429540086,0.003075858842954005,3.469446951953614e-18,-0.3292894932624124,-6.7652538244948565e-09,True,6.7652538244948565e-09
2989,5,0.013483418194656826,0.013483418194656805,2.0816681711721685e-17,-1.9455725975981875,-9.977658675219678e-08,True,9.977658675219678e-08
2990,12,0.001950565653010542,0.0019505656530105387,3.2526065174565133e-18,1.8150545214878018,6.000230199207889e-08,True,6.000230199207889e-08
2991,3,0.03204596369141009,0.0320459636914101,6.938893903907228e-18,2.4493182064691217,4.202438464400412e-08,True,4.202438464400412e-08
2992,3,0.032045963691410086,0.0320459636914101,1.3877787807814457e-17,2.378637493866863,4.3984217522306494e-08,True,4.3984217522306494e-08
2993,11,0.0024333952648429432,0.002433395264842939,4.336808689942018e-18,1.033676478988963,4.4393136847068274e-08,True,4.4393136847068274e-08
2994,9,0.003948127541290037,0.0039481275412900346,2.6020852139652106e-18,0.2538451284831371,6.704228039120317e-09,True,6.704228039120317e-09
2995,13,0.0015814179451694153,0.0015814179451694148,4.336808689942018e-19,2.2368242288575453,5.590408735101621e-08,True,5.590408735101621e-08
2996,12,0.0019505656530105448,0.0019505656530105387,6.071532165918825e-18,-0.3919842582060365,-1.9689476576482698e-08,True,1.9689476576482698e-08
2997,10,0.0030758588429540073,0.003075858842954005,2.168404344971009e-18,0.006167327595417861,1.1405076882258437e-10,True,1.1405076882258437e-10
2998,3,0.03204596369141008,0.0320459636914101,2.0816681711721685e-17,-0.43862305542562746,-6.12338248649659e-09,True,6.12338248649659e-09
