sample_index,mode,size,clone_count,target_index,macro_total_variation,maximum_macro_probability_error,refinement_consistent
1309,weighted_raw,5,4,4,6.938893903907228e-17,5.551115123125783e-17,True
1309,weighted_z,5,4,4,1.457167719820518e-16,2.220446049250313e-16,True
1310,unweighted_raw,4,5,0,0.25917173218724804,0.2591717321872481,False
1310,unweighted_z,4,5,0,0.10958535461377035,0.1095853546137703,False
1310,weighted_raw,4,5,0,1.3877787807814457e-17,2.7755575615628914e-17,True
1310,weighted_z,4,5,0,7.28583859910259e-17,1.1102230246251565e-16,True
1311,unweighted_raw,10,5,3,0.3632008957017948,0.3632008957017947,False
1311,unweighted_z,10,5,3,0.16265925640898782,0.16265925640898782,False
1311,weighted_raw,10,5,3,1.3877787807814457e-17,2.7755575615628914e-17,True
1311,weighted_z,10,5,3,1.1102230246251565e-16,2.220446049250313e-16,True
1312,unweighted_raw,10,4,7,0.255785472758569,0.255785472758569,False
1312,unweighted_z,10,4,7,0.2539530305405423,0.2539530305405423,False
1312,weighted_raw,10,4,7,0.0,0.0,True
1312,weighted_z,10,4,7,2.7755575615628914e-17,5.551115123125783e-17,True
1313,unweighted_raw,5,4,2,0.3238105192749632,0.3238105192749632,False
1313,unweighted_z,5,4,2,0.3113311262130384,0.3113311262130383,False
1313,weighted_raw,5,4,2,0.0,0.0,True
1313,weighted_z,5,4,2,3.8163916471489756e-17,5.551115123125783e-17,True
1314,unweighted_raw,11,5,5,0.2769001471996147,0.27690014719961453,False
1314,unweighted_z,11,5,5,0.26228514237238904,0.26228514237238904,False
1314,weighted_raw,11,5,5,6.938893903907228e-18,1.3877787807814457e-17,True
1314,weighted_z,11,5,5,6.938893903907228e-18,1.3877787807814457e-17,True
1315,unweighted_raw,10,2,3,0.1389848790035072,0.13898487900350726,False
1315,unweighted_z,10,2,3,0.13686261046980613,0.13686261046980608,False
1315,weighted_raw,10,2,3,7.979727989493313e-17,5.551115123125783e-17,True
1315,weighted_z,10,2,3,5.551115123125783e-17,1.1102230246251565e-16,True
1316,unweighted_raw,4,6,1,0.27067683179963614,0.2706768317996361,False
1316,unweighted_z,4,6,1,0.28930435185293557,0.28930435185293546,False
1316,weighted_raw,4,6,1,3.642919299551295e-17,5.551115123125783e-17,True
1316,weighted_z,4,6,1,1.3877787807814457e-17,2.7755575615628914e-17,True
1317,unweighted_raw,9,5,8,0.3774467617306091,0.37744676173060904,False
1317,unweighted_z,9,5,8,0.2871013992999133,0.28710139929991335,False
1317,weighted_raw,9,5,8,0.0,0.0,True
1317,weighted_z,9,5,8,9.280770596475918e-17,1.1102230246251565e-16,True
1318,unweighted_raw,10,6,0,0.4201995429425106,0.42019954294251066,False
1318,unweighted_z,10,6,0,0.3679462940737096,0.36794629407370943,False
1318,weighted_raw,10,6,0,1.3877787807814457e-17,2.7755575615628914e-17,True
1318,weighted_z,10,6,0,7.979727989493313e-17,5.551115123125783e-17,True
1319,unweighted_raw,6,5,2,0.142593177783736,0.14259317778373595,False
1319,unweighted_z,6,5,2,0.09996667352216854,0.09996667352216854,False
1319,weighted_raw,6,5,2,0.0,0.0,True
1319,weighted_z,6,5,2,0.0,0.0,True
1320,unweighted_raw,9,2,4,0.059644334316831984,0.05964433431683193,False
1320,unweighted_z,9,2,4,0.04672544394853802,0.04672544394853797,False
1320,weighted_raw,9,2,4,0.0,0.0,True
1320,weighted_z,9,2,4,6.938893903907228e-18,1.3877787807814457e-17,True
1321,unweighted_raw,6,3,4,0.23754757913552693,0.23754757913552693,False
1321,unweighted_z,6,3,4,0.2297892852202393,0.22978928522023934,False
1321,weighted_raw,6,3,4,0.0,0.0,True
1321,weighted_z,6,3,4,2.7755575615628914e-17,5.551115123125783e-17,True
1322,unweighted_raw,4,5,0,0.37683957832057435,0.3768395783205744,False
1322,unweighted_z,4,5,0,0.293963008457296,0.29396300845729595,False
1322,weighted_raw,4,5,0,0.0,0.0,True
1322,weighted_z,4,5,0,3.469446951953614e-17,5.551115123125783e-17,True
1323,unweighted_raw,10,4,3,0.2186184756879605,0.21861847568796056,False
1323,unweighted_z,10,4,3,0.19996375437369135,0.19996375437369135,False
1323,weighted_raw,10,4,3,0.0,0.0,True
1323,weighted_z,10,4,3,1.5829351718288365e-16,1.6653345369377348e-16,True
1324,unweighted_raw,6,4,2,0.16710754768493596,0.1671075476849359,False
1324,unweighted_z,6,4,2,0.0720320323338898,0.07203203233388977,False
1324,weighted_raw,6,4,2,0.0,0.0,True
1324,weighted_z,6,4,2,0.0,0.0,True
1325,unweighted_raw,5,3,4,0.25569382772497307,0.255693827724973,False
1325,unweighted_z,5,3,4,0.26544158384749006,0.26544158384749,False
1325,weighted_raw,5,3,4,7.28583859910259e-17,5.551115123125783e-17,True
1325,weighted_z,5,3,4,0.0,0.0,True
1326,unweighted_raw,9,3,7,0.1561322953611998,0.1561322953611998,False
1326,unweighted_z,9,3,7,0.14739584113754817,0.1473958411375482,False
1326,weighted_raw,9,3,7,6.938893903907228e-18,1.3877787807814457e-17,True
1326,weighted_z,9,3,7,4.163336342344337e-17,2.7755575615628914e-17,True
1327,unweighted_raw,4,2,1,0.14712452741804638,0.14712452741804632,False
1327,unweighted_z,4,2,1,0.12389214692939993,0.12389214692939987,False
1327,weighted_raw,4,2,1,1.3877787807814457e-17,2.7755575615628914e-17,True
1327,weighted_z,4,2,1,0.0,0.0,True
1328,unweighted_raw,5,3,3,0.2409098795344034,0.24090987953440335,False
1328,unweighted_z,5,3,3,0.1601430346142999,0.1601430346142999,False
1328,weighted_raw,5,3,3,0.0,0.0,True
1328,weighted_z,5,3,3,2.42861286636753e-17,2.7755575615628914e-17,True
1329,unweighted_raw,4,5,2,0.38196584691295843,0.3819658469129584,False
1329,unweighted_z,4,5,2,0.3707133802488119,0.37071338024881184,False
1329,weighted_raw,4,5,2,5.898059818321144e-17,1.1102230246251565e-16,True
1329,weighted_z,4,5,2,0.0,0.0,True
1330,unweighted_raw,9,3,6,0.07313674486449799,0.07313674486449796,False
1330,unweighted_z,9,3,6,0.07483485864351708,0.07483485864351695,False
1330,weighted_raw,9,3,6,1.734723475976807e-18,3.469446951953614e-18,True
1330,weighted_z,9,3,6,3.9898639947466563e-17,2.7755575615628914e-17,True
1331,unweighted_raw,7,4,6,0.03629612488527874,0.03629612488527873,False
1331,unweighted_z,7,4,6,0.08036235122541052,0.07060187239822953,False
1331,weighted_raw,7,4,6,1.0581813203458523e-16,1.1102230246251565e-16,True
1331,weighted_z,7,4,6,1.3010426069826053e-16,8.326672684688674e-17,True
1332,unweighted_raw,4,5,0,0.331096542981652,0.33109654298165203,False
1332,unweighted_z,4,5,0,0.1906993741966497,0.19069937419664976,False
1332,weighted_raw,4,5,0,1.1449174941446927e-16,1.1102230246251565e-16,True
1332,weighted_z,4,5,0,9.8879238130678e-17,1.1102230246251565e-16,True
1333,unweighted_raw,7,2,6,0.03459754994407936,0.0345975499440793,False
1333,unweighted_z,7,2,6,0.029165415017620697,0.025164714978502166,False
1333,weighted_raw,7,2,6,0.0,0.0,True
1333,weighted_z,7,2,6,5.204170427930421e-17,2.7755575615628914e-17,True
1334,unweighted_raw,11,6,8,0.4061555262693504,0.4061555262693504,False
1334,unweighted_z,11,6,8,0.4055805236525584,0.40558052365255837,False
1334,weighted_raw,11,6,8,7.546047120499111e-17,5.551115123125783e-17,True
1334,weighted_z,11,6,8,9.71445146547012e-17,5.551115123125783e-17,True
1335,unweighted_raw,6,4,1,0.06227337510994244,0.062273375109942436,False
1335,unweighted_z,6,4,1,0.08947604966488035,0.08221569859073055,False
1335,weighted_raw,6,4,1,0.0,0.0,True
