sample_index,operator,offset,absolute_gauge_covariance_error
1828,weighted_arithmetic,-3.10072823851434,4.440892098500626e-16
1828,exponential_mean,-3.10072823851434,0.0
1828,weighted_median,-3.10072823851434,0.0
1828,minimum,-3.10072823851434,0.0
1828,rms,-3.10072823851434,4.678354952582965
1829,weighted_arithmetic,1.1432297164420637,2.220446049250313e-16
1829,exponential_mean,1.1432297164420637,0.0
1829,weighted_median,1.1432297164420637,0.0
1829,minimum,1.1432297164420637,0.0
1829,rms,1.1432297164420637,0.5315035786786109
1830,weighted_arithmetic,2.5102866254280185,0.0
1830,exponential_mean,2.5102866254280185,0.0
1830,weighted_median,2.5102866254280185,0.0
1830,minimum,2.5102866254280185,0.0
1830,rms,2.5102866254280185,0.7439184137168748
1831,weighted_arithmetic,-0.26479104453720304,0.0
1831,exponential_mean,-0.26479104453720304,0.0
1831,weighted_median,-0.26479104453720304,0.0
1831,minimum,-0.26479104453720304,0.0
1831,rms,-0.26479104453720304,0.3142641663431325
1832,weighted_arithmetic,-2.133940371203125,4.440892098500626e-16
1832,exponential_mean,-2.133940371203125,4.440892098500626e-16
1832,weighted_median,-2.133940371203125,0.0
1832,minimum,-2.133940371203125,0.0
1832,rms,-2.133940371203125,3.838984811951999
1833,weighted_arithmetic,-1.3141939574289383,2.220446049250313e-16
1833,exponential_mean,-1.3141939574289383,0.0
1833,weighted_median,-1.3141939574289383,0.0
1833,minimum,-1.3141939574289383,0.0
1833,rms,-1.3141939574289383,1.57416969388661
1834,weighted_arithmetic,-1.794924754917683,2.220446049250313e-16
1834,exponential_mean,-1.794924754917683,2.220446049250313e-16
1834,weighted_median,-1.794924754917683,0.0
1834,minimum,-1.794924754917683,0.0
1834,rms,-1.794924754917683,2.5896114262151277
1835,weighted_arithmetic,2.1507683368856254,0.0
1835,exponential_mean,2.1507683368856254,0.0
1835,weighted_median,2.1507683368856254,0.0
1835,minimum,2.1507683368856254,0.0
1835,rms,2.1507683368856254,1.1363019988293033
1836,weighted_arithmetic,-0.45808283481913836,5.551115123125783e-17
1836,exponential_mean,-0.45808283481913836,2.220446049250313e-16
1836,weighted_median,-0.45808283481913836,5.551115123125783e-17
1836,minimum,-0.45808283481913836,0.0
1836,rms,-0.45808283481913836,0.7918959652127532
1837,weighted_arithmetic,-3.383821549215873,4.440892098500626e-16
1837,exponential_mean,-3.383821549215873,4.440892098500626e-16
1837,weighted_median,-3.383821549215873,0.0
1837,minimum,-3.383821549215873,0.0
1837,rms,-3.383821549215873,6.275429545148199
1838,weighted_arithmetic,1.2467016638153163,2.220446049250313e-16
1838,exponential_mean,1.2467016638153163,0.0
1838,weighted_median,1.2467016638153163,0.0
1838,minimum,1.2467016638153163,0.0
1838,rms,1.2467016638153163,0.660617189841699
1839,weighted_arithmetic,-2.1676408537842526,0.0
1839,exponential_mean,-2.1676408537842526,4.440892098500626e-16
1839,weighted_median,-2.1676408537842526,0.0
1839,minimum,-2.1676408537842526,0.0
1839,rms,-2.1676408537842526,3.3186263811937127
1840,weighted_arithmetic,1.8196765742344363,4.440892098500626e-16
1840,exponential_mean,1.8196765742344363,0.0
1840,weighted_median,1.8196765742344363,0.0
1840,minimum,1.8196765742344363,0.0
1840,rms,1.8196765742344363,0.7180435613266996
1841,weighted_arithmetic,0.4342786767298987,0.0
1841,exponential_mean,0.4342786767298987,0.0
1841,weighted_median,0.4342786767298987,0.0
1841,minimum,0.4342786767298987,0.0
1841,rms,0.4342786767298987,0.34455225352292473
1842,weighted_arithmetic,0.5560713233047245,2.220446049250313e-16
1842,exponential_mean,0.5560713233047245,0.0
1842,weighted_median,0.5560713233047245,0.0
1842,minimum,0.5560713233047245,0.0
1842,rms,0.5560713233047245,0.19583528946372541
1843,weighted_arithmetic,-0.8988896058417284,0.0
1843,exponential_mean,-0.8988896058417284,0.0
1843,weighted_median,-0.8988896058417284,0.0
1843,minimum,-0.8988896058417284,0.0
1843,rms,-0.8988896058417284,1.3540582985667977
1844,weighted_arithmetic,-1.7017857857618175,2.220446049250313e-16
1844,exponential_mean,-1.7017857857618175,0.0
1844,weighted_median,-1.7017857857618175,0.0
1844,minimum,-1.7017857857618175,0.0
1844,rms,-1.7017857857618175,2.697277968961475
1845,weighted_arithmetic,-2.4723487131574435,8.881784197001252e-16
1845,exponential_mean,-2.4723487131574435,0.0
1845,weighted_median,-2.4723487131574435,0.0
1845,minimum,-2.4723487131574435,0.0
1845,rms,-2.4723487131574435,4.711914812300001
1846,weighted_arithmetic,1.2417064832046165,2.220446049250313e-16
1846,exponential_mean,1.2417064832046165,2.220446049250313e-16
1846,weighted_median,1.2417064832046165,2.220446049250313e-16
1846,minimum,1.2417064832046165,0.0
1846,rms,1.2417064832046165,0.008089624272515472
1847,weighted_arithmetic,0.5293939394051037,1.1102230246251565e-16
1847,exponential_mean,0.5293939394051037,0.0
1847,weighted_median,0.5293939394051037,0.0
1847,minimum,0.5293939394051037,0.0
1847,rms,0.5293939394051037,0.3747722973852323
1848,weighted_arithmetic,-0.9812384691921592,1.1102230246251565e-16
1848,exponential_mean,-0.9812384691921592,0.0
1848,weighted_median,-0.9812384691921592,1.1102230246251565e-16
1848,minimum,-0.9812384691921592,2.220446049250313e-16
1848,rms,-0.9812384691921592,1.6324288252308248
1849,weighted_arithmetic,-3.831767504925298,4.440892098500626e-16
1849,exponential_mean,-3.831767504925298,0.0
1849,weighted_median,-3.831767504925298,0.0
1849,minimum,-3.831767504925298,0.0
1849,rms,-3.831767504925298,6.007481701480083
1850,weighted_arithmetic,1.037806008612364,2.220446049250313e-16
1850,exponential_mean,1.037806008612364,0.0
1850,weighted_median,1.037806008612364,0.0
1850,minimum,1.037806008612364,0.0
1850,rms,1.037806008612364,0.6623296518533308
1851,weighted_arithmetic,-1.7077669005501361,0.0
1851,exponential_mean,-1.7077669005501361,2.220446049250313e-16
1851,weighted_median,-1.7077669005501361,0.0
1851,minimum,-1.7077669005501361,0.0
1851,rms,-1.7077669005501361,1.9921616128421376
1852,weighted_arithmetic,-1.7003655029416684,0.0
1852,exponential_mean,-1.7003655029416684,0.0
1852,weighted_median,-1.7003655029416684,2.220446049250313e-16
1852,minimum,-1.7003655029416684,0.0
1852,rms,-1.7003655029416684,2.6659100455764286
1853,weighted_arithmetic,3.394562536251718,4.440892098500626e-16
1853,exponential_mean,3.394562536251718,0.0
1853,weighted_median,3.394562536251718,0.0
1853,minimum,3.394562536251718,0.0
1853,rms,3.394562536251718,0.7572807174201794
1854,weighted_arithmetic,3.462578630457335,4.440892098500626e-16
1854,exponential_mean,3.462578630457335,0.0
1854,weighted_median,3.462578630457335,0.0
1854,minimum,3.462578630457335,0.0
1854,rms,3.462578630457335,0.993037400487836
1855,weighted_arithmetic,0.30886569900675553,0.0
1855,exponential_mean,0.30886569900675553,0.0
1855,weighted_median,0.30886569900675553,0.0
1855,minimum,0.30886569900675553,0.0
