sample_index,coarse_count,mean_macro_row_tv,maximum_macro_row_tv
71,4,0.11410224463677787,0.1869058059799698
72,7,0.10689477700268328,0.20426045997799086
73,5,0.12976925185936633,0.2376302803854381
74,5,0.12081328041603419,0.23662143593946783
75,2,0.060586855003630494,0.06673426076769731
76,7,0.08967475788589331,0.14836468942520664
77,4,0.10955121437868642,0.14288597158666733
78,3,0.1421532833804902,0.1713339345825053
79,4,0.15069737660156046,0.2918046801999285
80,4,0.16059061376209063,0.3324032105516127
81,5,0.07021910582490314,0.15162626179765434
82,2,0.0962776048543168,0.1453784225816925
83,3,0.06933819533441052,0.07594628262854355
84,4,0.10232003360101698,0.1615275576249433
85,5,0.1719363972780815,0.28902988428402465
86,3,0.20042054485888247,0.3253051558074712
87,4,0.09910609371970405,0.12377271758272171
88,6,0.13440194161152486,0.30540680015347155
89,3,0.054140197954381936,0.07594013632552313
90,3,0.20054309153973096,0.25904151753897
91,4,0.1015816124549742,0.1399838813991997
92,5,0.15321901015780676,0.37172724288844794
93,3,0.11507967217664446,0.17337044933384443
94,3,0.08874748746224119,0.12484397437836409
95,6,0.13431795770992036,0.2971771772150559
96,5,0.05572131096569607,0.13464653865576073
97,4,0.1500765127262716,0.28033701563106844
98,4,0.1542322139033476,0.3314415135527017
99,6,0.11211270269531332,0.22501422274361813
100,2,0.10468170561370549,0.19536563757794317
101,2,0.07473739810442481,0.0843628807945937
102,4,0.11469051006887336,0.12905458359970567
103,2,0.07255973427689485,0.1042545334909739
104,4,0.21052904254366256,0.3825048693364659
105,6,0.11318060757364268,0.2490129735027905
106,3,0.0851083771888126,0.11595294112922372
107,6,0.12762652247234493,0.21702915575819612
108,2,0.031262483535045016,0.04615091769690166
109,5,0.1340339557362729,0.1478297698962266
110,4,0.1402650600997009,0.20530052157622616
111,2,0.016696257577712995,0.022620458321727044
112,3,0.09249237524044322,0.1201997460182386
113,8,0.18343484349270442,0.4029397642325021
114,5,0.08479550069307193,0.17514577681723112
115,4,0.10361251799875423,0.18735760076003175
116,5,0.21842082996440454,0.29642613354449227
117,3,0.052533776099359865,0.11259757575082123
118,5,0.14994472380721519,0.2876780112334901
119,4,0.12284320988800514,0.1648983190370747
120,4,0.12735909559658026,0.2509986389353902
121,2,0.04522094888675732,0.08695128143901132
122,4,0.1335625204143583,0.2187315582864455
123,2,0.02746720614481099,0.052928727833673805
124,5,0.07202663835599302,0.1365162259015085
125,6,0.16846949344494458,0.26700481936833786
126,2,0.08047773254625273,0.14253873644592616
127,6,0.09710728431148706,0.18808725839468532
128,3,0.08041096140193679,0.09563402603748991
129,3,0.047339400966468666,0.08811604020556368
130,3,0.1206814467684818,0.2024552678581551
131,3,0.1292101933743236,0.17249996437788778
132,3,0.17542411978774475,0.23353967174832935
133,5,0.14782284236382934,0.2915232269691178
134,2,0.040563209976549636,0.052131824319366776
135,3,0.04901425363116704,0.11550049892621857
136,3,0.07780783248501522,0.12771739455130537
137,6,0.09483771466130536,0.2338354015298638
138,2,0.02128520295448119,0.03610288588865607
139,4,0.09477439095670648,0.15702471460053896
140,3,0.0845002746363737,0.10481747944484898
141,4,0.07411508302101988,0.20321235058599016
142,2,0.18003438463332277,0.30135721164076357
143,2,0.038193611881788464,0.05112802916673781
144,5,0.1494048987582855,0.22711932136031182
145,2,0.06276080141481796,0.08908896332884178
146,3,0.0669801452776679,0.09348896174807365
147,3,0.10926743683790748,0.1139197951770417
148,3,0.14561757509343115,0.26669850225811964
149,3,0.07820363282459075,0.10094895647783637
150,2,0.10720981538743918,0.1532490084802755
151,5,0.10123042949028604,0.1823894487507347
152,5,0.07791162331778971,0.19148610755900625
153,2,0.06291337477855181,0.08620427527146704
154,5,0.09108801616556494,0.18781374842259616
155,4,0.19228412735476114,0.43449027564174414
156,4,0.08365041336524441,0.10062104730856349
157,6,0.1422181888847361,0.21935951596521774
158,3,0.1623301847908894,0.22345648253028
159,3,0.05212500946883756,0.06797931002097389
160,6,0.137017779171744,0.18606830564156945
161,3,0.1437854266916375,0.18140470965513958
162,2,0.04950212868594664,0.08851105367447551
163,8,0.1832829357967488,0.23916213490835234
164,3,0.0970859185504811,0.1393074898819331
165,7,0.19362388598145056,0.26186827641562616
166,3,0.07574397965140046,0.13474207547545614
167,3,0.08764065787744528,0.1506510699799528
168,4,0.20567530238268078,0.4382592394237541
169,2,0.06630688629896671,0.1306821351823782
