sample_index,operator,size,group_count,direct_score,hierarchical_score,absolute_associativity_error,associative_at_tolerance
2719,weighted_arithmetic,16,4,0.047167693229659365,0.047167693229659344,2.0816681711721685e-17,True
2719,exponential_mean,16,4,-0.9328335872195833,-0.9328335872195836,3.3306690738754696e-16,True
2719,weighted_median,16,4,0.0675777636638664,0.2735894922626614,0.20601172859879496,False
2719,minimum,16,4,-3.1079563917501685,-3.1079563917501685,0.0,True
2720,weighted_arithmetic,26,6,0.44579363971070923,0.44579363971070934,1.1102230246251565e-16,True
2720,exponential_mean,26,6,-0.48922411509462976,-0.48922411509462976,0.0,True
2720,weighted_median,26,6,0.8600116246008241,0.8600116246008241,0.0,True
2720,minimum,26,6,-2.2992453759184515,-2.2992453759184515,0.0,True
2721,weighted_arithmetic,11,3,-0.616614381663683,-0.616614381663683,0.0,True
2721,exponential_mean,11,3,-0.89259841790828,-0.8925984179082798,2.220446049250313e-16,True
2721,weighted_median,11,3,-0.49104759778786605,-0.49104759778786605,0.0,True
2721,minimum,11,3,-2.1605944393212626,-2.1605944393212626,0.0,True
2722,weighted_arithmetic,16,2,-0.6066787991790084,-0.6066787991790084,0.0,True
2722,exponential_mean,16,2,-1.1318552458680373,-1.1318552458680375,2.220446049250313e-16,True
2722,weighted_median,16,2,-0.7253918070305428,-0.7253918070305428,0.0,True
2722,minimum,16,2,-2.1050576593513317,-2.1050576593513317,0.0,True
2723,weighted_arithmetic,31,6,-0.2010715980768326,-0.2010715980768327,8.326672684688674e-17,True
2723,exponential_mean,31,6,-0.5502554450572245,-0.5502554450572246,1.1102230246251565e-16,True
2723,weighted_median,31,6,-0.6144979700233572,-0.6144979700233572,0.0,True
2723,minimum,31,6,-1.7796800754349964,-1.7796800754349964,0.0,True
2724,weighted_arithmetic,27,7,0.3804926954730126,0.3804926954730126,0.0,True
2724,exponential_mean,27,7,-0.3911104605892396,-0.3911104605892398,2.220446049250313e-16,True
2724,weighted_median,27,7,0.6384163141128337,0.765754864881602,0.12733855076876832,False
2724,minimum,27,7,-1.9129416412624793,-1.9129416412624793,0.0,True
2725,weighted_arithmetic,26,5,0.12924409176911325,0.12924409176911328,2.7755575615628914e-17,True
2725,exponential_mean,26,5,-0.614639056939248,-0.614639056939248,0.0,True
2725,weighted_median,26,5,0.3394378372692159,-0.19852211942928533,0.5379599566985012,False
2725,minimum,26,5,-2.507583982687749,-2.507583982687749,0.0,True
2726,weighted_arithmetic,7,3,-0.1805080079642602,-0.18050800796426014,5.551115123125783e-17,True
2726,exponential_mean,7,3,-1.021035853540161,-1.021035853540161,0.0,True
2726,weighted_median,7,3,-0.07332184061108041,-0.23305882493016147,0.15973698431908107,False
2726,minimum,7,3,-2.229625137605273,-2.229625137605273,0.0,True
2727,weighted_arithmetic,30,6,-0.23221865230921276,-0.23221865230921274,2.7755575615628914e-17,True
2727,exponential_mean,30,6,-0.9829482793810623,-0.9829482793810623,0.0,True
2727,weighted_median,30,6,-0.021236223081362398,-0.40476173206491245,0.38352550898355003,False
2727,minimum,30,6,-2.6429866412744816,-2.6429866412744816,0.0,True
2728,weighted_arithmetic,31,6,0.15520408532294622,0.1552040853229463,8.326672684688674e-17,True
2728,exponential_mean,31,6,-0.9722797009557705,-0.9722797009557709,3.3306690738754696e-16,True
2728,weighted_median,31,6,0.013482607663473695,-0.29222981775282053,0.30571242541629423,False
2728,minimum,31,6,-3.5235891794984395,-3.5235891794984395,0.0,True
2729,weighted_arithmetic,10,5,0.9488005181776291,0.9488005181776291,0.0,True
2729,exponential_mean,10,5,-0.6160563943416035,-0.6160563943416035,0.0,True
2729,weighted_median,10,5,1.155856002213669,1.598081419734942,0.442225417521273,False
2729,minimum,10,5,-1.979857296403135,-1.979857296403135,0.0,True
2730,weighted_arithmetic,29,6,-0.19274358427311142,-0.19274358427311142,0.0,True
2730,exponential_mean,29,6,-1.165314382995157,-1.1653143829951567,4.440892098500626e-16,True
2730,weighted_median,29,6,-0.19532238198711674,-0.23374802857408664,0.0384256465869699,False
2730,minimum,29,6,-2.9398345749347263,-2.9398345749347263,0.0,True
2731,weighted_arithmetic,17,3,0.15990211646344885,0.15990211646344887,2.7755575615628914e-17,True
2731,exponential_mean,17,3,-0.4643979236908901,-0.4643979236908903,1.6653345369377348e-16,True
2731,weighted_median,17,3,0.1183282699210743,0.16056964087823586,0.04224137095716156,False
2731,minimum,17,3,-2.069520642697494,-2.069520642697494,0.0,True
2732,weighted_arithmetic,16,7,0.6121202173514987,0.6121202173514988,1.1102230246251565e-16,True
2732,exponential_mean,16,7,0.0031816705012891688,0.0031816705012891688,0.0,True
2732,weighted_median,16,7,0.49460009792791093,0.38774767863704646,0.10685241929086448,False
2732,minimum,16,7,-1.3253078980595516,-1.3253078980595516,0.0,True
2733,weighted_arithmetic,6,4,-0.1250160356918874,-0.12501603569188735,5.551115123125783e-17,True
2733,exponential_mean,6,4,-0.5521213489523829,-0.5521213489523827,1.1102230246251565e-16,True
2733,weighted_median,6,4,0.3010597743315033,0.3010597743315033,0.0,True
2733,minimum,6,4,-1.5936618894680408,-1.5936618894680408,0.0,True
2734,weighted_arithmetic,20,5,-0.6834384349363567,-0.6834384349363566,1.1102230246251565e-16,True
2734,exponential_mean,20,5,-1.4834941309377092,-1.4834941309377088,4.440892098500626e-16,True
2734,weighted_median,20,5,-0.38561240648610556,-0.6609795804928141,0.27536717400670857,False
2734,minimum,20,5,-2.655861908416433,-2.655861908416433,0.0,True
2735,weighted_arithmetic,5,2,0.2879695264605214,0.2879695264605214,0.0,True
2735,exponential_mean,5,2,-0.005494846971834377,-0.005494846971834333,4.423544863740858e-17,True
2735,weighted_median,5,2,0.1879094678057863,0.1879094678057863,0.0,True
2735,minimum,5,2,-1.1886204895380297,-1.1886204895380297,0.0,True
2736,weighted_arithmetic,30,3,0.29519535543286607,0.29519535543286624,1.6653345369377348e-16,True
2736,exponential_mean,30,3,-1.0818384226938473,-1.0818384226938476,2.220446049250313e-16,True
2736,weighted_median,30,3,0.6274326832329817,0.19133909023723594,0.4360935929957458,False
2736,minimum,30,3,-3.0616034122361744,-3.0616034122361744,0.0,True
2737,weighted_arithmetic,33,6,0.4061521895532596,0.4061521895532596,0.0,True
2737,exponential_mean,33,6,-0.4176326165670744,-0.4176326165670748,3.885780586188048e-16,True
2737,weighted_median,33,6,0.5382070759595012,0.42953414857215905,0.10867292738734219,False
2737,minimum,33,6,-2.2500375205070475,-2.2500375205070475,0.0,True
2738,weighted_arithmetic,11,6,-0.6246645915167638,-0.6246645915167638,0.0,True
2738,exponential_mean,11,6,-1.8410750269763063,-1.8410750269763063,0.0,True
2738,weighted_median,11,6,-0.4475876421501824,-0.45878803239063903,0.011200390240456659,False
2738,minimum,11,6,-2.7969720520238375,-2.7969720520238375,0.0,True
2739,weighted_arithmetic,22,4,-0.12255832067820252,-0.12255832067820253,1.3877787807814457e-17,True
2739,exponential_mean,22,4,-1.0502038632856985,-1.0502038632856985,0.0,True
2739,weighted_median,22,4,-0.14444611989803818,-0.14444611989803818,0.0,True
2739,minimum,22,4,-2.3195054685243646,-2.3195054685243646,0.0,True
2740,weighted_arithmetic,26,6,0.5788188502770525,0.5788188502770525,0.0,True
2740,exponential_mean,26,6,-0.26516783585769305,-0.2651678358576934,3.3306690738754696e-16,True
2740,weighted_median,26,6,0.8190990173865128,0.9744325740253811,0.15533355663886828,False
2740,minimum,26,6,-2.169868858838585,-2.169868858838585,0.0,True
2741,weighted_arithmetic,31,2,0.23956123133079268,0.23956123133079268,0.0,True
2741,exponential_mean,31,2,-0.4017771093311325,-0.4017771093311325,0.0,True
2741,weighted_median,31,2,0.39223367522791636,0.7152196464738738,0.32298597124595746,False
2741,minimum,31,2,-2.373147434731199,-2.373147434731199,0.0,True
2742,weighted_arithmetic,15,2,-0.4301778243347646,-0.4301778243347644,1.6653345369377348e-16,True
2742,exponential_mean,15,2,-1.4240202104246584,-1.4240202104246584,0.0,True
2742,weighted_median,15,2,-0.6875918140746633,-0.7064578895524248,0.018866075477761535,False
2742,minimum,15,2,-3.4832092253774616,-3.4832092253774616,0.0,True
2743,weighted_arithmetic,8,3,0.07353821570133727,0.07353821570133731,4.163336342344337e-17,True
2743,exponential_mean,8,3,-0.2383617888457538,-0.23836178884575404,2.498001805406602e-16,True
2743,weighted_median,8,3,-0.12905050922542427,0.12622320214991886,0.25527371137534316,False
2743,minimum,8,3,-1.1263743472566081,-1.1263743472566081,0.0,True
2744,weighted_arithmetic,9,4,0.6226598220703061,0.6226598220703063,2.220446049250313e-16,True
2744,exponential_mean,9,4,-0.5980774301296996,-0.5980774301296996,0.0,True
2744,weighted_median,9,4,0.7588353770267159,0.7588353770267159,0.0,True
2744,minimum,9,4,-1.7799035770110685,-1.7799035770110685,0.0,True
2745,weighted_arithmetic,6,4,0.12295184426618996,0.12295184426619003,6.938893903907228e-17,True
2745,exponential_mean,6,4,-1.2354351288961936,-1.2354351288961936,0.0,True
2745,weighted_median,6,4,1.0585318418316307,1.0585318418316307,0.0,True
2745,minimum,6,4,-2.3602967547269595,-2.3602967547269595,0.0,True
2746,weighted_arithmetic,10,6,1.152115468880547,1.1521154688805473,2.220446049250313e-16,True
2746,exponential_mean,10,6,-0.1882827542421616,-0.1882827542421616,0.0,True
2746,weighted_median,10,6,1.754321867669527,1.5251851504805782,0.22913671718894868,False
2746,minimum,10,6,-2.0662755478554877,-2.0662755478554877,0.0,True
2747,weighted_arithmetic,12,5,-0.21164430706867005,-0.21164430706867005,0.0,True
2747,exponential_mean,12,5,-0.5523372331031979,-0.552337233103198,1.1102230246251565e-16,True
2747,weighted_median,12,5,-0.02033843493845738,-0.1691943952188765,0.14885596028041911,False
2747,minimum,12,5,-1.6393258184213717,-1.6393258184213717,0.0,True
2748,weighted_arithmetic,32,3,0.09954177526478368,0.09954177526478374,5.551115123125783e-17,True
2748,exponential_mean,32,3,-0.6937938417782121,-0.6937938417782122,1.1102230246251565e-16,True
2748,weighted_median,32,3,0.11960063114246317,0.801740287197965,0.6821396560555018,False
2748,minimum,32,3,-2.875961154484332,-2.875961154484332,0.0,True
2749,weighted_arithmetic,23,2,0.12225679236348183,0.12225679236348183,0.0,True
2749,exponential_mean,23,2,-0.5976718530950219,-0.5976718530950222,3.3306690738754696e-16,True
2749,weighted_median,23,2,0.12163211936802333,0.018358815600156203,0.10327330376786713,False
2749,minimum,23,2,-2.3223450183648393,-2.3223450183648393,0.0,True
2750,weighted_arithmetic,6,3,-0.5224658073479187,-0.5224658073479188,1.1102230246251565e-16,True
2750,exponential_mean,6,3,-1.181460094531174,-1.181460094531174,0.0,True
2750,weighted_median,6,3,-1.2408487289990038,-1.2408487289990038,0.0,True
2750,minimum,6,3,-1.9952214454439217,-1.9952214454439217,0.0,True
2751,weighted_arithmetic,32,3,-0.1729461318238252,-0.1729461318238253,8.326672684688674e-17,True
2751,exponential_mean,32,3,-0.9695097169072792,-0.9695097169072795,3.3306690738754696e-16,True
2751,weighted_median,32,3,0.14726849116209367,0.31276185859568106,0.1654933674335874,False
2751,minimum,32,3,-2.592727097709732,-2.592727097709732,0.0,True
2752,weighted_arithmetic,34,5,-0.304210298993532,-0.3042102989935321,5.551115123125783e-17,True
2752,exponential_mean,34,5,-0.926436363112907,-0.926436363112907,0.0,True
2752,weighted_median,34,5,-0.5102898166662707,-0.6834362615478233,0.17314644488155262,False
2752,minimum,34,5,-2.355285858267452,-2.355285858267452,0.0,True
2753,weighted_arithmetic,23,4,0.10164586608710423,0.10164586608710435,1.249000902703301e-16,True
2753,exponential_mean,23,4,-0.7625569530534742,-0.7625569530534743,1.1102230246251565e-16,True
2753,weighted_median,23,4,0.30389438318666584,0.30389438318666584,0.0,True
2753,minimum,23,4,-1.8932595466838373,-1.8932595466838373,0.0,True
2754,weighted_arithmetic,23,7,0.18725835806183339,0.18725835806183336,2.7755575615628914e-17,True
2754,exponential_mean,23,7,-0.5252134475894789,-0.5252134475894789,0.0,True
2754,weighted_median,23,7,0.46180793775871143,0.46180793775871143,0.0,True
2754,minimum,23,7,-2.2200504238842353,-2.2200504238842353,0.0,True
2755,weighted_arithmetic,27,5,-0.1162532029829246,-0.11625320298292466,5.551115123125783e-17,True
2755,exponential_mean,27,5,-0.7144698444573179,-0.7144698444573179,0.0,True
2755,weighted_median,27,5,-0.09692577855850702,-0.21889532642133455,0.12196954786282753,False
2755,minimum,27,5,-2.141380388611156,-2.141380388611156,0.0,True
2756,weighted_arithmetic,28,2,0.6771491590135374,0.6771491590135374,0.0,True
2756,exponential_mean,28,2,-0.23415925187585068,-0.2341592518758508,1.1102230246251565e-16,True
2756,weighted_median,28,2,0.7515116401253058,1.7839138199586542,1.0324021798333485,False
2756,minimum,28,2,-1.8849697961323568,-1.8849697961323568,0.0,True
2757,weighted_arithmetic,10,2,-0.19855754465923833,-0.19855754465923833,0.0,True
2757,exponential_mean,10,2,-0.8667891401745891,-0.8667891401745893,2.220446049250313e-16,True
2757,weighted_median,10,2,-0.3387563044187834,0.5182701976806388,0.8570265020994221,False
2757,minimum,10,2,-2.135514056703891,-2.135514056703891,0.0,True
2758,weighted_arithmetic,24,4,0.5394545203528992,0.5394545203528992,0.0,True
2758,exponential_mean,24,4,-0.3440298492664935,-0.34402984926649344,5.551115123125783e-17,True
2758,weighted_median,24,4,0.5652600500586131,0.7351414281524155,0.16988137809380233,False
2758,minimum,24,4,-1.672306955477661,-1.672306955477661,0.0,True
2759,weighted_arithmetic,7,7,-0.5140718250175761,-0.5140718250175761,0.0,True
2759,exponential_mean,7,7,-1.4336369835822198,-1.4336369835822198,0.0,True
2759,weighted_median,7,7,-1.6503116492116423,-1.6503116492116423,0.0,True
2759,minimum,7,7,-2.8503299451041095,-2.8503299451041095,0.0,True
2760,weighted_arithmetic,25,3,0.45670307511208236,0.45670307511208225,1.1102230246251565e-16,True
2760,exponential_mean,25,3,-0.7767137115002114,-0.7767137115002115,1.1102230246251565e-16,True
2760,weighted_median,25,3,0.42342560431428206,0.7382381603252397,0.31481255601095764,False
2760,minimum,25,3,-3.349675693057939,-3.349675693057939,0.0,True
2761,weighted_arithmetic,11,7,-0.08276025459232676,-0.08276025459232676,0.0,True
