sample_index,operator,group_count,macro_probability_tv,maximum_group_weight_relative_error
45,exponential_mean,8,4.163336342344337e-17,2.1081139815954793e-16
45,weighted_median,8,0.23128095024234516,0.8423148842268878
45,minimum,8,0.20103221468850105,3.52373195486473
46,weighted_arithmetic,2,0.029271301063733823,0.35115669137615363
46,exponential_mean,2,1.1102230246251565e-16,4.110100851230508e-16
46,weighted_median,2,0.1351854492306862,0.39759966042089895
46,minimum,2,0.0024102086427548186,1.2348277703203412
47,weighted_arithmetic,2,0.11256914002739049,0.7087418257818906
47,exponential_mean,2,1.3877787807814457e-17,1.4053213655351778e-16
47,weighted_median,2,0.5213148115127113,0.945779311533813
47,minimum,2,0.031776633446297255,1.8973701440802724
48,weighted_arithmetic,6,0.12199035165585226,0.6126799369064836
48,exponential_mean,6,1.8214596497756474e-17,2.1362453763034137e-16
48,weighted_median,6,0.3622524519689393,0.7522430185702139
48,minimum,6,0.08003589603942374,2.529334450670016
49,weighted_arithmetic,2,0.0353127325400906,0.22773055017142801
49,exponential_mean,2,0.0,2.2013254155720711e-16
49,weighted_median,2,0.1472978021045258,0.4026757048198683
49,minimum,2,0.02506808249076037,0.5822514218953212
50,weighted_arithmetic,3,0.2201942033515924,0.6920629039869644
50,exponential_mean,3,1.3877787807814457e-16,6.949028570017092e-16
50,weighted_median,3,0.21084685596228825,0.712727806963383
50,minimum,3,0.20551441844314264,4.422358136915015
51,weighted_arithmetic,8,0.20824319992087797,0.6230791809059569
51,exponential_mean,8,1.1102230246251565e-16,1.6173342763084653e-16
51,weighted_median,8,0.2885083785798768,0.7493160040704149
51,minimum,8,0.14890560023990793,1.012917129521639
52,weighted_arithmetic,4,0.13967348739823035,0.547837440666427
52,exponential_mean,4,1.1102230246251565e-16,2.4682390074089005e-16
52,weighted_median,4,0.2074511380917987,0.872310711844745
52,minimum,4,0.06718160045447616,1.2506712447748307
53,weighted_arithmetic,4,0.11837652507461925,0.4809533363927098
53,exponential_mean,4,9.020562075079397e-17,2.297957686762269e-16
53,weighted_median,4,0.19554447589541402,0.5838829970424578
53,minimum,4,0.24591710568339548,2.594194920784359
54,weighted_arithmetic,4,0.09649794914573209,0.6452872887342066
54,exponential_mean,4,6.938893903907228e-17,1.293185968676923e-16
54,weighted_median,4,0.14657998356133645,0.7790890826441557
54,minimum,4,0.0303294097321165,1.504530159820708
55,weighted_arithmetic,7,0.07535820668972357,0.6238563666968822
55,exponential_mean,7,4.85722573273506e-17,4.272255485448874e-16
55,weighted_median,7,0.15390787125256314,0.76760928225428
55,minimum,7,0.30936787429479995,6.287310814765249
56,weighted_arithmetic,3,0.08176948752980684,0.5427325057312337
56,exponential_mean,3,1.1796119636642288e-16,2.319579985939102e-16
56,weighted_median,3,0.12004523474821012,0.5442201470106306
56,minimum,3,0.07878894330143288,4.720790452550797
57,weighted_arithmetic,8,0.17434111142527692,0.6550401969442503
57,exponential_mean,8,6.938893903907228e-18,2.12124068658908e-16
57,weighted_median,8,0.24457300098078769,0.8936790778151176
57,minimum,8,0.26480712448354005,3.524297843770114
58,weighted_arithmetic,2,0.10026339985195201,0.5095159635488247
58,exponential_mean,2,5.551115123125783e-17,2.0572640418822897e-16
58,weighted_median,2,0.09812258508133984,0.36967427126248936
58,minimum,2,0.057162967416238344,1.7590521491494209
59,weighted_arithmetic,7,0.2862838220689256,0.7969027609650301
59,exponential_mean,7,1.1102230246251565e-16,3.5907620821927697e-16
59,weighted_median,7,0.49163517952242847,0.9217594935761898
59,minimum,7,0.21645750731060234,4.462652576320915
60,weighted_arithmetic,6,0.11789739876919064,0.49285686107370263
60,exponential_mean,6,3.122502256758253e-17,1.3116280334130412e-16
60,weighted_median,6,0.32334787777907203,0.7919363993029434
60,minimum,6,0.08991720106919122,0.8664478076168187
61,weighted_arithmetic,3,0.04477680331492613,0.5519984790276066
61,exponential_mean,3,2.7755575615628914e-17,2.308362853850595e-16
61,weighted_median,3,0.044804550895154116,0.6000239419492622
61,minimum,3,0.026029744329402207,2.8437258687634146
62,weighted_arithmetic,6,0.1696872333183302,0.5893531529875355
62,exponential_mean,6,5.898059818321144e-17,2.910671899661953e-16
62,weighted_median,6,0.23426916599636652,0.6678319291099429
62,minimum,6,0.1627926759529422,2.7101047120050707
63,weighted_arithmetic,5,0.047934132205075586,0.1760027413331823
63,exponential_mean,5,0.0,0.0
63,weighted_median,5,0.10694881352588906,0.5252463098150782
63,minimum,5,0.09164118644595348,0.5252463098150782
64,weighted_arithmetic,7,0.014977392435456599,0.3748079885301606
64,exponential_mean,7,1.734723475976807e-18,2.013538825910689e-16
64,weighted_median,7,0.013588030655064491,0.5203628493279003
64,minimum,7,0.045373956457210256,1.2484964030852703
65,weighted_arithmetic,5,0.10072774857447989,0.4558638941692275
65,exponential_mean,5,4.85722573273506e-17,1.6314653725368324e-16
65,weighted_median,5,0.25931735239082915,0.7253886439166404
65,minimum,5,0.1781417929891353,3.716410298768873
66,weighted_arithmetic,5,0.07730116545643509,0.4783603035237733
66,exponential_mean,5,1.3877787807814457e-17,1.8091866671103894e-16
66,weighted_median,5,0.08110155465812732,0.2668525715694429
66,minimum,5,0.07247716282401516,1.9922180510026006
67,weighted_arithmetic,7,0.06107766639363957,0.23131768596258823
67,exponential_mean,7,0.0,0.0
67,weighted_median,7,0.178084650587076,0.49628995178907875
67,minimum,7,0.18160006447340904,1.2729945956878064
68,weighted_arithmetic,5,0.16359712533995474,0.61514308205558
68,exponential_mean,5,3.122502256758253e-17,2.2977736043208376e-16
68,weighted_median,5,0.46261255212333613,0.895779963422583
68,minimum,5,0.09793748217976414,1.7510635067499993
69,weighted_arithmetic,4,0.050001724823299766,0.43854352853936773
69,exponential_mean,4,7.28583859910259e-17,3.8683530377077435e-16
69,weighted_median,4,0.13112987686487962,0.4210390330543959
69,minimum,4,0.018396316356501824,1.5615915782990464
70,weighted_arithmetic,5,0.0019812279189626927,0.012162955959174365
70,exponential_mean,5,2.7755575615628914e-17,1.4233484745963123e-16
70,weighted_median,5,0.02174450689076278,0.06655097656362133
70,minimum,5,0.07882738099292165,0.4807723395083123
71,weighted_arithmetic,8,0.2829532433934676,0.7797549403659518
71,exponential_mean,8,1.214306433183765e-17,2.1089014592374297e-16
71,weighted_median,8,0.5417673234067302,0.9305584025138613
71,minimum,8,0.1431348373684609,2.049702679777363
72,weighted_arithmetic,2,0.013214052486509392,0.28996075689359524
72,exponential_mean,2,5.551115123125783e-17,2.147241838060469e-16
72,weighted_median,2,0.10775446416219961,0.5211885842615039
72,minimum,2,0.013826144432642906,4.348562530694602
73,weighted_arithmetic,4,0.09059080363797747,0.47998474284412795
73,exponential_mean,4,2.949029909160572e-17,1.515876450417523e-16
73,weighted_median,4,0.13630101586484666,0.8310465904445516
73,minimum,4,0.10587577347122534,1.66115257171405
74,weighted_arithmetic,7,0.015086215518189528,0.2744854898304033
74,exponential_mean,7,1.0408340855860843e-16,2.539299360768257e-16
74,weighted_median,7,0.05228627322049019,0.2942636859359993
74,minimum,7,0.14639352234147646,2.9514067275608045
75,weighted_arithmetic,4,0.023638109068426713,0.5060105426585658
75,exponential_mean,4,7.632783294297951e-17,1.9924989783597488e-16
75,weighted_median,4,0.17135896303386045,0.676817602361353
75,minimum,4,0.22847452450386235,7.325471622707904
76,weighted_arithmetic,2,0.12551322811339688,0.5925843674110469
76,exponential_mean,2,2.7755575615628914e-17,1.8127065815409717e-16
76,weighted_median,2,0.3132614971192832,0.7594211823351783
76,minimum,2,0.251935723614383,4.5003850413932485
77,weighted_arithmetic,8,0.029029790105322806,0.47543445363872316
77,exponential_mean,8,3.0357660829594124e-17,3.2747025450755514e-16
77,weighted_median,8,0.09578490941252925,0.8250827290186245
77,minimum,8,0.11356063824005688,1.5382822082076886
