sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
523,28,4,2,2.2737367544323206e-13
524,12,8,3,7.105427357601002e-15
525,23,7,4,2.842170943040401e-14
526,23,8,5,2.842170943040401e-14
527,32,8,7,2.842170943040401e-14
528,17,9,5,1.4210854715202004e-14
529,30,9,3,1.1368683772161603e-13
530,28,4,3,1.1368683772161603e-13
531,30,4,3,2.8421709430404007e-13
532,31,8,2,4.547473508864641e-13
533,14,6,2,2.842170943040401e-14
534,13,9,6,1.4210854715202004e-14
535,19,5,2,1.1368683772161603e-13
536,12,4,3,1.4210854715202004e-14
537,31,9,7,5.684341886080802e-14
538,12,6,3,7.105427357601002e-15
539,24,6,2,2.2737367544323206e-13
540,12,7,6,7.105427357601002e-15
541,28,9,4,5.684341886080802e-14
542,22,8,4,2.842170943040401e-14
543,17,5,2,5.684341886080802e-14
544,29,9,4,5.684341886080802e-14
545,13,7,5,7.105427357601002e-15
546,21,8,4,4.263256414560601e-14
547,16,6,4,1.4210854715202004e-14
548,30,9,6,8.526512829121202e-14
549,21,6,5,5.684341886080802e-14
550,29,8,4,5.684341886080802e-14
551,20,8,5,1.4210854715202004e-14
552,31,5,4,1.1368683772161603e-13
553,27,6,5,1.4210854715202004e-14
554,14,4,2,1.1368683772161603e-13
555,23,7,6,8.526512829121202e-14
556,23,8,6,1.4210854715202004e-14
557,22,8,4,1.4210854715202004e-14
558,27,8,5,1.7053025658242404e-13
559,16,9,4,2.842170943040401e-14
560,24,8,6,5.684341886080802e-14
561,16,9,3,4.263256414560601e-14
562,12,6,5,1.4210854715202004e-14
563,21,8,3,1.4210854715202004e-14
564,14,5,3,1.4210854715202004e-14
565,17,9,7,2.842170943040401e-14
566,29,5,4,2.2737367544323206e-13
567,27,5,2,1.7053025658242404e-13
568,15,8,7,3.552713678800501e-15
569,31,4,2,4.547473508864641e-13
570,13,4,2,5.684341886080802e-14
571,23,8,5,4.263256414560601e-14
572,15,5,2,2.842170943040401e-14
573,15,4,2,1.1368683772161603e-13
574,28,8,6,2.842170943040401e-14
575,21,9,4,2.842170943040401e-14
576,24,7,2,1.4210854715202004e-14
577,25,9,4,2.2737367544323206e-13
578,23,8,3,5.684341886080802e-14
579,16,4,3,1.4210854715202004e-14
580,20,7,5,4.263256414560601e-14
581,32,4,2,3.410605131648481e-13
582,16,8,2,2.842170943040401e-14
583,18,9,3,2.842170943040401e-14
584,14,8,6,3.552713678800501e-15
585,19,8,7,3.552713678800501e-15
586,18,5,3,2.842170943040401e-14
587,30,8,2,2.2737367544323206e-13
588,14,6,4,7.105427357601002e-15
589,12,5,2,1.4210854715202004e-14
590,24,5,2,1.0231815394945443e-12
591,32,6,5,1.1368683772161603e-13
592,14,9,3,3.552713678800501e-15
593,22,6,4,2.842170943040401e-14
594,15,9,2,5.684341886080802e-14
595,31,5,2,2.8421709430404007e-13
596,30,4,3,1.4210854715202004e-13
597,26,9,6,5.684341886080802e-14
598,16,6,5,1.4210854715202004e-14
599,31,6,4,1.1368683772161603e-13
600,15,7,2,2.842170943040401e-14
601,17,9,7,7.105427357601002e-15
602,20,8,3,2.842170943040401e-14
603,25,8,7,1.4210854715202004e-14
604,28,7,3,2.2737367544323206e-13
605,24,7,2,3.410605131648481e-13
606,28,7,2,4.547473508864641e-13
607,19,5,3,4.263256414560601e-14
608,32,8,2,7.958078640513122e-13
609,22,9,4,5.684341886080802e-14
610,27,5,2,4.547473508864641e-13
611,29,5,4,1.7053025658242404e-13
612,31,5,2,2.2737367544323206e-13
613,22,6,4,2.842170943040401e-14
614,17,4,3,1.1368683772161603e-13
615,12,6,4,2.1316282072803006e-14
616,31,7,2,2.8421709430404007e-13
617,12,8,2,2.842170943040401e-14
618,19,5,4,2.842170943040401e-14
619,19,7,4,2.842170943040401e-14
620,23,8,4,4.263256414560601e-14
621,20,8,4,2.1316282072803006e-14
622,28,6,2,2.2737367544323206e-13
623,19,9,3,1.4210854715202004e-14
624,22,6,4,2.842170943040401e-14
625,31,7,6,5.684341886080802e-14
626,22,4,2,1.7053025658242404e-13
627,24,8,7,1.4210854715202004e-14
628,18,9,2,4.263256414560601e-14
629,26,5,3,2.8421709430404007e-13
630,30,8,7,1.4210854715202004e-14
631,20,7,4,5.684341886080802e-14
632,29,9,4,8.526512829121202e-14
633,21,4,3,5.684341886080802e-14
634,23,6,4,2.842170943040401e-14
635,17,8,6,7.105427357601002e-15
636,17,6,3,5.684341886080802e-14
637,30,6,5,8.526512829121202e-14
638,17,5,3,2.842170943040401e-14
639,26,8,4,5.684341886080802e-14
640,26,9,7,2.842170943040401e-14
641,27,9,4,5.684341886080802e-14
642,22,6,4,2.842170943040401e-14
643,32,6,3,1.7053025658242404e-13
644,30,8,7,5.684341886080802e-14
645,21,5,4,2.842170943040401e-14
646,32,5,3,2.2737367544323206e-13
647,18,9,2,8.526512829121202e-14
648,28,7,2,4.547473508864641e-13
649,18,6,2,5.684341886080802e-14
650,27,5,2,2.2737367544323206e-13
651,22,8,5,1.4210854715202004e-14
652,16,5,3,2.842170943040401e-14
653,21,4,2,1.7053025658242404e-13
654,18,7,6,1.0658141036401503e-14
655,15,5,2,5.684341886080802e-14
656,30,4,2,5.115907697472721e-13
657,31,4,3,4.547473508864641e-13
658,19,5,2,5.684341886080802e-14
659,27,5,4,2.842170943040401e-14
660,31,8,7,2.842170943040401e-14
661,17,6,5,7.105427357601002e-15
662,16,8,5,1.4210854715202004e-14
663,21,6,5,5.684341886080802e-14
664,19,9,6,7.105427357601002e-15
665,29,8,3,1.1368683772161603e-13
666,25,7,3,8.526512829121202e-14
667,30,8,7,1.4210854715202004e-14
668,26,5,3,3.410605131648481e-13
669,32,7,4,1.1368683772161603e-13
670,14,8,4,7.105427357601002e-15
671,27,8,3,8.526512829121202e-14
672,19,9,5,1.4210854715202004e-14
673,28,9,4,5.684341886080802e-14
674,12,4,3,1.4210854715202004e-14
675,17,4,3,4.263256414560601e-14
676,13,6,3,1.4210854715202004e-14
677,12,8,5,7.105427357601002e-15
678,25,6,4,5.684341886080802e-14
679,14,5,4,2.842170943040401e-14
