sample_index,maximum_flow_aggregation_error,maximum_macro_row_sum_error
352,2.7755575615628914e-16,2.220446049250313e-16
353,2.220446049250313e-16,2.220446049250313e-16
354,1.1102230246251565e-16,2.220446049250313e-16
355,5.551115123125783e-17,2.220446049250313e-16
356,2.220446049250313e-16,2.220446049250313e-16
357,1.1102230246251565e-16,2.220446049250313e-16
358,1.1102230246251565e-16,2.220446049250313e-16
359,2.220446049250313e-16,4.440892098500626e-16
360,1.6653345369377348e-16,6.661338147750939e-16
361,1.1102230246251565e-16,2.220446049250313e-16
362,4.440892098500626e-16,6.661338147750939e-16
363,1.1102230246251565e-16,2.220446049250313e-16
364,2.220446049250313e-16,2.220446049250313e-16
365,1.1102230246251565e-16,2.220446049250313e-16
366,1.1102230246251565e-16,2.220446049250313e-16
367,1.6653345369377348e-16,2.220446049250313e-16
368,5.551115123125783e-17,1.1102230246251565e-16
369,1.1102230246251565e-16,2.220446049250313e-16
370,1.6653345369377348e-16,0.0
371,1.1102230246251565e-16,1.1102230246251565e-16
372,1.6653345369377348e-16,0.0
373,1.6653345369377348e-16,2.220446049250313e-16
374,5.551115123125783e-17,1.1102230246251565e-16
375,1.1102230246251565e-16,1.1102230246251565e-16
376,1.1102230246251565e-16,2.220446049250313e-16
377,1.1102230246251565e-16,2.220446049250313e-16
378,1.6653345369377348e-16,2.220446049250313e-16
379,1.6653345369377348e-16,2.220446049250313e-16
380,1.1102230246251565e-16,0.0
381,5.551115123125783e-16,6.661338147750939e-16
382,2.220446049250313e-16,2.220446049250313e-16
383,1.6653345369377348e-16,1.1102230246251565e-16
384,1.1102230246251565e-16,0.0
385,1.1102230246251565e-16,2.220446049250313e-16
386,2.7755575615628914e-16,3.3306690738754696e-16
387,1.6653345369377348e-16,4.440892098500626e-16
388,1.1102230246251565e-16,2.220446049250313e-16
389,1.1102230246251565e-16,2.220446049250313e-16
390,1.1102230246251565e-16,0.0
391,1.6653345369377348e-16,2.220446049250313e-16
392,1.1102230246251565e-16,2.220446049250313e-16
393,5.551115123125783e-17,2.220446049250313e-16
394,1.1102230246251565e-16,2.220446049250313e-16
395,1.1102230246251565e-16,2.220446049250313e-16
396,3.3306690738754696e-16,1.1102230246251565e-16
397,8.326672684688674e-17,2.220446049250313e-16
398,1.1102230246251565e-16,2.220446049250313e-16
399,1.1102230246251565e-16,0.0
400,1.1102230246251565e-16,2.220446049250313e-16
401,1.6653345369377348e-16,2.220446049250313e-16
