sample_index,maximum_count_measure_error
315,0.0
316,0.0
317,0.0
318,2.7755575615628914e-17
319,2.7755575615628914e-17
320,5.551115123125783e-17
321,1.3877787807814457e-17
322,2.7755575615628914e-17
323,5.551115123125783e-17
324,2.7755575615628914e-17
325,1.3877787807814457e-17
326,2.7755575615628914e-17
327,5.551115123125783e-17
328,3.469446951953614e-18
329,6.938893903907228e-18
330,2.7755575615628914e-17
331,2.7755575615628914e-17
332,0.0
333,5.551115123125783e-17
334,2.7755575615628914e-17
335,1.3877787807814457e-17
336,2.7755575615628914e-17
337,0.0
338,2.7755575615628914e-17
339,0.0
340,5.551115123125783e-17
341,2.7755575615628914e-17
342,5.551115123125783e-17
343,1.3877787807814457e-17
344,2.7755575615628914e-17
345,0.0
346,0.0
347,1.3877787807814457e-17
348,1.3877787807814457e-17
349,1.3877787807814457e-17
350,1.3877787807814457e-17
351,0.0
352,0.0
353,2.7755575615628914e-17
354,2.7755575615628914e-17
355,5.551115123125783e-17
356,2.7755575615628914e-17
357,2.7755575615628914e-17
358,5.551115123125783e-17
359,5.551115123125783e-17
360,5.551115123125783e-17
361,0.0
362,2.7755575615628914e-17
363,1.3877787807814457e-17
364,5.551115123125783e-17
365,5.551115123125783e-17
366,2.7755575615628914e-17
367,0.0
368,2.7755575615628914e-17
369,2.7755575615628914e-17
370,5.551115123125783e-17
371,5.551115123125783e-17
372,1.3877787807814457e-17
373,4.163336342344337e-17
374,0.0
375,0.0
376,2.7755575615628914e-17
377,0.0
378,2.7755575615628914e-17
379,2.7755575615628914e-17
380,5.551115123125783e-17
381,2.7755575615628914e-17
382,2.7755575615628914e-17
383,5.551115123125783e-17
384,2.7755575615628914e-17
385,1.3877787807814457e-17
386,5.551115123125783e-17
387,1.3877787807814457e-17
388,5.551115123125783e-17
389,1.3877787807814457e-17
390,2.7755575615628914e-17
391,1.3877787807814457e-17
392,2.7755575615628914e-17
393,2.7755575615628914e-17
394,5.551115123125783e-17
395,0.0
396,2.7755575615628914e-17
397,2.7755575615628914e-17
398,2.7755575615628914e-17
399,0.0
400,0.0
401,2.7755575615628914e-17
402,1.3877787807814457e-17
403,2.7755575615628914e-17
404,5.551115123125783e-17
405,2.7755575615628914e-17
406,2.7755575615628914e-17
407,1.3877787807814457e-17
408,2.7755575615628914e-17
409,2.7755575615628914e-17
410,2.7755575615628914e-17
411,2.7755575615628914e-17
412,5.551115123125783e-17
413,5.551115123125783e-17
414,1.3877787807814457e-17
415,2.7755575615628914e-17
416,1.3877787807814457e-17
