sample_index,macro_count,first_total_leaves,second_total_leaves,counting_measure_tv
283,4,55,44,0.2863636363636364
284,8,104,84,0.3383699633699634
285,8,65,99,0.3055167055167055
286,13,156,213,0.34055615745756584
287,5,66,45,0.11212121212121212
288,14,182,144,0.3801129426129426
289,6,86,91,0.2096856631740353
290,13,155,216,0.41648745519713254
291,3,46,39,0.1744704570791527
292,4,49,48,0.5884353741496599
293,5,56,46,0.2220496894409938
294,14,165,162,0.4986531986531986
295,16,229,193,0.2970563612914904
296,16,165,194,0.37675726335520143
297,16,185,224,0.28023648648648647
298,14,209,203,0.147005444646098
299,15,186,149,0.4439633398282457
300,16,154,147,0.3936301793444651
301,16,200,177,0.2954237288135593
302,8,47,104,0.46931260229132576
303,12,144,131,0.39885496183206104
304,9,110,132,0.49090909090909096
305,15,186,216,0.2983870967741935
306,11,146,109,0.24996858112353904
307,5,57,52,0.18184885290148445
308,11,150,129,0.2875968992248062
309,11,119,125,0.44389915966386556
310,7,89,108,0.2918227215980025
311,7,92,93,0.26671341748480604
312,16,128,279,0.2223622311827957
313,14,147,145,0.3619985925404644
314,4,48,28,0.6011904761904763
315,6,76,48,0.40241228070175444
316,17,270,239,0.2159615682628235
317,7,78,65,0.29743589743589743
318,8,120,81,0.4404320987654321
319,8,129,112,0.25692137320044295
320,4,44,73,0.16220423412204235
321,9,124,107,0.2891166716912873
322,16,170,181,0.24322391940201496
323,11,140,164,0.19878048780487806
324,14,160,169,0.1943786982248521
325,17,204,238,0.3081232492997199
326,9,65,101,0.2851485148514852
327,14,188,147,0.36966275872050947
328,7,110,61,0.4101341281669151
329,15,193,228,0.2166393964185074
330,3,41,62,0.27891424075531074
331,3,33,48,0.2234848484848485
332,5,58,65,0.3623342175066313
333,3,54,63,0.13756613756613756
334,15,138,165,0.3640316205533597
335,3,45,53,0.2624737945492662
336,9,170,127,0.2100046317739694
337,12,149,164,0.3022180389589131
338,13,177,191,0.24092643535362498
339,11,131,112,0.2814885496183206
340,12,143,160,0.2938374125874126
341,9,144,116,0.27227011494252873
342,4,46,45,0.1608695652173913
343,10,140,134,0.3804904051172707
344,9,124,102,0.2487349778621126
345,7,86,85,0.4409028727770178
346,12,137,163,0.21382831042049166
347,4,72,53,0.24082809224318658
348,7,84,93,0.2231182795698924
349,3,25,47,0.4093617021276596
350,12,158,146,0.39483266863187094
351,8,94,120,0.32145390070921986
352,7,110,82,0.26807095343680715
353,13,124,123,0.4888539207972725
354,17,260,236,0.30899608865710565
355,4,45,39,0.23076923076923078
356,12,178,142,0.3781452761512898
357,4,38,63,0.24895572263993315
358,13,164,203,0.2691637630662021
359,6,79,69,0.268758026050266
360,3,29,37,0.7660764212488351
361,4,27,34,0.41612200435729846
362,10,119,142,0.31559947922831105
363,9,114,66,0.46810207336523124
364,11,109,143,0.35106178225444284
365,8,119,124,0.20520466251016534
366,11,155,161,0.2484071328391104
367,5,66,73,0.42299709422997095
368,11,167,132,0.2340772999455634
369,11,162,143,0.3038073038073038
370,3,52,34,0.13800904977375567
371,8,110,63,0.3277056277056277
372,11,151,126,0.26405970776831705
373,3,35,39,0.09523809523809523
374,9,69,137,0.3370358616312282
375,17,226,195,0.33882459723167685
376,8,92,97,0.27263558942178395
377,14,161,188,0.29582397251222414
378,6,65,65,0.24615384615384617
379,11,154,105,0.37619047619047613
380,5,59,42,0.40556900726392253
381,4,59,39,0.20165145588874406
382,10,72,118,0.4670433145009417
383,10,114,77,0.524151287309182
384,14,146,180,0.33272450532724507
385,13,216,158,0.25193389592123766
386,3,50,47,0.21531914893617016
387,6,77,66,0.3311688311688312
388,7,99,60,0.5742424242424243
389,7,108,88,0.25084175084175087
390,13,192,158,0.2623945147679325
391,5,56,80,0.1339285714285714
392,13,172,190,0.24822521419828644
393,6,73,76,0.4397981254506128
394,5,60,51,0.47941176470588237
395,10,91,122,0.34074941451990637
396,14,263,161,0.29072101646080817
397,8,92,111,0.27408930669800236
398,7,88,110,0.4636363636363636
399,13,190,148,0.32503556187766713
400,11,129,125,0.43640310077519384
401,14,171,213,0.17140268511654722
402,10,146,134,0.27979963197710084
403,4,58,37,0.09645852749301027
404,5,37,40,0.5229729729729731
405,11,165,154,0.23636363636363636
406,15,197,138,0.32141543441477227
407,4,44,43,0.21247357293868924
408,10,118,121,0.3240649950973526
409,10,147,100,0.31421768707483
410,4,35,59,0.2958837772397095
411,5,42,69,0.2246376811594203
412,17,289,180,0.23287197231833906
413,14,172,227,0.21501383055014855
414,9,135,139,0.1768185451638689
415,15,165,206,0.38873197999411596
416,12,180,153,0.3300653594771242
417,12,119,133,0.3449800973020787
418,3,39,50,0.17487179487179488
419,17,193,204,0.3115157980290562
420,3,35,14,0.5571428571428572
421,8,128,76,0.2582236842105263
422,13,162,165,0.24354657687991021
423,12,148,167,0.24146301990613367
424,15,209,211,0.3138166398331028
425,11,144,113,0.19831612586037362
426,12,171,136,0.3727210182318541
427,17,209,218,0.3555155612132918
428,7,72,96,0.21180555555555555
429,13,122,187,0.3833610940650478
430,4,38,45,0.447953216374269
431,16,218,216,0.24906557934080872
432,7,71,71,0.2535211267605634
433,3,42,31,0.478494623655914
434,3,39,33,0.3403263403263403
435,7,94,61,0.26386466689919774
436,4,54,60,0.4388888888888889
437,8,86,106,0.25976305397103994
438,6,103,77,0.38784516454419365
439,13,184,177,0.2971628592483419
440,5,47,58,0.13426265590608952
441,12,158,131,0.3480529519760363
442,4,64,34,0.13051470588235295
443,3,30,47,0.09361702127659577
444,13,177,163,0.32068212540293234
445,7,120,72,0.32500000000000007
446,16,183,213,0.30177788039713693
447,8,135,103,0.15857605177993528
448,9,126,103,0.2968870396054862
449,6,98,53,0.3032345013477089
450,8,76,115,0.27951945080091534
451,3,13,47,0.4451718494271686
452,13,174,209,0.2656052356596821
453,16,193,212,0.34499951119366506
454,6,84,78,0.09890109890109892
455,16,168,156,0.4688644688644688
456,12,170,152,0.3711300309597523
457,8,117,124,0.1494347945960849
458,7,104,77,0.1637112887112887
459,10,97,96,0.39035652920962194
460,9,116,104,0.4028514588859417
461,5,51,53,0.30595634480207173
462,15,167,174,0.16081629843760753
463,7,107,70,0.217890520694259
464,14,170,167,0.29031349066572737
465,6,111,75,0.23243243243243245
466,10,126,155,0.4065540194572453
467,5,55,46,0.4118577075098815
468,11,145,140,0.20837438423645321
469,5,68,60,0.3137254901960784
470,16,216,183,0.3661961141469338
471,13,194,130,0.3134813639968279
472,8,92,120,0.4949275362318841
473,13,191,128,0.2248445680628272
474,15,204,215,0.331281349749202
475,5,63,74,0.3112398112398112
476,14,148,166,0.3301042005861284
477,7,113,100,0.23716814159292032
478,8,121,101,0.32141395957777597
479,16,198,193,0.3017480504527137
480,13,151,172,0.436508547666718
481,17,226,268,0.3366464139479593
482,15,149,191,0.3481499701324713
483,16,220,168,0.39188311688311683
484,14,194,194,0.3556701030927835
485,3,50,32,0.295
486,9,149,157,0.15440516393793013
487,3,48,30,0.40416666666666673
488,16,200,235,0.20553191489361702
489,9,148,98,0.2393822393822394
490,16,245,197,0.23702475914223556
491,16,178,175,0.37759229534510436
492,10,109,173,0.34316169061886836
493,11,84,162,0.31084656084656087
494,3,37,30,0.4396396396396397
495,6,87,84,0.3415435139573071
496,4,38,45,0.21169590643274855
497,14,161,144,0.32940821256038655
498,4,63,45,0.1904761904761905
499,12,148,130,0.37453222453222457
500,10,122,136,0.38054484088717455
501,16,190,186,0.2862478777589134
502,9,124,119,0.2279750609921388
503,3,37,31,0.2894507410636443
504,6,73,83,0.3449414094735105
505,16,179,225,0.29832402234636873
506,12,141,183,0.29856993372863616
507,10,105,125,0.3474285714285714
508,6,47,64,0.2603058510638298
509,16,230,178,0.24982901807523206
510,12,131,214,0.22925733038453308
511,5,63,76,0.41666666666666663
512,3,53,47,0.20714572460859093
513,16,193,192,0.28295012953367876
514,7,69,107,0.4970879046458079
515,17,181,195,0.2408273126505171
516,15,170,156,0.24012066365007542
517,15,198,176,0.32575757575757575
518,14,135,179,0.25884543761638734
519,13,162,142,0.2851677969048861
520,6,68,94,0.4643304130162703
521,14,175,179,0.3372067039106145
522,14,176,237,0.20130897583429228
523,15,210,168,0.3392857142857143
524,7,60,96,0.29166666666666663
525,15,194,247,0.29400225385032763
526,11,138,133,0.3448839490029421
527,11,181,103,0.19910958536716197
528,8,90,79,0.5594936708860759
529,11,130,126,0.3709401709401709
530,5,80,73,0.19434931506849315
531,4,61,61,0.29508196721311475
532,9,72,124,0.27464157706093184
533,6,93,91,0.21966205837173577
534,13,153,155,0.257853679106051
535,8,91,79,0.43844762832104606
536,5,61,58,0.2063312605992086
537,7,86,87,0.43491045175086873
538,9,112,125,0.2867857142857143
539,15,156,172,0.16562313655336913
540,9,138,106,0.3128247197156139
541,5,69,78,0.16722408026755853
542,9,91,118,0.40603464332277894
543,8,99,100,0.27444444444444444
544,11,169,193,0.13787288837109482
545,13,189,173,0.4248707832522861
546,17,182,180,0.4213675213675214
547,6,75,41,0.21170731707317075
548,14,240,193,0.21994818652849737
549,9,110,104,0.34965034965034963
550,17,234,197,0.26972970627792964
551,17,212,214,0.2773320402045495
552,17,247,225,0.2313630229419703
553,17,171,187,0.4340307095725052
554,7,93,69,0.4174848059841047
555,14,170,185,0.3144674085850557
556,14,177,124,0.3956624749407691
557,10,137,154,0.27225329415110433
558,13,146,143,0.3508477823546317
559,12,140,166,0.3370051635111876
560,12,153,123,0.24326478558903242
561,4,59,52,0.31258148631029986
562,12,138,134,0.3722690893359291
563,4,55,49,0.35992578849721707
564,17,189,182,0.2806267806267806
565,13,167,137,0.48030945408453174
566,4,45,45,0.4444444444444445
567,8,96,92,0.3061594202898551
568,17,248,197,0.34073604060913704
569,4,71,80,0.1732394366197183
570,10,100,152,0.27710526315789474
571,5,67,39,0.3938002296211251
572,8,73,106,0.28844662703540963
573,9,128,82,0.3166920731707317
574,5,49,63,0.3945578231292517
575,6,53,74,0.37149413564507905
576,8,74,107,0.13993432685021473
577,11,147,124,0.32921878428790874
578,16,217,198,0.33165758972210585
579,6,66,62,0.4408602150537635
580,17,247,187,0.3346251271947867
581,8,114,117,0.16059379217273953
582,3,31,44,0.1414956011730205
583,11,122,117,0.364789127084209
584,12,158,213,0.31488084625898854
585,4,46,59,0.35630066322770815
586,10,148,108,0.27602602602602605
587,11,123,157,0.39127958158562476
588,16,200,175,0.3192857142857143
589,8,82,111,0.19918699186991873
590,14,164,167,0.3776471447349204
591,10,123,122,0.2576969212315074
592,16,228,219,0.29932708483537607
593,11,171,147,0.3376297887576083
594,15,236,143,0.27536446604243214
595,6,65,72,0.430982905982906
596,4,81,51,0.1750181554103123
597,15,160,213,0.3854166666666667
598,6,72,81,0.31172839506172834
