sample_index,macro_count,clone_count,conservative_tv,ontic_branching_tv
380,14,3,0.0,0.11607142857142855
381,11,2,0.0,0.07575757575757577
382,11,8,0.0,0.35353535353535354
383,9,3,0.0,0.1616161616161616
384,9,2,0.0,0.08888888888888885
385,17,2,0.0,0.05228758169934642
386,18,4,0.0,0.13492063492063489
387,18,8,0.0,0.2644444444444444
388,10,3,0.0,0.15000000000000002
389,12,4,0.0,0.18333333333333332
390,11,8,0.0,0.35353535353535354
391,8,2,0.0,0.09722222222222224
392,19,6,0.0,0.19736842105263155
393,5,4,0.0,0.30000000000000004
394,5,7,0.0,0.4363636363636364
395,18,8,0.0,0.2644444444444444
396,18,6,0.0,0.20531400966183572
397,9,5,0.0,0.2735042735042735
398,16,5,0.0,0.1875
399,4,5,0.0,0.375
400,4,3,0.0,0.25000000000000006
401,15,8,0.0,0.296969696969697
402,12,2,0.0,0.07051282051282046
403,14,8,0.0,0.30952380952380953
404,19,5,0.0,0.16475972540045764
405,9,7,0.0,0.35555555555555557
406,17,7,0.0,0.24552429667519182
407,19,2,0.0,0.04736842105263153
408,17,5,0.0,0.1792717086834734
409,12,8,0.0,0.337719298245614
410,17,5,0.0,0.1792717086834734
411,4,3,0.0,0.25000000000000006
412,5,6,0.0,0.39999999999999997
413,7,8,0.0,0.4285714285714285
414,15,4,0.0,0.1555555555555556
415,8,8,0.0,0.4083333333333333
416,13,7,0.0,0.29149797570850206
417,17,7,0.0,0.24552429667519182
418,7,2,0.0,0.10714285714285712
419,3,4,0.0,0.3333333333333333
420,12,7,0.0,0.3055555555555556
421,7,6,0.0,0.35714285714285715
422,18,8,0.0,0.2644444444444444
423,8,4,0.0,0.23863636363636362
424,6,2,0.0,0.11904761904761904
425,7,8,0.0,0.4285714285714285
426,12,5,0.0,0.22916666666666663
427,12,8,0.0,0.337719298245614
428,14,8,0.0,0.3095238095238096
429,15,6,0.0,0.2333333333333333
430,11,3,0.0,0.13986013986013984
431,18,3,0.0,0.09444444444444439
432,12,5,0.0,0.22916666666666663
433,8,4,0.0,0.23863636363636362
434,5,5,0.0,0.3555555555555556
435,14,4,0.0,0.16386554621848742
436,4,6,0.0,0.41666666666666663
437,6,2,0.0,0.11904761904761904
438,10,8,0.0,0.37058823529411766
439,4,3,0.0,0.25000000000000006
440,13,4,0.0,0.1730769230769231
441,18,8,0.0,0.2644444444444444
442,18,2,0.0,0.049707602339181284
443,9,5,0.0,0.2735042735042735
444,10,2,0.0,0.08181818181818183
445,13,8,0.0,0.3230769230769231
446,17,5,0.0,0.1792717086834734
447,9,7,0.0,0.35555555555555557
448,3,2,0.0,0.16666666666666666
449,18,5,0.0,0.1717171717171717
450,6,3,0.0,0.20833333333333326
451,12,4,0.0,0.18333333333333332
452,5,7,0.0,0.4363636363636364
453,10,5,0.0,0.2571428571428572
454,18,2,0.0,0.049707602339181284
455,13,7,0.0,0.29149797570850206
456,8,5,0.0,0.29166666666666674
457,5,5,0.0,0.3555555555555556
458,8,7,0.0,0.37500000000000006
459,13,5,0.0,0.2171945701357466
460,8,8,0.0,0.4083333333333333
461,12,8,0.0,0.337719298245614
462,9,3,0.0,0.16161616161616157
463,17,5,0.0,0.1792717086834734
464,16,6,0.0,0.22321428571428573
465,10,6,0.0,0.30000000000000004
466,8,2,0.0,0.09722222222222224
467,5,6,0.0,0.39999999999999997
468,19,8,0.0,0.25506072874493924
469,19,7,0.0,0.22736842105263158
470,19,4,0.0,0.12918660287081335
471,3,7,0.0,0.4444444444444445
472,5,5,0.0,0.35555555555555557
473,5,6,0.0,0.39999999999999997
474,9,4,0.0,0.22222222222222224
475,6,5,0.0,0.3333333333333333
476,10,2,0.0,0.08181818181818183
477,16,7,0.0,0.2556818181818181
478,15,4,0.0,0.1555555555555556
479,10,4,0.0,0.20769230769230773
480,4,5,0.0,0.375
481,6,5,0.0,0.3333333333333333
482,14,6,0.0,0.24436090225563917
483,16,7,0.0,0.2556818181818181
484,14,7,0.0,0.2785714285714286
485,18,8,0.0,0.2644444444444444
486,3,2,0.0,0.16666666666666666
487,7,2,0.0,0.10714285714285712
488,11,6,0.0,0.2840909090909091
489,8,5,0.0,0.29166666666666674
490,7,7,0.0,0.39560439560439553
491,7,4,0.0,0.2571428571428571
492,18,8,0.0,0.2644444444444444
493,3,5,0.0,0.38095238095238093
494,3,7,0.0,0.4444444444444445
495,3,8,0.0,0.4666666666666667
496,10,2,0.0,0.08181818181818183
497,15,8,0.0,0.29696969696969705
498,10,2,0.0,0.08181818181818183
499,4,6,0.0,0.41666666666666663
500,3,4,0.0,0.3333333333333333
501,19,5,0.0,0.16475972540045764
502,12,3,0.0,0.13095238095238096
503,12,5,0.0,0.2291666666666666
504,12,4,0.0,0.18333333333333332
505,15,3,0.0,0.10980392156862746
506,9,8,0.0,0.38888888888888884
507,13,6,0.0,0.2564102564102565
508,13,5,0.0,0.2171945701357466
509,5,2,0.0,0.13333333333333336
510,5,7,0.0,0.4363636363636364
511,19,8,0.0,0.25506072874493924
512,11,8,0.0,0.35353535353535354
513,6,8,0.0,0.44871794871794873
514,7,4,0.0,0.25714285714285706
515,8,2,0.0,0.09722222222222224
516,6,8,0.0,0.44871794871794873
517,18,2,0.0,0.049707602339181284
518,3,8,0.0,0.4666666666666667
519,5,4,0.0,0.30000000000000004
520,10,6,0.0,0.30000000000000004
521,12,2,0.0,0.07051282051282047
522,13,7,0.0,0.29149797570850206
523,9,8,0.0,0.38888888888888884
524,17,7,0.0,0.24552429667519182
525,10,6,0.0,0.30000000000000004
526,17,2,0.0,0.05228758169934642
527,9,4,0.0,0.2222222222222222
528,14,7,0.0,0.2785714285714286
529,17,5,0.0,0.1792717086834734
530,19,5,0.0,0.16475972540045764
531,13,3,0.0,0.12307692307692311
532,7,5,0.0,0.3116883116883117
533,8,3,0.0,0.175
534,13,4,0.0,0.1730769230769231
535,10,6,0.0,0.30000000000000004
536,9,4,0.0,0.22222222222222224
537,3,5,0.0,0.38095238095238093
538,4,8,0.0,0.47727272727272724
539,14,4,0.0,0.16386554621848742
540,4,6,0.0,0.41666666666666663
541,3,7,0.0,0.4444444444444445
542,17,2,0.0,0.05228758169934642
543,8,3,0.0,0.175
544,4,5,0.0,0.375
545,9,5,0.0,0.2735042735042735
546,7,8,0.0,0.4285714285714285
547,16,6,0.0,0.22321428571428573
548,5,6,0.0,0.39999999999999997
549,7,5,0.0,0.31168831168831174
550,14,4,0.0,0.16386554621848742
551,17,2,0.0,0.05228758169934642
552,10,4,0.0,0.20769230769230773
553,12,8,0.0,0.337719298245614
554,17,7,0.0,0.24552429667519182
555,12,4,0.0,0.18333333333333332
556,18,8,0.0,0.2644444444444444
557,17,4,0.0,0.14117647058823524
558,11,2,0.0,0.07575757575757577
559,19,6,0.0,0.19736842105263155
560,7,7,0.0,0.39560439560439553
561,11,3,0.0,0.13986013986013984
562,6,5,0.0,0.3333333333333333
563,14,4,0.0,0.16386554621848742
564,13,2,0.0,0.06593406593406598
565,7,6,0.0,0.35714285714285715
566,17,8,0.0,0.2745098039215686
567,7,5,0.0,0.31168831168831174
568,3,7,0.0,0.4444444444444445
569,13,4,0.0,0.1730769230769231
570,19,5,0.0,0.16475972540045764
571,10,7,0.0,0.3375
572,19,2,0.0,0.04736842105263153
573,5,5,0.0,0.3555555555555556
574,18,8,0.0,0.2644444444444444
575,6,4,0.0,0.2777777777777778
576,9,2,0.0,0.08888888888888885
577,17,2,0.0,0.05228758169934642
578,15,4,0.0,0.1555555555555556
579,14,3,0.0,0.11607142857142855
580,14,3,0.0,0.11607142857142855
581,7,2,0.0,0.10714285714285712
582,14,2,0.0,0.061904761904761886
583,12,4,0.0,0.18333333333333332
584,3,4,0.0,0.3333333333333333
585,10,4,0.0,0.20769230769230773
586,3,8,0.0,0.4666666666666667
587,8,7,0.0,0.37500000000000006
588,10,2,0.0,0.08181818181818183
589,9,5,0.0,0.2735042735042735
590,11,6,0.0,0.2840909090909091
591,14,8,0.0,0.30952380952380953
592,7,2,0.0,0.10714285714285712
593,12,5,0.0,0.22916666666666663
594,16,8,0.0,0.28532608695652173
595,11,7,0.0,0.32085561497326204
596,19,5,0.0,0.16475972540045764
597,17,2,0.0,0.05228758169934642
598,18,8,0.0,0.2644444444444444
599,14,5,0.0,0.20634920634920634
600,9,7,0.0,0.35555555555555557
601,10,2,0.0,0.08181818181818183
602,9,8,0.0,0.38888888888888884
603,12,2,0.0,0.07051282051282046
604,10,7,0.0,0.3375
605,11,4,0.0,0.19480519480519484
606,15,6,0.0,0.2333333333333333
607,8,7,0.0,0.37500000000000006
608,5,5,0.0,0.3555555555555556
609,18,7,0.0,0.23611111111111113
610,19,4,0.0,0.12918660287081335
611,9,8,0.0,0.38888888888888884
612,17,5,0.0,0.1792717086834734
613,17,5,0.0,0.1792717086834734
614,8,2,0.0,0.09722222222222224
615,9,4,0.0,0.22222222222222224
616,7,4,0.0,0.25714285714285706
617,19,8,0.0,0.25506072874493924
618,14,2,0.0,0.061904761904761886
619,12,4,0.0,0.18333333333333332
620,17,3,0.0,0.09907120743034056
621,12,7,0.0,0.3055555555555556
622,7,4,0.0,0.25714285714285706
623,18,7,0.0,0.23611111111111113
624,19,2,0.0,0.04736842105263153
625,13,5,0.0,0.2171945701357466
626,3,7,0.0,0.4444444444444445
627,14,3,0.0,0.11607142857142855
628,10,5,0.0,0.2571428571428572
629,3,2,0.0,0.16666666666666666
630,19,8,0.0,0.25506072874493924
631,8,2,0.0,0.09722222222222224
632,6,8,0.0,0.44871794871794873
633,4,8,0.0,0.4772727272727273
634,15,3,0.0,0.10980392156862746
635,16,3,0.0,0.10416666666666669
636,11,5,0.0,0.24242424242424243
637,16,7,0.0,0.2556818181818181
