sample_index,leaf_count,maximum_additive_state_error,maximum_derived_observable_error
450,10,7.105427357601002e-15,7.105427357601002e-15
451,66,2.842170943040401e-14,2.842170943040401e-14
452,58,8.526512829121202e-14,8.526512829121202e-14
453,52,2.1316282072803006e-14,1.4210854715202004e-14
454,54,2.842170943040401e-14,2.842170943040401e-14
455,78,1.1368683772161603e-13,1.1368683772161603e-13
456,74,5.684341886080802e-14,5.684341886080802e-14
457,69,8.526512829121202e-14,8.526512829121202e-14
458,55,2.842170943040401e-14,2.842170943040401e-14
459,53,2.842170943040401e-14,2.842170943040401e-14
460,36,2.842170943040401e-14,2.842170943040401e-14
461,26,2.842170943040401e-14,2.842170943040401e-14
462,77,5.684341886080802e-14,5.684341886080802e-14
463,11,3.552713678800501e-15,3.552713678800501e-15
464,64,2.842170943040401e-14,2.842170943040401e-14
465,12,7.105427357601002e-15,7.105427357601002e-15
466,59,2.842170943040401e-14,2.842170943040401e-14
467,13,1.4210854715202004e-14,1.4210854715202004e-14
468,21,7.105427357601002e-15,7.105427357601002e-15
469,46,2.842170943040401e-14,1.4210854715202004e-14
470,9,3.552713678800501e-15,3.552713678800501e-15
471,59,4.263256414560601e-14,2.842170943040401e-14
472,68,2.842170943040401e-14,2.842170943040401e-14
473,55,5.684341886080802e-14,5.684341886080802e-14
474,41,1.4210854715202004e-14,1.4210854715202004e-14
475,49,1.4210854715202004e-14,1.4210854715202004e-14
476,57,1.4210854715202004e-14,1.4210854715202004e-14
477,69,5.684341886080802e-14,5.684341886080802e-14
478,57,4.263256414560601e-14,2.842170943040401e-14
479,63,8.526512829121202e-14,8.526512829121202e-14
480,55,4.263256414560601e-14,4.263256414560601e-14
481,47,2.1316282072803006e-14,1.4210854715202004e-14
482,52,2.842170943040401e-14,2.842170943040401e-14
483,23,2.842170943040401e-14,2.842170943040401e-14
484,74,5.684341886080802e-14,5.684341886080802e-14
485,67,5.684341886080802e-14,5.684341886080802e-14
486,71,4.263256414560601e-14,4.263256414560601e-14
487,17,1.4210854715202004e-14,1.4210854715202004e-14
488,56,1.7053025658242404e-13,1.7053025658242404e-13
489,44,2.842170943040401e-14,2.842170943040401e-14
490,71,2.842170943040401e-14,1.4210854715202004e-14
491,26,1.4210854715202004e-14,1.4210854715202004e-14
492,65,2.842170943040401e-14,2.842170943040401e-14
493,71,5.684341886080802e-14,5.684341886080802e-14
494,28,1.4210854715202004e-14,1.4210854715202004e-14
495,75,2.842170943040401e-14,2.842170943040401e-14
496,80,7.105427357601002e-14,7.105427357601002e-14
497,53,5.684341886080802e-14,5.684341886080802e-14
498,76,2.842170943040401e-14,2.842170943040401e-14
499,59,4.263256414560601e-14,2.842170943040401e-14
500,8,3.552713678800501e-15,3.552713678800501e-15
501,31,1.4210854715202004e-14,1.4210854715202004e-14
502,77,4.263256414560601e-14,4.263256414560601e-14
503,57,8.526512829121202e-14,8.526512829121202e-14
504,29,7.105427357601002e-15,7.105427357601002e-15
505,45,1.4210854715202004e-14,1.4210854715202004e-14
506,25,1.4210854715202004e-14,1.4210854715202004e-14
507,54,2.842170943040401e-14,2.842170943040401e-14
508,77,4.263256414560601e-14,4.263256414560601e-14
509,53,2.842170943040401e-14,2.842170943040401e-14
510,53,5.684341886080802e-14,5.684341886080802e-14
511,55,2.842170943040401e-14,2.842170943040401e-14
512,71,4.263256414560601e-14,4.263256414560601e-14
513,66,4.263256414560601e-14,4.263256414560601e-14
514,45,2.842170943040401e-14,2.842170943040401e-14
515,79,2.842170943040401e-14,2.842170943040401e-14
516,63,2.842170943040401e-14,2.842170943040401e-14
517,21,7.105427357601002e-15,7.105427357601002e-15
518,18,3.552713678800501e-15,3.552713678800501e-15
519,34,1.4210854715202004e-14,1.4210854715202004e-14
520,43,7.105427357601002e-15,7.105427357601002e-15
521,77,5.684341886080802e-14,5.684341886080802e-14
522,24,7.105427357601002e-15,7.105427357601002e-15
523,44,1.4210854715202004e-14,1.4210854715202004e-14
524,15,1.4210854715202004e-14,1.4210854715202004e-14
525,39,2.842170943040401e-14,2.842170943040401e-14
526,15,1.4210854715202004e-14,1.4210854715202004e-14
527,51,5.684341886080802e-14,5.684341886080802e-14
528,53,4.263256414560601e-14,4.263256414560601e-14
529,8,1.7763568394002505e-15,1.7763568394002505e-15
530,38,7.105427357601002e-15,7.105427357601002e-15
531,71,5.684341886080802e-14,5.684341886080802e-14
532,12,3.552713678800501e-15,3.552713678800501e-15
533,12,7.105427357601002e-15,7.105427357601002e-15
534,63,5.684341886080802e-14,5.684341886080802e-14
535,34,1.0658141036401503e-14,7.105427357601002e-15
536,68,2.842170943040401e-14,2.842170943040401e-14
537,59,2.842170943040401e-14,2.842170943040401e-14
538,43,1.4210854715202004e-14,1.4210854715202004e-14
539,58,5.684341886080802e-14,5.684341886080802e-14
540,48,2.842170943040401e-14,2.842170943040401e-14
541,36,5.684341886080802e-14,5.684341886080802e-14
542,14,3.552713678800501e-15,4.440892098500626e-16
543,72,8.526512829121202e-14,8.526512829121202e-14
544,13,1.4210854715202004e-14,1.4210854715202004e-14
545,48,5.684341886080802e-14,5.684341886080802e-14
