sample_index,final_microstate_count,maximum_macro_mass_error,maximum_macro_q_error,maximum_macro_probability_tv,maximum_total_mass_error
156,267,5.551115123125783e-17,4.440892098500626e-16,1.0755285551056204e-16,2.220446049250313e-16
157,254,1.1102230246251565e-16,5.551115123125783e-16,1.0408340855860843e-16,2.220446049250313e-16
158,271,8.326672684688674e-17,4.440892098500626e-16,7.892991815694472e-17,3.3306690738754696e-16
159,251,1.1102230246251565e-16,5.551115123125783e-16,5.551115123125783e-17,3.3306690738754696e-16
160,255,5.551115123125783e-17,6.661338147750939e-16,1.3877787807814457e-16,2.220446049250313e-16
161,248,2.498001805406602e-16,3.885780586188048e-16,9.020562075079397e-17,3.3306690738754696e-16
162,255,2.7755575615628914e-17,3.3306690738754696e-16,6.938893903907228e-17,4.440892098500626e-16
163,262,1.6653345369377348e-16,8.881784197001252e-16,2.862293735361732e-17,2.220446049250313e-16
164,271,5.551115123125783e-17,5.551115123125783e-16,1.1102230246251565e-16,2.220446049250313e-16
165,277,2.7755575615628914e-17,4.440892098500626e-16,5.724587470723463e-17,2.220446049250313e-16
166,256,5.551115123125783e-17,2.220446049250313e-16,3.903127820947816e-17,2.220446049250313e-16
167,276,4.163336342344337e-17,1.3322676295501878e-15,1.43982048506075e-16,2.220446049250313e-16
168,240,5.551115123125783e-17,3.3306690738754696e-16,1.734723475976807e-17,4.440892098500626e-16
169,261,8.326672684688674e-17,1.3322676295501878e-15,9.93129189996722e-17,2.220446049250313e-16
170,264,5.551115123125783e-17,3.3306690738754696e-16,6.071532165918825e-18,2.220446049250313e-16
171,262,5.551115123125783e-17,4.440892098500626e-16,9.8879238130678e-17,2.220446049250313e-16
172,262,5.551115123125783e-17,1.3322676295501878e-15,1.0451708942760263e-16,2.220446049250313e-16
173,276,1.1102230246251565e-16,8.881784197001252e-16,2.3570555229834866e-16,2.220446049250313e-16
174,255,5.551115123125783e-17,8.881784197001252e-16,5.377642775528102e-17,2.220446049250313e-16
175,271,5.551115123125783e-17,4.440892098500626e-16,7.979727989493313e-17,3.3306690738754696e-16
176,248,2.220446049250313e-16,5.551115123125783e-16,8.326672684688674e-17,3.3306690738754696e-16
177,244,1.1102230246251565e-16,1.1102230246251565e-16,4.85722573273506e-17,4.440892098500626e-16
178,239,1.6653345369377348e-16,4.440892098500626e-16,9.71445146547012e-17,2.220446049250313e-16
179,265,5.551115123125783e-17,8.881784197001252e-16,4.683753385137379e-17,2.220446049250313e-16
180,281,5.551115123125783e-17,8.881784197001252e-16,9.974659986866641e-17,3.3306690738754696e-16
181,261,1.3877787807814457e-17,6.661338147750939e-16,1.6696713456276768e-17,2.220446049250313e-16
182,261,5.551115123125783e-17,2.220446049250313e-16,1.0842021724855044e-16,2.220446049250313e-16
183,281,1.1102230246251565e-16,8.881784197001252e-16,1.214306433183765e-16,2.220446049250313e-16
184,250,5.551115123125783e-17,8.881784197001252e-16,1.6306400674181987e-16,4.440892098500626e-16
185,255,1.1102230246251565e-16,6.661338147750939e-16,2.7972416050126014e-17,2.220446049250313e-16
186,248,1.1102230246251565e-16,1.1102230246251565e-15,1.1535911115245767e-16,3.3306690738754696e-16
187,236,1.6653345369377348e-16,8.881784197001252e-16,1.249000902703301e-16,2.220446049250313e-16
188,267,5.551115123125783e-17,4.440892098500626e-16,1.3010426069826053e-17,2.220446049250313e-16
189,266,2.7755575615628914e-17,5.551115123125783e-16,2.2551405187698492e-17,2.220446049250313e-16
190,245,1.1102230246251565e-16,1.1102230246251565e-15,2.0816681711721685e-16,2.220446049250313e-16
191,269,5.551115123125783e-17,2.220446049250313e-16,3.469446951953614e-17,2.220446049250313e-16
192,246,1.1102230246251565e-16,2.220446049250313e-16,9.194034422677078e-17,3.3306690738754696e-16
193,242,4.163336342344337e-17,1.5543122344752192e-15,1.1362438767648086e-16,2.220446049250313e-16
194,247,5.551115123125783e-17,4.440892098500626e-16,5.0306980803327406e-17,2.220446049250313e-16
195,244,1.1102230246251565e-16,8.881784197001252e-16,1.196959198423997e-16,4.440892098500626e-16
196,251,5.551115123125783e-17,4.440892098500626e-16,6.591949208711867e-17,4.440892098500626e-16
197,236,5.551115123125783e-17,8.881784197001252e-16,4.85722573273506e-17,2.220446049250313e-16
198,270,2.7755575615628914e-17,2.220446049250313e-16,6.418476861114186e-17,2.220446049250313e-16
199,272,2.220446049250313e-16,6.661338147750939e-16,1.3183898417423734e-16,2.220446049250313e-16
200,251,8.326672684688674e-17,8.881784197001252e-16,5.204170427930421e-17,2.220446049250313e-16
201,241,5.551115123125783e-17,4.440892098500626e-16,1.0408340855860843e-16,3.3306690738754696e-16
202,267,2.7755575615628914e-17,4.440892098500626e-16,7.806255641895632e-17,2.220446049250313e-16
203,252,2.7755575615628914e-17,4.440892098500626e-16,5.2692225582795515e-17,2.220446049250313e-16
