sample_index,maximum_level_total_error,maximum_parent_child_error,final_leaf_count
305,0.0,1.1102230246251565e-16,969
306,2.220446049250313e-16,5.551115123125783e-17,1441
307,2.220446049250313e-16,5.551115123125783e-17,1445
308,2.220446049250313e-16,2.220446049250313e-16,859
309,1.1102230246251565e-16,5.551115123125783e-17,2171
310,0.0,5.551115123125783e-17,941
311,0.0,5.551115123125783e-17,2140
312,0.0,1.1102230246251565e-16,1015
313,0.0,5.551115123125783e-17,1628
314,2.220446049250313e-16,1.1102230246251565e-16,1471
315,2.220446049250313e-16,1.1102230246251565e-16,1653
316,1.1102230246251565e-16,5.551115123125783e-17,1339
317,2.220446049250313e-16,1.1102230246251565e-16,1112
318,2.220446049250313e-16,2.220446049250313e-16,2238
319,2.220446049250313e-16,1.1102230246251565e-16,1563
320,1.1102230246251565e-16,1.1102230246251565e-16,1838
321,0.0,5.551115123125783e-17,1887
322,2.220446049250313e-16,2.220446049250313e-16,1301
323,2.220446049250313e-16,2.220446049250313e-16,2299
324,1.1102230246251565e-16,1.1102230246251565e-16,1716
325,1.1102230246251565e-16,1.1102230246251565e-16,1145
326,1.1102230246251565e-16,1.1102230246251565e-16,1631
327,1.1102230246251565e-16,1.1102230246251565e-16,1504
328,0.0,1.1102230246251565e-16,1460
329,2.220446049250313e-16,5.551115123125783e-17,1419
330,2.220446049250313e-16,5.551115123125783e-17,2030
331,1.1102230246251565e-16,1.1102230246251565e-16,2166
332,1.1102230246251565e-16,1.1102230246251565e-16,1058
333,0.0,5.551115123125783e-17,1439
334,2.220446049250313e-16,5.551115123125783e-17,1104
335,0.0,5.551115123125783e-17,1837
336,1.1102230246251565e-16,1.1102230246251565e-16,1093
337,0.0,5.551115123125783e-17,2120
338,2.220446049250313e-16,1.1102230246251565e-16,1180
339,2.220446049250313e-16,1.1102230246251565e-16,1279
340,2.220446049250313e-16,5.551115123125783e-17,1681
341,2.220446049250313e-16,2.220446049250313e-16,1368
342,2.220446049250313e-16,2.220446049250313e-16,1839
