sample_index,maximum_level_total_error,maximum_parent_child_error,final_leaf_count
221,1.1102230246251565e-16,5.551115123125783e-17,1303
222,2.220446049250313e-16,1.1102230246251565e-16,2259
223,2.220446049250313e-16,2.7755575615628914e-17,1388
224,1.1102230246251565e-16,1.1102230246251565e-16,1408
225,2.220446049250313e-16,5.551115123125783e-17,1954
226,1.1102230246251565e-16,1.1102230246251565e-16,1338
227,1.1102230246251565e-16,5.551115123125783e-17,1097
228,2.220446049250313e-16,1.1102230246251565e-16,1681
229,1.1102230246251565e-16,1.1102230246251565e-16,2107
230,2.220446049250313e-16,1.1102230246251565e-16,1581
231,2.220446049250313e-16,1.1102230246251565e-16,1201
232,2.220446049250313e-16,2.220446049250313e-16,1744
233,0.0,5.551115123125783e-17,1754
234,2.220446049250313e-16,5.551115123125783e-17,1423
235,2.220446049250313e-16,2.220446049250313e-16,1288
236,2.220446049250313e-16,1.1102230246251565e-16,1409
237,2.220446049250313e-16,2.220446049250313e-16,1969
238,0.0,5.551115123125783e-17,1123
239,1.1102230246251565e-16,1.1102230246251565e-16,1239
240,1.1102230246251565e-16,1.1102230246251565e-16,1294
241,2.220446049250313e-16,1.1102230246251565e-16,1030
242,0.0,5.551115123125783e-17,989
243,1.1102230246251565e-16,1.1102230246251565e-16,1418
244,1.1102230246251565e-16,5.551115123125783e-17,1899
245,1.1102230246251565e-16,1.1102230246251565e-16,2018
246,1.1102230246251565e-16,5.551115123125783e-17,1813
247,2.220446049250313e-16,2.220446049250313e-16,1496
248,2.220446049250313e-16,5.551115123125783e-17,1243
249,1.1102230246251565e-16,1.1102230246251565e-16,965
250,0.0,5.551115123125783e-17,1128
251,0.0,5.551115123125783e-17,2058
252,1.1102230246251565e-16,1.1102230246251565e-16,1560
253,2.220446049250313e-16,1.1102230246251565e-16,1041
254,1.1102230246251565e-16,5.551115123125783e-17,1552
255,2.220446049250313e-16,5.551115123125783e-17,1942
256,4.440892098500626e-16,2.220446049250313e-16,1141
257,0.0,5.551115123125783e-17,1367
258,0.0,2.7755575615628914e-17,1607
259,0.0,5.551115123125783e-17,2100
260,1.1102230246251565e-16,1.1102230246251565e-16,1406
261,0.0,2.7755575615628914e-17,977
262,2.220446049250313e-16,5.551115123125783e-17,1753
263,0.0,5.551115123125783e-17,1596
264,2.220446049250313e-16,5.551115123125783e-17,1394
265,2.220446049250313e-16,2.7755575615628914e-17,1709
266,1.1102230246251565e-16,5.551115123125783e-17,1405
267,0.0,2.7755575615628914e-17,1247
268,1.1102230246251565e-16,1.1102230246251565e-16,1766
269,2.220446049250313e-16,1.1102230246251565e-16,1394
270,0.0,1.1102230246251565e-16,1133
271,2.220446049250313e-16,1.1102230246251565e-16,1314
272,1.1102230246251565e-16,1.1102230246251565e-16,1952
273,0.0,1.1102230246251565e-16,1928
274,1.1102230246251565e-16,5.551115123125783e-17,1941
275,2.220446049250313e-16,1.1102230246251565e-16,1443
276,1.1102230246251565e-16,1.1102230246251565e-16,815
277,2.220446049250313e-16,1.1102230246251565e-16,1670
278,2.220446049250313e-16,2.7755575615628914e-17,1199
279,2.220446049250313e-16,1.1102230246251565e-16,1781
280,1.1102230246251565e-16,1.1102230246251565e-16,1444
281,2.220446049250313e-16,5.551115123125783e-17,1486
282,2.220446049250313e-16,5.551115123125783e-17,2029
283,2.220446049250313e-16,1.1102230246251565e-16,1608
284,0.0,1.1102230246251565e-16,1092
285,0.0,5.551115123125783e-17,1502
286,2.220446049250313e-16,2.7755575615628914e-17,1237
287,0.0,5.551115123125783e-17,2191
288,0.0,1.1102230246251565e-16,1787
289,2.220446049250313e-16,1.1102230246251565e-16,1636
290,2.220446049250313e-16,1.1102230246251565e-16,1365
291,1.1102230246251565e-16,1.1102230246251565e-16,1400
292,0.0,2.7755575615628914e-17,1171
293,2.220446049250313e-16,2.220446049250313e-16,1504
294,3.3306690738754696e-16,1.1102230246251565e-16,1664
295,1.1102230246251565e-16,1.1102230246251565e-16,1323
296,2.220446049250313e-16,1.1102230246251565e-16,916
297,1.1102230246251565e-16,5.551115123125783e-17,1712
298,0.0,5.551115123125783e-17,1745
299,1.1102230246251565e-16,1.1102230246251565e-16,2089
300,2.220446049250313e-16,2.220446049250313e-16,1056
301,2.220446049250313e-16,5.551115123125783e-17,1889
302,1.1102230246251565e-16,1.1102230246251565e-16,1507
303,0.0,5.551115123125783e-17,1385
304,0.0,1.1102230246251565e-16,1884
